date,2. high,5. volume,1. open,3. low,4. close
2000-01-03,193.0,5297000.0,192.5,182.0,187.0
2000-01-04,180.6,5071100.0,177.0,172.8,173.0
2000-01-05,174.5,6540400.0,168.2,160.8,171.1
2000-01-06,171.0,5047700.0,168.0,153.0,153.0
2000-01-07,172.0,4718100.0,161.8,161.8,171.0
2000-01-10,180.3,4046500.0,178.5,174.3,178.9
2000-01-11,175.9,2968000.0,173.9,167.9,169.5
2000-01-12,175.3,2716600.0,172.0,169.3,170.6
2000-01-13,179.0,2557400.0,177.9,174.1,178.0
2000-01-14,184.9,2654000.0,181.4,181.0,184.0
2000-01-18,181.3,2930700.0,180.0,177.8,178.9
2000-01-19,180.5,2330000.0,175.3,175.3,180.0
2000-01-20,181.1,2018700.0,180.9,176.4,179.8
2000-01-21,186.7,3433100.0,179.9,177.6,185.0
2000-01-24,186.9,3843700.0,185.8,177.1,180.0
2000-01-25,183.9,2551300.0,180.0,179.0,183.0
2000-01-26,185.4,2529900.0,182.0,181.5,183.0
2000-01-27,182.5,3304400.0,179.0,174.0,178.5
2000-01-28,189.0,4514100.0,186.5,175.1,180.1
2000-01-31,186.5,3548300.0,181.8,177.1,185.0
2000-02-01,195.0,8803900.0,183.5,177.5,184.5
2000-02-02,186.8,4575900.0,184.9,182.4,186.0
2000-02-03,194.0,5076900.0,186.0,185.0,194.0
2000-02-04,195.5,3251800.0,191.6,190.1,192.0
2000-02-07,194.4,2374100.0,193.7,191.5,192.6
2000-02-08,206.0,4502200.0,197.0,196.5,206.0
2000-02-09,208.8,4118200.0,205.4,201.4,201.4
2000-02-10,203.4,3455300.0,202.0,198.3,201.0
2000-02-11,199.1,2931100.0,197.4,193.5,197.0
2000-02-14,197.0,3126500.0,194.5,191.4,194.4
2000-02-15,193.3,3682000.0,190.5,188.1,191.0
2000-02-16,193.0,4370900.0,187.2,187.0,188.8
2000-02-17,195.0,3533100.0,191.4,188.9,193.8
2000-02-18,196.5,2732400.0,196.1,189.5,189.9
2000-02-22,198.5,3666800.0,197.3,190.9,192.0
2000-02-23,206.0,3345700.0,200.4,196.8,206.0
2000-02-24,204.4,2878300.0,202.9,199.6,203.0
2000-02-25,206.6,2828800.0,201.8,200.4,204.9
2000-02-28,205.0,3146500.0,200.3,197.5,203.3
2000-02-29,201.3,3641400.0,201.3,196.8,198.5
2000-03-01,201.5,2678800.0,199.5,198.5,201.5
2000-03-02,215.9,4724600.0,200.5,200.4,212.0
2000-03-03,221.4,2894500.0,216.0,215.3,221.0
2000-03-06,227.1,2527300.0,224.5,223.5,226.5
2000-03-07,224.4,2525900.0,223.5,216.0,217.3
2000-03-08,215.5,3215900.0,215.3,205.0,211.4
2000-03-09,214.7,2884700.0,210.5,207.5,214.5
2000-03-10,220.4,2773900.0,217.8,214.1,215.0
2000-03-13,217.1,3819400.0,205.0,205.0,215.0
2000-03-14,217.9,3138200.0,216.0,205.5,206.5
2000-03-15,203.5,6866300.0,202.0,192.0,196.0
2000-03-16,205.0,6970100.0,197.0,182.0,202.0
2000-03-17,202.0,3361900.0,197.0,195.5,199.9
2000-03-20,208.4,3668400.0,200.0,199.2,202.0
2000-03-21,213.2,3894300.0,199.4,197.0,211.5
2000-03-22,220.4,4050300.0,209.7,206.6,219.0
2000-03-23,220.8,3428100.0,218.4,214.8,219.6
2000-03-24,227.94,4405000.0,219.0,218.5,223.5
2000-03-27,233.4,3594900.0,225.4,225.4,230.0
2000-03-28,231.0,3139300.0,229.9,224.5,225.9
2000-03-29,229.0,3983100.0,227.3,218.0,218.0
2000-03-30,215.3,6035900.0,206.0,202.0,209.0
2000-03-31,222.4,4578100.0,211.0,208.1,222.0
2000-04-03,213.9,5710100.0,210.5,203.0,205.8
2000-04-04,207.5,12579800.0,205.5,182.8,205.0
2000-04-05,209.9,8385300.0,188.9,187.8,199.0
2000-04-06,212.5,4503100.0,210.0,205.3,212.5
2000-04-07,227.0,5187200.0,218.1,216.0,225.1
2000-04-10,225.5,4865500.0,223.0,212.0,214.9
2000-04-11,55.5,5129325.0,50.38,49.25,54.75
2000-04-12,53.75,18348400.0,53.0,48.88,49.25
2000-04-13,52.75,17803800.0,49.63,47.5,48.63
2000-04-14,47.5,28062200.0,46.5,42.5,45.5
2000-04-17,52.5,21526600.0,44.5,44.0,50.75
2000-04-18,52.0,15443100.0,49.0,48.31,51.38
2000-04-19,52.13,10966400.0,52.0,48.5,48.5
2000-04-20,50.81,9114100.0,50.69,48.0,49.25
