date,2. high,5. volume,1. open,3. low,4. close
2016-10-27,18.45,55328699.0,18.4,16.5,16.57
2016-10-28,17.25,12646833.0,16.79,16.68,16.99
2016-10-31,17.19,3226590.0,17.19,16.85,16.93
2016-11-01,17.05,9863756.0,17.0,15.545,16.0
2016-11-02,16.39,4431182.0,16.33,15.82,16.0
2016-11-03,16.05,2318106.0,16.05,15.78,15.99
2016-11-04,15.9,2848352.0,15.9,15.14,15.2
2016-11-07,15.55,2959085.0,15.33,15.2,15.43
2016-11-08,15.51,1799974.0,15.49,15.32,15.44
2016-11-09,15.28,4002053.0,15.02,14.15,14.32
2016-11-10,14.82,3791638.0,14.69,14.43,14.5
2016-11-11,14.6,2051168.0,14.6,14.18,14.58
2016-11-14,14.89,3205567.0,14.72,14.27,14.29
2016-11-15,14.63,3027180.0,14.42,14.32,14.48
2016-11-16,14.72,1354542.0,14.45,14.43,14.61
2016-11-17,15.35,3598390.0,14.75,14.61,15.26
2016-11-18,16.49,3806098.0,15.54,15.52,16.3
2016-11-21,16.9,4361050.0,16.65,15.81,15.89
2016-11-22,16.03,3633259.0,16.0,15.03,15.07
2016-11-23,15.47,2328836.0,15.2499,15.01,15.32
2016-11-25,15.99,1313211.0,15.45,15.4,15.9
2016-11-28,16.0,2098079.0,15.96,15.57,15.81
2016-11-29,16.15,4114476.0,16.07,15.02,15.63
2016-11-30,16.0,4132962.0,15.98,15.05,15.13
2016-12-01,15.19,2497402.0,15.04,14.6,14.61
2016-12-02,14.611,3014934.0,14.5,13.8,13.83
2016-12-05,14.0789,3167162.0,14.0,13.38,13.48
2016-12-06,13.62,1832313.0,13.56,13.5,13.58
2016-12-07,13.74,2198603.0,13.65,13.37,13.56
2016-12-08,14.56,3036745.0,13.61,13.56,14.46
2016-12-09,14.41,1160149.0,14.32,14.06,14.13
2016-12-12,14.25,1996803.0,14.25,13.32,13.36
2016-12-13,13.5,4004386.0,13.5,12.75,12.83
