Ticker,Date,Open,High,Low,Close,Volume
GEX,10/27/2015 00:00:00,7.4733,7.4733,7.4733,7.4733,3500
GEX,10/28/2015 00:00:00,7.06227,7.06227,6.38967,6.46441,31900
GEX,10/29/2015 00:00:00,6.46441,7.06227,6.42704,6.8007,20300
GEX,10/30/2015 00:00:00,6.5765,7.09964,6.5765,6.9128,19500
GEX,11/2/2015 00:00:00,6.95017,7.06227,6.50177,6.83807,8200
GEX,11/3/2015 00:00:00,6.83807,7.09964,6.76334,7.09964,56900
GEX,11/4/2015 00:00:00,7.137,7.84697,7.09964,7.51067,70000
GEX,11/5/2015 00:00:00,8.0338,8.44483,7.3612,8.44483,20812
GEX,11/6/2015 00:00:00,9.15479,9.56583,8.5943,8.89323,75488
GEX,11/9/2015 00:00:00,9.04269,9.04269,7.6975,8.74376,135200
GEX,11/10/2015 00:00:00,9.08006,9.08006,7.54803,7.84697,133600
GEX,11/11/2015 00:00:00,7.21174,7.99643,7.17437,7.84697,65707
GEX,11/12/2015 00:00:00,7.84697,8.40746,7.8096,8.22063,84303
GEX,11/13/2015 00:00:00,8.22063,8.4822,8.07117,8.44483,148800
GEX,11/16/2015 00:00:00,8.258,8.4822,7.4733,8.10853,214000
GEX,11/17/2015 00:00:00,8.18326,8.33273,7.4733,8.1459,30300
GEX,11/18/2015 00:00:00,8.0338,8.18326,7.4733,7.8096,178600
GEX,11/19/2015 00:00:00,7.95907,7.95907,7.51067,7.77223,94000
GEX,11/20/2015 00:00:00,7.4733,7.73487,7.09964,7.5854,126700
GEX,11/23/2015 00:00:00,7.5854,7.84697,7.4733,7.8096,66850
GEX,11/24/2015 00:00:00,7.4733,8.0338,7.4733,7.84697,140402
GEX,11/25/2015 00:00:00,7.77223,8.0338,7.6975,7.99643,109200
GEX,11/26/2015 00:00:00,7.9217,8.22063,7.88433,8.0338,77008
GEX,11/27/2015 00:00:00,8.07117,8.07117,7.95907,7.99643,59100
GEX,11/30/2015 00:00:00,7.9217,7.95907,7.77223,7.8096,96200
GEX,12/1/2015 00:00:00,7.95907,8.0338,7.77223,7.8096,29100
GEX,12/2/2015 00:00:00,7.77223,7.8096,7.4733,7.62277,103300
GEX,12/3/2015 00:00:00,7.66013,7.6975,7.62277,7.66013,45600
GEX,12/4/2015 00:00:00,7.62277,7.66013,7.51067,7.5854,58300
GEX,12/7/2015 00:00:00,7.54803,7.54803,7.39857,7.39857,57400
GEX,12/8/2015 00:00:00,7.43593,7.51067,7.28647,7.4733,114600
GEX,12/9/2015 00:00:00,7.39857,7.6975,7.32383,7.62277,133103
GEX,12/10/2015 00:00:00,7.5854,7.6975,7.51067,7.54803,72700
