Ticker,Date,Open,High,Low,Close,Volume
OCB,28/01/2021 00:00:00,14.1594,16.1271,14.1594,14.1594,7.2738e+006
OCB,29/01/2021 00:00:00,15.68,15.68,14.88,15.68,6.203e+006
OCB,01/02/2021 00:00:00,16.64,16.64,15.68,15.76,6.397e+006
OCB,02/02/2021 00:00:00,16,16.28,15.68,16.28,4.126e+006
OCB,03/02/2021 00:00:00,16.48,17.12,16.32,17.12,5.8284e+006
OCB,04/02/2021 00:00:00,17.2,17.2,16.68,16.8,4.0283e+006
OCB,05/02/2021 00:00:00,16.88,17.12,16.68,16.68,3.4327e+006
OCB,08/02/2021 00:00:00,16.8,16.8,15.76,16,3.4521e+006
OCB,09/02/2021 00:00:00,16.04,16.72,15.92,16.72,2.8791e+006
OCB,17/02/2021 00:00:00,17.12,17.16,16.8,16.88,2.5335e+006
OCB,18/02/2021 00:00:00,16.96,17,16.8,16.8,2.6557e+006
OCB,19/02/2021 00:00:00,16.8,17,16.68,16.84,2.4308e+006
OCB,22/02/2021 00:00:00,16.88,17.44,16.88,17.08,5.1514e+006
OCB,23/02/2021 00:00:00,17.12,17.24,17,17.16,2.2631e+006
OCB,24/02/2021 00:00:00,17.16,17.2,16.56,16.72,3.06e+006
OCB,25/02/2021 00:00:00,16.8,16.88,16.64,16.72,2.2916e+006
OCB,26/02/2021 00:00:00,16.36,16.72,16.36,16.72,2.3718e+006
OCB,01/03/2021 00:00:00,16.84,17.2,16.72,17.04,3.5086e+006
OCB,02/03/2021 00:00:00,17.16,17.16,16.8,16.88,3.2414e+006
OCB,03/03/2021 00:00:00,16.92,16.92,16.72,16.8,2.3443e+006
OCB,04/03/2021 00:00:00,16.8,16.84,16.48,16.52,2.5094e+006
OCB,05/03/2021 00:00:00,16.4,16.92,16.4,16.92,3.1085e+006
OCB,08/03/2021 00:00:00,17.12,17.2,17,17.16,4.8424e+006
OCB,09/03/2021 00:00:00,17.16,18.36,16.96,18.36,1.54945e+007
OCB,10/03/2021 00:00:00,18.8,19.44,18.72,19.32,8.3414e+006
OCB,11/03/2021 00:00:00,19.32,19.52,19.04,19.44,6.3849e+006
OCB,12/03/2021 00:00:00,19.28,19.76,19.12,19.76,7.4487e+006
OCB,15/03/2021 00:00:00,19.92,20.04,19.6,19.84,6.4939e+006
OCB,16/03/2021 00:00:00,19.8,19.8,19.36,19.76,3.5427e+006
OCB,17/03/2021 00:00:00,19.72,19.76,19.4,19.76,5.2115e+006
OCB,18/03/2021 00:00:00,20,20.2,19.76,19.84,4.7157e+006
OCB,19/03/2021 00:00:00,19.88,20.08,19.76,19.92,3.7458e+006
OCB,22/03/2021 00:00:00,20,20.32,19.92,20.16,4.1166e+006
OCB,23/03/2021 00:00:00,20,20.16,19.4,19.68,4.7364e+006
OCB,24/03/2021 00:00:00,19.36,19.68,19,19.08,3.882e+006
OCB,25/03/2021 00:00:00,19.36,19.36,18.84,18.84,3.6022e+006
OCB,26/03/2021 00:00:00,18.8,18.96,18,18.84,6.9856e+006
OCB,29/03/2021 00:00:00,18.84,19.28,18.84,19.16,3.5971e+006
OCB,30/03/2021 00:00:00,19.24,19.32,19.08,19.28,3.2009e+006
OCB,31/03/2021 00:00:00,19.36,19.44,19.24,19.32,2.3037e+006
OCB,01/04/2021 00:00:00,19.32,19.64,19.32,19.6,4.9404e+006
OCB,02/04/2021 00:00:00,19.68,19.96,19.68,19.76,3.4473e+006
OCB,05/04/2021 00:00:00,19.92,20,19.56,19.68,3.062e+006
OCB,06/04/2021 00:00:00,19.6,19.88,19.56,19.6,3.6306e+006
OCB,07/04/2021 00:00:00,19.6,19.72,19.44,19.64,2.8483e+006
OCB,08/04/2021 00:00:00,20,20,19.6,19.8,3.4096e+006
OCB,09/04/2021 00:00:00,19.84,19.92,19.72,19.76,2.4136e+006
OCB,12/04/2021 00:00:00,19.76,19.88,19.64,19.8,4.0413e+006
OCB,13/04/2021 00:00:00,19.88,20.64,19.88,20.04,9.1396e+006
OCB,14/04/2021 00:00:00,20.04,20.36,20,20.28,3.8744e+006
OCB,15/04/2021 00:00:00,20.4,20.52,19.92,19.92,4.1955e+006
OCB,16/04/2021 00:00:00,19.76,19.8,19.04,19.2,5.0661e+006
OCB,19/04/2021 00:00:00,19.2,19.44,19.04,19.44,3.0598e+006
OCB,20/04/2021 00:00:00,19.36,19.44,18.88,18.96,5.1383e+006
OCB,22/04/2021 00:00:00,18.84,18.88,17.64,17.64,3.7215e+006
OCB,23/04/2021 00:00:00,17.76,18.4,17.68,18.4,3.5462e+006
OCB,26/04/2021 00:00:00,18.4,18.4,18,18,1.941e+006
OCB,27/04/2021 00:00:00,18.08,18.36,17.84,18.24,1.6357e+006
OCB,28/04/2021 00:00:00,18.24,19,18.16,18.68,2.8615e+006
OCB,29/04/2021 00:00:00,19,19,18.76,18.8,2.1127e+006
OCB,04/05/2021 00:00:00,18.32,18.76,18.2,18.6,2.7452e+006
OCB,05/05/2021 00:00:00,18.64,19.32,18.64,19.08,3.1387e+006
OCB,06/05/2021 00:00:00,19.12,19.24,18.88,18.92,2.9057e+006
OCB,07/05/2021 00:00:00,18.8,19.12,18.56,18.72,4.1459e+006
OCB,10/05/2021 00:00:00,18.72,19.44,18.44,19.32,5.1949e+006
OCB,11/05/2021 00:00:00,19.48,19.52,19.12,19.12,3.29e+006
OCB,12/05/2021 00:00:00,19.08,19.28,19,19.28,2.4194e+006
OCB,13/05/2021 00:00:00,19.2,19.48,19.12,19.2,3.822e+006
OCB,14/05/2021 00:00:00,19.2,19.44,19.2,19.32,3.0018e+006
OCB,17/05/2021 00:00:00,19.32,20,19.32,19.84,5.9787e+006
OCB,18/05/2021 00:00:00,19.92,19.96,19.48,19.64,3.4246e+006
OCB,19/05/2021 00:00:00,19.64,19.76,19.36,19.68,3.0572e+006
OCB,20/05/2021 00:00:00,19.76,20.96,19.48,20.72,1.16012e+007
OCB,21/05/2021 00:00:00,20.8,21.6,20.8,21,8.3958e+006
OCB,24/05/2021 00:00:00,21.08,21.16,20.84,20.96,4.0841e+006
OCB,25/05/2021 00:00:00,20.88,21.4,20.68,21.2,6.7391e+006
OCB,26/05/2021 00:00:00,21.28,21.76,21.28,21.6,8.0735e+006
OCB,27/05/2021 00:00:00,21.6,22.4,21.6,21.76,8.9609e+006
OCB,28/05/2021 00:00:00,22,22.64,21.72,22.56,7.134e+006
OCB,31/05/2021 00:00:00,22.76,23.08,21.76,23.08,7.093e+006
OCB,01/06/2021 00:00:00,23.28,23.52,23.12,23.2,4.7592e+006
OCB,02/06/2021 00:00:00,22.72,23.2,22.64,23.04,6.5637e+006
OCB,03/06/2021 00:00:00,23.2,24.64,23.2,24.64,1.23179e+007
OCB,04/06/2021 00:00:00,24.72,26.28,24.68,25.84,9.2746e+006
OCB,07/06/2021 00:00:00,25.6,26.24,24.4,25.4,9.7943e+006
OCB,08/06/2021 00:00:00,24.8,25.6,23.68,23.68,9.9455e+006
OCB,09/06/2021 00:00:00,23.6,24.88,23.2,24.52,9.2497e+006
OCB,10/06/2021 00:00:00,24,24.8,23.8,23.88,4.0654e+006
OCB,11/06/2021 00:00:00,24.16,25.52,23.8,25.24,9.7482e+006
OCB,14/06/2021 00:00:00,25.56,25.56,24.48,24.68,6.2098e+006
OCB,15/06/2021 00:00:00,24.68,24.76,24.08,24.08,4.939e+006
OCB,16/06/2021 00:00:00,24.08,24.08,23.28,23.48,5.6335e+006
OCB,17/06/2021 00:00:00,23.04,24,23.04,23.96,3.9051e+006
OCB,18/06/2021 00:00:00,24.56,24.56,23.92,23.96,3.3271e+006
OCB,21/06/2021 00:00:00,23.6,23.92,23.44,23.48,3.5111e+006
OCB,22/06/2021 00:00:00,23.6,23.92,23.24,23.84,4.2613e+006
OCB,23/06/2021 00:00:00,23.92,24.16,23.64,23.8,2.5437e+006
OCB,24/06/2021 00:00:00,24.16,24.32,23.84,24,3.7962e+006
OCB,25/06/2021 00:00:00,24,24.08,23.84,24.08,1.9031e+006
OCB,28/06/2021 00:00:00,24.4,25.04,24.4,24.96,5.8526e+006
OCB,29/06/2021 00:00:00,25.52,25.52,24.64,24.84,4.436e+006
OCB,30/06/2021 00:00:00,24.88,24.92,24.48,24.56,3.046e+006
OCB,01/07/2021 00:00:00,24.64,24.8,24.16,24.72,3.8425e+006
OCB,02/07/2021 00:00:00,24.96,25.2,24.72,25.04,5.4999e+006
OCB,05/07/2021 00:00:00,24.96,25.44,24.84,25.4,6.9792e+006
OCB,06/07/2021 00:00:00,25.76,26.24,23.64,23.64,7.493e+006
OCB,07/07/2021 00:00:00,24.4,24.52,23.2,24.48,4.632e+006
OCB,08/07/2021 00:00:00,24.48,24.68,24,24.16,2.5073e+006
OCB,09/07/2021 00:00:00,23.84,24.24,23.36,23.56,3.7574e+006
OCB,12/07/2021 00:00:00,23.28,23.4,21.92,21.92,6.3162e+006
OCB,13/07/2021 00:00:00,22.32,22.4,21.56,22,2.6112e+006
OCB,14/07/2021 00:00:00,22,22,20.68,20.96,4.9382e+006
OCB,15/07/2021 00:00:00,20.88,21.92,20.8,21.92,2.0725e+006
OCB,16/07/2021 00:00:00,22.24,22.48,21.92,21.96,2.1945e+006
OCB,19/07/2021 00:00:00,21.32,21.52,20.8,21.16,4.1662e+006
OCB,20/07/2021 00:00:00,21.08,22,21.04,22,2.4752e+006
OCB,21/07/2021 00:00:00,22.4,22.4,21.92,22.24,3.386e+006
OCB,22/07/2021 00:00:00,22.76,22.84,22.4,22.84,4.2889e+006
OCB,23/07/2021 00:00:00,22.68,22.88,22.4,22.64,3.1238e+006
OCB,26/07/2021 00:00:00,22.6,22.72,22.16,22.68,2.4553e+006
OCB,27/07/2021 00:00:00,22.92,23,22.76,22.88,2.4094e+006
OCB,28/07/2021 00:00:00,23.12,23.6,22.96,23.6,3.8364e+006
OCB,29/07/2021 00:00:00,25.08,25.24,24.16,24.32,8.4262e+006
OCB,30/07/2021 00:00:00,24.16,24.4,23.92,24,5.5999e+006
OCB,02/08/2021 00:00:00,24,24.8,24,24.3,4.0121e+006
OCB,03/08/2021 00:00:00,24.5,25,24.35,24.65,2.7307e+006
OCB,04/08/2021 00:00:00,24.7,24.9,24.5,24.65,2.9359e+006
OCB,05/08/2021 00:00:00,24.7,24.75,24.45,24.7,2.5479e+006
OCB,06/08/2021 00:00:00,24.8,24.8,24.5,24.5,2.1968e+006
OCB,09/08/2021 00:00:00,24.5,24.75,24.1,24.7,3.7904e+006
OCB,10/08/2021 00:00:00,25,25.3,24.85,25.2,6.0168e+006
OCB,11/08/2021 00:00:00,25.4,25.45,25.15,25.2,4.1034e+006
OCB,12/08/2021 00:00:00,25,25.25,24.7,24.7,2.5966e+006
OCB,13/08/2021 00:00:00,24.7,24.75,24.1,24.6,2.6428e+006
OCB,16/08/2021 00:00:00,24.7,25.2,24.4,25.1,3.7751e+006
OCB,17/08/2021 00:00:00,25.5,25.5,24.9,25,3.5209e+006
OCB,18/08/2021 00:00:00,24.95,25.1,24.85,25,2.0308e+006
OCB,19/08/2021 00:00:00,24.9,24.95,24.7,24.8,2.2077e+006
OCB,20/08/2021 00:00:00,24.7,24.75,23.15,23.8,4.9723e+006
OCB,23/08/2021 00:00:00,23.25,23.5,22.6,22.6,4.3977e+006
OCB,24/08/2021 00:00:00,22.6,22.9,22.25,22.9,1.8722e+006
OCB,25/08/2021 00:00:00,23,23.1,22.75,23.1,858000
OCB,26/08/2021 00:00:00,23.1,23.2,22.7,22.7,1.0993e+006
OCB,27/08/2021 00:00:00,22.5,22.5,22.2,22.5,1.492e+006
OCB,30/08/2021 00:00:00,22.6,23.2,22.25,22.9,2.528e+006
OCB,31/08/2021 00:00:00,23.2,23.2,22.5,22.65,1.1634e+006
OCB,01/09/2021 00:00:00,22.6,22.7,22.5,22.6,1.0509e+006
OCB,06/09/2021 00:00:00,23,23,22.45,22.6,2.0126e+006
OCB,07/09/2021 00:00:00,22.8,23.4,22.75,23.3,2.9345e+006
OCB,08/09/2021 00:00:00,23.5,23.5,22.95,22.95,1.0913e+006
OCB,09/09/2021 00:00:00,22.95,23,22.65,22.95,1.3446e+006
OCB,10/09/2021 00:00:00,23,23.3,22.8,22.8,1.1387e+006
OCB,13/09/2021 00:00:00,22.75,22.8,22.55,22.55,1.2237e+006
OCB,14/09/2021 00:00:00,22.45,22.6,22.35,22.35,1.4675e+006
