Ticker,Date,Open,High,Low,Close,Volume
SHB,4/21/2009 00:00:00,5.21,5.31,4.86,5.31,769000
SHB,4/22/2009 00:00:00,5.55,5.55,5.55,5.55,424400
SHB,4/23/2009 00:00:00,5.93,5.93,5.93,5.93,682600
SHB,4/24/2009 00:00:00,6.21,6.28,5.55,5.83,2.0117e+006
SHB,4/27/2009 00:00:00,5.48,6.04,5.48,5.97,1.312e+006
SHB,4/28/2009 00:00:00,5.86,6,5.69,5.97,1.0341e+006
SHB,4/29/2009 00:00:00,5.97,5.97,5.86,5.9,931300
SHB,5/4/2009 00:00:00,6.24,6.35,6.14,6.35,2.1459e+006
SHB,5/5/2009 00:00:00,6.76,6.76,6.55,6.69,1.7396e+006
SHB,5/6/2009 00:00:00,6.55,6.97,6.31,6.35,814900
SHB,5/7/2009 00:00:00,6.83,6.9,6.45,6.79,1.1948e+006
SHB,5/8/2009 00:00:00,6.73,6.73,6.28,6.48,1.997e+006
SHB,5/11/2009 00:00:00,6.62,6.62,6.24,6.38,1.1465e+006
SHB,5/12/2009 00:00:00,6.38,6.48,6.14,6.42,1.1452e+006
SHB,5/13/2009 00:00:00,6.45,6.55,6.35,6.42,792100
SHB,5/14/2009 00:00:00,6.14,6.31,6,6.28,646100
SHB,5/15/2009 00:00:00,6.38,6.59,6.21,6.59,1.3431e+006
SHB,5/18/2009 00:00:00,6.59,6.59,6.45,6.52,1.4061e+006
SHB,5/19/2009 00:00:00,6.97,6.97,6.62,6.97,2.2395e+006
SHB,5/20/2009 00:00:00,7.28,7.38,6.97,7.35,1.5833e+006
SHB,5/21/2009 00:00:00,7.42,7.73,7.21,7.73,1.6424e+006
SHB,5/22/2009 00:00:00,7.83,7.93,7.24,7.59,1.2367e+006
SHB,5/25/2009 00:00:00,7.86,8.04,7.24,8.04,1.3499e+006
SHB,5/26/2009 00:00:00,8.52,8.52,8.04,8.48,1.4551e+006
SHB,5/27/2009 00:00:00,8.62,8.73,8.28,8.48,1.3093e+006
SHB,5/28/2009 00:00:00,8.45,8.45,8,8.04,1.3794e+006
