Ticker,Date,Open,High,Low,Close,Volume
VSC,1/10/2008 00:00:00,2.24055,2.2961,2.185,2.185,63590
VSC,1/11/2008 00:00:00,2.185,2.27759,2.185,2.22204,60040
VSC,1/14/2008 00:00:00,2.185,2.27759,2.12945,2.12945,28870
VSC,1/15/2008 00:00:00,2.0739,2.0739,2.03687,2.03687,8710
VSC,1/16/2008 00:00:00,2.03687,2.12945,2.03687,2.12945,24170
VSC,1/17/2008 00:00:00,2.12945,2.14797,2.05538,2.09242,27040
VSC,1/18/2008 00:00:00,2.11093,2.12945,2.09242,2.12945,18510
VSC,1/21/2008 00:00:00,2.12945,2.12945,2.03687,2.03687,27850
VSC,1/22/2008 00:00:00,1.9628,2.0739,1.94428,1.94428,30590
VSC,1/23/2008 00:00:00,1.87021,1.87021,1.8517,1.8517,23670
VSC,1/24/2008 00:00:00,1.8517,1.88873,1.76837,1.76837,41820
VSC,1/25/2008 00:00:00,1.79615,1.83318,1.77763,1.79615,23710
VSC,1/28/2008 00:00:00,1.87021,1.87021,1.8517,1.87021,42340
VSC,1/29/2008 00:00:00,1.9628,1.9628,1.9628,1.9628,1170
VSC,1/30/2008 00:00:00,2.05538,2.05538,2.05538,2.05538,260
VSC,1/31/2008 00:00:00,2.14797,2.14797,2.14797,2.14797,22480
VSC,2/1/2008 00:00:00,2.24055,2.24055,2.24055,2.24055,15470
VSC,2/12/2008 00:00:00,2.35166,2.35166,2.35166,2.35166,8490
VSC,2/13/2008 00:00:00,2.42572,2.42572,2.24055,2.33314,146090
VSC,2/14/2008 00:00:00,2.42572,2.44424,2.42572,2.44424,76170
VSC,2/15/2008 00:00:00,2.40721,2.55534,2.40721,2.55534,81380
VSC,2/18/2008 00:00:00,2.44424,2.44424,2.44424,2.44424,22300
VSC,2/19/2008 00:00:00,2.33314,2.40721,2.33314,2.35166,72820
VSC,2/20/2008 00:00:00,2.24055,2.35166,2.24055,2.24055,53480
VSC,2/21/2008 00:00:00,2.12945,2.12945,2.12945,2.12945,30660
VSC,2/22/2008 00:00:00,2.03687,2.03687,2.03687,2.03687,62780
VSC,2/25/2008 00:00:00,2.11093,2.12945,2.11093,2.12945,48970
VSC,2/26/2008 00:00:00,2.03687,2.03687,2.03687,2.03687,40020
VSC,2/27/2008 00:00:00,1.94428,2.0739,1.94428,1.94428,63030
VSC,2/28/2008 00:00:00,1.9628,1.9628,1.87021,1.90725,40500
VSC,2/29/2008 00:00:00,1.90725,1.90725,1.8517,1.8517,40020
VSC,3/3/2008 00:00:00,1.81466,1.81466,1.75911,1.75911,45940
VSC,3/4/2008 00:00:00,1.67579,1.67579,1.67579,1.67579,7560
VSC,3/5/2008 00:00:00,1.59246,1.59246,1.59246,1.59246,8730
VSC,3/6/2008 00:00:00,1.66653,1.66653,1.66653,1.66653,12550
VSC,3/7/2008 00:00:00,1.74985,1.74985,1.74985,1.74985,103810
VSC,3/10/2008 00:00:00,1.83318,1.83318,1.75911,1.77763,79070
VSC,3/11/2008 00:00:00,1.6943,1.8054,1.6943,1.6943,65280
VSC,3/12/2008 00:00:00,1.74059,1.75911,1.6943,1.74059,34470
VSC,3/13/2008 00:00:00,1.77763,1.77763,1.74059,1.75911,24120
VSC,3/14/2008 00:00:00,1.71282,1.74059,1.68504,1.68504,65610
VSC,3/17/2008 00:00:00,1.60172,1.61098,1.60172,1.60172,44800
VSC,3/18/2008 00:00:00,1.52765,1.52765,1.52765,1.52765,16800
VSC,3/19/2008 00:00:00,1.46284,1.51839,1.45358,1.45358,72570
VSC,3/20/2008 00:00:00,1.40729,1.44432,1.38877,1.38877,111310
VSC,3/21/2008 00:00:00,1.33322,1.361,1.33322,1.34248,78880
VSC,3/24/2008 00:00:00,1.27767,1.27767,1.27767,1.27767,93240
VSC,3/25/2008 00:00:00,1.22212,1.22212,1.22212,1.22212,89070
VSC,3/26/2008 00:00:00,1.27767,1.27767,1.21286,1.27767,59990
VSC,3/27/2008 00:00:00,1.28693,1.28693,1.28693,1.28693,15130
VSC,3/28/2008 00:00:00,1.28693,1.29619,1.28693,1.29619,120
VSC,3/31/2008 00:00:00,1.30545,1.30545,1.30545,1.30545,2020
VSC,4/1/2008 00:00:00,1.3147,1.3147,1.3147,1.3147,10020
VSC,4/2/2008 00:00:00,1.32396,1.32396,1.32396,1.32396,5320
VSC,4/3/2008 00:00:00,1.33322,1.33322,1.33322,1.33322,5010
VSC,4/4/2008 00:00:00,1.34248,1.34248,1.34248,1.34248,10
VSC,4/7/2008 00:00:00,1.361,1.361,1.361,1.361,5000
VSC,4/8/2008 00:00:00,1.37951,1.37951,1.34248,1.361,117780
VSC,4/9/2008 00:00:00,1.361,1.361,1.34248,1.34248,32590
VSC,4/10/2008 00:00:00,1.32396,1.32396,1.32396,1.32396,5450
VSC,4/11/2008 00:00:00,1.30545,1.30545,1.30545,1.30545,8070
VSC,4/16/2008 00:00:00,1.28693,1.28693,1.28693,1.28693,3220
VSC,4/17/2008 00:00:00,1.26841,1.30545,1.26841,1.30545,62840
VSC,4/18/2008 00:00:00,1.28693,1.30545,1.28693,1.28693,20260
VSC,4/21/2008 00:00:00,1.26841,1.26841,1.26841,1.26841,7360
VSC,4/22/2008 00:00:00,1.2499,1.2499,1.2499,1.2499,3050
VSC,4/23/2008 00:00:00,1.23138,1.23138,1.23138,1.23138,200
VSC,4/24/2008 00:00:00,1.21286,1.22212,1.21286,1.21286,39480
VSC,4/25/2008 00:00:00,1.2036,1.23138,1.19434,1.2036,27990
VSC,4/28/2008 00:00:00,1.18509,1.22212,1.18509,1.21286,32860
VSC,4/29/2008 00:00:00,1.23138,1.23138,1.19434,1.21286,21190
VSC,5/5/2008 00:00:00,1.2036,1.21286,1.19434,1.19434,12000
VSC,5/6/2008 00:00:00,1.17583,1.17583,1.17583,1.17583,3200
VSC,5/7/2008 00:00:00,1.15731,1.15731,1.15731,1.15731,60
VSC,5/8/2008 00:00:00,1.13879,1.13879,1.13879,1.13879,10
VSC,5/9/2008 00:00:00,1.12028,1.12028,1.12028,1.12028,20
VSC,5/12/2008 00:00:00,1.10176,1.10176,1.10176,1.10176,500
VSC,5/13/2008 00:00:00,1.08324,1.08324,1.08324,1.08324,10
VSC,5/14/2008 00:00:00,1.08324,1.08324,1.06473,1.06473,500
VSC,5/15/2008 00:00:00,1.04621,1.04621,1.04621,1.04621,10
VSC,5/16/2008 00:00:00,1.02769,1.02769,1.02769,1.02769,5190
VSC,5/19/2008 00:00:00,1.02769,1.02769,1.00917,1.00917,710
VSC,5/20/2008 00:00:00,0.990658,0.990658,0.990658,0.990658,10
VSC,5/21/2008 00:00:00,0.972141,0.972141,0.972141,0.972141,10
VSC,5/22/2008 00:00:00,0.962882,0.962882,0.962882,0.962882,2000
VSC,5/23/2008 00:00:00,0.944365,0.944365,0.944365,0.944365,1050
VSC,5/26/2008 00:00:00,0.925848,0.925848,0.925848,0.925848,520
VSC,5/30/2008 00:00:00,0.907331,0.907331,0.907331,0.907331,910
VSC,6/2/2008 00:00:00,0.890666,0.890666,0.890666,0.890666,30
VSC,6/3/2008 00:00:00,0.874001,0.874001,0.874001,0.874001,5010
VSC,6/4/2008 00:00:00,0.857336,0.857336,0.857336,0.857336,6170
VSC,6/5/2008 00:00:00,0.842152,0.842152,0.842152,0.842152,7020
VSC,6/6/2008 00:00:00,0.826597,0.826597,0.826597,0.826597,8400
VSC,6/9/2008 00:00:00,0.811043,0.811043,0.811043,0.811043,2010
VSC,6/10/2008 00:00:00,0.795489,0.795489,0.795489,0.795489,10
VSC,6/11/2008 00:00:00,0.779935,0.811043,0.779935,0.811043,43200
VSC,6/12/2008 00:00:00,0.826597,0.826597,0.826597,0.826597,22490
VSC,6/13/2008 00:00:00,0.842152,0.842152,0.842152,0.842152,4040
