<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
^UPCOM,20201103,63.1300,64.0100,62.9300,63.1400,12001909,63.1300,64.0100,62.9300,63.1400,0,0,0
^UPCOM,20201102,62.9500,63.1800,62.8300,63.0800,26357898,62.9500,63.1800,62.8300,63.0800,0,0,0
^UPCOM,20201030,62.7600,62.9800,62.5100,62.8547,46854694,62.7600,62.9800,62.5100,62.8547,0,0,0
^UPCOM,20201029,62.7200,62.8500,62.1700,62.7397,25557180,62.7200,62.8500,62.1700,62.7397,0,0,0
^UPCOM,20201028,63.3300,63.3300,62.4500,62.7316,24133830,63.3300,63.3300,62.4500,62.7316,0,0,0
^UPCOM,20201027,63.5800,63.6100,63.2000,63.3964,17960312,63.5800,63.6100,63.2000,63.3964,0,0,0
^UPCOM,20201026,63.9100,63.9900,63.3500,63.5734,22785135,63.9100,63.9900,63.3500,63.5734,0,0,0
^UPCOM,20201023,63.5300,63.9700,63.5300,63.9107,40421169,63.5300,63.9700,63.5300,63.9107,0,0,0
^UPCOM,20201022,63.7300,63.7300,63.3900,63.6434,27151208,63.7300,63.7300,63.3900,63.6434,0,0,0
^UPCOM,20201021,63.7200,63.8200,63.5200,63.7533,35419999,63.7200,63.8200,63.5200,63.7533,0,0,0
^UPCOM,20201020,63.8500,63.8900,63.3200,63.7126,36690441,63.8500,63.8900,63.3200,63.7126,0,0,0
^UPCOM,20201019,63.9200,64.2200,63.8300,63.9521,26047822,63.9200,64.2200,63.8300,63.9521,0,0,0
^UPCOM,20201016,63.4800,64.0100,63.4300,63.8515,39579252,63.4800,64.0100,63.4300,63.8515,0,0,0
^UPCOM,20201015,62.9800,63.5000,62.8800,63.4778,61806794,62.9800,63.5000,62.8800,63.4778,0,0,0
^UPCOM,20201014,63.4200,63.4200,62.6800,63.1327,40057518,63.4200,63.4200,62.6800,63.1327,0,0,0
^UPCOM,20201013,63.4300,63.4300,62.9800,63.4286,22177810,63.4300,63.4300,62.9800,63.4286,0,0,0
^UPCOM,20201012,64.0100,64.3100,63.2300,63.4716,35288538,64.0100,64.3100,63.2300,63.4716,0,0,0
^UPCOM,20201009,63.5200,64.0100,63.3900,64.0117,43516878,63.5200,64.0100,63.3900,64.0117,0,0,0
^UPCOM,20201008,64.0300,64.0300,62.9500,63.5329,30693803,64.0300,64.0300,62.9500,63.5329,0,0,0
^UPCOM,20201007,63.9500,64.1200,63.4900,63.9539,46843969,63.9500,64.1200,63.4900,63.9539,0,0,0
^UPCOM,20201006,62.8500,63.9100,62.8500,63.9054,38655243,62.8500,63.9100,62.8500,63.9054,0,0,0
^UPCOM,20201005,62.4800,62.8100,62.3700,62.8125,33145470,62.4800,62.8100,62.3700,62.8125,0,0,0
^UPCOM,20201002,62.4300,62.7700,61.6700,62.3517,68817244,62.4300,62.7700,61.6700,62.3517,0,0,0
^UPCOM,20201001,61.7300,62.4200,61.7300,62.4188,50209074,61.7300,62.4200,61.7300,62.4188,0,0,0
^UPCOM,20200930,61.4600,61.7800,61.3500,61.7265,33412485,61.4600,61.7800,61.3500,61.7265,0,0,0
^UPCOM,20200929,61.7800,61.9100,61.3900,61.5214,53161687,61.7800,61.9100,61.3900,61.5214,0,0,0
^UPCOM,20200928,61.2800,61.7800,61.2600,61.7782,33559452,61.2800,61.7800,61.2600,61.7782,0,0,0
^UPCOM,20200925,61.0400,61.2900,60.9600,61.2860,49109546,61.0400,61.2900,60.9600,61.2860,0,0,0
^UPCOM,20200924,61.0200,61.2100,60.8500,61.0016,33057634,61.0200,61.2100,60.8500,61.0016,0,0,0
^UPCOM,20200923,60.6600,61.0300,60.6600,60.9632,27678593,60.6600,61.0300,60.6600,60.9632,0,0,0
^UPCOM,20200922,60.6200,60.7200,60.3800,60.6586,41768499,60.6200,60.7200,60.3800,60.6586,0,0,0
^UPCOM,20200921,60.5900,60.8900,60.5100,60.7419,39817397,60.5900,60.8900,60.5100,60.7419,0,0,0
^UPCOM,20200918,59.8700,60.5900,59.7700,60.5913,56603626,59.8700,60.5900,59.7700,60.5913,0,0,0
^UPCOM,20200917,59.7500,60.0600,59.6300,59.8729,37388678,59.7500,60.0600,59.6300,59.8729,0,0,0
^UPCOM,20200916,59.5600,59.8000,59.5600,59.7593,32749221,59.5600,59.8000,59.5600,59.7593,0,0,0
^UPCOM,20200915,59.4600,59.7100,59.4500,59.5609,29276761,59.4600,59.7100,59.4500,59.5609,0,0,0
^UPCOM,20200914,59.0500,59.4900,59.0500,59.4149,35717909,59.0500,59.4900,59.0500,59.4149,0,0,0
^UPCOM,20200911,59.0500,59.2200,58.9100,59.0887,47893482,59.0500,59.2200,58.9100,59.0887,0,0,0
^UPCOM,20200910,58.8800,59.1000,58.8800,59.0335,23052765,58.8800,59.1000,58.8800,59.0335,0,0,0
^UPCOM,20200909,58.5800,58.8400,58.3300,58.8362,25282707,58.5800,58.8400,58.3300,58.8362,0,0,0
^UPCOM,20200908,58.7100,58.8600,58.5000,58.8157,23147288,58.7100,58.8600,58.5000,58.8157,0,0,0
^UPCOM,20200907,58.9300,59.0600,58.5800,58.6400,22755367,58.9300,59.0600,58.5800,58.6400,0,0,0
^UPCOM,20200904,58.9800,58.9800,58.4600,58.8901,37396994,58.9800,58.9800,58.4600,58.8901,0,0,0
^UPCOM,20200903,58.9500,59.2100,58.7500,58.9641,25883772,58.9500,59.2100,58.7500,58.9641,0,0,0
^UPCOM,20200901,58.8100,58.8800,58.5500,58.8003,24551364,58.8100,58.8800,58.5500,58.8003,0,0,0
^UPCOM,20200831,59.3200,59.4800,58.6800,58.8206,27339440,59.3200,59.4800,58.6800,58.8206,0,0,0
^UPCOM,20200828,59.0800,59.4100,59.0000,59.3274,38595512,59.0800,59.4100,59.0000,59.3274,0,0,0
^UPCOM,20200827,58.4500,59.0500,58.4500,59.0471,20053889,58.4500,59.0500,58.4500,59.0471,0,0,0
^UPCOM,20200826,58.2100,58.6100,58.1700,58.5223,30060901,58.2100,58.6100,58.1700,58.5223,0,0,0
^UPCOM,20200825,57.9900,58.2600,57.9500,58.1932,29253641,57.9900,58.2600,57.9500,58.1932,0,0,0
^UPCOM,20200824,57.4200,58.4500,57.4200,57.9818,35042079,57.4200,58.4500,57.4200,57.9818,0,0,0
^UPCOM,20200821,57.2800,57.4100,57.1900,57.3940,31058602,57.2800,57.4100,57.1900,57.3940,0,0,0
^UPCOM,20200820,57.1700,57.2800,57.0400,57.2404,19397997,57.1700,57.2800,57.0400,57.2404,0,0,0
^UPCOM,20200819,57.0800,57.1900,56.9500,57.1705,18247911,57.0800,57.1900,56.9500,57.1705,0,0,0
^UPCOM,20200818,56.8700,57.1300,56.7800,57.0860,34274640,56.8700,57.1300,56.7800,57.0860,0,0,0
^UPCOM,20200817,56.7300,56.8900,56.4600,56.8615,21861611,56.7300,56.8900,56.4600,56.8615,0,0,0
^UPCOM,20200814,56.8600,57.0100,56.6000,56.7395,29222298,56.8600,57.0100,56.6000,56.7395,0,0,0
^UPCOM,20200813,56.7700,57.0300,56.7400,56.8627,17778659,56.7700,57.0300,56.7400,56.8627,0,0,0
^UPCOM,20200812,56.5200,56.8600,56.4500,56.7806,25955791,56.5200,56.8600,56.4500,56.7806,0,0,0
^UPCOM,20200811,56.3200,56.6100,56.3200,56.5172,24623556,56.3200,56.6100,56.3200,56.5172,0,0,0
