<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ACL,20190618,36.35,36.35,35.40,35.60,23090,36.35,36.35,35.40,35.60,0,200,0
ACL,20190617,37.00,37.00,36.30,36.35,15740,37.00,37.00,36.30,36.35,0,0,0
ACL,20190614,37.20,37.30,37.00,37.00,10290,37.20,37.30,37.00,37.00,0,0,1300
ACL,20190613,37.50,37.50,37.00,37.00,4640,37.50,37.50,37.00,37.00,0,0,0
ACL,20190612,37.80,37.80,37.00,37.50,16720,37.80,37.80,37.00,37.50,0,20,0
ACL,20190611,38.00,38.00,37.00,37.80,17970,38.00,38.00,37.00,37.80,0,21800,300
ACL,20190610,37.60,38.25,37.35,37.35,45490,37.60,38.25,37.35,37.35,0,21800,300
ACL,20190607,37.00,38.15,37.00,38.10,20440,37.00,38.15,37.00,38.10,0,0,0
ACL,20190606,37.20,37.50,37.15,37.20,9860,37.20,37.50,37.15,37.20,0,0,2500
ACL,20190605,38.30,38.30,37.10,37.20,19950,38.30,38.30,37.10,37.20,0,3000,4500
ACL,20190604,37.90,37.90,36.10,37.50,44630,37.90,37.90,36.10,37.50,0,10040,4070
ACL,20190603,38.50,38.50,36.55,36.55,84190,38.50,38.50,36.55,36.55,0,4540,1200
ACL,20190531,39.80,39.80,38.20,38.50,51060,39.80,39.80,38.20,38.50,0,0,0
ACL,20190530,40.10,40.20,39.75,39.80,48980,40.10,40.20,39.75,39.80,0,500,0
ACL,20190529,40.75,40.95,40.20,40.40,140340,40.75,40.95,40.20,40.40,0,2100,0
ACL,20190528,41.00,41.00,40.25,40.55,101630,41.00,41.00,40.25,40.55,0,0,0
ACL,20190527,40.50,41.20,40.00,40.50,176510,40.50,41.20,40.00,40.50,0,0,930
ACL,20190524,40.95,41.00,40.00,40.00,59210,40.95,41.00,40.00,40.00,0,0,0
ACL,20190523,38.90,40.95,38.80,40.95,65600,38.90,40.95,38.80,40.95,0,0,880
ACL,20190522,39.00,39.40,38.90,39.00,15210,39.00,39.40,38.90,39.00,0,0,120
ACL,20190521,38.90,39.50,38.70,39.00,22610,38.90,39.50,38.70,39.00,0,0,0
ACL,20190520,39.40,39.60,38.85,39.00,50250,39.40,39.60,38.85,39.00,0,0,5380
ACL,20190517,40.30,40.30,39.00,39.40,42070,40.30,40.30,39.00,39.40,0,20,1620
ACL,20190516,40.00,40.30,39.70,39.70,28570,40.00,40.30,39.70,39.70,0,0,0
ACL,20190515,40.95,40.95,39.70,39.70,45190,40.95,40.95,39.70,39.70,0,0,0
ACL,20190514,40.60,40.95,40.00,40.05,42290,40.60,40.95,40.00,40.05,0,0,0
ACL,20190513,40.75,41.50,40.50,41.20,31860,40.75,41.50,40.50,41.20,0,0,1000
ACL,20190510,39.80,41.40,39.80,40.75,81140,39.80,41.40,39.80,40.75,0,0,11500
ACL,20190509,39.95,40.25,39.00,39.95,84720,39.95,40.25,39.00,39.95,0,0,0
ACL,20190508,40.00,40.80,39.25,39.95,41080,40.00,40.80,39.25,39.95,0,0,0
ACL,20190507,40.35,42.00,40.00,40.85,87900,40.35,42.00,40.00,40.85,0,21960,0
ACL,20190506,40.00,41.50,39.00,41.50,69940,40.00,41.50,39.00,41.50,0,0,3730
ACL,20190503,40.50,41.00,40.00,40.00,41520,40.50,41.00,40.00,40.00,0,0,0
ACL,20190502,42.95,42.95,40.55,41.00,57260,42.95,42.95,40.55,41.00,0,7710,0
ACL,20190426,41.10,43.00,41.10,42.00,61710,41.10,43.00,41.10,42.00,0,2000,3500
ACL,20190425,42.85,42.85,41.35,41.60,27650,42.85,42.85,41.35,41.60,0,0,480
ACL,20190424,41.00,42.40,41.00,42.00,37900,41.00,42.40,41.00,42.00,0,9990,0
ACL,20190423,41.00,41.00,40.05,41.00,29200,41.00,41.00,40.05,41.00,0,0,0
ACL,20190422,42.10,42.70,41.00,41.05,52170,42.10,42.70,41.00,41.05,0,0,0
ACL,20190419,40.00,43.00,40.00,42.10,77560,40.00,43.00,40.00,42.10,0,1320,1500
ACL,20190418,42.10,43.90,41.50,42.10,53280,42.10,43.90,41.50,42.10,0,0,2520
ACL,20190417,46.00,46.40,42.80,42.80,148020,46.00,46.40,42.80,42.80,0,1880,0
ACL,20190416,44.00,47.30,43.30,46.00,146350,44.00,47.30,43.30,46.00,0,21150,1000
ACL,20190412,41.00,44.60,40.60,44.50,149260,41.00,44.60,40.60,44.50,0,1500,5000
ACL,20190411,42.20,42.30,41.50,41.80,273190,42.20,42.30,41.50,41.80,0,1070,3880
ACL,20190410,39.55,39.55,39.40,39.55,109560,39.55,39.55,39.40,39.55,0,270,0
ACL,20190409,37.60,38.50,37.00,37.00,32590,37.60,38.50,37.00,37.00,0,8400,25460
