<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ACV,20200929,64.9000,67.4000,64.7000,66.3000,632509,64.9000,67.4000,64.7000,66.3000,0,202040,70450
ACV,20200928,63.3000,64.9000,63.2000,64.9000,409485,63.3000,64.9000,63.2000,64.9000,0,900,45200
ACV,20200925,62.5000,63.5000,62.5000,63.3000,231895,62.5000,63.5000,62.5000,63.3000,0,90,200
ACV,20200924,62.1000,63.0000,62.1000,62.8000,194603,62.1000,63.0000,62.1000,62.8000,0,47400,100
ACV,20200923,62.5000,62.5000,62.0000,62.4000,224037,62.5000,62.5000,62.0000,62.4000,0,68300,2550
ACV,20200922,62.1000,62.5000,61.6000,62.2000,205714,62.1000,62.5000,61.6000,62.2000,0,108700,200
ACV,20200921,62.0000,62.6000,58.5000,62.4000,321856,62.0000,62.6000,58.5000,62.4000,0,103000,40500
ACV,20200918,62.1000,62.3000,61.8000,62.0000,154295,62.1000,62.3000,61.8000,62.0000,0,97200,200
ACV,20200917,62.8000,62.8000,61.3000,62.4000,240518,62.8000,62.8000,61.3000,62.4000,0,50600,124800
ACV,20200916,62.1000,63.6000,62.1000,62.6000,175457,62.1000,63.6000,62.1000,62.6000,0,1400,400
ACV,20200915,62.3000,62.8000,61.0000,62.8000,367536,62.3000,62.8000,61.0000,62.8000,0,51000,0
ACV,20200914,61.6000,62.9000,61.6000,62.3000,214988,61.6000,62.9000,61.6000,62.3000,0,8658,2500
ACV,20200911,62.0000,62.0000,60.4000,61.3000,362037,62.0000,62.0000,60.4000,61.3000,0,3000,82200
ACV,20200910,58.5000,61.5000,58.5000,61.2000,735393,58.5000,61.5000,58.5000,61.2000,200000,464400,233800
ACV,20200909,58.1000,58.4000,57.1000,58.4000,183495,58.1000,58.4000,57.1000,58.4000,230000,85400,108200
ACV,20200908,57.0000,59.0000,57.0000,57.9000,172848,57.0000,59.0000,57.0000,57.9000,70000,85400,108200
ACV,20200907,58.0000,58.0000,56.5000,57.0000,341997,58.0000,58.0000,56.5000,57.0000,0,2800,237400
ACV,20200904,58.5000,58.5000,57.2000,57.8000,253879,58.5000,58.5000,57.2000,57.8000,0,11100,100040
ACV,20200903,58.4000,58.9000,58.2000,58.7000,132334,58.4000,58.9000,58.2000,58.7000,0,3200,7000
ACV,20200901,57.7000,58.2000,57.7000,58.1000,220088,57.7000,58.2000,57.7000,58.1000,211000,212100,214000
ACV,20200831,55.4000,58.3000,55.4000,58.0000,224354,55.4000,58.3000,55.4000,58.0000,0,1500,7100
ACV,20200828,55.5000,55.8000,55.0000,55.5000,114107,55.5000,55.8000,55.0000,55.5000,0,110,13000
ACV,20200827,55.5000,55.5000,54.6000,54.8000,181536,55.5000,55.5000,54.6000,54.8000,0,2800,118900
ACV,20200826,55.5000,55.5000,47.0000,55.2000,168880,55.5000,55.5000,47.0000,55.2000,200,2300,123300
ACV,20200825,55.5000,55.9000,55.0000,55.2000,202711,55.5000,55.9000,55.0000,55.2000,0,4700,118000
ACV,20200824,55.3000,56.0000,55.1000,55.2000,119018,55.3000,56.0000,55.1000,55.2000,0,736,60000
