<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ANV,20071207,18.8109,21.1143,18.8109,18.8109,410510
ANV,20071210,18.8109,19.5787,18.8109,19.5787,83910
ANV,20071211,19.5787,20.3465,19.5787,19.5787,91790
ANV,20071212,19.5787,19.5787,19.1948,19.3868,58970
ANV,20071213,19.3868,19.3868,18.4270,18.4270,79790
ANV,20071214,18.4270,18.6190,18.3310,18.3310,59800
ANV,20071217,18.3310,18.3310,17.6592,17.6592,46960
ANV,20071218,17.6592,17.6592,17.1794,17.3713,47530
ANV,20071219,17.3713,18.2351,17.3713,17.9472,54080
ANV,20071220,17.9472,18.1391,17.6592,17.6592,34730
ANV,20071221,17.6592,17.6592,17.4673,17.5633,30350
ANV,20071224,17.5633,17.6592,17.4673,17.4673,41060
ANV,20071225,17.4673,17.5633,17.2753,17.5633,81940
ANV,20071226,17.5632,17.6994,16.8241,17.6994,48650
ANV,20071227,17.6994,17.6994,17.3104,17.5049,69360
ANV,20071228,17.5049,17.6021,17.5049,17.5049,35830
ANV,20080102,17.5049,17.6994,17.1159,17.1159,27230
ANV,20080103,17.1159,17.1159,16.7269,17.1159,104800
ANV,20080104,17.1159,17.1159,16.8241,17.1159,59020
ANV,20080107,17.1159,17.1159,16.3379,16.4351,24710
ANV,20080108,16.4351,17.2131,16.1434,17.2131,75010
ANV,20080109,17.2131,17.2131,16.7269,17.2131,130910
ANV,20080110,17.2131,17.9911,16.8241,17.9911,202270
ANV,20080111,17.9911,18.2829,17.8939,17.8939,92930
ANV,20080114,17.8939,17.8939,17.2131,17.2131,43000
ANV,20080115,17.2131,17.5049,16.5324,16.5324,52150
ANV,20080116,16.5324,17.3104,16.5324,17.3104,49180
ANV,20080117,17.3104,17.5049,16.8241,16.9214,34360
ANV,20080118,16.9214,17.3104,16.7269,17.1159,33110
ANV,20080121,17.1159,17.1159,16.7269,16.7269,19830
ANV,20080122,16.7269,16.7269,16.5324,16.7269,29900
ANV,20080123,16.7269,16.7269,15.9489,16.0462,46850
ANV,20080124,16.0462,16.3379,15.8517,15.8517,37680
ANV,20080125,15.8517,16.1434,15.8517,16.0462,64210
ANV,20080128,16.0462,16.3379,16.0462,16.1434,82860
ANV,20080129,16.1434,16.5324,16.0462,16.5324,59660
ANV,20080130,16.5324,17.3104,16.5324,17.2131,167950
ANV,20080131,17.2131,17.2131,16.4351,16.4351,168790
ANV,20080201,16.4351,16.9214,16.4351,16.9214,67390
ANV,20080212,16.9214,17.2131,16.3379,16.5324,56190
ANV,20080213,16.5324,16.5324,16.3379,16.3379,37410
ANV,20080214,16.3379,16.7269,16.3379,16.3379,57250
ANV,20080215,16.3379,16.3379,16.1434,16.3379,29860
ANV,20080218,16.3379,16.3379,15.5599,15.5599,107840
ANV,20080219,15.5599,15.6572,15.3654,15.5599,85570
ANV,20080220,15.5599,15.5599,14.9764,15.1709,112540
ANV,20080221,15.1709,15.1709,14.4902,14.4902,79410
ANV,20080222,14.4902,14.4902,13.8094,13.9067,97210
ANV,20080225,13.9067,14.5874,13.9067,14.5874,52490
ANV,20080226,14.5874,14.5874,13.9067,13.9067,178520
ANV,20080227,13.9067,14.1984,13.4204,13.4204,58250
ANV,20080228,13.4204,13.7122,13.2259,13.4204,33750
ANV,20080229,13.4204,14.0039,13.0314,14.0039,233120
ANV,20080303,14.0039,14.0039,13.3232,13.4204,66340
ANV,20080304,13.4204,13.4204,12.8369,12.9342,207480
ANV,20080305,12.9342,12.9342,12.3507,12.3507,213560
ANV,20080306,12.3507,12.9342,12.3507,12.9342,3950
ANV,20080307,12.9342,13.5177,12.9342,13.5177,173780
ANV,20080310,13.5177,14.1012,13.4204,14.1012,194590
ANV,20080311,14.1012,14.1012,13.4204,13.4204,64100
ANV,20080312,13.4204,13.8094,13.1287,13.1287,46590
ANV,20080313,13.1287,13.4204,12.6424,13.1287,51230
ANV,20080314,13.1287,13.1287,12.6424,12.7397,27250
ANV,20080317,12.7397,12.7397,12.1562,12.1562,64380
ANV,20080318,12.1562,12.1562,11.5727,11.5727,97320
ANV,20080319,11.5727,12.0589,11.4754,12.0589,173220
ANV,20080320,12.0589,12.1562,11.4754,11.4754,21410
ANV,20080321,11.4754,11.4754,10.9892,10.9892,53550
ANV,20080324,10.9892,10.9892,10.5029,10.5029,38490
ANV,20080325,10.5029,10.5029,10.0167,10.0167,50210
ANV,20080326,10.0167,10.0167,9.5304,10.0167,129430
ANV,20080327,10.0167,10.1139,10.0167,10.1139,21300
ANV,20080328,10.1139,10.1336,10.1139,10.1336,12100
ANV,20080331,10.1336,10.2320,10.1336,10.2320,5900
ANV,20080401,10.2320,10.3304,10.2320,10.3304,9200
ANV,20080402,10.3304,10.4288,10.3304,10.4288,20
ANV,20080403,10.4288,10.5271,10.4288,10.5271,500
ANV,20080404,10.5271,10.6255,10.5271,10.6255,1020
ANV,20080407,10.6255,10.8223,10.6255,10.8223,18800
ANV,20080408,10.8223,11.0191,10.8223,11.0191,113040
ANV,20080409,11.0191,11.2158,11.0191,11.2158,215860
ANV,20080410,11.2158,11.4126,11.0191,11.1175,145490
ANV,20080411,11.1175,11.1175,10.9207,10.9207,65360
ANV,20080416,10.9207,11.1175,10.8223,11.1175,21190
ANV,20080417,11.1175,11.3142,10.9207,11.3142,45930
ANV,20080418,11.3142,11.5110,11.2158,11.5110,81150
ANV,20080421,11.5110,11.7078,11.3142,11.7078,91710
ANV,20080422,11.7078,11.7078,11.5110,11.6094,23130
ANV,20080423,11.6094,11.7078,11.4126,11.6094,102870
ANV,20080424,11.6094,11.8061,11.4126,11.6094,24220
ANV,20080425,11.6094,11.8061,11.6094,11.8061,41090
ANV,20080428,11.8061,12.0029,11.8061,12.0029,26980
ANV,20080429,12.0029,12.1997,12.0029,12.1997,120210
ANV,20080505,12.1997,12.3965,12.1997,12.3965,30140
ANV,20080506,12.3965,12.5932,12.3965,12.5932,8400
ANV,20080507,12.5932,12.7900,12.3965,12.7900,93790
ANV,20080508,12.7900,12.7900,12.5932,12.5932,50070
ANV,20080509,12.5932,12.5932,12.3965,12.3965,2950
ANV,20080512,12.3965,12.3965,12.1997,12.1997,500
ANV,20080513,12.1997,12.1997,12.0029,12.0029,20
ANV,20080514,12.0029,12.0029,11.8061,11.8061,28430
ANV,20080515,11.8061,11.8061,11.6094,11.6094,31900
ANV,20080516,11.6094,11.6094,11.4126,11.4126,116640
ANV,20080519,11.4126,11.6094,11.4126,11.5110,58870
ANV,20080520,11.5110,11.6094,11.3142,11.3142,35420
ANV,20080521,11.3142,11.3142,11.1175,11.1175,142720
ANV,20080522,11.1175,11.1175,10.9207,10.9207,59830
ANV,20080523,10.9207,10.9207,10.7239,10.8223,241850
ANV,20080526,10.8223,10.8223,10.6255,10.6255,3150
ANV,20080527,10.6255,10.6255,10.6255,10.6255,0
ANV,20080528,10.6255,10.6255,10.6255,10.6255,0
ANV,20080529,10.6255,10.6255,10.6255,10.6255,0
ANV,20080530,10.6255,10.6255,10.4288,10.4288,50470
ANV,20080602,10.4288,10.4288,10.2320,10.2320,550
ANV,20080603,10.2320,10.2320,10.0352,10.0352,100
ANV,20080604,10.0352,10.0352,9.8385,9.8385,14070
ANV,20080605,9.8385,9.8385,9.6417,9.6417,20
ANV,20080606,9.6417,9.6417,9.4646,9.4646,145120
ANV,20080609,9.4646,9.4646,9.2875,9.2875,5950
ANV,20080610,9.2875,9.2875,9.1104,9.1104,310
ANV,20080611,9.1104,9.2875,8.9333,9.2875,81530
ANV,20080612,9.2875,9.4449,9.2875,9.4449,114460
ANV,20080613,9.4449,9.6220,9.4449,9.6220,151850
ANV,20080616,9.6220,9.7991,9.6220,9.7991,17070
ANV,20080617,9.7991,9.9368,9.7991,9.9368,5920
ANV,20080618,9.9368,10.1336,9.7401,10.1336,172050
ANV,20080619,10.1336,10.1336,9.8385,9.8385,64170
ANV,20080620,9.8385,9.8385,9.5433,9.5433,14730
ANV,20080623,9.5433,9.8188,9.5433,9.8188,49790
ANV,20080624,9.8188,10.0352,9.5433,9.5433,3430
ANV,20080625,9.5433,9.8188,9.5433,9.8188,5300
ANV,20080626,9.8188,10.0352,9.8188,10.0352,94640
ANV,20080627,10.0352,10.3304,9.7401,9.7794,52600
ANV,20080630,9.7794,10.0352,9.5236,10.0352,27340
ANV,20080701,10.0352,10.3304,10.0352,10.3304,47920
ANV,20080702,10.3304,10.4288,10.2320,10.3304,18930
ANV,20080703,10.3304,10.6255,10.3304,10.6255,94480
ANV,20080704,10.6255,10.9207,10.6255,10.9207,21980
ANV,20080707,10.9207,11.2158,10.6255,10.6255,29020
ANV,20080708,10.6255,10.6255,10.3304,10.4288,28190
ANV,20080709,10.4288,10.4288,10.1336,10.1336,33270
ANV,20080710,10.1336,10.4288,9.8385,10.4288,123800
