<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BCG,20150716,11.5417,12.5909,11.3319,12.5210,2201970
BCG,20150717,12.5210,13.3604,12.3112,13.2904,1585500
BCG,20150720,13.2904,14.1997,13.2205,13.9899,1404650
BCG,20150721,13.9200,13.9200,13.0106,13.0106,163790
BCG,20150722,12.1013,12.1013,12.1013,12.1013,1860
BCG,20150723,11.2619,11.2619,11.2619,11.2619,42950
BCG,20150724,10.4925,10.4925,10.4925,10.4925,13570
BCG,20150727,9.7930,11.1920,9.7930,11.1919,2391150
BCG,20150728,11.2618,11.9614,11.1919,11.9614,1558070
BCG,20150729,11.9614,12.5210,11.6117,12.4510,1514120
BCG,20150730,12.4510,12.4510,11.6116,11.6116,408000
BCG,20150731,10.8422,11.4717,10.8422,11.0521,1143300
BCG,20150803,11.0521,11.0521,10.7723,10.9122,533980
BCG,20150804,10.9122,11.1920,10.7023,11.1919,705690
BCG,20150805,11.1919,11.4717,11.0520,11.1919,586940
BCG,20150806,11.1220,11.2618,11.0520,11.1919,557250
BCG,20150807,11.1919,11.2618,10.9121,11.1220,1098740
BCG,20150810,11.1220,11.3318,10.9821,11.0521,687310
BCG,20150811,11.0521,11.4018,10.9122,11.1919,912320
BCG,20150812,11.1919,11.3318,11.1220,11.1919,518400
BCG,20150813,11.1220,11.2618,10.9821,11.1919,568170
BCG,20150814,11.1919,11.3318,11.0520,11.1220,461220
BCG,20150817,11.1220,11.2619,10.9821,11.0521,448820
BCG,20150818,11.0521,11.1920,10.9822,11.1220,506950
BCG,20150819,11.0521,11.0521,10.8422,11.0521,496190
BCG,20150820,11.0521,11.1220,10.9122,11.0521,444010
BCG,20150821,11.0521,11.0521,10.7023,10.9122,667530
BCG,20150824,10.9122,10.9122,10.7023,10.9122,453690
BCG,20150825,10.9122,11.1220,10.7723,10.9821,478680
BCG,20150826,10.9821,11.1919,10.9122,11.1220,541340
BCG,20150827,11.1220,11.1919,11.0521,11.1220,470310
BCG,20150828,11.0521,11.2619,11.0521,11.1220,458230
BCG,20150831,11.1220,11.1919,11.0521,11.1220,229710
BCG,20150901,11.1220,11.1919,11.0521,11.1220,189700
BCG,20150903,11.1220,11.1919,11.0521,11.1919,153400
BCG,20150904,11.1220,11.1919,11.1220,11.1919,147730
BCG,20150907,11.1220,11.9614,11.1220,11.9614,1425810
BCG,20150908,12.5210,12.7308,12.2412,12.7308,1441980
BCG,20150909,12.9406,13.5702,12.7308,13.5702,2426490
BCG,20150910,13.5702,13.9899,13.0806,13.9200,1127060
BCG,20150911,13.9200,13.9899,13.4304,13.5702,638860
BCG,20150914,13.5702,13.6401,13.2904,13.4303,529530
BCG,20150915,13.4303,13.6401,13.2904,13.5003,545260
BCG,20150916,13.5003,13.5702,13.3604,13.5702,620410
BCG,20150917,13.5702,13.7101,13.4303,13.5702,706660
BCG,20150918,13.5702,13.7800,13.5702,13.7101,741730
BCG,20150921,13.7101,14.5495,13.6402,14.4796,1785330
BCG,20150922,14.4097,14.4097,13.6402,13.7101,715840
BCG,20150923,13.5702,13.7101,13.5003,13.6402,604100
BCG,20150924,13.5703,13.7101,13.3604,13.6402,616750
BCG,20150925,13.6402,13.7801,13.5003,13.5702,647680
BCG,20150928,13.5702,13.7101,13.4303,13.5003,722460
BCG,20150929,13.5003,13.6402,13.2905,13.5702,665180
BCG,20150930,13.5702,13.7800,13.5003,13.6402,741650
BCG,20151001,13.6402,13.7801,13.5703,13.7101,729890
BCG,20151002,13.7101,14.6195,13.5702,14.6195,2616250
BCG,20151005,14.7594,15.5988,14.4097,15.5988,2513710
BCG,20151006,15.5988,16.6480,14.5496,16.5081,3469410
BCG,20151007,15.3889,16.0884,15.3889,15.3889,2289730
BCG,20151008,14.3397,15.1791,14.3397,15.0392,3130190
BCG,20151009,14.6895,14.6895,13.9900,14.2697,1021150
BCG,20151012,14.1998,14.4096,14.0599,14.1298,1643480
BCG,20151013,14.1298,14.1298,13.5003,13.5702,984930
BCG,20151014,13.5702,13.7101,13.4303,13.5003,876030
BCG,20151015,13.5003,13.6402,13.3604,13.5702,939320
BCG,20151016,13.5702,13.7101,13.4303,13.5702,819850
BCG,20151019,13.5702,13.5702,13.2904,13.4303,800990
BCG,20151020,13.4303,13.5003,13.2904,13.5003,834450
BCG,20151021,13.5003,13.5702,13.3604,13.5003,815910
BCG,20151022,13.4304,13.7101,13.3604,13.5702,938120
BCG,20151023,13.5702,13.8500,13.5003,13.7101,970720
BCG,20151026,13.7101,13.9199,13.5702,13.5702,944760
BCG,20151027,13.5702,13.6401,13.2904,13.3604,885070
BCG,20151028,13.3604,13.5003,13.2905,13.3604,822770
BCG,20151029,13.3604,13.5003,13.2205,13.2205,694850
BCG,20151030,13.2205,13.2904,12.9407,13.0106,676050
BCG,20151102,13.0106,13.0806,12.6609,13.0806,1268400
BCG,20151103,13.0806,13.1505,13.0107,13.1505,719890
BCG,20151104,13.1505,13.5702,13.0806,13.0806,1039680
BCG,20151105,13.0806,13.1505,12.9407,13.0806,642420
BCG,20151106,13.0806,13.2904,12.8008,13.0806,1179060
BCG,20151109,13.0806,13.1505,12.9407,13.0806,810880
BCG,20151110,13.0806,13.0806,12.9407,12.9407,688110
BCG,20151111,12.9407,13.1505,12.7309,13.0106,1032850
BCG,20151112,13.0106,13.0806,12.9407,13.0806,824530
BCG,20151113,13.0806,13.1505,12.9407,13.0806,735410
BCG,20151116,13.0107,13.2205,12.9407,13.0806,773270
BCG,20151117,13.0806,13.2205,13.0107,13.0806,894500
BCG,20151118,13.0806,13.1505,12.9407,13.0106,837970
BCG,20151119,13.0106,13.9200,13.0106,13.9200,1744860
BCG,20151120,13.8501,14.3397,13.7102,13.9200,1867310
BCG,20151123,13.9200,14.1998,13.6402,13.7801,1416010
BCG,20151124,13.7102,13.7801,13.2904,13.2904,1010090
BCG,20151125,13.2904,13.4303,13.1505,13.2904,1034160
BCG,20151126,13.2904,13.3604,13.1505,13.3604,976060
BCG,20151127,13.3604,13.4303,13.2205,13.2205,782120
BCG,20151130,13.2205,13.3604,13.1506,13.2205,540920
BCG,20151201,13.2205,13.5003,13.2205,13.2904,576270
BCG,20151202,13.2904,13.5002,13.2205,13.3604,608710
BCG,20151203,13.3604,13.5003,13.2205,13.3604,503090
BCG,20151204,13.3604,13.5003,13.2905,13.3604,538610
BCG,20151207,13.2905,13.4303,13.2205,13.3604,346040
BCG,20151208,13.3604,13.5003,13.2205,13.4303,333780
BCG,20151209,13.3604,13.5002,13.3604,13.3604,496390
BCG,20151210,13.4303,13.5702,13.2905,13.4303,331780
