<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BID,20140124,19.0000,19.5000,18.5000,18.8000,8417060
BID,20140127,18.7000,18.8000,18.1000,18.4000,3240910
BID,20140206,18.2000,18.3000,17.6000,17.6000,959590
BID,20140207,17.4000,17.5000,16.5000,16.6000,2987600
BID,20140210,16.5000,17.2000,16.2000,17.0000,4052090
BID,20140211,17.2000,17.2000,16.9000,16.9000,1938480
BID,20140212,16.8000,16.9000,16.7000,16.8000,1176180
BID,20140213,16.8000,16.9000,16.6000,16.6000,2156140
BID,20140214,16.8000,17.0000,16.6000,16.8000,1489380
BID,20140217,16.9000,16.9000,16.6000,16.7000,1173560
BID,20140218,16.7000,16.7000,16.6000,16.6000,1861540
BID,20140219,16.7000,16.8000,16.5000,16.6000,2988120
BID,20140220,16.7000,17.2000,16.6000,16.9000,3243650
BID,20140221,16.8000,16.8000,16.7000,16.7000,903040
BID,20140224,16.8000,16.8000,16.6000,16.7000,833430
BID,20140225,16.6000,16.7000,16.5000,16.7000,1249150
BID,20140226,16.7000,16.9000,16.6000,16.7000,1399670
BID,20140227,16.7000,17.4000,16.7000,16.9000,3731900
BID,20140228,16.8000,17.0000,16.8000,17.0000,1154560
BID,20140303,16.9000,17.0000,16.7000,16.7000,954830
BID,20140304,16.6000,16.7000,16.5000,16.6000,1551740
BID,20140305,16.7000,16.8000,16.6000,16.6000,737090
BID,20140306,16.6000,16.7000,16.5000,16.6000,768340
BID,20140307,16.6000,16.7000,16.6000,16.6000,773450
BID,20140310,16.6000,16.8000,16.6000,16.7000,957770
BID,20140311,16.6000,16.7000,16.6000,16.6000,752790
BID,20140312,16.6000,16.7000,16.5000,16.5000,979430
BID,20140313,16.6000,16.6000,16.4000,16.5000,806950
BID,20140314,16.6000,16.7000,16.4000,16.6000,924510
BID,20140317,16.6000,16.7000,16.5000,16.6000,989350
BID,20140318,16.6000,16.9000,16.5000,16.8000,2171570
BID,20140319,16.9000,17.4000,16.9000,17.4000,5624790
BID,20140320,17.5000,18.0000,17.5000,17.7000,3325420
BID,20140321,17.5000,17.8000,17.5000,17.5000,1236010
BID,20140324,17.7000,18.0000,17.6000,17.6000,2498010
BID,20140325,17.7000,17.7000,17.2000,17.2000,2051430
BID,20140326,17.3000,17.3000,16.7000,16.8000,2030920
BID,20140327,16.9000,16.9000,16.7000,16.8000,1026180
BID,20140328,16.8000,17.0000,16.8000,17.0000,713160
BID,20140331,17.1000,17.1000,16.8000,16.8000,831760
BID,20140401,16.9000,16.9000,16.6000,16.7000,1701600
BID,20140402,16.7000,16.8000,16.5000,16.7000,1217110
BID,20140403,16.7000,16.9000,16.6000,16.8000,519700
BID,20140404,16.9000,16.9000,16.7000,16.9000,608360
BID,20140407,16.8000,16.9000,16.7000,16.8000,441790
BID,20140408,16.8000,16.9000,16.7000,16.7000,515610
BID,20140410,16.7000,16.8000,16.7000,16.7000,485550
BID,20140411,16.6000,16.7000,16.5000,16.6000,670380
BID,20140414,16.7000,16.8000,16.6000,16.7000,414100
