<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BMI,20061128,71.0000,80.0000,70.0000,74.1000,70400
BMI,20061129,79.0000,81.0000,75.0000,78.0000,45500
BMI,20061130,81.5000,84.5000,81.0000,82.6000,5800
BMI,20061201,85.0000,85.0000,83.1000,84.4000,6600
BMI,20061204,80.0000,85.0000,79.0000,81.7000,13700
BMI,20061205,81.0000,81.0000,74.0000,77.4000,9600
BMI,20061206,73.0000,73.0000,69.7000,69.8000,6600
BMI,20061207,68.0000,69.0000,62.9000,69.0000,13500
BMI,20061208,66.0000,71.0000,66.0000,70.5000,14200
BMI,20061211,75.0000,75.0000,72.5000,73.7000,11900
BMI,20061212,81.0000,81.0000,77.5000,79.2000,8700
BMI,20061213,80.0000,80.0000,77.5000,79.1000,8000
BMI,20061214,78.0000,80.5000,78.0000,80.1000,43000
BMI,20061215,80.0000,80.0000,78.0000,79.5000,75300
BMI,20061218,79.9000,80.0000,78.0000,79.9000,18400
BMI,20061219,80.0000,82.0000,80.0000,82.0000,30200
BMI,20061220,82.5000,86.0000,82.0000,86.0000,72800
BMI,20061221,84.0000,86.5000,83.9000,84.0000,156800
BMI,20061222,76.8000,84.0000,76.8000,80.7000,8800
BMI,20061225,80.0000,85.0000,78.5000,85.0000,13300
BMI,20061226,85.0000,86.0000,84.0000,85.0000,26900
BMI,20061227,93.5000,93.5000,88.0000,92.5000,12500
BMI,20061228,93.5000,97.5000,92.0000,94.3000,24400
BMI,20061229,103.7000,103.7000,100.0000,103.7000,31000
BMI,20070102,113.4000,113.4000,113.4000,113.4000,2800
BMI,20070103,124.7000,124.7000,124.7000,124.7000,7800
BMI,20070104,137.1000,137.1000,137.1000,137.1000,18300
BMI,20070105,150.0000,150.8000,137.0000,144.8000,21500
BMI,20070108,130.4000,150.0000,130.4000,148.6000,96900
BMI,20070109,148.5000,154.0000,140.0000,148.6000,53100
BMI,20070110,155.0000,155.0000,150.0000,150.0000,22900
BMI,20070111,153.0000,155.0000,150.0000,150.0000,13000
BMI,20070112,137.3000,153.0000,137.3000,140.0000,67500
BMI,20070115,163.7000,163.7000,163.0000,163.0000,104400
BMI,20070116,179.9000,179.9000,162.9000,163.0000,35500
BMI,20070117,163.0000,163.0000,149.7000,149.7000,33500
BMI,20070118,150.0000,151.5000,140.0000,151.5000,99700
BMI,20070119,133.2000,152.0000,133.2000,145.0000,16600
BMI,20070122,141.0000,150.0000,138.0000,141.0000,97000
BMI,20070123,146.0000,148.0000,141.0000,144.5000,65500
BMI,20070124,131.4000,144.0000,131.4000,131.4000,27700
BMI,20070125,125.0000,132.0000,119.4000,122.0000,78300
BMI,20070126,125.0000,139.5000,125.0000,139.5000,54700
BMI,20070129,29.1753,29.8260,28.7555,29.8260,56000
BMI,20070130,30.8545,32.3237,30.6446,32.3237,97600
BMI,20070131,34.4227,35.0524,34.4227,34.9474,61500
BMI,20070201,35.8919,37.7810,33.5831,33.5831,13600
BMI,20070202,35.2623,35.2623,31.7150,32.9534,7900
BMI,20070205,31.9040,31.9040,30.4347,31.4842,22300
BMI,20070206,30.6656,31.4842,28.9654,29.8050,39700
BMI,20070207,29.8260,30.4347,29.3852,29.8050,30900
BMI,20070208,30.4347,30.4347,28.3357,29.1753,18200
BMI,20070209,29.5951,32.1138,29.3852,30.4347,29100
BMI,20070212,31.4842,33.5831,31.4842,31.6941,36800
BMI,20070213,32.5336,33.5831,32.5336,32.5336,30300
BMI,20070214,33.1843,34.6326,33.1843,34.6326,48000
BMI,20070215,35.6821,37.1933,34.9474,37.1933,39800
BMI,20070226,40.3627,40.3627,40.2997,40.3627,42700
BMI,20070227,44.3717,44.3717,43.6580,44.0778,24600
BMI,20070228,48.4856,48.4856,44.0778,44.2877,24500
BMI,20070301,44.0778,45.1273,40.5726,40.5726,40800
BMI,20070302,39.8799,39.8799,37.5291,37.5291,44300
BMI,20070305,38.2008,41.9159,37.7810,41.6640,102100
BMI,20070306,44.3927,44.4556,36.7315,36.7315,70100
BMI,20070307,41.5591,44.0778,37.5711,41.9789,67200
BMI,20070308,42.3987,43.0284,41.9789,42.8185,40800
BMI,20070309,43.0284,44.0778,43.0284,43.0284,55300
BMI,20070312,43.6580,45.3372,43.0284,43.0284,30500
BMI,20070313,45.1273,45.1273,40.0898,40.0898,18700
BMI,20070314,39.0404,40.5096,37.4032,40.5096,75600
BMI,20070315,38.8305,39.8799,36.7315,39.8799,30600
BMI,20070316,38.8305,42.9024,38.8305,42.9024,17800
BMI,20070319,39.8799,43.8679,39.2503,42.6086,41200
BMI,20070320,41.9789,42.8185,37.2143,41.5381,24800
BMI,20070321,41.9789,41.9789,40.9294,41.1393,4900
BMI,20070322,41.9789,43.0284,40.2997,40.9294,5900
BMI,20070323,40.9294,40.9294,39.8799,39.8799,7600
BMI,20070326,40.5096,40.5096,36.7315,37.7810,4800
BMI,20070327,36.1018,36.1018,34.0029,35.4722,10500
BMI,20070328,32.5336,38.2008,32.5336,38.2008,14400
BMI,20070329,39.4602,39.4602,37.7810,38.4107,12500
BMI,20070330,34.9894,39.2503,34.9894,37.7810,13300
BMI,20070402,38.8305,38.8305,34.6326,34.6326,4500
BMI,20070403,36.7315,36.7315,33.5831,35.1573,5800
BMI,20070404,34.9474,37.7810,34.8845,37.5711,8900
BMI,20070405,36.1018,36.7315,36.1018,36.1018,2600
BMI,20070406,36.2068,37.5711,36.1438,37.2563,23100
BMI,20070409,37.2563,37.7600,35.6821,37.6131,9800
BMI,20070410,36.7315,37.6760,36.7315,36.7525,9500
BMI,20070411,36.3117,37.1513,36.2907,36.9414,4800
BMI,20070412,36.7315,37.3612,35.8919,36.1228,5500
BMI,20070413,36.7315,36.7315,36.3117,36.6266,23400
BMI,20070416,35.6821,35.6821,32.8695,33.5831,6500
BMI,20070417,33.5831,33.5831,31.4842,31.5052,2000
BMI,20070418,32.5336,34.8215,32.5336,34.8215,9300
BMI,20070419,36.1018,36.1018,33.5831,33.5831,5000
BMI,20070420,33.5831,34.4227,31.4842,31.4842,9000
BMI,20070423,31.9040,31.9040,31.4842,31.4842,5500
BMI,20070424,31.2743,31.4842,31.2743,31.4842,3700
BMI,20070425,32.5336,32.5336,30.0149,31.4842,3700
BMI,20070502,32.5126,32.5126,31.4842,31.4842,3200
BMI,20070503,31.4842,31.4842,29.8050,29.8260,6000
BMI,20070504,30.4347,30.4347,28.9864,29.3852,10500
BMI,20070507,30.4557,30.5396,29.8050,29.8050,1000
BMI,20070508,31.4842,31.4842,30.4767,30.4767,7700
BMI,20070509,31.9040,34.0449,30.8545,34.0449,26200
BMI,20070510,32.9534,35.8710,32.9534,35.0943,13300
BMI,20070511,33.3732,35.2623,32.7435,33.1633,10800
BMI,20070514,33.1633,33.5831,31.6941,32.3028,14600
BMI,20070515,32.5336,33.5831,32.3237,33.5831,20100
BMI,20070516,33.2053,33.3732,33.1633,33.2263,22000
BMI,20070517,32.9534,33.2263,31.9040,33.2263,27800
BMI,20070518,32.5336,33.5831,32.5336,33.1633,13500
BMI,20070521,34.0029,34.0029,32.5336,32.7435,26100
BMI,20070522,33.1633,33.3732,32.5336,32.7645,52600
BMI,20070523,33.1633,33.1633,32.5336,32.5336,44900
BMI,20070524,32.9534,32.9534,31.4842,31.9249,13500
BMI,20070525,31.8830,32.3237,30.5396,31.4842,12100
