<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BMP,20181107,57.50,57.90,56.70,56.70,41190,57.50,57.90,56.70,56.70,0,1210,20
BMP,20181106,56.80,58.50,56.10,57.70,98140,56.80,58.50,56.10,57.70,0,3210,0
BMP,20181105,56.30,56.80,55.50,56.80,36820,56.30,56.80,55.50,56.80,0,0,30
BMP,20181102,55.40,56.90,55.40,56.30,45870,55.40,56.90,55.40,56.30,0,1700,2530
BMP,20181101,57.00,57.50,55.10,55.40,48170,57.00,57.50,55.10,55.40,0,1150,300
BMP,20181031,57.00,57.00,56.10,57.00,99520,57.00,57.00,56.10,57.00,0,1130,7200
BMP,20181030,56.30,57.00,55.80,55.90,70590,56.30,57.00,55.80,55.90,0,70,730
BMP,20181029,56.50,57.40,56.10,56.30,27780,56.50,57.40,56.10,56.30,0,1040,550
BMP,20181026,55.70,57.80,55.70,56.50,123510,55.70,57.80,55.70,56.50,0,12640,1460
BMP,20181025,54.40,56.50,54.40,55.70,148490,54.40,56.50,54.40,55.70,0,700,800
BMP,20181024,56.60,58.50,56.60,56.60,106360,56.60,58.50,56.60,56.60,0,100,4000
BMP,20181023,59.00,59.30,55.50,57.60,158920,59.00,59.30,55.50,57.60,0,8690,500
BMP,20181022,61.30,62.40,59.00,59.00,96530,61.30,62.40,59.00,59.00,0,29590,1380
BMP,20181019,61.30,62.60,61.30,61.70,162180,61.30,62.60,61.30,61.70,0,43000,3000
BMP,20181018,63.10,64.30,62.80,62.80,67150,63.10,64.30,62.80,62.80,0,300,30
BMP,20181017,62.40,64.50,61.20,64.40,333550,62.40,64.50,61.20,64.40,0,210980,5980
BMP,20181016,60.00,60.90,60.00,60.80,71350,60.00,60.90,60.00,60.80,0,15600,0
BMP,20181015,60.60,61.10,60.00,61.00,170180,60.60,61.10,60.00,61.00,0,60850,60
BMP,20181012,55.60,60.50,55.60,60.50,207040,55.60,60.50,55.60,60.50,0,61150,1270
BMP,20181011,58.60,60.70,58.60,58.60,480930,58.60,60.70,58.60,58.60,0,5990,5290
BMP,20181010,66.60,67.40,62.00,63.00,298700,66.60,67.40,62.00,63.00,0,5990,5290
BMP,20181009,68.00,68.30,66.60,66.60,154020,68.00,68.30,66.60,66.60,0,34620,400
BMP,20181008,67.30,68.90,66.60,68.00,259660,67.30,68.90,66.60,68.00,0,78070,22010
BMP,20181005,67.60,68.90,66.60,67.60,298860,67.60,68.90,66.60,67.60,0,58090,13070
BMP,20181004,68.50,69.00,67.60,67.60,144510,68.50,69.00,67.60,67.60,0,32000,12940
BMP,20181003,66.00,69.20,66.00,68.50,574550,66.00,69.20,66.00,68.50,0,312300,31170
BMP,20181002,62.80,66.00,62.70,65.90,622110,62.80,66.00,62.70,65.90,0,95720,30
BMP,20181001,63.50,64.50,62.40,62.80,260510,63.50,64.50,62.40,62.80,0,91720,30
BMP,20180928,64.00,64.00,63.50,63.50,154730,64.00,64.00,63.50,63.50,0,67200,0
BMP,20180927,64.00,64.40,63.60,63.90,221320,64.00,64.40,63.60,63.90,0,73630,1030
BMP,20180926,62.20,64.60,62.10,63.80,553530,62.20,64.60,62.10,63.80,0,168540,27540
BMP,20180925,62.60,63.30,61.00,62.20,409110,62.60,63.30,61.00,62.20,0,168040,0
