<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BVH,20090625,32.0063,32.0063,31.1750,32.0063,1542160
BVH,20090626,33.5997,33.5997,33.2533,33.5997,841370
BVH,20090629,34.9853,34.9853,34.9853,34.9853,257150
BVH,20090630,36.7172,36.7172,36.7172,36.7172,274410
BVH,20090701,34.9853,35.6780,34.9853,34.9853,1754070
BVH,20090702,33.5997,34.2925,33.2533,33.2533,1917580
BVH,20090703,31.5906,33.2533,31.5906,33.2533,914150
BVH,20090706,33.2533,34.6389,32.9069,34.6389,315150
BVH,20090707,33.1148,33.9461,32.9070,32.9070,456250
BVH,20090708,31.8678,32.9070,31.5907,32.1449,212950
BVH,20090709,33.7383,33.7383,31.5214,32.1449,341400
BVH,20090710,31.6600,31.8678,30.5515,30.5515,313630
BVH,20090713,29.3045,29.4431,29.0274,29.0274,178050
BVH,20090714,27.7111,27.7111,27.6418,27.6418,294920
BVH,20090715,27.6418,28.4039,27.0183,27.3647,389850
BVH,20090716,28.6117,28.6117,27.3647,27.7804,481640
BVH,20090717,28.0575,28.0575,26.8798,27.5033,183290
BVH,20090720,26.3256,26.3256,26.1870,26.1870,222380
BVH,20090721,25.6328,26.1870,25.3557,25.6328,359190
BVH,20090722,25.6328,25.9792,25.4250,25.4942,241660
BVH,20090723,24.8014,26.7412,24.7321,26.7412,313860
BVH,20090724,28.0575,28.0575,28.0575,28.0575,417250
BVH,20090727,29.0967,29.4431,26.6719,29.3045,555230
BVH,20090728,28.0575,29.0274,27.9189,28.0575,359000
BVH,20090729,28.0575,28.2653,27.7111,27.7111,254170
BVH,20090730,26.9490,27.7111,26.8105,27.3647,235080
BVH,20090731,28.6117,28.6810,28.1960,28.6810,417340
BVH,20090803,29.0967,29.4431,28.4039,28.6810,182570
BVH,20090804,29.7202,29.7895,29.1659,29.7895,323950
BVH,20090805,29.2353,30.3437,29.0967,30.3437,305330
BVH,20090806,29.7895,30.4823,29.0967,29.0967,446560
BVH,20090807,29.0967,29.0967,27.7111,28.4039,347350
BVH,20090810,28.7503,29.0967,28.4039,28.8196,113330
BVH,20090811,28.7503,28.8196,27.7112,28.4732,409350
BVH,20090812,28.8196,28.8196,27.9883,28.5425,380250
BVH,20090813,29.7202,29.7202,28.0576,28.9581,597270
BVH,20090814,28.8195,29.0967,28.2653,28.5425,147140
BVH,20090817,28.1961,28.4039,28.0575,28.0575,152850
BVH,20090818,27.3647,27.8497,27.3647,27.8497,130530
BVH,20090819,27.8497,27.9883,27.0184,27.8497,559420
BVH,20090820,27.8497,27.8497,27.3647,27.3647,108680
BVH,20090821,27.3647,28.3346,26.8105,26.8798,675640
BVH,20090824,27.3647,28.1961,27.0876,28.1961,222890
BVH,20090825,29.5817,29.5817,29.4431,29.5816,930330
BVH,20090826,29.6509,29.7894,28.4039,28.6117,344830
BVH,20090827,27.8496,28.4039,27.7111,27.7111,637930
BVH,20090828,28.0575,28.2653,27.8497,28.1268,354410
BVH,20090831,28.4039,28.7503,27.8497,28.3346,322850
BVH,20090901,28.0575,28.1961,27.9189,28.1961,279830
BVH,20090902,28.1961,28.1961,28.1961,28.1961,0
BVH,20090903,28.1961,28.1961,26.8798,27.0876,753910
BVH,20090904,27.3647,27.5725,27.0183,27.0183,264790
BVH,20090907,25.7020,26.5334,25.7020,25.7021,898220
BVH,20090908,25.9099,26.3256,25.9099,26.2563,271580
BVH,20090909,26.2563,26.3256,25.6328,25.6328,375160
BVH,20090910,25.4942,25.6328,25.3557,25.3557,265780
BVH,20090911,25.3557,25.6328,25.2864,25.3557,274600
BVH,20090914,25.4250,25.9792,25.2864,25.6328,248530
BVH,20090915,25.6328,25.7021,25.3557,25.4250,210260
BVH,20090916,25.6328,25.9792,25.4250,25.8406,371520
BVH,20090917,25.7713,26.2563,25.5635,25.5635,236600
BVH,20090918,25.6328,25.9792,25.3557,25.9792,343040
BVH,20090921,26.5334,26.6027,26.1870,26.6027,507520
BVH,20090922,26.2563,26.3256,25.6328,25.9099,180370
BVH,20090923,26.1870,26.1870,25.7021,25.7021,215620
BVH,20090924,25.3557,25.6328,25.3557,25.3557,201860
BVH,20090925,25.3557,25.6328,25.0093,25.4942,302150
BVH,20090928,25.4249,25.4942,24.9400,25.0093,282320
BVH,20090929,24.9400,25.4942,24.8015,25.4942,350860
BVH,20090930,25.4942,26.4641,24.8014,26.4641,610700
BVH,20091001,25.9099,25.9792,25.2171,25.2171,160910
BVH,20091002,24.1779,24.6629,23.9701,23.9701,327430
BVH,20091005,23.9701,24.5243,23.2080,23.3466,243110
BVH,20091006,23.9008,24.1087,23.2773,23.4852,126460
BVH,20091007,24.1780,24.3858,23.9009,24.1087,211180
BVH,20091008,24.2473,24.2473,23.8316,24.2472,192390
BVH,20091009,24.8014,24.8014,24.2472,24.3858,201850
BVH,20091012,24.8015,24.8707,24.3858,24.6629,277940
BVH,20091013,24.3858,24.5243,24.1087,24.2472,256480
BVH,20091014,24.5243,24.6629,24.2472,24.5936,351080
BVH,20091015,25.2864,25.2864,24.3858,24.6629,343180
BVH,20091016,24.4551,24.6629,24.2472,24.2472,302880
BVH,20091019,24.2472,24.2472,24.0394,24.1780,245590
BVH,20091020,24.4551,24.5244,24.1087,24.1087,241200
BVH,20091021,24.1087,24.6629,23.9008,23.9008,503150
BVH,20091022,24.1779,24.2472,24.1086,24.2472,324820
