<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
C32,20210804,23.5000,24.0000,23.4000,23.5000,37000,23.5000,24.0000,23.4000,23.5000,0,300,2900
C32,20210803,24.1500,24.1500,23.4000,23.6000,31500,24.1500,24.1500,23.4000,23.6000,0,0,4100
C32,20210802,22.6000,24.1500,22.5000,23.5000,250500,22.6000,24.1500,22.5000,23.5000,0,0,4100
C32,20210730,22.5000,22.7000,22.3500,22.6000,55400,22.5000,22.7000,22.3500,22.6000,0,0,3500
C32,20210729,22.5000,22.8000,22.4000,22.5000,65100,22.5000,22.8000,22.4000,22.5000,0,0,1600
C32,20210728,22.5500,22.5500,22.3000,22.5000,44000,22.5500,22.5500,22.3000,22.5000,0,0,0
C32,20210727,22.5000,22.6000,22.0000,22.3000,45300,22.5000,22.6000,22.0000,22.3000,0,600,6300
C32,20210726,22.8500,22.9000,22.1500,22.5000,8300,22.8500,22.9000,22.1500,22.5000,0,0,1200
C32,20210723,22.4500,22.7000,22.4500,22.5500,48300,22.4500,22.7000,22.4500,22.5500,0,0,4600
C32,20210722,22.1500,22.4500,21.9000,22.4500,79800,22.1500,22.4500,21.9000,22.4500,0,0,42200
C32,20210721,22.4000,22.4000,22.1000,22.2500,7300,22.4000,22.4000,22.1000,22.2500,0,0,0
C32,20210720,21.9000,22.4000,21.8000,22.4000,39400,21.9000,22.4000,21.8000,22.4000,0,0,300
C32,20210719,22.3000,22.3000,21.9000,22.0000,80200,22.3000,22.3000,21.9000,22.0000,0,400,13500
C32,20210716,22.5000,22.5000,22.4000,22.5000,16400,22.5000,22.5000,22.4000,22.5000,0,0,1000
C32,20210715,22.5500,22.5500,22.0000,22.4500,99200,22.5500,22.5500,22.0000,22.4500,0,2500,90900
C32,20210714,22.3000,22.4500,22.1000,22.3000,33800,22.3000,22.4500,22.1000,22.3000,0,0,500
C32,20210713,22.0000,22.1500,22.0000,22.1500,18700,22.0000,22.1500,22.0000,22.1500,0,2300,0
C32,20210712,23.1000,23.1000,21.9000,22.0000,116400,23.1000,23.1000,21.9000,22.0000,0,1500,35900
C32,20210709,23.4000,23.4000,22.5000,23.0000,119800,23.4000,23.4000,22.5000,23.0000,0,500,2900
C32,20210708,23.4000,23.7000,23.3500,23.4000,47300,23.4000,23.7000,23.3500,23.4000,0,1100,4200
C32,20210707,23.6000,23.7000,23.3000,23.4000,98500,23.6000,23.7000,23.3000,23.4000,0,1600,107900
C32,20210706,24.1000,24.2000,23.5500,23.7500,149400,24.1000,24.2000,23.5500,23.7500,0,0,0
C32,20210705,24.4000,24.4000,24.1000,24.3000,43600,24.4000,24.4000,24.1000,24.3000,0,100,3900
C32,20210702,24.5000,24.5500,24.1500,24.4000,97500,24.5000,24.5500,24.1500,24.4000,0,0,0
C32,20210701,24.6000,24.6000,24.4000,24.5000,36600,24.6000,24.6000,24.4000,24.5000,0,200,2500
C32,20210630,24.5500,24.6000,24.5000,24.5500,35100,24.5500,24.6000,24.5000,24.5500,0,700,0
C32,20210629,24.7000,24.7000,24.5500,24.5500,138100,24.7000,24.7000,24.5500,24.5500,0,1600,0
C32,20210628,25.0000,25.0000,24.6000,24.8000,61500,25.0000,25.0000,24.6000,24.8000,0,0,0
C32,20210625,24.8000,24.9000,24.7000,24.9000,71000,24.8000,24.9000,24.7000,24.9000,0,0,600
C32,20210624,25.0000,25.0000,24.8500,24.9000,116000,25.0000,25.0000,24.8500,24.9000,0,5600,8000
C32,20210623,25.4000,25.4000,24.7000,25.4000,149800,25.4000,25.4000,24.7000,25.4000,0,100,5300
C32,20210622,25.8000,25.8000,25.1000,25.4000,133900,25.8000,25.8000,25.1000,25.4000,0,0,34900
C32,20210621,25.8000,25.8000,25.4500,25.8000,110300,25.8000,25.8000,25.4500,25.8000,0,100,7600
C32,20210618,25.4000,26.2000,25.4000,25.8000,195400,25.4000,26.2000,25.4000,25.8000,0,200,11000
C32,20210617,25.7830,25.7830,24.9236,25.4011,189900,27.0000,27.0000,26.1000,26.6000,0,100,3300
C32,20210616,25.3056,25.6876,24.8281,25.6875,271800,26.5000,26.9000,26.0000,26.9000,0,100,3300
C32,20210615,25.6398,25.6398,25.1146,25.3056,67500,26.8500,26.8500,26.3000,26.5000,0,0,3900
C32,20210614,24.5894,25.7831,24.5894,25.2578,255600,25.7500,27.0000,25.7500,26.4500,0,4200,1000
C32,20210611,24.3506,24.5416,24.3506,24.4939,60200,25.5000,25.7000,25.5000,25.6500,0,0,0
C32,20210610,24.5416,24.5893,24.2551,24.3506,36900,25.7000,25.7500,25.4000,25.5000,0,200,5600
C32,20210609,24.3029,24.8281,24.0642,24.5416,98600,25.4500,26.0000,25.2000,25.7000,0,200,5800
C32,20210608,24.3506,24.4461,24.2552,24.3029,70400,25.5000,25.6000,25.4000,25.4500,0,800,3000
C32,20210607,24.2552,24.5417,24.2552,24.3029,53700,25.4000,25.7000,25.4000,25.4500,0,0,800
C32,20210604,24.7326,24.7326,24.2074,24.2552,63100,25.9000,25.9000,25.3500,25.4000,0,100,5200
C32,20210603,24.9714,24.9714,24.1119,24.4461,48600,26.1500,26.1500,25.2500,25.6000,0,0,1200
C32,20210602,24.1119,24.1596,24.0164,24.0642,43800,25.2500,25.3000,25.1500,25.2000,0,0,0
C32,20210601,24.1119,24.3506,23.9209,24.1119,86800,25.2500,25.5000,25.0500,25.2500,0,0,34500
C32,20210531,24.2552,24.4939,24.1120,24.1119,43600,25.4000,25.6500,25.2500,25.2500,0,0,4600
C32,20210528,24.7327,24.7327,24.1597,24.2552,26700,25.9000,25.9000,25.3000,25.4000,0,0,1600
