<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
C4G,20181210,14.5000,14.5000,11.1000,12.2000,1109300
C4G,20181211,12.5000,12.5000,12.0000,12.2000,207065
C4G,20181212,12.2000,12.2000,11.9000,12.1000,216630
C4G,20181213,11.9000,12.0000,11.6000,11.9000,298600
C4G,20181214,11.7000,11.7000,11.2000,11.2000,340861
C4G,20181217,11.2000,11.2000,10.0000,10.1000,304710
C4G,20181218,9.6000,10.2000,9.6000,10.2000,143590
C4G,20181219,10.1000,10.3000,10.0000,10.1000,105911
C4G,20181220,10.1000,10.3000,10.0000,10.1000,180230
C4G,20181221,10.2000,10.2000,9.8000,10.0000,253600
C4G,20181224,9.0000,10.2000,8.5000,9.6000,248700
C4G,20181225,9.6000,9.7000,9.2000,9.5000,304500
C4G,20181226,9.7000,9.8000,9.6000,9.6000,279510
C4G,20181227,9.8000,9.9000,9.6000,9.8000,305650
C4G,20181228,9.8000,10.0000,9.7000,9.9000,467400
C4G,20190102,9.9000,10.0000,9.8000,9.9000,325780
C4G,20190103,9.9000,10.0000,9.6000,9.6000,196900
C4G,20190104,9.5000,9.9000,9.5000,9.8000,209200
C4G,20190107,9.8000,9.9000,9.7000,9.8000,234500
C4G,20190108,9.8000,9.9000,9.5000,9.7000,176810
C4G,20190109,9.7000,9.7000,9.5000,9.5000,124380
C4G,20190110,9.5000,9.5000,9.3000,9.5000,101000
C4G,20190111,9.5000,9.5000,9.1000,9.4000,271300
C4G,20190114,9.4000,9.4000,9.0000,9.0000,86440
C4G,20190115,9.1000,9.1000,8.5000,8.9000,100500
C4G,20190116,8.9000,8.9000,8.0000,8.1000,134640
C4G,20190117,8.3000,8.3000,8.1000,8.1000,17715
C4G,20190118,8.9000,8.9000,8.1000,8.5000,158900
C4G,20190121,8.5000,8.7000,7.3000,8.4000,266110
C4G,20190122,8.6000,8.7000,8.5000,8.6000,183800
C4G,20190123,8.6000,9.3000,8.5000,9.2000,331700
C4G,20190124,9.2000,9.4000,9.2000,9.4000,342800
C4G,20190125,9.1000,9.3000,8.8000,9.3000,166960
C4G,20190128,9.0000,9.3000,8.9000,9.1000,262200
C4G,20190129,9.1000,9.2000,9.0000,9.2000,110400
C4G,20190130,9.1000,9.2000,8.9000,9.2000,96601
C4G,20190131,9.2000,9.2000,9.0000,9.1000,49107
C4G,20190201,9.1000,9.2000,9.1000,9.1000,92000
C4G,20190211,10.3000,10.3000,9.2000,9.4000,123121
C4G,20190212,9.7000,9.7000,9.3000,9.4000,113742
C4G,20190213,9.3000,9.4000,9.0000,9.3000,161300
C4G,20190214,9.0000,9.3000,9.0000,9.2000,171260
C4G,20190215,9.1000,9.1000,9.0000,9.0000,104910
C4G,20190218,9.0000,9.0000,8.9000,9.0000,99725
C4G,20190219,8.8000,9.0000,8.8000,9.0000,63060
C4G,20190220,8.8000,9.0000,8.8000,8.9000,16300
C4G,20190221,8.6000,8.8000,8.0000,8.6000,928542
C4G,20190222,8.7000,8.8000,8.5000,8.8000,179970
C4G,20190225,8.8000,8.8000,8.6000,8.7000,109214
C4G,20190226,8.5000,8.6000,8.2000,8.3000,249990
C4G,20190227,8.3000,8.3000,8.0000,8.1000,281770
C4G,20190228,8.2000,8.2000,7.9000,7.9000,239800
C4G,20190301,7.9000,8.0000,7.9000,8.0000,97000
C4G,20190304,7.9000,8.0000,7.9000,8.0000,205014
C4G,20190305,8.1000,8.2000,8.0000,8.0000,143511
C4G,20190306,7.7000,8.2000,7.7000,8.1000,121400
C4G,20190307,8.1000,8.2000,8.0000,8.2000,102300
C4G,20190308,8.0000,8.1000,7.9000,8.0000,105800
C4G,20190311,8.0000,8.0000,7.9000,7.9000,68311
C4G,20190312,8.0000,8.0000,7.9000,8.0000,137400
C4G,20190313,8.0000,8.3000,8.0000,8.3000,365800
C4G,20190314,8.3000,9.1000,8.3000,8.9000,633190
C4G,20190315,8.9000,9.0000,8.7000,8.8000,162290
C4G,20190318,8.8000,8.8000,8.6000,8.7000,297100
C4G,20190319,8.7000,9.5000,8.5000,9.3000,818220
C4G,20190320,9.3000,10.3000,9.3000,10.3000,1311265
C4G,20190321,10.5000,11.0000,9.9000,10.2000,902481
C4G,20190322,10.2000,10.6000,9.7000,10.4000,859710
C4G,20190325,10.0000,10.9000,9.8000,10.6000,1292868
C4G,20190326,10.7000,10.8000,10.2000,10.5000,651170
C4G,20190327,10.6000,11.6000,10.6000,11.4000,2189763
C4G,20190328,11.2000,11.4000,10.9000,11.0000,677596
C4G,20190329,10.9000,11.0000,10.8000,11.0000,432580
C4G,20190401,10.8000,11.3000,10.7000,11.0000,592030
C4G,20190402,10.9000,11.3000,10.8000,11.0000,521940
C4G,20190403,11.0000,11.0000,10.3000,10.5000,992060
C4G,20190404,10.6000,10.8000,10.4000,10.8000,511131
C4G,20190405,10.7000,11.5000,10.7000,11.1000,707916
C4G,20190408,11.2000,11.9000,11.2000,11.9000,1591014
C4G,20190409,11.8000,11.8000,10.6000,11.0000,1650450
C4G,20190410,11.0000,11.2000,10.7000,11.0000,522623
C4G,20190411,11.0000,11.2000,11.0000,11.2000,513120
C4G,20190412,11.1000,11.3000,11.0000,11.3000,404100
C4G,20190416,11.2000,11.2000,10.9000,11.0000,403900
C4G,20190417,11.0000,11.2000,10.8000,10.9000,654550
C4G,20190418,10.9000,10.9000,10.3000,10.6000,482726
C4G,20190419,10.6000,10.9000,10.5000,10.9000,408497
C4G,20190422,10.7000,10.9000,10.5000,10.8000,194310
C4G,20190423,10.7000,10.8000,10.5000,10.7000,227400
C4G,20190424,10.6000,10.8000,10.6000,10.8000,82220
C4G,20190425,10.8000,11.4000,10.8000,11.1000,637595
C4G,20190426,11.2000,11.2000,10.9000,11.0000,331610
C4G,20190502,11.0000,11.0000,10.7000,10.8000,221890
C4G,20190503,10.8000,10.9000,10.7000,10.8000,175748
C4G,20190506,10.7000,10.7000,9.9000,10.1000,516930
C4G,20190507,10.0000,10.3000,10.0000,10.1000,255350
C4G,20190508,10.0000,10.0000,9.8000,9.9000,204898
C4G,20190509,9.9000,9.9000,9.8000,9.9000,113000
C4G,20190510,10.0000,10.2000,9.8000,10.1000,94840
C4G,20190513,10.1000,10.2000,10.0000,10.2000,102931
C4G,20190514,10.0000,10.1000,9.9000,9.9000,253070
C4G,20190515,10.0000,10.5000,10.0000,10.4000,1022184
C4G,20190516,10.5000,10.6000,10.3000,10.5000,335295
C4G,20190517,10.4000,10.5000,10.3000,10.3000,276700
C4G,20190520,10.3000,10.4000,10.0000,10.1000,318888
C4G,20190521,10.2000,10.2000,10.0000,10.1000,218258
C4G,20190522,10.1000,10.2000,10.0000,10.0000,383759
C4G,20190523,10.1000,10.1000,9.8000,9.9000,357810
C4G,20190524,9.9000,10.3000,9.9000,10.1000,177817
C4G,20190527,10.0000,10.1000,9.8000,10.0000,166030
