<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CMG,20180621,21.50,21.50,20.20,20.20,28020,21.50,21.50,20.20,20.20,0,0,500
CMG,20180620,21.50,21.50,20.20,21.00,15030,21.50,21.50,20.20,21.00,0,0,0
CMG,20180619,20.90,20.90,20.30,20.90,39340,20.90,20.90,20.30,20.90,42450,70,0
CMG,20180618,21.20,21.90,20.90,21.00,45820,21.20,21.90,20.90,21.00,0,0,0
CMG,20180615,21.50,22.10,21.50,21.50,7430,21.50,22.10,21.50,21.50,0,0,0
CMG,20180614,22.30,22.40,21.70,22.30,13850,22.30,22.40,21.70,22.30,0,0,600
CMG,20180613,20.90,22.30,20.40,22.30,51160,20.90,22.30,20.40,22.30,0,2000,0
CMG,20180612,22.20,22.20,20.85,21.20,103570,22.20,22.20,20.85,21.20,0,0,0
CMG,20180611,21.70,23.00,21.70,22.40,56570,21.70,23.00,21.70,22.40,0,1000,8980
CMG,20180608,22.95,23.40,22.30,23.00,23100,22.95,23.40,22.30,23.00,0,3200,3000
CMG,20180607,23.15,23.15,22.00,22.95,40920,23.15,23.15,22.00,22.95,0,100,10060
CMG,20180606,21.20,23.15,21.00,23.15,58500,21.20,23.15,21.00,23.15,0,0,1000
CMG,20180605,21.40,22.30,21.40,21.65,45580,21.40,22.30,21.40,21.65,0,300,0
CMG,20180604,20.90,22.20,20.90,21.70,80880,20.90,22.20,20.90,21.70,0,1600,0
CMG,20180601,21.00,21.00,20.40,20.90,91960,21.00,21.00,20.40,20.90,0,1730,200
CMG,20180531,21.00,21.00,20.50,20.90,56510,21.00,21.00,20.50,20.90,0,0,40
CMG,20180530,21.60,21.60,20.70,21.00,22260,21.60,21.60,20.70,21.00,0,0,0
CMG,20180529,19.30,21.30,19.25,21.30,102860,19.30,21.30,19.25,21.30,0,28600,900
CMG,20180528,21.40,21.40,19.95,19.95,119620,21.40,21.40,19.95,19.95,0,1080,400
CMG,20180525,23.00,23.00,21.40,21.40,69100,23.00,23.00,21.40,21.40,0,90,600
CMG,20180524,23.00,23.85,22.70,23.00,26050,23.00,23.85,22.70,23.00,0,0,0
CMG,20180523,22.60,24.00,22.35,23.00,86840,22.60,24.00,22.35,23.00,0,0,0
CMG,20180522,24.50,24.50,22.80,24.00,49780,24.50,24.50,22.80,24.00,0,530,470
