<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CMX,20190503,23.80,24.00,23.00,23.20,24110,23.80,24.00,23.00,23.20,0,0,0
CMX,20190502,24.30,24.30,23.60,23.80,48570,24.30,24.30,23.60,23.80,0,19960,3750
CMX,20190426,23.60,24.00,23.30,23.95,13210,23.60,24.00,23.30,23.95,0,500,0
CMX,20190425,24.60,24.60,23.55,24.00,21000,24.60,24.60,23.55,24.00,0,10,0
CMX,20190424,23.65,24.45,23.10,24.00,119230,23.65,24.45,23.10,24.00,0,19770,0
CMX,20190423,24.60,24.80,23.40,23.65,115960,24.60,24.80,23.40,23.65,0,8200,0
CMX,20190422,26.00,26.20,24.60,25.00,101270,26.00,26.20,24.60,25.00,0,2200,1000
CMX,20190419,27.00,27.40,25.80,26.00,71480,27.00,27.40,25.80,26.00,0,0,350
CMX,20190418,26.00,27.25,25.80,26.95,134890,26.00,27.25,25.80,26.95,0,2000,8010
CMX,20190417,27.50,27.90,26.00,26.00,113340,27.50,27.90,26.00,26.00,0,0,3000
CMX,20190416,25.05,28.00,25.05,27.55,180430,25.05,28.00,25.05,27.55,0,2010,2000
CMX,20190412,24.50,26.20,24.50,26.20,219910,24.50,26.20,24.50,26.20,0,2000,20770
CMX,20190411,24.75,24.75,24.20,24.50,133430,24.75,24.75,24.20,24.50,0,0,14550
CMX,20190410,22.00,23.35,21.95,23.35,158600,22.00,23.35,21.95,23.35,0,0,15090
CMX,20190409,22.40,22.50,21.50,21.85,58190,22.40,22.50,21.50,21.85,0,35490,46030
CMX,20190408,22.50,22.50,21.80,22.20,18830,22.50,22.50,21.80,22.20,0,100,4000
CMX,20190405,22.50,22.50,21.80,22.50,27800,22.50,22.50,21.80,22.50,0,0,0
CMX,20190404,21.10,22.50,21.10,22.40,64860,21.10,22.50,21.10,22.40,0,3500,0
CMX,20190403,21.20,21.95,21.00,21.10,19200,21.20,21.95,21.00,21.10,0,3500,0
