<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CRE,20180905,23.8641,23.8641,22.1240,23.3669,697470
CRE,20180906,22.4223,23.3669,22.4223,23.3669,332460
CRE,20180907,23.3669,23.6155,23.1183,23.4663,276640
CRE,20180910,22.9194,23.4663,22.8697,23.1183,127280
CRE,20180911,22.9691,23.2675,22.7703,23.2675,252160
CRE,20180912,23.2675,23.2675,22.8200,22.8697,28030
CRE,20180913,22.7703,22.7703,21.3782,21.9748,136940
CRE,20180914,21.9499,21.9748,21.1296,21.2291,494030
CRE,20180917,21.3285,21.3783,20.4585,20.9308,155060
CRE,20180918,20.9308,21.5274,20.6325,21.5274,236840
CRE,20180919,21.4280,22.6709,21.4280,22.5714,369050
CRE,20180920,22.5714,23.0189,22.5714,22.6709,74690
CRE,20180921,22.4223,22.4720,22.2234,22.4720,120710
CRE,20180924,21.6268,22.3726,21.3285,21.4528,168300
CRE,20180925,22.3228,22.3228,21.3782,21.4528,41650
CRE,20180926,21.4528,21.8257,21.3782,21.4279,27170
CRE,20180927,21.2539,21.3782,20.8810,20.9308,112200
CRE,20180928,21.3783,21.3783,21.0302,21.3782,18270
CRE,20181001,21.3782,21.6019,21.1296,21.3782,59710
CRE,20181002,21.1793,21.3782,20.8810,21.1296,93500
CRE,20181003,21.0302,21.1296,20.8810,21.0799,110520
CRE,20181004,21.1296,21.1296,20.8810,20.8811,98740
CRE,20181005,20.8811,21.1297,20.7817,21.1296,138020
CRE,20181008,21.2290,21.2290,20.9307,21.1296,138950
CRE,20181009,21.0302,21.3782,21.0302,21.3285,228760
CRE,20181010,21.2788,21.4279,21.2788,21.3782,188300
CRE,20181011,21.1793,21.3285,20.8810,21.1545,297170
CRE,20181012,21.0302,21.3285,21.0302,21.2788,179930
CRE,20181015,21.2291,21.4280,21.0799,21.4279,286890
CRE,20181016,21.3285,21.4777,21.2787,21.4777,277350
CRE,20181017,21.4777,21.6269,21.3285,21.4279,258900
CRE,20181018,21.3285,21.4279,21.2787,21.4279,179440
CRE,20181019,21.3782,21.5771,21.3285,21.4279,231390
CRE,20181022,21.4279,21.4776,21.3285,21.3285,171130
CRE,20181023,21.3285,21.3285,21.1793,21.2788,163030
CRE,20181024,21.2788,21.2788,21.1296,21.1794,125540
CRE,20181025,20.9805,21.0800,20.8314,20.9308,82440
CRE,20181026,20.9308,21.1297,20.8811,21.0302,111330
CRE,20181029,21.0302,21.1296,20.7816,20.8811,90900
CRE,20181030,20.8811,20.8811,20.4833,20.4833,125980
CRE,20181031,20.4833,20.8810,20.4833,20.6822,137470
CRE,20181101,20.5828,20.8811,20.5828,20.7816,151580
CRE,20181102,20.6822,20.9805,20.6822,20.9805,212830
CRE,20181105,20.8811,21.0302,20.7816,20.7816,117540
CRE,20181106,20.7816,20.8810,20.6822,20.7319,85080
CRE,20181107,20.6822,20.8313,20.5827,20.7319,109090
CRE,20181108,20.8313,20.8811,20.5827,20.6822,109670
CRE,20181109,20.6325,20.6822,20.4833,20.6325,98180
CRE,20181112,20.5828,20.5828,20.4336,20.5828,89420
CRE,20181113,20.5331,20.5828,20.4834,20.5330,80910
CRE,20181114,20.5330,20.6325,20.4833,20.6325,74130
CRE,20181115,20.6325,20.6325,20.4833,20.5828,69490
CRE,20181116,20.5828,20.5828,20.4834,20.5828,68840
CRE,20181119,20.6325,20.7817,20.4834,20.7816,165310
CRE,20181120,20.7816,20.8810,20.6822,20.8313,141130
CRE,20181121,20.7319,20.8313,20.7319,20.7816,103010
CRE,20181122,20.7816,21.0302,20.7816,20.9805,217170
CRE,20181123,20.9308,20.9805,20.7816,20.8811,117110
CRE,20181126,20.8811,20.9805,20.8314,20.8811,101680
CRE,20181127,20.8811,20.9308,20.8314,20.8811,111350
CRE,20181128,20.8811,21.2291,20.7817,21.1296,269970
CRE,20181129,21.1296,21.3285,21.1296,21.2788,211180
CRE,20181130,21.2291,21.6268,21.0302,21.6268,275120
CRE,20181203,21.5771,21.8257,21.3782,21.6268,275030
