<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CSV,20150318,14.1642,14.1642,11.8035,12.5117,391350
CSV,20150319,12.9838,12.9838,11.9215,12.6888,100950
CSV,20150320,12.7478,12.9839,12.3937,12.3937,31280
CSV,20150323,12.1576,12.3937,11.5674,11.5674,178850
CSV,20150324,11.5674,11.6264,11.4494,11.5084,16140
CSV,20150325,11.4494,11.6855,11.4494,11.6855,3800
CSV,20150326,11.4494,11.6265,11.4494,11.5674,14030
CSV,20150327,11.6264,11.6264,11.5084,11.5674,6790
CSV,20150330,11.4494,11.5084,11.1543,11.1543,21650
CSV,20150331,11.1543,11.3314,11.1543,11.3314,8420
CSV,20150401,11.2134,11.2134,11.1543,11.2133,6700
CSV,20150402,11.3313,11.7445,11.3313,11.7445,3020
CSV,20150403,11.1543,11.4494,11.1543,11.4494,150
CSV,20150406,11.2133,11.2133,11.0363,11.2133,3530
CSV,20150407,11.4494,11.4494,10.7412,10.8002,6070
CSV,20150408,10.8002,10.8002,10.4461,10.7412,27220
CSV,20150409,10.7412,11.0953,10.6232,11.0953,11000
CSV,20150410,11.2724,11.2724,11.0953,11.2133,1030
CSV,20150413,11.0953,11.0953,10.9182,10.9183,3500
CSV,20150414,10.8593,11.5085,10.6822,11.5084,115140
CSV,20150415,11.5084,11.5084,11.2133,11.2133,2600
CSV,20150416,11.2133,11.4494,11.1543,11.4494,35560
CSV,20150417,11.7445,11.7445,11.2723,11.6265,170
CSV,20150420,11.6265,11.6265,11.2133,11.2133,12860
CSV,20150421,11.2723,11.2723,11.2133,11.2133,10830
CSV,20150422,11.2133,11.4494,11.2133,11.4494,110
CSV,20150423,11.4494,11.9215,11.2133,11.2133,10110
CSV,20150424,11.3313,11.3904,11.2723,11.3904,6840
CSV,20150427,11.6855,11.8035,11.4494,11.8035,3280
CSV,20150504,11.5084,11.6265,11.2133,11.6265,7970
CSV,20150505,11.0363,11.5085,10.9183,11.5084,22510
CSV,20150506,11.4494,11.4494,11.4494,11.4494,100
CSV,20150507,11.7445,11.7445,11.5084,11.5084,90
CSV,20150508,11.5084,12.0396,11.3904,11.3904,11930
CSV,20150511,11.4494,11.4494,11.4494,11.4494,100
CSV,20150512,11.3314,11.6855,11.3314,11.6265,11330
CSV,20150513,11.5085,11.5085,11.5084,11.5084,210
CSV,20150514,11.5084,11.5084,11.5084,11.5084,6050
CSV,20150515,11.3313,11.5084,11.0363,11.4494,2270
CSV,20150518,11.6265,11.6265,11.3904,11.5084,32200
CSV,20150519,11.5084,11.5674,11.2133,11.5674,7530
CSV,20150520,11.5674,11.8035,11.5674,11.8035,13140
CSV,20150521,11.8035,11.8035,11.5084,11.8035,6600
CSV,20150522,11.8625,11.9215,11.8625,11.8625,56540
CSV,20150525,11.8625,12.1576,11.8035,11.8625,30540
CSV,20150526,11.6264,11.6264,11.0953,11.0953,11610
CSV,20150527,11.1543,11.2724,11.1543,11.2724,14820
CSV,20150528,11.2724,11.3314,11.2134,11.3314,16430
CSV,20150529,11.2724,11.2724,11.2724,11.2724,14240
CSV,20150601,11.0953,11.2724,11.0953,11.2133,19850
CSV,20150602,11.0362,11.0363,11.0362,11.0363,250
