<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CTG,20210422,41.7500,41.9500,39.1500,39.1500,21428500,41.7500,41.9500,39.1500,39.1500,0,222700,889500
CTG,20210420,42.6500,43.1500,41.5000,42.0000,23241600,42.6500,43.1500,41.5000,42.0000,786000,79000,2853100
CTG,20210419,42.2000,42.5000,41.3000,42.5000,16032000,42.2000,42.5000,41.3000,42.5000,1100000,334900,565900
CTG,20210416,42.4000,43.2000,40.8000,42.0000,21441800,42.4000,43.2000,40.8000,42.0000,45000,12600,1328700
CTG,20210415,42.9000,43.0000,42.0000,42.2000,13938300,42.9000,43.0000,42.0000,42.2000,86000,216800,621500
CTG,20210414,41.9000,43.0000,41.5000,42.7500,14310200,41.9000,43.0000,41.5000,42.7500,43600,182700,1507200
CTG,20210413,43.5000,43.5000,42.0000,42.0500,15121500,43.5000,43.5000,42.0000,42.0500,2630000,10600,333100
CTG,20210412,42.6000,43.3000,42.4500,43.2000,13503200,42.6000,43.3000,42.4500,43.2000,66000,14100,1819900
CTG,20210409,42.5000,42.7000,42.3000,42.5000,14650600,42.5000,42.7000,42.3000,42.5000,300000,331300,2051400
CTG,20210408,43.0000,43.3000,42.6000,42.6000,11652100,43.0000,43.3000,42.6000,42.6000,0,89600,713900
CTG,20210407,43.0000,43.8000,42.8000,43.0000,12150700,43.0000,43.8000,42.8000,43.0000,236000,32800,4236000
CTG,20210406,41.9500,43.5500,41.6000,43.0000,22526100,41.9500,43.5500,41.6000,43.0000,57000,1037300,8057300
CTG,20210405,42.0000,42.3000,41.5000,42.0000,16216000,42.0000,42.3000,41.5000,42.0000,0,80300,4341200
CTG,20210402,41.5000,41.5500,41.0000,41.3000,12198800,41.5000,41.5500,41.0000,41.3000,106000,490400,1951700
CTG,20210401,40.3000,41.3500,40.3000,41.0500,18695800,40.3000,41.3500,40.3000,41.0500,57000,814600,5150600
CTG,20210331,40.4000,40.8500,40.0000,40.1500,11841600,40.4000,40.8500,40.0000,40.1500,500000,159300,3903900
CTG,20210330,40.3000,40.8000,39.8500,40.4000,11152600,40.3000,40.8000,39.8500,40.4000,362000,67700,2017700
CTG,20210329,39.6000,40.0500,39.3000,40.0000,11589800,39.6000,40.0500,39.3000,40.0000,300000,161200,1021300
CTG,20210326,39.3000,39.8000,37.8000,39.0500,16252400,39.3000,39.8000,37.8000,39.0500,40000,229700,4787100
CTG,20210325,39.5000,40.1500,38.9000,39.4000,14674100,39.5000,40.1500,38.9000,39.4000,0,340900,2645500
CTG,20210324,40.0000,40.4500,38.9000,39.0000,18260600,40.0000,40.4500,38.9000,39.0000,462700,1328300,2834800
CTG,20210323,41.2000,41.2500,40.2000,40.5000,14649900,41.2000,41.2500,40.2000,40.5000,0,150600,2028800
CTG,20210322,41.1000,41.7500,40.5000,41.1000,20682100,41.1000,41.7500,40.5000,41.1000,40000,177500,3969600
CTG,20210319,40.3500,40.9000,40.3000,40.4500,8287200,40.3500,40.9000,40.3000,40.4500,300000,84200,2213000
CTG,20210318,41.2000,41.4500,40.2000,40.5000,16047000,41.2000,41.4500,40.2000,40.5000,90000,653100,4556000
CTG,20210317,37.7500,39.6000,37.6000,39.5500,23685900,37.7500,39.6000,37.6000,39.5500,163000,857800,6725500
CTG,20210316,38.1500,38.2000,37.6500,37.7000,7061600,38.1500,38.2000,37.6500,37.7000,150000,73500,577000
CTG,20210315,38.0000,38.2000,37.7500,38.0000,6762100,38.0000,38.2000,37.7500,38.0000,80000,41100,1205500
CTG,20210312,38.3500,38.5000,37.9500,37.9500,6997500,38.3500,38.5000,37.9500,37.9500,193000,321700,461600
CTG,20210311,37.9500,38.4500,37.8000,38.2000,7639300,37.9500,38.4500,37.8000,38.2000,30000,225000,325500
CTG,20210310,37.2500,37.8000,37.0500,37.5500,7468500,37.2500,37.8000,37.0500,37.5500,20000,100300,2369500
CTG,20210309,37.9000,37.9000,37.1000,37.2000,10113900,37.9000,37.9000,37.1000,37.2000,83000,114900,1093200
CTG,20210308,38.4000,38.6000,37.5500,37.9000,7574900,38.4000,38.6000,37.5500,37.9000,30000,332800,1028100
CTG,20210305,38.1000,38.4500,37.5000,38.0000,10156400,38.1000,38.4500,37.5000,38.0000,0,49300,2866000
