<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CTR,20200401,28.00,29.10,28.00,28.70,238300,28.00,29.10,28.00,28.70,0,1500,1000
CTR,20200331,27.10,28.80,26.60,27.60,348005,27.10,28.80,26.60,27.60,0,10400,0
CTR,20200330,28.90,28.90,26.00,27.20,399821,28.90,28.90,26.00,27.20,0,11600,6100
CTR,20200327,29.60,30.20,29.00,29.20,266394,29.60,30.20,29.00,29.20,0,10000,700
CTR,20200326,32.00,32.00,29.00,29.80,297619,32.00,32.00,29.00,29.80,0,3300,700
CTR,20200325,30.00,31.40,29.40,31.30,355506,30.00,31.40,29.40,31.30,0,3100,7000
CTR,20200324,27.30,29.80,26.00,29.00,241603,27.30,29.80,26.00,29.00,0,700,2800
CTR,20200323,31.50,31.50,27.30,27.30,1112809,31.50,31.50,27.30,27.30,0,10700,55900
CTR,20200320,31.50,32.90,31.40,31.90,274287,31.50,32.90,31.40,31.90,0,1000,1800
CTR,20200319,32.50,32.50,31.00,31.80,287069,32.50,32.50,31.00,31.80,0,2800,8957
CTR,20200318,31.70,33.40,31.50,32.60,327638,31.70,33.40,31.50,32.60,0,1400,5000
CTR,20200317,31.70,32.30,30.00,31.90,392192,31.70,32.30,30.00,31.90,0,2400,800
CTR,20200316,32.00,34.00,31.00,31.40,609100,32.00,34.00,31.00,31.40,0,14200,10000
CTR,20200313,35.50,35.50,30.00,32.00,1039694,35.50,35.50,30.00,32.00,84,9600,500
CTR,20200312,39.70,39.70,34.00,34.00,1125201,39.70,39.70,34.00,34.00,26,1800,600
CTR,20200311,41.20,42.00,38.00,39.70,402722,41.20,42.00,38.00,39.70,25243,10900,3000
CTR,20200310,38.00,41.60,34.00,41.00,777452,38.00,41.60,34.00,41.00,42068,10900,3000
CTR,20200309,43.60,44.00,38.30,38.30,988682,43.60,44.00,38.30,38.30,0,1100,11000
CTR,20200306,45.80,52.30,38.70,45.00,162391,45.80,52.30,38.70,45.00,36800,200,10800
CTR,20200305,45.40,46.10,45.00,45.50,438200,45.40,46.10,45.00,45.50,0,0,1000
CTR,20200304,44.90,45.30,44.40,45.00,260700,44.90,45.30,44.40,45.00,0,1000,0
CTR,20200303,44.50,46.00,44.50,44.90,252579,44.50,46.00,44.50,44.90,75,1000,0
CTR,20200302,44.80,45.50,44.00,45.10,328900,44.80,45.50,44.00,45.10,0,400,500
CTR,20200228,45.70,46.40,44.80,44.80,660900,45.70,46.40,44.80,44.80,0,0,15500
CTR,20200227,45.00,46.90,44.70,46.50,357183,45.00,46.90,44.70,46.50,0,0,15500
CTR,20200226,44.70,46.60,44.70,45.50,282400,44.70,46.60,44.70,45.50,0,100,15500
CTR,20200225,43.00,45.90,42.00,45.40,452700,43.00,45.90,42.00,45.40,0,3200,5900
CTR,20200224,47.00,48.40,44.30,44.90,761280,47.00,48.40,44.30,44.90,24000,3200,5900
CTR,20200221,49.30,49.50,47.50,47.70,380087,49.30,49.50,47.50,47.70,0,5000,1044
CTR,20200220,48.20,49.50,48.20,49.10,606400,48.20,49.50,48.20,49.10,0,9400,600
CTR,20200219,46.20,48.40,40.60,48.20,613805,46.20,48.40,40.60,48.20,6500,9400,600
CTR,20200218,46.20,46.70,45.60,46.20,322641,46.20,46.70,45.60,46.20,0,650,0
CTR,20200217,45.60,46.70,45.60,46.20,325628,45.60,46.70,45.60,46.20,0,100,1000
CTR,20200214,46.90,47.60,45.30,45.60,377468,46.90,47.60,45.30,45.60,0,500,3500
CTR,20200213,47.70,47.90,46.30,46.60,419349,47.70,47.90,46.30,46.60,0,500,2200
CTR,20200212,46.70,48.80,46.70,47.70,314895,46.70,48.80,46.70,47.70,0,2500,0
CTR,20200211,45.60,47.40,45.40,47.10,463990,45.60,47.40,45.40,47.10,0,0,1000
CTR,20200210,46.60,47.20,45.00,45.30,355073,46.60,47.20,45.00,45.30,0,2550,3000
CTR,20200207,45.30,47.90,45.30,46.90,333490,45.30,47.90,45.30,46.90,0,1000,200
CTR,20200206,44.00,45.90,43.10,45.40,565024,44.00,45.90,43.10,45.40,0,1500,162297
CTR,20200205,44.00,45.50,41.00,44.10,382910,44.00,45.50,41.00,44.10,5000,2200,1900
CTR,20200204,42.10,44.00,41.50,43.90,491446,42.10,44.00,41.50,43.90,0,1400,74700
CTR,20200203,43.00,43.50,39.50,42.10,608742,43.00,43.50,39.50,42.10,0,18900,0
CTR,20200131,46.00,48.00,42.40,43.70,617229,46.00,48.00,42.40,43.70,0,0,3100
CTR,20200130,50.00,53.90,45.00,47.00,505430,50.00,53.90,45.00,47.00,0,100,1900
CTR,20200122,49.30,54.80,48.40,49.70,336423,49.30,54.80,48.40,49.70,0,1900,38500
CTR,20200121,47.30,50.40,47.30,49.20,697771,47.30,50.40,47.30,49.20,0,2100,200
CTR,20200120,45.50,47.50,45.20,47.30,333783,45.50,47.50,45.20,47.30,0,6000,0
CTR,20200117,44.10,45.80,44.10,45.50,334146,44.10,45.80,44.10,45.50,0,0,0
CTR,20200116,44.10,45.90,43.80,44.50,285577,44.10,45.90,43.80,44.50,0,0,700
CTR,20200115,43.90,44.80,43.00,44.00,233400,43.90,44.80,43.00,44.00,0,0,0
CTR,20200114,41.00,44.20,40.60,44.00,556500,41.00,44.20,40.60,44.00,0,0,300
CTR,20200113,41.20,47.30,40.00,40.80,224006,41.20,47.30,40.00,40.80,83400,0,300
CTR,20200110,40.20,42.00,40.00,40.80,247367,40.20,42.00,40.00,40.80,0,0,0
CTR,20200109,40.20,40.20,39.50,40.00,134065,40.20,40.20,39.50,40.00,0,0,1100
CTR,20200108,39.90,40.40,39.20,39.90,217703,39.90,40.40,39.20,39.90,0,0,2000
CTR,20200107,40.20,40.50,40.00,40.30,71800,40.20,40.50,40.00,40.30,0,0,9000
CTR,20200106,39.70,41.20,39.70,40.20,376550,39.70,41.20,39.70,40.20,0,1100,16800
CTR,20200103,39.90,40.30,38.70,39.70,251105,39.90,40.30,38.70,39.70,0,1100,44724
CTR,20200102,40.00,40.30,39.60,40.00,96534,40.00,40.30,39.60,40.00,0,4000,210
CTR,20191231,40.00,40.30,39.40,40.00,155347,40.00,40.30,39.40,40.00,10000,0,70
CTR,20191230,40.60,46.30,39.00,39.10,310108,40.60,46.30,39.00,39.10,14000,1420,4900
CTR,20191227,40.80,40.80,40.00,40.60,121257,40.80,40.80,40.00,40.60,0,0,2000
CTR,20191226,41.00,41.40,40.00,40.70,181178,41.00,41.40,40.00,40.70,0,0,1100
CTR,20191225,41.00,41.00,39.90,40.80,195282,41.00,41.00,39.90,40.80,0,1900,700
CTR,20191224,41.00,41.50,40.10,40.60,215469,41.00,41.50,40.10,40.60,0,1000,4000
CTR,20191223,40.60,41.70,40.50,41.00,290222,40.60,41.70,40.50,41.00,0,1800,17
CTR,20191220,40.80,40.80,39.80,40.50,209062,40.80,40.80,39.80,40.50,0,2420,0
CTR,20191219,41.00,42.50,39.80,40.10,432790,41.00,42.50,39.80,40.10,0,4400,0
CTR,20191218,43.50,43.70,41.00,41.90,237537,43.50,43.70,41.00,41.90,0,200,0
CTR,20191217,43.70,44.40,42.60,43.40,235072,43.70,44.40,42.60,43.40,0,0,3000
CTR,20191216,43.90,44.10,42.40,43.80,385542,43.90,44.10,42.40,43.80,0,0,100
CTR,20191213,44.00,44.40,43.40,43.90,263250,44.00,44.40,43.40,43.90,0,1700,501
CTR,20191212,44.40,44.50,43.50,43.80,234300,44.40,44.50,43.50,43.80,0,0,500
CTR,20191211,40.50,44.20,40.00,43.30,737336,40.50,44.20,40.00,43.30,0,4000,100
CTR,20191210,40.40,40.60,38.20,39.40,166285,40.40,40.60,38.20,39.40,0,200,300
CTR,20191209,40.10,40.50,39.70,40.40,113697,40.10,40.50,39.70,40.40,0,0,0
CTR,20191206,40.90,41.00,39.50,40.20,247015,40.90,41.00,39.50,40.20,0,100,0
CTR,20191205,41.70,41.90,39.80,40.60,304874,41.70,41.90,39.80,40.60,0,100,0
CTR,20191204,40.00,46.20,40.00,41.00,261884,40.00,46.20,40.00,41.00,20000,0,1200
CTR,20191203,41.90,42.00,39.00,40.00,440820,41.90,42.00,39.00,40.00,0,300,200
CTR,20191202,45.50,46.10,46.10,46.10,710881,45.50,46.10,46.10,46.10,0,300,600
CTR,20191129,46.60,47.00,45.60,45.70,209233,46.60,47.00,45.60,45.70,0,100,200
