<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CTS,20180413,15.00,15.10,14.40,14.40,290600,15.00,15.10,14.40,14.40,0,22880,0
CTS,20180412,14.50,14.90,14.50,14.70,263290,14.50,14.90,14.50,14.70,0,21610,0
CTS,20180411,15.75,15.75,14.60,14.60,475900,15.75,15.75,14.60,14.60,0,33620,0
CTS,20180410,15.80,15.95,15.30,15.50,606220,15.80,15.95,15.30,15.50,0,23280,2500
CTS,20180409,15.20,15.60,14.90,15.10,391900,15.20,15.60,14.90,15.10,0,0,0
CTS,20180406,15.40,15.60,15.10,15.20,340740,15.40,15.60,15.10,15.20,0,5000,0
CTS,20180405,15.10,15.40,14.75,15.40,435750,15.10,15.40,14.75,15.40,0,140300,0
CTS,20180404,15.20,15.50,15.05,15.05,441470,15.20,15.50,15.05,15.05,0,218330,50000
CTS,20180403,14.45,15.20,13.80,15.20,853030,14.45,15.20,13.80,15.20,20000,218330,50000
CTS,20180402,13.95,14.40,13.90,14.40,464290,13.95,14.40,13.90,14.40,0,151200,30000
CTS,20180330,14.10,14.15,13.90,13.95,292340,14.10,14.15,13.90,13.95,0,0,0
CTS,20180329,14.15,14.15,13.80,14.05,150700,14.15,14.15,13.80,14.05,0,115300,1600
CTS,20180328,13.70,14.15,13.70,14.00,290000,13.70,14.15,13.70,14.00,0,177400,0
CTS,20180327,14.50,14.60,14.00,14.00,252680,14.50,14.60,14.00,14.00,0,1500,0
CTS,20180326,14.10,14.30,13.80,14.30,267000,14.10,14.30,13.80,14.30,0,143300,0
CTS,20180323,13.30,14.10,13.30,14.10,740080,13.30,14.10,13.30,14.10,0,192100,0
CTS,20180322,14.15,14.30,13.90,14.10,508430,14.15,14.30,13.90,14.10,0,137440,57000
CTS,20180321,14.50,14.50,14.00,14.25,374900,14.50,14.50,14.00,14.25,0,104000,10000
CTS,20180320,14.60,14.60,13.80,14.45,324340,14.60,14.60,13.80,14.45,0,30000,0
CTS,20180319,14.80,14.95,13.65,14.60,710560,14.80,14.95,13.65,14.60,0,30000,0
CTS,20180316,14.65,14.65,13.85,14.65,1248410,14.65,14.65,13.85,14.65,0,0,0
