<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
D2D,20191226,79.90,79.90,79.00,79.40,28100,79.90,79.90,79.00,79.40,0,850,760
D2D,20191225,77.70,80.20,77.30,79.30,101050,77.70,80.20,77.30,79.30,0,11600,130
D2D,20191224,77.50,78.50,77.10,77.80,41610,77.50,78.50,77.10,77.80,0,0,260
D2D,20191223,79.00,79.20,77.30,79.00,78440,79.00,79.20,77.30,79.00,0,1240,970
D2D,20191220,77.60,79.50,77.60,79.00,68820,77.60,79.50,77.60,79.00,0,13060,0
D2D,20191219,76.50,79.00,76.50,78.00,49310,76.50,79.00,76.50,78.00,0,320,0
D2D,20191218,76.20,77.80,75.90,77.00,60420,76.20,77.80,75.90,77.00,0,20,650
D2D,20191217,77.10,77.50,76.50,76.70,69920,77.10,77.50,76.50,76.70,0,450,0
D2D,20191216,78.20,78.70,76.10,77.90,98620,78.20,78.70,76.10,77.90,0,0,2210
D2D,20191213,78.30,79.20,77.80,78.20,122290,78.30,79.20,77.80,78.20,0,6800,2850
D2D,20191212,78.40,79.80,78.40,78.50,177640,78.40,79.80,78.40,78.50,0,10650,4460
D2D,20191211,75.50,78.40,75.50,78.30,133230,75.50,78.40,75.50,78.30,0,12570,140
D2D,20191210,75.80,76.50,75.00,75.50,116790,75.80,76.50,75.00,75.50,0,1470,9180
D2D,20191209,74.50,75.90,74.30,75.60,81860,74.50,75.90,74.30,75.60,0,29010,2700
D2D,20191206,75.50,76.10,74.50,74.50,135490,75.50,76.10,74.50,74.50,0,4780,1420
D2D,20191205,75.00,76.50,74.20,75.40,295000,75.00,76.50,74.20,75.40,0,93410,1670
D2D,20191204,76.50,76.90,74.10,75.00,97380,76.50,76.90,74.10,75.00,0,0,4950
D2D,20191203,73.10,76.50,72.30,76.50,284070,73.10,76.50,72.30,76.50,0,9630,15080
D2D,20191202,81.30,81.60,75.90,75.90,513470,81.30,81.60,75.90,75.90,0,3510,3190
D2D,20191129,81.50,82.40,80.50,81.60,71000,81.50,82.40,80.50,81.60,0,6860,1400
D2D,20191128,81.70,82.50,79.90,81.50,243420,81.70,82.50,79.90,81.50,0,4460,5270
D2D,20191127,81.50,83.90,81.00,81.70,117770,81.50,83.90,81.00,81.70,0,7170,2850
D2D,20191126,82.00,83.80,81.70,82.60,114960,82.00,83.80,81.70,82.60,0,6610,16310
D2D,20191125,81.00,82.00,77.70,82.00,302870,81.00,82.00,77.70,82.00,0,21540,3110
D2D,20191122,89.20,90.50,83.00,83.00,628410,89.20,90.50,83.00,83.00,0,0,11690
D2D,20191121,88.60,90.00,88.40,89.20,167550,88.60,90.00,88.40,89.20,0,3550,4970
D2D,20191120,88.10,89.40,88.00,88.60,82850,88.10,89.40,88.00,88.60,0,1000,1170
D2D,20191119,88.80,89.80,88.00,88.60,68910,88.80,89.80,88.00,88.60,0,1000,1170
D2D,20191118,86.50,89.50,86.50,88.80,346950,86.50,89.50,86.50,88.80,0,8320,0
