<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DAG,20180808,7.55,7.97,7.55,7.75,58700,7.55,7.97,7.55,7.75,0,0,0
DAG,20180807,7.42,7.59,7.40,7.55,220960,7.42,7.59,7.40,7.55,0,0,0
DAG,20180806,7.63,7.78,7.50,7.50,251660,7.63,7.78,7.50,7.50,0,1000,0
DAG,20180803,7.80,7.95,7.50,7.70,284730,7.80,7.95,7.50,7.70,0,500,0
DAG,20180802,8.06,8.06,7.80,7.80,117960,8.06,8.06,7.80,7.80,0,300,0
DAG,20180801,8.00,8.10,8.00,8.08,110890,8.00,8.10,8.00,8.08,0,0,0
DAG,20180731,8.00,8.16,8.00,8.05,603300,8.00,8.16,8.00,8.05,0,0,0
DAG,20180730,8.57,8.62,7.98,8.00,827990,8.57,8.62,7.98,8.00,0,0,0
DAG,20180727,8.68,8.69,8.57,8.57,92420,8.68,8.69,8.57,8.57,0,0,0
DAG,20180726,8.62,8.68,8.60,8.60,86050,8.62,8.68,8.60,8.60,0,0,0
DAG,20180725,8.54,8.72,8.54,8.70,104290,8.54,8.72,8.54,8.70,0,0,0
DAG,20180724,8.61,8.65,8.52,8.60,114470,8.61,8.65,8.52,8.60,0,0,0
DAG,20180723,8.61,8.90,8.50,8.61,151740,8.61,8.90,8.50,8.61,0,0,0
DAG,20180720,8.92,8.92,8.75,8.85,80160,8.92,8.92,8.75,8.85,0,0,0
DAG,20180719,8.79,8.88,8.66,8.85,601650,8.79,8.88,8.66,8.85,0,0,0
DAG,20180718,8.64,8.80,8.60,8.65,529460,8.64,8.80,8.60,8.65,0,0,0
DAG,20180717,8.60,8.72,8.46,8.64,133330,8.60,8.72,8.46,8.64,0,0,0
DAG,20180716,8.66,8.75,8.49,8.63,242560,8.66,8.75,8.49,8.63,0,0,0
DAG,20180713,8.40,8.50,8.22,8.48,282210,8.40,8.50,8.22,8.48,0,0,0
DAG,20180712,8.30,8.39,8.15,8.30,118210,8.30,8.39,8.15,8.30,0,0,0
DAG,20180711,8.70,8.70,8.15,8.15,149380,8.70,8.70,8.15,8.15,0,0,0
DAG,20180710,8.68,8.90,8.67,8.70,152400,8.68,8.90,8.67,8.70,0,200,300
DAG,20180709,8.75,8.91,8.68,8.68,118720,8.75,8.91,8.68,8.68,0,0,0
DAG,20180706,8.40,8.95,8.20,8.84,516110,8.40,8.95,8.20,8.84,0,0,300
DAG,20180705,8.67,8.88,8.40,8.40,158170,8.67,8.88,8.40,8.40,0,0,0
DAG,20180704,8.52,8.96,8.52,8.75,130440,8.52,8.96,8.52,8.75,0,0,0
DAG,20180703,9.00,9.27,8.55,8.90,336090,9.00,9.27,8.55,8.90,0,0,0
DAG,20180702,9.10,9.33,8.84,9.19,305040,9.10,9.33,8.84,9.19,0,300,0
DAG,20180629,9.35,9.47,9.26,9.36,379680,9.35,9.47,9.26,9.36,0,400,0
DAG,20180628,9.50,9.50,9.30,9.34,290460,9.50,9.50,9.30,9.34,0,400,0
DAG,20180627,9.35,9.59,9.30,9.50,1553250,9.35,9.59,9.30,9.50,0,0,0
DAG,20180626,9.30,9.33,9.05,9.29,130330,9.30,9.33,9.05,9.29,0,0,0
DAG,20180625,9.31,9.43,9.28,9.34,120820,9.31,9.43,9.28,9.34,0,0,0
DAG,20180622,9.30,9.35,9.20,9.31,393370,9.30,9.35,9.20,9.31,0,0,0
DAG,20180621,9.40,9.40,9.20,9.34,389660,9.40,9.40,9.20,9.34,0,0,0
DAG,20180620,9.09,9.19,8.96,9.18,526710,9.09,9.19,8.96,9.18,0,0,0
DAG,20180619,8.89,9.01,8.40,8.95,167920,8.89,9.01,8.40,8.95,0,400,0
DAG,20180618,8.72,9.10,8.70,9.00,514170,8.72,9.10,8.70,9.00,0,0,0
DAG,20180615,8.90,8.90,8.65,8.80,196010,8.90,8.90,8.65,8.80,0,0,0
DAG,20180614,8.99,8.99,8.74,8.90,100200,8.99,8.99,8.74,8.90,0,0,0
DAG,20180613,8.72,9.00,8.70,8.99,322130,8.72,9.00,8.70,8.99,0,0,0
DAG,20180612,9.04,9.16,8.70,8.88,349370,9.04,9.16,8.70,8.88,0,0,0
DAG,20180611,9.40,9.40,9.15,9.16,182650,9.40,9.40,9.15,9.16,0,3000,0
DAG,20180608,9.41,9.42,9.21,9.40,67680,9.41,9.42,9.21,9.40,0,0,0
DAG,20180607,9.58,9.62,9.36,9.42,518460,9.58,9.62,9.36,9.42,0,0,0
DAG,20180606,9.49,9.55,9.30,9.42,408820,9.49,9.55,9.30,9.42,0,0,0
DAG,20180605,9.11,9.57,9.10,9.40,462860,9.11,9.57,9.10,9.40,0,0,0
DAG,20180604,9.20,9.40,9.10,9.30,226200,9.20,9.40,9.10,9.30,0,0,400
DAG,20180601,9.60,9.80,9.11,9.30,468400,9.60,9.80,9.11,9.30,0,0,0
DAG,20180531,8.90,9.41,8.89,9.41,1297450,8.90,9.41,8.89,9.41,0,0,500
DAG,20180530,8.76,8.84,8.52,8.80,357810,8.76,8.84,8.52,8.80,0,0,0
DAG,20180529,8.57,8.76,8.20,8.65,486960,8.57,8.76,8.20,8.65,0,0,0
DAG,20180528,8.45,8.80,8.20,8.20,417400,8.45,8.80,8.20,8.20,0,0,0
DAG,20180525,8.41,8.80,8.41,8.60,484110,8.41,8.80,8.41,8.60,0,0,0
DAG,20180524,8.42,8.62,8.40,8.45,203030,8.42,8.62,8.40,8.45,0,0,0
DAG,20180523,8.40,8.50,8.15,8.42,113540,8.40,8.50,8.15,8.42,0,0,0
DAG,20180522,8.63,8.65,8.10,8.40,344860,8.63,8.65,8.10,8.40,0,0,0
DAG,20180521,8.90,9.00,8.70,8.70,722510,8.90,9.00,8.70,8.70,0,0,0
DAG,20180518,8.69,8.90,8.60,8.80,770080,8.69,8.90,8.60,8.80,0,700,0
DAG,20180517,8.40,8.59,8.31,8.51,445530,8.40,8.59,8.31,8.51,0,0,0
DAG,20180516,8.12,8.27,8.09,8.27,339470,8.12,8.27,8.09,8.27,0,0,0
DAG,20180515,7.99,8.10,7.93,8.09,169500,7.99,8.10,7.93,8.09,0,0,1300
DAG,20180514,7.84,7.99,7.84,7.99,171500,7.84,7.99,7.84,7.99,0,0,0
DAG,20180511,7.96,7.96,7.80,7.84,265350,7.96,7.96,7.80,7.84,0,0,0
DAG,20180510,8.00,8.00,7.82,7.86,342000,8.00,8.00,7.82,7.86,0,0,0
DAG,20180509,7.86,8.04,7.80,7.96,107990,7.86,8.04,7.80,7.96,0,1000,2000
DAG,20180508,7.82,8.07,7.82,8.00,201130,7.82,8.07,7.82,8.00,0,2000,0
DAG,20180507,8.00,8.12,7.97,8.01,237540,8.00,8.12,7.97,8.01,0,2000,0
DAG,20180504,7.96,8.10,7.96,8.02,182060,7.96,8.10,7.96,8.02,0,5000,0
DAG,20180503,8.19,8.20,7.94,8.02,81130,8.19,8.20,7.94,8.02,0,0,0
DAG,20180502,7.95,8.19,7.60,8.19,158610,7.95,8.19,7.60,8.19,0,300,0
DAG,20180427,7.95,7.97,7.62,7.95,162480,7.95,7.97,7.62,7.95,0,0,0
DAG,20180426,7.77,7.98,7.70,7.90,154300,7.77,7.98,7.70,7.90,0,0,0
DAG,20180424,7.50,8.18,7.35,7.77,326310,7.50,8.18,7.35,7.77,0,160,0
DAG,20180423,8.21,8.30,7.71,7.71,228740,8.21,8.30,7.71,7.71,0,1500,0
DAG,20180420,8.00,8.20,7.99,8.19,86790,8.00,8.20,7.99,8.19,0,500,0
DAG,20180419,8.20,8.20,7.94,7.94,183170,8.20,8.20,7.94,7.94,0,0,0
DAG,20180418,8.25,8.29,8.10,8.19,255490,8.25,8.29,8.10,8.19,0,0,0
DAG,20180417,8.10,8.29,8.10,8.20,59520,8.10,8.29,8.10,8.20,0,0,0
DAG,20180416,8.00,8.15,8.00,8.10,111110,8.00,8.15,8.00,8.10,0,10000,0
DAG,20180413,8.20,8.20,8.05,8.05,54240,8.20,8.20,8.05,8.05,0,0,0
DAG,20180412,8.05,8.20,8.05,8.15,76830,8.05,8.20,8.05,8.15,0,0,0
DAG,20180411,8.30,8.40,8.00,8.05,175870,8.30,8.40,8.00,8.05,0,480,10
DAG,20180410,8.41,8.48,8.00,8.30,201740,8.41,8.48,8.00,8.30,0,0,0
DAG,20180409,8.41,8.62,8.36,8.44,73010,8.41,8.62,8.36,8.44,0,3950,200
DAG,20180406,8.25,8.50,8.25,8.46,132920,8.25,8.50,8.25,8.46,0,3320,0
DAG,20180405,8.35,8.35,8.21,8.29,71800,8.35,8.35,8.21,8.29,0,0,0
DAG,20180404,8.20,8.43,8.20,8.29,114620,8.20,8.43,8.20,8.29,0,0,0
DAG,20180403,8.36,8.39,8.30,8.36,44020,8.36,8.39,8.30,8.36,0,0,0
DAG,20180402,8.40,8.49,8.35,8.39,74820,8.40,8.49,8.35,8.39,0,0,0
DAG,20180330,8.45,8.50,8.36,8.40,92130,8.45,8.50,8.36,8.40,0,0,10
DAG,20180329,8.52,8.70,8.32,8.40,165930,8.52,8.70,8.32,8.40,0,0,0
DAG,20180328,8.53,8.70,8.51,8.52,57860,8.53,8.70,8.51,8.52,0,1000,0
DAG,20180327,8.65,8.75,8.20,8.62,76310,8.65,8.75,8.20,8.62,0,0,10
DAG,20180326,8.75,8.82,8.65,8.76,134330,8.75,8.82,8.65,8.76,0,0,0
DAG,20180323,8.80,8.80,8.60,8.76,54530,8.80,8.80,8.60,8.76,0,0,0
DAG,20180322,8.84,8.88,8.80,8.80,125370,8.84,8.88,8.80,8.80,0,0,0
DAG,20180321,8.85,8.90,8.75,8.84,134560,8.85,8.90,8.75,8.84,0,2000,0
DAG,20180320,8.80,8.90,8.28,8.85,94680,8.80,8.90,8.28,8.85,0,0,0
DAG,20180319,9.00,9.00,8.84,8.90,99150,9.00,9.00,8.84,8.90,0,0,0
DAG,20180316,9.00,9.10,8.90,9.00,98300,9.00,9.10,8.90,9.00,0,0,0
DAG,20180315,8.86,9.05,8.85,8.98,161460,8.86,9.05,8.85,8.98,0,0,0
DAG,20180314,8.89,8.89,8.76,8.86,100740,8.89,8.89,8.76,8.86,0,0,0
DAG,20180313,8.65,9.00,8.50,8.80,58180,8.65,9.00,8.50,8.80,0,0,1000
DAG,20180312,9.00,9.00,8.65,8.65,170540,9.00,9.00,8.65,8.65,0,0,0
DAG,20180309,8.76,9.02,8.75,8.96,506250,8.76,9.02,8.75,8.96,0,200,0
DAG,20180308,8.59,8.79,8.59,8.76,48500,8.59,8.79,8.59,8.76,0,0,100
DAG,20180307,8.80,8.90,8.62,8.70,50040,8.80,8.90,8.62,8.70,0,0,0
DAG,20180306,8.62,8.91,8.50,8.70,74230,8.62,8.91,8.50,8.70,0,0,0
DAG,20180305,8.85,8.89,8.61,8.61,35010,8.85,8.89,8.61,8.61,0,0,0
DAG,20180302,8.45,8.90,8.25,8.80,149530,8.45,8.90,8.25,8.80,0,5000,0
DAG,20180301,8.43,8.44,8.35,8.40,128240,8.43,8.44,8.35,8.40,0,0,0
DAG,20180228,8.48,8.48,8.35,8.46,141120,8.48,8.48,8.35,8.46,0,0,0
DAG,20180227,8.36,8.47,8.36,8.46,135680,8.36,8.47,8.36,8.46,0,0,0
DAG,20180226,8.42,8.48,8.35,8.45,166420,8.42,8.48,8.35,8.45,0,0,0
DAG,20180223,8.40,8.47,8.31,8.45,99130,8.40,8.47,8.31,8.45,0,0,0
DAG,20180222,8.33,8.50,8.32,8.40,120060,8.33,8.50,8.32,8.40,0,0,0
DAG,20180221,8.41,8.50,8.25,8.50,182150,8.41,8.50,8.25,8.50,0,0,0
DAG,20180213,8.40,8.41,8.20,8.41,143620,8.40,8.41,8.20,8.41,0,0,0
DAG,20180212,7.90,8.34,7.90,8.25,111950,7.90,8.34,7.90,8.25,0,940,0
DAG,20180209,7.54,7.96,7.54,7.84,185510,7.54,7.96,7.54,7.84,0,0,90
DAG,20180208,7.75,8.10,7.65,8.10,276150,7.75,8.10,7.65,8.10,0,0,0
DAG,20180207,7.85,7.85,7.42,7.65,218340,7.85,7.85,7.42,7.65,0,0,2050
DAG,20180206,7.70,7.70,7.44,7.45,492000,7.70,7.70,7.44,7.45,0,3500,340
DAG,20180205,8.30,8.39,8.00,8.00,210720,8.30,8.39,8.00,8.00,0,1500,270
DAG,20180202,8.60,8.60,8.30,8.30,416190,8.60,8.60,8.30,8.30,0,4800,50000
DAG,20180201,9.15,9.15,8.60,8.60,426700,9.15,9.15,8.60,8.60,0,0,0
DAG,20180131,9.14,9.25,9.03,9.12,231830,9.14,9.25,9.03,9.12,0,0,10210
DAG,20180130,9.30,9.30,9.09,9.15,545920,9.30,9.30,9.09,9.15,0,0,0
DAG,20180129,9.40,9.40,9.20,9.26,297950,9.40,9.40,9.20,9.26,0,0,12550
DAG,20180126,9.26,9.46,9.18,9.20,272680,9.26,9.46,9.18,9.20,0,0,0
DAG,20180125,9.32,9.54,9.26,9.26,282370,9.32,9.54,9.26,9.26,0,100,5450
DAG,20180122,9.46,9.53,9.43,9.46,141110,9.46,9.53,9.43,9.46,0,0,0
DAG,20180119,9.45,9.63,9.45,9.46,304340,9.45,9.63,9.45,9.46,0,0,0
DAG,20180118,9.32,9.45,9.25,9.45,437360,9.32,9.45,9.25,9.45,0,0,0
DAG,20180117,9.78,9.80,9.40,9.45,590280,9.78,9.80,9.40,9.45,0,26000,0
DAG,20180116,10.10,10.10,9.76,9.78,664340,10.10,10.10,9.76,9.78,0,32000,0
DAG,20180115,10.10,10.30,10.00,10.10,607070,10.10,10.30,10.00,10.10,0,100,0
DAG,20180112,10.00,10.40,9.90,10.30,1459900,10.00,10.40,9.90,10.30,0,12000,20400
DAG,20180111,9.30,9.90,9.30,9.90,1859450,9.30,9.90,9.30,9.90,0,0,49800
DAG,20180110,9.22,9.30,9.19,9.30,489660,9.22,9.30,9.19,9.30,0,0,0
DAG,20180109,9.20,9.30,9.10,9.19,616680,9.20,9.30,9.10,9.19,0,0,0
DAG,20180108,9.19,9.20,9.11,9.11,182650,9.19,9.20,9.11,9.11,0,1360,0
DAG,20180105,9.27,9.28,9.17,9.18,118100,9.27,9.28,9.17,9.18,0,0,0
DAG,20180104,9.16,9.28,9.10,9.25,364250,9.16,9.28,9.10,9.25,0,0,0
DAG,20180103,9.17,9.21,9.10,9.14,322470,9.17,9.21,9.10,9.14,0,0,0
DAG,20180102,9.29,9.30,9.13,9.18,169370,9.29,9.30,9.13,9.18,0,3000,0
DAG,20171229,9.30,9.30,8.65,9.20,376660,9.30,9.30,8.65,9.20,0,0,10
DAG,20171228,9.20,9.24,9.18,9.23,187630,9.20,9.24,9.18,9.23,0,10000,0
DAG,20171227,9.19,9.25,9.16,9.18,201670,9.19,9.25,9.16,9.18,0,0,0
DAG,20171226,9.16,9.26,9.16,9.18,163800,9.16,9.26,9.16,9.18,0,9000,0
DAG,20171225,9.22,9.30,9.15,9.16,140270,9.22,9.30,9.15,9.16,0,0,0
DAG,20171222,9.25,9.40,9.15,9.16,218510,9.25,9.40,9.15,9.16,0,6000,0
DAG,20171221,9.69,9.69,9.26,9.28,211350,9.69,9.69,9.26,9.28,0,0,0
DAG,20171220,9.50,9.52,9.39,9.40,448630,9.50,9.52,9.39,9.40,0,2000,300
DAG,20171219,9.68,9.70,9.41,9.52,302190,9.68,9.70,9.41,9.52,0,0,0
DAG,20171218,9.40,9.66,9.40,9.66,937580,9.40,9.66,9.40,9.66,0,0,0
DAG,20171215,9.21,9.58,9.21,9.37,629090,9.21,9.58,9.21,9.37,0,0,0
