<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DHA,20040414,4.1516,4.1516,4.1516,4.1516,11020
DHA,20040415,4.1516,4.1516,4.1300,4.1301,28140
DHA,20040416,4.1301,4.1301,4.1193,4.1193,10330
DHA,20040419,3.9899,3.9899,3.9144,3.9144,18910
DHA,20040420,3.7203,3.7419,3.7203,3.7418,33200
DHA,20040421,3.7526,3.9252,3.7526,3.9252,3010
DHA,20040422,3.9252,3.9252,3.9252,3.9252,8470
DHA,20040423,3.9360,3.9360,3.9144,3.9144,3360
DHA,20040426,3.8497,3.8497,3.8389,3.8389,14250
DHA,20040427,3.8389,3.8389,3.8281,3.8281,16210
DHA,20040428,3.8281,3.8281,3.8281,3.8281,14170
DHA,20040429,3.8281,3.8820,3.8281,3.8820,810
DHA,20040504,3.9036,3.9036,3.9036,3.9036,5320
DHA,20040505,3.9036,3.9036,3.8497,3.8497,2440
DHA,20040506,3.8281,3.8281,3.8281,3.8281,5110
DHA,20040507,3.8281,3.8281,3.7742,3.7742,16210
DHA,20040510,3.8281,3.8281,3.8173,3.8173,8020
DHA,20040511,3.8173,3.8173,3.8173,3.8173,710
DHA,20040512,3.8173,3.8281,3.8173,3.8281,8100
DHA,20040513,3.8281,3.8281,3.8281,3.8281,2390
DHA,20040514,3.8281,3.8281,3.7957,3.7958,3900
DHA,20040517,3.7958,3.7958,3.7958,3.7958,6430
DHA,20040518,3.7850,3.7850,3.7742,3.7742,7510
DHA,20040519,3.7742,3.7742,3.7742,3.7742,8200
DHA,20040520,3.7850,3.7850,3.7850,3.7850,3100
DHA,20040521,3.7958,3.7958,3.7958,3.7958,3530
DHA,20040524,3.7958,3.7958,3.7742,3.7742,11290
DHA,20040525,3.7742,3.7742,3.7742,3.7742,4940
DHA,20040526,3.7742,3.7742,3.7742,3.7742,1290
DHA,20040527,3.7742,3.7742,3.7742,3.7742,800
DHA,20040528,3.7742,3.7742,3.7203,3.7203,1000
DHA,20040531,3.7203,3.7203,3.7203,3.7203,3350
DHA,20040601,3.7203,3.7203,3.7203,3.7203,1610
DHA,20040602,3.7203,3.7203,3.7203,3.7203,1690
DHA,20040603,3.7203,3.7203,3.6664,3.6664,1100
DHA,20040604,3.6664,3.6664,3.6124,3.6124,5170
DHA,20040607,3.6124,3.6124,3.5585,3.5585,17630
DHA,20040608,3.5046,3.5046,3.5046,3.5046,8340
DHA,20040609,3.5046,3.5585,3.5046,3.5585,1220
DHA,20040610,3.5585,3.5585,3.5585,3.5585,1710
DHA,20040611,3.5693,3.5801,3.5693,3.5801,3500
