<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DHG,20061221,320.0000,320.0000,320.0000,320.0000,18580
DHG,20061222,320.0000,320.0000,304.0000,304.0000,4590
DHG,20061225,289.0000,289.0000,289.0000,289.0000,10
DHG,20061226,275.0000,275.0000,275.0000,275.0000,96450
DHG,20061227,275.0000,275.0000,270.0000,270.0000,61000
DHG,20061228,257.0000,257.0000,257.0000,257.0000,21800
DHG,20061229,250.0000,250.0000,245.0000,245.0000,44690
DHG,20070102,233.0000,233.0000,233.0000,233.0000,33400
DHG,20070103,244.0000,244.0000,233.0000,244.0000,16620
DHG,20070104,256.0000,256.0000,256.0000,256.0000,5450
DHG,20070105,268.0000,268.0000,267.0000,268.0000,25450
DHG,20070108,281.0000,281.0000,281.0000,281.0000,85650
DHG,20070109,288.0000,294.0000,288.0000,294.0000,54340
DHG,20070110,294.0000,295.0000,294.0000,294.0000,23540
DHG,20070111,290.0000,290.0000,280.0000,285.0000,22780
DHG,20070112,271.0000,275.0000,271.0000,275.0000,17630
DHG,20070115,263.0000,275.0000,263.0000,275.0000,4920
DHG,20070116,275.0000,285.0000,275.0000,285.0000,28460
DHG,20070117,285.0000,290.0000,285.0000,285.0000,32310
DHG,20070118,271.0000,275.0000,271.0000,275.0000,57650
DHG,20070119,285.0000,285.0000,275.0000,275.0000,20390
DHG,20070122,265.0000,278.0000,265.0000,275.0000,41610
DHG,20070123,275.0000,279.0000,275.0000,275.0000,24800
DHG,20070124,277.0000,277.0000,270.0000,270.0000,5060
DHG,20070125,270.0000,270.0000,270.0000,270.0000,10380
DHG,20070126,257.0000,257.0000,257.0000,257.0000,3910
DHG,20070129,260.0000,269.0000,260.0000,260.0000,13650
DHG,20070130,273.0000,273.0000,273.0000,273.0000,9400
DHG,20070131,275.0000,275.0000,273.0000,273.0000,48910
DHG,20070201,270.0000,272.0000,270.0000,270.0000,29740
DHG,20070202,272.0000,272.0000,272.0000,272.0000,11700
DHG,20070205,271.0000,271.0000,259.0000,271.0000,3360
DHG,20070206,270.0000,271.0000,270.0000,270.0000,4230
DHG,20070207,265.0000,270.0000,265.0000,265.0000,6110
DHG,20070208,265.0000,265.0000,265.0000,265.0000,5240
DHG,20070209,266.0000,266.0000,266.0000,266.0000,18860
DHG,20070212,266.0000,279.0000,266.0000,279.0000,20590
DHG,20070213,279.0000,290.0000,279.0000,279.0000,1600
DHG,20070214,285.0000,292.0000,279.0000,285.0000,17160
DHG,20070215,285.0000,285.0000,271.0000,285.0000,2050
DHG,20070226,12.7048,12.7048,12.7048,12.7048,9140
DHG,20070227,12.5711,12.7048,12.5711,12.5711,10830
DHG,20070228,12.4819,12.4819,12.4819,12.4819,47740
DHG,20070301,12.2591,12.4819,12.2591,12.2591,9550
DHG,20070302,12.1253,12.7048,12.1253,12.4819,24800
DHG,20070305,12.4819,12.4819,12.2591,12.4819,34830
DHG,20070306,12.9277,12.9277,12.0362,12.9277,36600
DHG,20070307,12.9277,12.9277,12.9277,12.9277,8850
DHG,20070308,12.9277,12.9277,12.4819,12.4819,1950
DHG,20070309,12.4819,12.8832,12.4819,12.4819,18880
DHG,20070312,11.8578,12.3928,11.8578,12.3928,4620
DHG,20070313,12.0362,12.4819,12.0362,12.0362,5200
DHG,20070314,11.6350,11.6350,11.5904,11.6350,1630
DHG,20070315,11.5904,11.5904,11.5904,11.5904,5220
DHG,20070316,12.1699,12.1699,11.1446,11.1446,21900
DHG,20070319,11.6795,11.6795,11.6795,11.6795,11300
DHG,20070320,12.2591,12.2591,12.2591,12.2591,8800
DHG,20070321,12.4819,12.4819,12.2591,12.4819,5570
DHG,20070322,12.4819,12.4819,12.0362,12.0362,1610
DHG,20070323,11.5904,11.5904,11.5904,11.5904,12800
DHG,20070326,11.3675,11.3675,11.3229,11.3229,15510
DHG,20070327,11.3229,11.3229,11.3229,11.3229,7100
DHG,20070328,11.2338,11.2338,11.1446,11.2338,9290
DHG,20070329,11.7687,11.7687,11.5458,11.5458,26110
DHG,20070330,11.5458,11.7241,11.5458,11.7241,48180
DHG,20070402,11.5904,11.7241,11.5904,11.7241,36500
DHG,20070403,11.5012,11.5904,11.5012,11.5904,22040
DHG,20070404,11.5904,11.5904,11.5904,11.5904,20390
DHG,20070405,11.7241,11.7241,11.5012,11.5012,3820
DHG,20070406,11.5458,11.5458,11.1446,11.5458,3090
DHG,20070409,11.5458,11.5458,11.5012,11.5012,4870
DHG,20070410,11.5904,11.6350,11.4566,11.6350,23900
DHG,20070411,11.8133,12.0362,11.8133,12.0362,16650
DHG,20070412,12.2591,12.2591,12.0362,12.0362,14810
DHG,20070413,11.6350,11.6350,11.6350,11.6350,13600
DHG,20070416,11.6350,11.6350,11.5458,11.5458,4890
DHG,20070417,11.3675,11.3675,11.3675,11.3675,33360
DHG,20070418,11.3675,11.3675,11.3675,11.3675,33720
DHG,20070419,11.3675,11.5458,11.3675,11.3675,10220
DHG,20070420,11.5458,11.5458,11.1000,11.1000,5530
DHG,20070423,11.3229,11.3229,10.5651,10.6988,17890
DHG,20070424,11.1446,11.1446,10.2530,10.2976,6130
DHG,20070425,10.5651,10.5651,10.4759,10.4759,4910
DHG,20070502,10.4759,10.6542,10.4759,10.4759,10740
DHG,20070503,10.9217,10.9217,10.9217,10.9217,3650
DHG,20070504,11.1446,11.1446,10.9217,10.9217,4830
DHG,20070507,11.4566,11.4566,11.4566,11.4566,11070
DHG,20070508,11.9916,11.9916,11.9916,11.9916,12840
DHG,20070509,12.5711,12.5711,12.2591,12.2591,48890
DHG,20070510,12.0362,12.2591,12.0362,12.0362,7000
DHG,20070511,11.8799,12.2818,11.8799,12.2818,23920
DHG,20070514,12.5051,12.5051,12.4605,12.4605,15590
DHG,20070515,12.5051,12.5051,12.3265,12.3265,7490
DHG,20070516,11.8352,12.2372,11.8352,12.0585,5160
DHG,20070517,12.0585,12.0585,12.0585,12.0585,8620
DHG,20070518,12.0585,12.2818,12.0585,12.2818,7980
DHG,20070521,12.4605,12.5945,12.4605,12.5945,48880
DHG,20070522,13.2197,13.2197,13.2197,13.2197,57300
DHG,20070523,13.8450,13.8450,13.8450,13.8450,57950
DHG,20070524,13.3984,13.3984,13.3984,13.3984,28460
DHG,20070525,13.3090,13.3090,12.9517,13.3090,18390
DHG,20070528,13.6217,13.6663,13.6217,13.6663,41300
DHG,20070529,13.6663,13.7110,13.6663,13.7110,35420
DHG,20070530,13.7110,13.7110,13.6217,13.6217,32830
DHG,20070531,13.6217,13.8450,13.6217,13.8450,31280
DHG,20070601,13.8450,14.2916,13.8450,14.2916,61720
DHG,20070604,14.5149,14.9615,14.5149,14.8722,39080
DHG,20070605,14.8722,15.1848,14.8722,15.1848,62530
DHG,20070606,15.1848,15.1848,14.5149,14.5149,8000
DHG,20070607,15.2103,15.2103,15.2103,15.2103,20650
DHG,20070608,15.2103,15.2103,15.2103,15.2103,32710
DHG,20070611,15.2103,15.9278,15.2103,15.2103,24320
DHG,20070612,15.7843,15.7843,15.2103,15.2103,17320
DHG,20070613,15.7843,15.7843,15.3060,15.3060,22840
DHG,20070614,15.7843,16.0234,15.7843,16.0234,36100
DHG,20070615,16.5017,16.7887,16.5017,16.7887,55700
DHG,20070618,17.4584,17.6018,17.4584,17.6018,48130
DHG,20070619,18.4628,18.4628,18.4628,18.4628,41150
DHG,20070620,18.4628,18.4628,18.1758,18.1758,25650
DHG,20070621,17.6018,17.6018,17.2670,17.2670,14070
DHG,20070622,18.0802,18.0802,17.2670,18.0802,51320
DHG,20070625,18.9411,18.9411,18.9411,18.9411,43280
DHG,20070626,19.5629,19.5629,19.5629,19.5629,10050
DHG,20070627,19.6108,19.6108,19.5629,19.5629,19470
DHG,20070628,19.1324,19.8499,19.1324,19.8499,35110
DHG,20070629,20.0891,20.8065,20.0891,20.8065,68330
DHG,20070702,20.8065,20.8065,20.8065,20.8065,27660
DHG,20070703,19.8499,19.8499,19.8021,19.8021,2490
DHG,20070704,20.5674,20.5674,20.0891,20.0891,18910
DHG,20070705,20.0891,20.0891,20.0891,20.0891,18740
DHG,20070706,19.6108,19.6108,19.6108,19.6108,11660
DHG,20070709,19.3716,19.8499,19.3238,19.8499,5280
DHG,20070710,20.0891,20.7109,20.0891,20.7109,22210
DHG,20070711,21.7153,21.7153,21.7153,21.7153,57540
DHG,20070712,22.4806,22.4806,21.2848,21.2848,9340
DHG,20070713,21.0457,21.0457,20.4717,20.4717,10180
DHG,20070716,20.4717,20.4717,19.7064,19.7064,9730
DHG,20070717,19.7064,19.7064,19.6586,19.6586,18420
DHG,20070718,19.6108,19.6108,19.6108,19.6108,13510
DHG,20070719,19.1324,19.1324,18.9411,18.9411,12120
DHG,20070720,18.5585,18.5585,18.0323,18.1758,16220
DHG,20070723,18.1758,19.0846,18.1758,19.0846,4380
DHG,20070724,19.9934,19.9934,19.0846,19.0846,28680
DHG,20070725,18.7498,19.5151,18.6541,19.5151,22690
DHG,20070726,19.5151,19.5151,18.5585,18.5585,3110
DHG,20070727,18.6541,18.6541,18.6541,18.6541,5870
DHG,20070730,18.8933,18.8933,17.7453,18.6541,8090
DHG,20070731,18.6541,18.6541,18.1758,18.6541,11810
DHG,20070801,18.6541,18.8933,18.6541,18.6541,13580
DHG,20070802,18.6541,18.6541,18.5585,18.6063,5660
DHG,20070803,18.4628,18.6063,18.4150,18.4628,5050
DHG,20070806,18.5585,18.5585,18.1758,18.1758,4360
DHG,20070807,18.6541,19.0846,18.1758,19.0846,49530
DHG,20070808,19.0846,19.3238,19.0368,19.1324,6780
DHG,20070809,19.1324,19.1324,19.1324,19.1324,7620
DHG,20070810,19.1324,19.1324,18.4628,19.1324,9740
