<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DLG,20180418,3.23,3.23,3.14,3.15,574070,3.23,3.23,3.14,3.15,0,0,0
DLG,20180417,3.30,3.31,3.20,3.23,793490,3.30,3.31,3.20,3.23,0,0,172670
DLG,20180416,3.26,3.33,3.17,3.29,2124290,3.26,3.33,3.17,3.29,0,0,482610
DLG,20180413,3.15,3.15,3.10,3.15,2271220,3.15,3.15,3.10,3.15,0,0,300000
DLG,20180412,3.00,3.03,2.87,2.95,1221970,3.00,3.03,2.87,2.95,0,0,374710
DLG,20180411,3.03,3.10,2.96,2.96,1505230,3.03,3.10,2.96,2.96,0,0,404000
DLG,20180410,3.14,3.20,3.03,3.03,1631450,3.14,3.20,3.03,3.03,0,0,402500
DLG,20180409,3.19,3.23,3.15,3.16,1656510,3.19,3.23,3.15,3.16,0,33300,0
DLG,20180406,3.20,3.24,3.16,3.19,1444230,3.20,3.24,3.16,3.19,0,0,0
DLG,20180405,3.06,3.21,3.06,3.20,2027170,3.06,3.21,3.06,3.20,0,0,0
DLG,20180404,3.05,3.11,3.05,3.06,1851200,3.05,3.11,3.05,3.06,467670,0,1000
DLG,20180403,3.11,3.11,3.04,3.05,1116850,3.11,3.11,3.04,3.05,341500,0,1000
DLG,20180402,3.19,3.19,3.11,3.11,754140,3.19,3.19,3.11,3.11,0,0,100
DLG,20180330,3.16,3.19,3.11,3.15,607350,3.16,3.19,3.11,3.15,11400000,70,0
DLG,20180329,3.20,3.22,3.15,3.18,327950,3.20,3.22,3.15,3.18,0,0,0
DLG,20180328,3.21,3.24,3.16,3.20,1109180,3.21,3.24,3.16,3.20,0,0,1000
DLG,20180327,3.19,3.28,3.19,3.21,2332180,3.19,3.28,3.19,3.21,0,0,0
DLG,20180326,3.16,3.27,3.16,3.19,892140,3.16,3.27,3.16,3.19,0,0,0
DLG,20180323,3.14,3.27,3.14,3.19,814280,3.14,3.27,3.14,3.19,0,30,0
DLG,20180322,3.38,3.38,3.30,3.30,563220,3.38,3.38,3.30,3.30,344715,344715,344715
DLG,20180321,3.36,3.39,3.33,3.35,722460,3.36,3.39,3.33,3.35,0,0,0
DLG,20180320,3.40,3.40,3.35,3.36,1086850,3.40,3.40,3.35,3.36,0,0,0
DLG,20180319,3.41,3.43,3.36,3.40,1369600,3.41,3.43,3.36,3.40,0,0,0
DLG,20180316,3.41,3.43,3.38,3.41,1008130,3.41,3.43,3.38,3.41,0,0,0
DLG,20180315,3.38,3.47,3.38,3.38,1369830,3.38,3.47,3.38,3.38,0,0,0
DLG,20180314,3.34,3.41,3.34,3.38,1501080,3.34,3.41,3.34,3.38,0,0,0
DLG,20180313,3.41,3.41,3.33,3.34,1140920,3.41,3.41,3.33,3.34,0,0,0
DLG,20180312,3.42,3.51,3.40,3.42,1739000,3.42,3.51,3.40,3.42,0,0,0
DLG,20180309,3.54,3.57,3.46,3.49,1326160,3.54,3.57,3.46,3.49,0,0,0
DLG,20180308,3.50,3.57,3.49,3.53,1552970,3.50,3.57,3.49,3.53,0,0,0
DLG,20180307,3.39,3.62,3.39,3.50,3501260,3.39,3.62,3.39,3.50,0,120,0
DLG,20180306,3.40,3.42,3.36,3.39,1812880,3.40,3.42,3.36,3.39,0,120,0
DLG,20180305,3.40,3.56,3.35,3.35,1985180,3.40,3.56,3.35,3.35,0,0,0
DLG,20180302,3.34,3.41,3.27,3.39,2045490,3.34,3.41,3.27,3.39,0,0,0
DLG,20180301,3.39,3.39,3.25,3.34,737560,3.39,3.39,3.25,3.34,0,0,0
DLG,20180228,3.30,3.47,3.30,3.39,1038830,3.30,3.47,3.30,3.39,0,0,0
DLG,20180227,3.28,3.33,3.26,3.31,451880,3.28,3.33,3.26,3.31,0,0,0
DLG,20180226,3.38,3.38,3.28,3.28,987520,3.38,3.38,3.28,3.28,0,0,272010
DLG,20180223,3.41,3.43,3.33,3.38,591250,3.41,3.43,3.33,3.38,0,0,0
DLG,20180222,3.40,3.44,3.35,3.42,380950,3.40,3.44,3.35,3.42,0,0,0
DLG,20180221,3.49,3.49,3.35,3.45,452730,3.49,3.49,3.35,3.45,0,0,0
DLG,20180213,3.27,3.45,3.27,3.45,487320,3.27,3.45,3.27,3.45,0,5000,4200
DLG,20180212,3.15,3.30,3.15,3.27,484780,3.15,3.30,3.15,3.27,0,0,0
DLG,20180209,3.00,3.15,2.98,3.15,818930,3.00,3.15,2.98,3.15,0,0,7170
DLG,20180208,3.20,3.26,3.15,3.15,1524210,3.20,3.26,3.15,3.15,0,21000,2500
DLG,20180207,3.19,3.24,3.18,3.24,2554600,3.19,3.24,3.18,3.24,0,0,0
DLG,20180206,3.03,3.15,3.03,3.03,3464430,3.03,3.15,3.03,3.03,0,200,3640
DLG,20180205,3.50,3.50,3.25,3.25,3079420,3.50,3.50,3.25,3.25,0,0,439790
DLG,20180202,3.53,3.65,3.47,3.49,1425930,3.53,3.65,3.47,3.49,0,0,0
DLG,20180201,3.65,3.65,3.55,3.55,2104770,3.65,3.65,3.55,3.55,0,0,0
