<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DPG,20170112,43.4000,43.4000,43.4000,43.4000,100
DPG,20170113,43.4000,43.4000,43.4000,43.4000,0
DPG,20170116,49.9000,49.9000,49.9000,49.9000,100
DPG,20170117,57.3000,57.3000,57.3000,57.3000,900
DPG,20170118,65.8000,65.8000,65.8000,65.8000,1300
DPG,20170119,75.6000,75.6000,66.5000,75.6000,21800
DPG,20170120,78.0000,84.7000,78.0000,84.7000,1350
DPG,20170123,95.6000,95.6000,80.1000,95.6000,11100
DPG,20170124,90.0000,94.3000,71.5000,94.3000,38500
DPG,20170125,102.0000,102.6000,102.0000,102.6000,16900
DPG,20170202,103.0000,103.0000,100.0000,100.0000,2200
DPG,20170203,95.0000,105.0000,90.0000,100.0000,4700
DPG,20170206,100.0000,100.0000,99.9000,99.9000,2600
DPG,20170207,92.0000,92.0000,89.0000,90.0000,11600
DPG,20170208,91.0000,92.0000,83.1000,88.6000,28100
DPG,20170209,85.0000,88.6000,76.2000,86.0000,29200
DPG,20170210,85.0000,85.0000,84.0000,84.0000,11000
DPG,20170213,78.5000,83.0000,73.5000,79.0000,61000
DPG,20170214,76.0000,82.5000,74.1000,81.0000,56350
DPG,20170215,82.8000,90.0000,82.8000,86.5000,30020
DPG,20170216,86.2000,86.9000,85.5000,85.8000,44802
DPG,20170217,86.0000,89.0000,86.0000,87.5000,46000
DPG,20170220,89.0000,89.0000,87.5000,88.0000,25800
DPG,20170221,88.9000,92.0000,88.9000,91.5000,46820
DPG,20170222,91.8000,99.0000,91.8000,97.0000,44695
DPG,20170223,91.1000,98.0000,91.1000,95.5000,10466
DPG,20170224,95.5000,95.5000,94.5000,95.5000,16000
DPG,20170227,94.0000,99.9000,94.0000,96.0000,30400
DPG,20170228,95.0000,95.6000,95.0000,95.1000,13267
DPG,20170301,95.4000,95.5000,93.5000,93.5000,11436
DPG,20170302,91.0000,93.0000,90.1000,92.0000,17600
DPG,20170303,92.0000,96.5000,91.4000,94.0000,30196
DPG,20170306,96.0000,96.5000,95.0000,96.0000,41493
DPG,20170307,96.4000,98.7000,96.4000,97.0000,48395
DPG,20170308,96.3000,98.0000,96.3000,97.1000,11913
DPG,20170309,97.7000,97.7000,97.0000,97.5000,21210
DPG,20170310,98.0000,104.9000,98.0000,102.0000,74848
DPG,20170313,104.0000,116.7000,104.0000,116.7000,88634
DPG,20170314,122.0000,124.9000,117.2000,120.5000,30700
DPG,20170315,124.0000,124.0000,118.0000,119.9000,36498
DPG,20170316,116.3000,123.9000,116.3000,122.5000,31129
DPG,20170317,125.0000,125.0000,119.0000,121.5000,7082
DPG,20170320,120.0000,120.0000,116.3000,118.0000,31374
DPG,20170321,118.0000,123.0000,118.0000,120.4000,64914
DPG,20170322,120.5000,120.5000,113.0000,115.0000,61822
DPG,20170323,115.9000,122.0000,114.0000,119.0000,55000
DPG,20170324,120.0000,123.0000,120.0000,121.9000,42910
DPG,20170327,120.0000,126.0000,116.0000,125.7000,68097
DPG,20170328,125.0000,135.7000,125.0000,133.9000,42481
DPG,20170329,135.0000,138.0000,135.0000,137.0000,36461
DPG,20170330,140.5000,140.8000,138.9000,140.0000,38227
DPG,20170331,139.2000,139.2000,120.1000,123.0000,154254
DPG,20170403,122.0000,125.0000,118.0000,119.5000,46910
