<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DPM,20071017,28.5943,28.5943,28.5943,28.5943,0
DPM,20071018,28.5943,28.5943,25.8592,25.8592,0
DPM,20071023,25.8592,25.8592,25.8592,25.8592,0
DPM,20071024,25.8592,26.1078,25.8592,26.1078,0
DPM,20071025,26.1078,26.3565,26.1078,26.3565,0
DPM,20071026,26.3565,26.3565,26.1078,26.1078,0
DPM,20071029,26.1078,26.1078,26.1078,26.1078,0
DPM,20071030,26.1078,26.1078,26.1078,26.1078,0
DPM,20071031,26.1078,26.1078,25.6106,25.6106,0
DPM,20071101,25.6106,26.8538,25.6106,26.8538,0
DPM,20071102,26.8538,26.8538,26.8538,26.8538,0
DPM,20071105,26.8538,26.8538,23.6214,23.6214,3379950
DPM,20071106,23.6214,23.6214,22.5025,22.5025,572750
DPM,20071107,22.5025,22.8754,21.3836,22.0052,2758160
DPM,20071108,22.0052,22.1295,21.3836,21.5079,1424890
DPM,20071109,21.5079,21.5079,20.6376,20.8863,2272600
DPM,20071112,20.8863,21.2592,20.6376,21.1349,1667190
DPM,20071113,21.1349,21.2592,20.6376,21.0106,2910860
DPM,20071114,21.0106,22.0052,21.0106,22.0052,2139660
DPM,20071115,22.0052,22.0052,21.1349,21.1349,1016050
DPM,20071116,21.1349,21.1349,20.6376,20.7620,855700
DPM,20071119,20.7620,20.8863,20.5133,20.5133,887740
DPM,20071120,20.5133,20.5133,20.0160,20.0160,1203340
DPM,20071121,20.0160,20.0160,19.6430,19.8917,1338580
DPM,20071122,19.8917,20.2647,19.8917,19.8917,900600
DPM,20071123,19.8917,20.0160,19.6430,19.6430,588830
DPM,20071126,19.6430,19.8917,19.6430,19.6430,528680
DPM,20071127,19.6430,19.8917,19.6430,19.6430,615750
DPM,20071128,19.6430,19.7674,19.3944,19.3944,667720
DPM,20071129,19.3944,19.3944,19.1458,19.1458,834760
DPM,20071130,19.1458,19.2701,18.8971,19.2701,848210
DPM,20071203,19.2701,19.6430,19.2701,19.6430,630220
DPM,20071204,19.6430,19.8917,19.6430,19.7674,796420
DPM,20071205,19.7674,19.7674,19.3944,19.5187,973250
DPM,20071206,19.5187,19.5187,19.3944,19.5187,456540
DPM,20071207,19.5187,19.5187,19.2701,19.3944,377460
DPM,20071210,19.3944,19.3944,18.6485,18.6485,852870
DPM,20071211,18.6485,18.6485,17.7782,18.1512,1485050
DPM,20071212,18.1512,18.7728,18.1512,18.5241,581180
DPM,20071213,18.5241,18.6485,18.2755,18.2755,427130
DPM,20071214,18.2755,18.2755,18.1512,18.1512,492400
DPM,20071217,18.1512,18.1512,17.5296,17.5296,384540
DPM,20071218,17.5296,18.1512,17.5296,18.1512,1043170
DPM,20071219,18.1512,19.0214,18.1512,18.8971,948480
DPM,20071220,18.8971,18.8971,18.2755,18.2755,524070
DPM,20071221,18.2755,18.3998,18.2755,18.3998,425260
DPM,20071224,18.3998,18.3998,18.0268,18.2755,532460
DPM,20071225,18.2755,18.2755,17.9025,18.0268,552150
DPM,20071226,18.0268,18.0268,17.9025,18.0268,537030
DPM,20071227,18.0268,18.1512,18.0268,18.0268,389360
DPM,20071228,18.0268,18.3998,17.9025,18.3998,539370
DPM,20080102,18.3998,18.3998,18.2755,18.3998,700320
DPM,20080103,18.3998,18.3998,18.0268,18.0268,336450
DPM,20080104,18.0268,18.1512,17.9025,17.9025,277810
DPM,20080107,17.9025,17.9025,17.4052,17.4052,650020
DPM,20080108,17.4052,17.9025,17.4052,17.6539,630360
DPM,20080109,17.6539,17.7782,17.4052,17.4052,678580
DPM,20080110,17.4052,17.4052,16.7836,16.9079,789140
DPM,20080111,16.9079,17.2809,16.9079,17.0323,706860
DPM,20080114,17.0323,17.1566,16.5350,16.5350,567450
DPM,20080115,16.5350,16.5350,15.7890,15.7890,1022110
DPM,20080116,15.7890,16.5350,15.7890,16.5350,1056830
DPM,20080117,16.5350,16.5350,15.9134,16.1620,830310
DPM,20080118,16.1620,16.5350,16.0377,16.4106,337570
DPM,20080121,16.4106,16.4106,16.0377,16.0377,248090
DPM,20080122,16.0377,16.0377,15.5404,15.6647,482620
DPM,20080123,15.6647,15.6647,14.9188,15.0431,911760
DPM,20080124,15.0431,15.4161,15.0431,15.0431,1071270
DPM,20080125,15.0431,15.4161,14.9188,15.1674,742600
DPM,20080128,15.1674,15.4161,15.0431,15.4161,678990
DPM,20080129,15.4161,16.1620,15.4161,16.1620,1132100
DPM,20080130,16.1620,16.9079,16.1620,16.9079,1473030
DPM,20080131,16.9079,16.9079,16.1620,16.7836,1554860
DPM,20080201,16.7836,17.0323,16.7836,17.0323,1169310
DPM,20080212,17.0323,17.0323,16.6593,16.6593,735250
DPM,20080213,16.6593,16.6593,16.1620,16.4106,676590
DPM,20080214,16.4106,16.7836,16.4106,16.4106,1001960
DPM,20080215,16.4106,16.4106,16.1620,16.1620,490090
DPM,20080218,16.1620,16.1620,15.4161,15.4161,1300970
DPM,20080219,15.4161,15.5404,15.1674,15.4161,1054750
DPM,20080220,15.4161,15.4161,14.6701,14.6701,1099330
DPM,20080221,14.6701,14.6701,14.0485,14.0485,1570450
DPM,20080222,14.0485,14.1728,13.4269,14.0485,1917560
DPM,20080225,14.0485,14.6701,14.0485,14.6701,986860
DPM,20080226,14.6701,14.6701,14.0485,14.0485,1462260
DPM,20080227,14.0485,14.4215,13.9242,14.1728,776840
DPM,20080228,14.1728,14.4215,14.0485,14.1728,966770
DPM,20080229,14.1728,14.2972,13.7999,13.9242,932430
DPM,20080303,13.9242,13.9242,13.3026,13.3026,1488990
DPM,20080304,13.3026,13.3026,12.6810,12.6810,1176050
DPM,20080305,12.6810,12.6810,12.0593,12.3080,1943170
DPM,20080306,12.3080,12.8053,12.3080,12.8053,310750
DPM,20080307,12.8053,13.4269,12.8053,13.4269,66930
DPM,20080310,13.4269,14.0485,13.4269,14.0485,2740580
DPM,20080311,14.0485,14.0485,13.5512,13.7999,2036820
DPM,20080312,13.7999,14.4215,13.7999,14.1728,1467140
DPM,20080313,14.1728,14.4215,14.0485,14.2972,1035140
DPM,20080314,14.2972,14.4215,14.0485,14.2972,957150
DPM,20080317,14.2972,14.2972,13.6755,13.6755,1642900
DPM,20080318,13.6755,13.6755,13.0539,13.0539,1194890
DPM,20080319,13.0539,13.3026,12.5566,12.6810,2308980
DPM,20080320,12.6810,13.0539,12.6810,12.6810,1277620
DPM,20080321,12.6810,12.8053,12.4323,12.4323,1526440
DPM,20080324,12.4323,12.4323,11.8107,11.8107,1436350
DPM,20080325,11.8107,11.8107,11.2388,11.2388,1325860
DPM,20080326,11.2388,11.7858,11.2388,11.7858,1483350
DPM,20080327,11.7858,11.8853,11.7858,11.8853,38890
DPM,20080328,11.8853,11.9847,11.8853,11.9847,26910
DPM,20080331,11.9847,12.0842,11.9847,12.0842,25470
DPM,20080401,12.0842,12.1837,12.0842,12.1837,26040
DPM,20080402,12.1837,12.2831,12.1837,12.2831,720
DPM,20080403,12.2831,12.3826,12.2831,12.3826,10830
DPM,20080404,12.3826,12.4323,12.3826,12.4323,18410
DPM,20080407,12.4323,12.6810,12.4323,12.6810,24750
DPM,20080408,12.6810,12.9296,12.5566,12.9296,2428410
DPM,20080409,12.9296,13.1782,12.9296,13.1782,911220
DPM,20080410,13.1782,13.1782,12.9296,12.9296,1612540
DPM,20080411,12.9296,12.9296,12.6810,12.6810,1438140
DPM,20080416,12.6810,12.6810,12.4323,12.6810,1166460
DPM,20080417,12.6810,12.9296,12.6810,12.9296,715050
DPM,20080418,12.9296,13.1782,12.9296,13.1782,1785770
DPM,20080421,13.1782,13.3049,13.0515,13.1782,789080
DPM,20080422,13.1782,13.1782,12.9248,13.0515,954070
DPM,20080423,13.0515,13.0515,12.7981,12.7981,1064470
DPM,20080424,12.7981,13.0515,12.7981,13.0515,765670
DPM,20080425,13.0515,13.1782,12.9248,13.0515,613620
DPM,20080428,13.0515,13.3049,13.0515,13.3049,1022100
DPM,20080429,13.3049,13.5584,13.3049,13.5584,1279060
DPM,20080505,13.5584,13.5584,13.3049,13.3049,536630
DPM,20080506,13.3049,13.3049,13.0515,13.1782,586880
DPM,20080507,13.1782,13.1782,13.0515,13.1782,887940
DPM,20080508,13.1782,13.1782,12.9248,13.0515,835170
DPM,20080509,13.0515,13.0515,12.7981,12.7981,1195210
DPM,20080512,12.7981,12.7981,12.5447,12.5447,1206960
DPM,20080513,12.5447,12.5447,12.3166,12.3166,230630
DPM,20080514,12.3166,12.3166,12.0885,12.0885,163910
DPM,20080515,12.0885,12.0885,11.8604,11.8604,111400
DPM,20080516,11.8604,12.0885,11.6323,11.6323,2270960
DPM,20080519,11.6323,11.7844,11.4549,11.6577,779980
DPM,20080520,11.6577,11.6577,11.4296,11.4296,551250
DPM,20080521,11.4296,11.4296,11.2015,11.2015,429010
DPM,20080522,11.2015,11.2015,10.9988,10.9988,483300
DPM,20080523,10.9988,10.9988,10.7960,10.7960,159700
DPM,20080526,10.7960,10.7960,10.5933,10.5933,104980
DPM,20080527,10.5933,10.5933,10.5933,10.5933,0
DPM,20080528,10.5933,10.5933,10.5933,10.5933,0
DPM,20080529,10.5933,10.5933,10.5933,10.5933,0
DPM,20080530,10.5933,10.5933,10.3905,10.3905,65020
DPM,20080602,10.3905,10.3905,10.1878,10.1878,20860
DPM,20080603,10.1878,10.1878,9.9850,9.9850,12780
DPM,20080604,9.9850,9.9850,9.8076,9.8076,12210
DPM,20080605,9.8076,9.8076,9.6302,9.6302,17660
DPM,20080606,9.6302,9.6302,9.4528,9.4528,25330
DPM,20080609,9.4528,9.4528,9.2755,9.2755,9110
DPM,20080610,9.2755,9.2755,9.0981,9.0981,65750
DPM,20080611,9.0981,9.2755,8.9207,8.9967,1899000
DPM,20080612,8.9967,9.1741,8.9967,9.1741,520940
DPM,20080613,9.1741,9.3515,9.1741,9.3515,309190
DPM,20080616,9.3515,9.5289,9.3515,9.5289,51750
DPM,20080617,9.5289,9.7063,9.5289,9.7063,30130
DPM,20080618,9.7063,9.8837,9.5289,9.7063,2813320
DPM,20080619,9.7063,9.7063,9.4275,9.4275,935160
DPM,20080620,9.4275,9.4275,9.1487,9.1487,688760
DPM,20080623,9.1487,9.4022,9.1487,9.4022,107670
DPM,20080624,9.4022,9.6809,9.4022,9.6809,39740
DPM,20080625,9.6809,9.9597,9.6809,9.9597,86480
DPM,20080626,9.9597,10.2385,9.9597,10.2385,2300550
DPM,20080627,10.2385,10.5426,10.1878,10.5426,855020
DPM,20080630,10.5426,10.8467,10.5426,10.8467,113990
DPM,20080701,10.8467,11.1508,10.8467,11.1508,50980
DPM,20080702,11.1508,11.4803,11.1508,11.4803,164770
DPM,20080703,11.4803,11.8097,11.4803,11.8097,57220
DPM,20080704,11.8097,12.1392,11.8097,12.1392,203170
DPM,20080707,12.1392,12.4940,12.1392,12.4180,2684390
DPM,20080708,12.4180,12.6714,12.1899,12.6714,1849480
DPM,20080709,12.6714,13.0515,12.6714,13.0515,1831960
DPM,20080710,13.0515,13.4317,13.0515,13.4317,335630
DPM,20080711,13.4317,13.8118,13.4317,13.8118,192780
DPM,20080714,13.8118,14.1919,13.8118,14.1919,206790
DPM,20080715,14.1919,14.5721,14.1919,14.5721,65550
DPM,20080716,14.5721,14.9522,14.5721,14.9522,3128060
DPM,20080717,14.9522,15.3324,14.9522,15.3324,739010
DPM,20080718,15.3324,15.7125,14.9522,14.9522,4523280
DPM,20080721,14.9522,14.9522,14.5721,14.5721,488970
DPM,20080722,14.5721,14.5721,14.1919,14.1919,169680
DPM,20080723,14.1919,14.1919,13.8118,13.8118,317640
DPM,20080724,13.8118,14.1919,13.4317,13.4317,4694090
DPM,20080725,13.4317,13.5584,13.0515,13.1782,1249960
DPM,20080728,13.1782,13.5584,13.1782,13.5584,412220
DPM,20080729,13.5584,13.9385,13.5584,13.9385,35360
DPM,20080730,13.9385,14.3187,13.6851,14.1919,2898600
DPM,20080731,14.1919,14.5721,14.0652,14.5721,2077390
DPM,20080801,14.5721,14.9522,14.5721,14.6988,1563470
DPM,20080804,14.6988,14.6988,14.3187,14.3187,589540
DPM,20080805,14.3187,14.3187,13.9385,13.9385,838520
DPM,20080806,13.9385,14.3187,13.9385,14.3187,856490
DPM,20080807,14.3187,14.6988,14.3187,14.3187,1980150
DPM,20080808,14.3187,14.6988,14.3187,14.6988,1334250
DPM,20080811,14.6988,15.0789,14.6988,15.0789,1642950
DPM,20080812,15.0789,15.4591,15.0789,15.4591,3180140
DPM,20080813,15.4591,15.7125,15.0789,15.4591,1669870
DPM,20080814,15.4591,15.8392,15.4591,15.8392,1640590
DPM,20080815,15.8392,16.2194,15.8392,16.2194,231400
DPM,20080818,16.2194,16.9796,16.2194,16.9796,2392530
DPM,20080819,16.9796,16.9796,16.2194,16.3461,2845520
DPM,20080820,16.3461,16.5995,15.8392,16.0927,2213810
DPM,20080821,16.0927,16.8529,16.0927,16.8529,2073370
DPM,20080822,16.8529,16.9796,16.3461,16.3461,1224240
DPM,20080825,16.3461,17.1064,16.3461,17.1064,1863690
DPM,20080826,17.1064,17.7399,16.9796,17.1064,2056940
DPM,20080827,17.1064,17.4865,16.7262,16.7262,2118480
DPM,20080828,16.7262,16.7262,15.9659,15.9659,923100
DPM,20080829,15.9659,16.4728,15.2057,16.4728,2830010
DPM,20080903,16.4728,17.1064,16.4728,16.7262,1118450
DPM,20080904,16.7262,16.7262,15.9659,16.4728,845920
DPM,20080905,16.4728,16.4728,15.7125,15.7125,645630
DPM,20080908,15.7125,15.7125,14.9522,15.2057,910240
DPM,20080909,15.2057,15.8392,15.2057,15.4591,520710
DPM,20080910,15.4591,15.8392,15.2057,15.4591,712850
DPM,20080911,15.4591,15.4591,15.2057,15.2057,791640
DPM,20080912,15.2057,15.2057,14.4454,14.4454,1231110
DPM,20080915,14.4454,15.0789,14.4454,15.0789,730080
DPM,20080916,15.0789,15.0789,14.4454,14.4454,457930
DPM,20080917,14.4454,14.4454,13.8118,13.9385,1407240
DPM,20080918,13.9385,13.9385,13.3049,13.3049,1300800
DPM,20080919,13.3049,13.9385,13.3049,13.9385,506680
DPM,20080922,13.9385,14.5721,13.9385,14.5721,40530
DPM,20080923,14.5721,15.2057,14.0652,14.8255,2065620
DPM,20080924,14.8255,14.8255,14.4454,14.4454,482270
DPM,20080925,14.4454,15.0789,14.4454,15.0789,910350
DPM,20080926,15.0789,15.7125,15.0789,15.3324,1068290
DPM,20080929,15.3324,15.9659,14.9522,15.9659,1531940
DPM,20080930,15.9659,15.9659,15.2057,15.2057,22050
DPM,20081001,15.2057,15.3324,14.5721,14.6988,776070
