<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DPR,20191119,38.10,38.50,38.10,38.50,24110,38.10,38.50,38.10,38.50,0,2110,0
DPR,20191118,38.50,38.50,38.20,38.20,12620,38.50,38.50,38.20,38.20,0,2110,0
DPR,20191115,39.00,39.00,38.50,38.50,13740,39.00,39.00,38.50,38.50,0,38620,300
DPR,20191114,37.90,39.00,37.90,39.00,93260,37.90,39.00,37.90,39.00,0,38620,300
DPR,20191113,37.30,37.90,37.30,37.90,49270,37.30,37.90,37.30,37.90,0,6920,230
DPR,20191112,37.15,37.45,37.05,37.45,43840,37.15,37.45,37.05,37.45,0,20000,900
DPR,20191111,37.40,37.40,37.10,37.20,14130,37.40,37.40,37.10,37.20,0,200,2310
DPR,20191108,37.30,37.65,37.30,37.30,36940,37.30,37.65,37.30,37.30,0,960,0
DPR,20191107,37.35,37.35,37.20,37.35,13360,37.35,37.35,37.20,37.35,0,430,3000
DPR,20191106,36.50,37.15,36.50,37.15,23170,36.50,37.15,36.50,37.15,0,0,15010
DPR,20191105,36.60,36.70,36.50,36.60,22650,36.60,36.70,36.50,36.60,0,0,600
DPR,20191104,36.75,36.90,36.60,36.60,23400,36.75,36.90,36.60,36.60,0,0,480
DPR,20191101,36.80,36.95,36.70,36.80,10070,36.80,36.95,36.70,36.80,0,0,3030
DPR,20191031,37.00,37.20,36.95,36.95,23690,37.00,37.20,36.95,36.95,0,20,0
DPR,20191030,37.20,37.40,36.90,37.00,37640,37.20,37.40,36.90,37.00,0,2290,0
DPR,20191029,37.50,37.60,37.45,37.45,34390,37.50,37.60,37.45,37.45,0,3260,0
DPR,20191028,37.60,37.60,37.30,37.40,46610,37.60,37.60,37.30,37.40,0,9190,0
DPR,20191025,37.55,37.55,37.25,37.30,12820,37.55,37.55,37.25,37.30,0,0,0
DPR,20191024,37.10,37.60,37.10,37.25,24940,37.10,37.60,37.10,37.25,0,0,0
DPR,20191023,37.30,37.40,37.00,37.40,14740,37.30,37.40,37.00,37.40,0,0,0
DPR,20191022,36.80,37.25,36.80,37.15,48920,36.80,37.25,36.80,37.15,0,5000,9000
DPR,20191021,37.60,37.80,37.00,37.00,59160,37.60,37.80,37.00,37.00,0,5500,20180
DPR,20191018,37.85,37.90,37.50,37.80,27280,37.85,37.90,37.50,37.80,0,2200,0
DPR,20191017,37.40,37.80,37.00,37.50,38790,37.40,37.80,37.00,37.50,0,7970,0
DPR,20191016,37.10,37.65,37.00,37.45,57340,37.10,37.65,37.00,37.45,0,0,1400
DPR,20191015,37.40,37.80,37.30,37.35,63350,37.40,37.80,37.30,37.35,0,0,0
DPR,20191014,36.20,37.80,36.20,37.60,98160,36.20,37.80,36.20,37.60,0,0,0
DPR,20191011,35.90,36.50,35.45,36.20,27320,35.90,36.50,35.45,36.20,0,0,0
DPR,20191010,36.05,36.10,35.45,35.45,113150,36.05,36.10,35.45,35.45,0,60,93440
DPR,20191009,36.00,36.25,35.55,35.95,129950,36.00,36.25,35.55,35.95,0,0,86560
DPR,20191008,36.20,36.80,36.00,36.15,140770,36.20,36.80,36.00,36.15,0,10,113440
DPR,20191007,36.50,36.70,36.40,36.45,66260,36.50,36.70,36.40,36.45,0,0,24260
DPR,20191004,37.05,37.05,36.60,36.70,103260,37.05,37.05,36.60,36.70,0,0,51520
DPR,20191003,37.10,37.20,36.90,36.95,83380,37.10,37.20,36.90,36.95,0,40,46120
DPR,20191002,37.50,37.50,37.20,37.25,83740,37.50,37.50,37.20,37.25,0,0,0
DPR,20191001,37.85,37.85,37.20,37.55,42500,37.85,37.85,37.20,37.55,0,0,0
DPR,20190930,37.10,37.70,37.10,37.70,39030,37.10,37.70,37.10,37.70,0,100,3000
DPR,20190927,37.45,37.45,37.00,37.10,72510,37.45,37.45,37.00,37.10,0,0,0
DPR,20190926,37.20,37.20,37.10,37.10,33300,37.20,37.20,37.10,37.10,0,10,12440
