<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DRC,20190227,22.20,22.70,22.10,22.50,346200,22.20,22.70,22.10,22.50,0,10,0
DRC,20190226,22.30,22.30,21.95,22.20,212810,22.30,22.30,21.95,22.20,0,0,1300
DRC,20190225,22.05,22.30,21.80,22.30,308700,22.05,22.30,21.80,22.30,0,0,14940
DRC,20190222,21.55,22.25,21.50,22.05,413510,21.55,22.25,21.50,22.05,0,40,3000
DRC,20190221,21.20,21.65,21.00,21.60,148710,21.20,21.65,21.00,21.60,0,0,4510
DRC,20190220,21.50,21.50,21.00,21.20,493460,21.50,21.50,21.00,21.20,0,36600,247860
DRC,20190219,21.45,21.55,21.25,21.25,420710,21.45,21.55,21.25,21.25,0,100,200200
DRC,20190218,21.55,21.75,21.30,21.60,462200,21.55,21.75,21.30,21.60,0,26200,323170
DRC,20190215,22.00,22.20,21.55,21.60,407290,22.00,22.20,21.55,21.60,0,51150,300060
DRC,20190214,22.00,22.20,21.60,21.70,483650,22.00,22.20,21.60,21.70,0,0,400000
DRC,20190213,22.30,22.40,21.90,22.05,296830,22.30,22.40,21.90,22.05,100000,104760,300490
DRC,20190212,21.70,22.40,21.70,22.20,305080,21.70,22.40,21.70,22.20,0,5330,0
DRC,20190211,21.65,21.90,21.60,21.65,127800,21.65,21.90,21.60,21.65,0,5330,0
DRC,20190201,21.80,21.80,21.30,21.65,68760,21.80,21.80,21.30,21.65,0,0,0
DRC,20190131,21.70,21.75,21.35,21.75,94310,21.70,21.75,21.35,21.75,0,50000,0
DRC,20190130,21.85,21.85,21.50,21.55,46150,21.85,21.85,21.50,21.55,0,0,0
DRC,20190129,21.80,21.80,21.50,21.80,46570,21.80,21.80,21.50,21.80,0,0,0
DRC,20190128,21.75,21.95,21.75,21.80,82290,21.75,21.95,21.75,21.80,0,0,0
DRC,20190125,21.30,21.60,21.30,21.50,58070,21.30,21.60,21.30,21.50,0,0,3000
DRC,20190124,21.65,21.90,21.30,21.40,232950,21.65,21.90,21.30,21.40,0,0,0
DRC,20190123,22.00,22.30,21.65,21.70,138410,22.00,22.30,21.65,21.70,0,0,0
DRC,20190122,22.40,22.40,22.00,22.00,149150,22.40,22.40,22.00,22.00,0,0,0
DRC,20190121,22.60,22.60,22.35,22.40,63540,22.60,22.60,22.35,22.40,0,0,2000
DRC,20190118,22.20,22.70,22.20,22.60,186360,22.20,22.70,22.20,22.60,0,97520,0
DRC,20190117,22.70,22.70,22.30,22.30,194170,22.70,22.70,22.30,22.30,0,25610,10
DRC,20190116,22.60,22.95,22.50,22.60,181970,22.60,22.95,22.50,22.60,0,63650,0
DRC,20190115,22.50,22.90,22.50,22.85,337060,22.50,22.90,22.50,22.85,0,108000,0
DRC,20190114,22.20,22.90,22.00,22.55,168870,22.20,22.90,22.00,22.55,0,0,0
DRC,20190111,22.40,22.40,22.00,22.20,103680,22.40,22.40,22.00,22.20,0,80,1100
DRC,20190110,21.60,22.30,21.40,22.30,295930,21.60,22.30,21.40,22.30,0,0,4420
DRC,20190109,21.60,21.75,21.40,21.60,60090,21.60,21.75,21.40,21.60,0,400,1000
DRC,20190108,21.20,21.75,21.15,21.60,186440,21.20,21.75,21.15,21.60,0,0,1000
DRC,20190107,21.05,21.40,21.05,21.15,143270,21.05,21.40,21.05,21.15,0,0,3440
DRC,20190104,21.00,21.30,20.80,21.05,174400,21.00,21.30,20.80,21.05,0,2930,11200
DRC,20190103,21.30,21.80,21.00,21.40,118140,21.30,21.80,21.00,21.40,0,0,0
DRC,20190102,21.60,21.95,21.40,21.60,166710,21.60,21.95,21.40,21.60,0,0,0
DRC,20181228,21.45,21.60,21.10,21.50,141260,21.45,21.60,21.10,21.50,0,0,3000
DRC,20181227,21.30,21.30,20.80,21.10,162540,21.30,21.30,20.80,21.10,0,0,0
DRC,20181226,20.50,20.90,20.45,20.50,180030,20.50,20.90,20.45,20.50,0,2000,0
DRC,20181225,21.00,21.00,20.20,20.50,438600,21.00,21.00,20.20,20.50,0,0,0
DRC,20181224,21.30,21.80,21.00,21.05,145990,21.30,21.80,21.00,21.05,49350,0,0
DRC,20181221,21.50,21.60,21.15,21.50,75260,21.50,21.60,21.15,21.50,0,0,5010
DRC,20181220,21.30,21.75,21.30,21.75,49000,21.30,21.75,21.30,21.75,0,3000,6600
DRC,20181219,21.00,21.50,21.00,21.35,114200,21.00,21.50,21.00,21.35,0,0,890
DRC,20181218,21.60,22.00,21.40,21.45,431410,21.60,22.00,21.40,21.45,0,0,70010
DRC,20181217,22.55,22.70,22.45,22.45,131920,22.55,22.70,22.45,22.45,0,40000,0
DRC,20181214,23.20,23.20,22.80,22.80,168450,23.20,23.20,22.80,22.80,0,48220,4480
DRC,20181213,22.85,23.15,22.85,22.95,255280,22.85,23.15,22.85,22.95,0,110210,32520
DRC,20181212,22.60,22.70,22.45,22.70,164830,22.90,23.00,22.75,23.00,0,35900,35000
DRC,20181211,22.90,22.90,22.41,22.50,189530,23.20,23.20,22.70,22.80,0,48300,0
DRC,20181210,22.90,23.15,22.60,22.90,112080,23.20,23.45,22.90,23.20,0,24000,0
DRC,20181207,22.01,22.90,22.01,22.90,366330,22.30,23.20,22.30,23.20,0,36950,8020
DRC,20181206,22.31,22.40,21.76,22.21,452350,22.60,22.70,22.05,22.50,0,43750,203000
DRC,20181205,21.81,22.95,21.81,22.70,412430,22.10,23.25,22.10,23.00,0,93000,210
DRC,20181204,21.47,22.31,21.47,22.11,208780,21.75,22.60,21.75,22.40,0,0,6070
DRC,20181203,21.67,21.86,21.32,21.47,382200,21.95,22.15,21.60,21.75,0,65750,244130
DRC,20181130,21.27,21.42,20.98,21.32,186890,21.55,21.70,21.25,21.60,0,10000,0
DRC,20181129,21.72,21.72,21.22,21.42,95520,22.00,22.00,21.50,21.70,0,5000,0
DRC,20181128,21.42,21.72,21.22,21.52,89570,21.70,22.00,21.50,21.80,0,1270,0
DRC,20181127,22.06,22.06,21.51,21.52,57330,22.35,22.35,21.80,21.80,0,550,0
DRC,20181126,21.61,22.10,21.22,21.86,84420,21.90,22.40,21.50,22.15,0,1050,0
DRC,20181123,22.16,22.16,21.67,21.71,112200,22.45,22.45,21.95,22.00,0,30,1130
DRC,20181122,22.51,22.51,21.82,22.16,94880,22.80,22.80,22.10,22.45,0,35000,0
DRC,20181121,21.71,22.35,21.32,22.26,168510,22.00,22.65,21.60,22.55,0,0,25000
DRC,20181120,21.42,22.01,21.22,21.86,228390,21.70,22.30,21.50,22.15,0,11800,34230
DRC,20181119,20.92,21.51,20.82,21.32,82080,21.20,21.80,21.10,21.60,0,0,26000
DRC,20181116,21.12,21.12,20.78,20.92,63500,21.40,21.40,21.05,21.20,0,0,28500
DRC,20181115,21.32,21.32,20.73,20.73,50160,21.60,21.60,21.00,21.00,0,0,26000
DRC,20181114,21.47,21.47,20.78,20.83,168990,21.75,21.75,21.05,21.10,0,5940,50000
DRC,20181113,20.77,21.51,20.77,21.47,106340,21.05,21.80,21.05,21.75,0,30000,0
DRC,20181112,21.56,21.91,20.92,21.12,154990,21.85,22.20,21.20,21.40,0,17800,47220
DRC,20181109,22.00,22.00,21.51,21.61,107170,22.30,22.30,21.80,21.90,0,17300,30000
DRC,20181108,22.65,23.09,21.61,21.61,207870,22.95,23.40,21.90,21.90,0,0,115700
DRC,20181107,22.70,23.09,22.30,22.65,225100,23.00,23.40,22.60,22.95,0,5000,23700
DRC,20181106,21.22,22.55,21.12,22.55,447490,21.50,22.85,21.40,22.85,0,85260,11230
DRC,20181105,21.27,21.27,20.83,21.12,98080,21.55,21.55,21.10,21.40,0,0,0
DRC,20181102,20.73,21.27,20.73,21.27,113190,21.00,21.55,21.00,21.55,0,0,0
DRC,20181101,21.22,21.22,20.53,20.73,73150,21.50,21.50,20.80,21.00,0,0,0
DRC,20181031,20.73,21.02,20.53,20.83,226350,21.00,21.30,20.80,21.10,0,15040,0
DRC,20181030,20.53,21.02,20.53,20.53,86210,20.80,21.30,20.80,20.80,0,17000,0
DRC,20181029,20.33,20.92,20.33,20.53,113090,20.60,21.20,20.60,20.80,0,0,970
DRC,20181026,21.32,21.57,20.34,20.53,334070,21.60,21.85,20.60,20.80,0,0,180
DRC,20181025,20.73,21.52,20.53,21.52,311940,21.00,21.80,20.80,21.80,0,6800,0
DRC,20181024,21.37,21.72,21.32,21.32,127430,21.65,22.00,21.60,21.60,0,0,0
DRC,20181023,21.71,22.06,21.22,21.52,400470,22.00,22.35,21.50,21.80,0,0,0
DRC,20181022,24.18,24.33,22.50,22.50,636790,24.50,24.65,22.80,22.80,0,140,100
DRC,20181019,24.43,24.43,23.88,24.18,114840,24.75,24.75,24.20,24.50,0,0,0
DRC,20181018,24.87,24.87,24.23,24.23,128880,25.20,25.20,24.55,24.55,0,600,0
DRC,20181017,24.67,24.97,24.67,24.72,125500,25.00,25.30,25.00,25.05,0,560,1660
DRC,20181016,24.48,24.68,24.38,24.67,48260,24.80,25.00,24.70,25.00,0,200,0
DRC,20181015,25.12,25.12,24.43,24.48,132290,25.45,25.45,24.75,24.80,0,50000,0
DRC,20181012,24.03,24.72,23.98,24.43,590190,24.35,25.05,24.30,24.75,0,202900,360400
DRC,20181011,24.28,24.97,23.99,24.28,601080,24.60,25.30,24.30,24.60,0,0,2000
DRC,20181010,25.46,25.46,25.07,25.27,233870,25.80,25.80,25.40,25.60,0,0,2000
DRC,20181009,25.71,25.91,25.36,25.46,272170,26.05,26.25,25.70,25.80,0,0,0
DRC,20181008,25.81,26.06,25.57,25.71,256920,26.15,26.40,25.90,26.05,0,1100,1500
DRC,20181005,26.25,26.35,25.81,26.01,402070,26.60,26.70,26.15,26.35,0,7460,72210
DRC,20181004,26.85,26.85,26.41,26.45,190980,27.20,27.20,26.75,26.80,0,10,94930
DRC,20181003,26.45,27.44,26.45,26.85,347570,26.80,27.80,26.80,27.20,0,0,0
DRC,20181002,26.15,26.45,25.61,26.45,832080,26.50,26.80,25.95,26.80,0,30060,2000
DRC,20181001,27.19,27.24,26.45,26.45,381840,27.55,27.60,26.80,26.80,0,28640,2000
DRC,20180928,27.39,27.44,27.14,27.14,282130,27.75,27.80,27.50,27.50,0,21100,210
DRC,20180927,27.34,27.74,27.34,27.39,221460,27.70,28.10,27.70,27.75,0,0,0
DRC,20180926,26.85,27.44,26.75,27.39,584860,27.20,27.80,27.10,27.75,0,22390,3000
DRC,20180925,26.85,27.29,26.75,26.85,228940,27.20,27.65,27.10,27.20,0,47420,4880
DRC,20180924,27.04,27.24,26.74,26.85,201900,27.40,27.60,27.10,27.20,0,47420,4880
DRC,20180921,27.04,27.34,26.85,27.04,380390,27.40,27.70,27.20,27.40,0,60430,51110
DRC,20180920,27.14,27.24,26.84,27.24,275380,27.50,27.60,27.20,27.60,0,75200,7400
DRC,20180919,27.54,27.93,26.95,27.14,493340,27.90,28.30,27.30,27.50,0,213200,155520
DRC,20180918,27.44,27.54,26.95,27.54,189140,27.80,27.90,27.30,27.90,0,15200,1000
DRC,20180917,26.95,27.84,26.85,27.44,380260,27.30,28.20,27.20,27.80,0,200,0
DRC,20180914,26.35,26.84,25.91,26.85,377400,26.70,27.20,26.25,27.20,0,1760,2290
DRC,20180913,26.35,26.65,26.30,26.30,177450,26.70,27.00,26.65,26.65,0,0,200
DRC,20180912,26.75,26.95,26.36,26.40,337240,27.10,27.30,26.70,26.75,0,7900,0
DRC,20180911,26.45,27.04,26.25,26.75,376500,26.80,27.40,26.60,27.10,0,0,1000
DRC,20180910,26.30,27.14,26.30,26.50,249170,26.65,27.50,26.65,26.85,0,300,10000
DRC,20180907,25.56,26.65,25.51,26.55,369420,25.90,27.00,25.85,26.90,0,200,0
DRC,20180906,25.76,25.86,25.46,25.56,189850,26.10,26.20,25.80,25.90,0,200,0
DRC,20180905,25.56,26.35,25.41,25.76,187630,25.90,26.70,25.75,26.10,300000,2000,0
DRC,20180904,25.27,25.86,25.27,25.56,161970,25.60,26.20,25.60,25.90,0,15200,340
