<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
EIB,20181012,13.50,13.95,13.30,13.80,171020,13.50,13.95,13.30,13.80,0,0,30000
EIB,20181011,13.50,13.90,13.45,13.50,563750,13.50,13.90,13.45,13.50,0,0,7000
EIB,20181010,14.15,14.30,14.05,14.05,256390,14.15,14.30,14.05,14.05,1450000,0,7000
EIB,20181009,14.40,14.40,14.10,14.10,250710,14.40,14.40,14.10,14.10,0,0,0
EIB,20181008,14.05,14.45,14.05,14.30,453750,14.05,14.45,14.05,14.30,0,0,0
EIB,20181005,14.65,14.85,14.45,14.45,394720,14.65,14.85,14.45,14.45,0,18800,229000
EIB,20181004,14.90,14.90,14.70,14.85,390560,14.90,14.90,14.70,14.85,2140000,0,134530
EIB,20181003,14.50,15.00,14.40,14.90,559730,14.50,15.00,14.40,14.90,0,3030,11110
EIB,20181002,14.50,14.55,14.40,14.50,203220,14.50,14.55,14.40,14.50,12804398,0,2600
EIB,20181001,14.20,14.75,14.20,14.50,675560,14.20,14.75,14.20,14.50,0,0,0
EIB,20180928,14.05,14.20,13.95,14.15,443630,14.05,14.20,13.95,14.15,4590000,0,0
EIB,20180927,14.20,14.25,14.00,14.00,61360,14.20,14.25,14.00,14.00,3210000,3210000,3220000
EIB,20180926,13.80,14.20,13.80,14.10,264060,13.80,14.20,13.80,14.10,2900000,16600,0
EIB,20180925,14.05,14.10,13.90,14.05,203540,14.05,14.10,13.90,14.05,4280000,0,0
EIB,20180924,14.30,14.30,14.05,14.10,77950,14.30,14.30,14.05,14.10,0,0,0
EIB,20180921,14.30,14.30,14.05,14.05,97590,14.30,14.30,14.05,14.05,1830000,10000,110
EIB,20180920,13.90,14.25,13.80,14.20,607800,13.90,14.25,13.80,14.20,2400000,0,0
EIB,20180919,13.70,13.90,13.70,13.85,209740,13.70,13.90,13.70,13.85,0,0,57770
EIB,20180918,13.80,13.80,13.70,13.80,88300,13.80,13.80,13.70,13.80,0,0,0
EIB,20180917,13.90,13.90,13.80,13.90,134970,13.90,13.90,13.80,13.90,0,0,0
EIB,20180914,13.85,13.90,13.75,13.90,133040,13.85,13.90,13.75,13.90,454700,0,150
EIB,20180913,13.85,13.90,13.75,13.90,156810,13.85,13.90,13.75,13.90,0,0,0
EIB,20180912,13.80,13.90,13.80,13.90,188790,13.80,13.90,13.80,13.90,0,0,0
EIB,20180911,13.80,14.00,13.80,14.00,259550,13.80,14.00,13.80,14.00,0,0,0
EIB,20180910,14.00,14.00,13.85,14.00,224830,14.00,14.00,13.85,14.00,0,10,0
EIB,20180907,13.85,14.00,13.80,14.00,139220,13.85,14.00,13.80,14.00,1440000,0,0
EIB,20180906,13.85,14.00,13.80,14.00,138730,13.85,14.00,13.80,14.00,0,0,0
EIB,20180905,13.90,13.95,13.85,13.95,232280,13.90,13.95,13.85,13.95,0,0,0
EIB,20180904,14.00,14.00,13.90,14.00,171830,14.00,14.00,13.90,14.00,0,0,0
EIB,20180831,14.00,14.05,13.80,14.05,121570,14.00,14.05,13.80,14.05,4150000,0,0
EIB,20180830,13.95,14.00,13.80,14.00,447680,13.95,14.00,13.80,14.00,0,0,5500
EIB,20180829,14.00,14.05,13.95,13.95,319420,14.00,14.05,13.95,13.95,280000,0,0
EIB,20180828,14.00,14.05,13.95,14.05,301830,14.00,14.05,13.95,14.05,0,0,1800
EIB,20180827,13.90,14.05,13.90,14.00,353630,13.90,14.05,13.90,14.00,0,0,1800
EIB,20180824,14.10,14.10,13.95,14.00,378720,14.10,14.10,13.95,14.00,0,0,0
EIB,20180823,14.00,14.10,14.00,14.10,120430,14.00,14.10,14.00,14.10,0,7500,20
EIB,20180822,14.35,14.35,14.00,14.00,120730,14.35,14.35,14.00,14.00,0,100,0
EIB,20180821,14.00,14.50,14.00,14.35,414020,14.00,14.50,14.00,14.35,684630,0,0
EIB,20180820,14.00,14.05,13.90,14.05,390900,14.00,14.05,13.90,14.05,0,0,50030
EIB,20180817,14.00,14.00,13.90,14.00,256940,14.00,14.00,13.90,14.00,0,16980,0
EIB,20180816,14.00,14.00,13.95,14.00,95890,14.00,14.00,13.95,14.00,1800000,16980,0
EIB,20180815,14.00,14.05,13.95,13.95,137890,14.00,14.05,13.95,13.95,0,0,0
EIB,20180814,13.90,14.15,13.90,14.00,145140,13.90,14.15,13.90,14.00,10088470,30,2050
EIB,20180813,14.05,14.05,13.90,13.90,71290,14.05,14.05,13.90,13.90,22312860,200,0
EIB,20180810,14.00,14.00,13.80,14.00,51790,14.00,14.00,13.80,14.00,560000,0,2120
EIB,20180809,14.00,14.05,13.90,14.00,135300,14.00,14.05,13.90,14.00,0,0,0
EIB,20180808,14.00,14.05,13.90,14.00,108130,14.00,14.05,13.90,14.00,0,0,1000
EIB,20180807,14.20,14.20,13.95,14.00,51780,14.20,14.20,13.95,14.00,0,0,0
EIB,20180806,14.05,14.25,14.00,14.20,193450,14.05,14.25,14.00,14.20,9461000,0,1500
EIB,20180803,13.90,14.05,13.90,14.05,95960,13.90,14.05,13.90,14.05,0,0,0
EIB,20180802,14.00,14.00,13.90,14.00,114440,14.00,14.00,13.90,14.00,273060,1000,0
EIB,20180801,14.00,14.05,13.90,14.00,108400,14.00,14.05,13.90,14.00,0,0,0
EIB,20180731,14.10,14.20,14.00,14.05,222030,14.10,14.20,14.00,14.05,3977000,0,0
EIB,20180730,14.10,14.10,14.00,14.10,339540,14.10,14.10,14.00,14.10,773000,0,0
EIB,20180727,14.10,14.15,14.00,14.00,61220,14.10,14.15,14.00,14.00,0,0,30
EIB,20180726,14.20,14.30,14.10,14.15,106380,14.20,14.30,14.10,14.15,0,0,0
EIB,20180725,14.00,14.10,13.80,14.10,138700,14.00,14.10,13.80,14.10,0,0,0
EIB,20180724,14.00,14.00,13.90,14.00,120430,14.00,14.00,13.90,14.00,7196000,0,0
EIB,20180723,14.00,14.00,13.85,14.00,114440,14.00,14.00,13.85,14.00,0,0,0
EIB,20180720,14.00,14.00,13.90,14.00,243300,14.00,14.00,13.90,14.00,6188911,2000,0
EIB,20180719,14.20,14.20,14.00,14.05,142510,14.20,14.20,14.00,14.05,10309908,0,0
EIB,20180718,14.30,14.30,14.00,14.15,450680,14.30,14.30,14.00,14.15,0,0,0
EIB,20180717,14.00,14.20,13.80,14.15,135290,14.00,14.20,13.80,14.15,4062354,50,0
EIB,20180716,14.00,14.05,14.00,14.00,409460,14.00,14.05,14.00,14.00,6994780,0,0
EIB,20180713,14.00,14.10,13.80,14.00,575400,14.00,14.10,13.80,14.00,0,500,0
EIB,20180712,14.00,14.20,13.60,14.00,49560,14.00,14.20,13.60,14.00,1345447,0,1900
EIB,20180711,14.00,14.00,13.80,14.00,70570,14.00,14.00,13.80,14.00,1245000,0,1900
EIB,20180710,14.05,14.05,14.00,14.00,22630,14.05,14.05,14.00,14.00,1861000,0,0
EIB,20180709,14.00,14.35,14.00,14.05,590330,14.00,14.35,14.00,14.05,773447,0,7090
EIB,20180706,14.00,14.10,13.80,14.00,218960,14.00,14.10,13.80,14.00,398545,4300,0
EIB,20180705,14.20,14.20,13.95,14.20,278840,14.20,14.20,13.95,14.20,260000,0,0
EIB,20180704,14.10,14.45,14.00,14.20,278900,14.10,14.45,14.00,14.20,273060,0,0
EIB,20180703,14.25,14.50,13.30,14.10,434100,14.25,14.50,13.30,14.10,229000,229050,358370
EIB,20180702,14.10,14.65,14.10,14.30,229450,14.10,14.65,14.10,14.30,0,0,15950
EIB,20180629,14.40,14.90,14.30,14.50,480890,14.40,14.90,14.30,14.50,0,0,28000
EIB,20180628,14.45,14.50,14.25,14.40,84850,14.45,14.50,14.25,14.40,0,0,28000
EIB,20180627,14.50,14.50,14.35,14.45,38030,14.50,14.50,14.35,14.45,0,0,19600
