<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
FMC,20061207,5.6608,5.6608,5.6608,5.6608,108700
FMC,20061208,5.9181,5.9181,5.9181,5.9181,10000
FMC,20061211,5.9181,6.1754,5.9181,6.1754,22500
FMC,20061212,6.4756,6.4756,6.4756,6.4756,19900
FMC,20061213,6.4756,6.7758,6.4756,6.7758,5100
FMC,20061214,7.0760,7.0760,7.0760,7.0760,43900
FMC,20061215,7.4191,7.4191,7.4190,7.4190,70000
FMC,20061218,7.4190,7.4619,7.4190,7.4619,144260
FMC,20061219,7.4619,7.5477,7.4619,7.4619,144320
FMC,20061220,7.4619,7.6334,7.4619,7.5477,208330
FMC,20061221,7.5477,7.6335,7.5477,7.5477,273590
FMC,20061222,7.5477,7.5477,7.2046,7.2046,27650
FMC,20061225,6.8615,7.3333,6.8615,7.3333,148840
FMC,20061226,7.6764,7.6764,7.6335,7.6763,65520
FMC,20061227,8.0194,8.0194,8.0194,8.0194,44800
FMC,20061228,8.0194,8.0194,7.9765,7.9765,28560
FMC,20061229,7.6334,7.6334,7.5905,7.5906,25010
FMC,20070102,7.2475,7.2475,7.2475,7.2475,25050
FMC,20070103,7.3762,7.3762,7.2475,7.3761,11440
FMC,20070104,7.7192,7.7192,7.7192,7.7192,19950
FMC,20070105,8.1052,8.1052,8.1052,8.1052,56000
FMC,20070108,8.4912,8.4912,8.2338,8.2338,111830
FMC,20070109,8.4911,8.5769,8.1480,8.5769,142010
FMC,20070110,8.5769,8.5769,8.2338,8.2338,29740
FMC,20070111,8.4911,8.4911,8.4053,8.4054,61250
FMC,20070112,8.3196,8.4054,8.2339,8.4054,110120
FMC,20070115,8.5769,8.5769,8.2339,8.4054,44400
FMC,20070116,8.4054,8.4054,8.0623,8.0623,64210
FMC,20070117,8.0623,8.0623,7.6763,7.6763,30030
FMC,20070118,7.3761,7.6763,7.3761,7.6763,48220
FMC,20070119,7.7192,7.7621,7.7192,7.7621,51020
FMC,20070122,7.7621,7.7621,7.5477,7.5477,27080
FMC,20070123,7.3762,7.5477,7.3762,7.5048,38890
FMC,20070124,7.5048,7.5048,7.3761,7.4619,41000
FMC,20070125,7.1188,7.1188,7.1188,7.1188,21410
FMC,20070126,7.4619,7.4619,7.4619,7.4619,1700
FMC,20070129,7.5048,7.6334,7.4619,7.5048,23240
FMC,20070130,7.6335,7.7192,7.6335,7.7192,15720
FMC,20070131,7.9765,7.9765,7.9765,7.9765,40970
FMC,20070201,8.0623,8.0623,7.6334,7.7192,19700
FMC,20070202,7.6763,7.6763,7.6763,7.6763,6890
FMC,20070205,7.4619,7.6763,7.4619,7.4619,7150
FMC,20070206,7.4619,7.4619,7.3761,7.4619,26310
FMC,20070207,7.6334,7.8050,7.6334,7.6335,27160
FMC,20070208,7.5477,7.6335,7.4620,7.5477,18400
FMC,20070209,7.4619,7.4619,7.4619,7.4619,12210
FMC,20070212,7.8050,7.8050,7.6334,7.6335,21260
FMC,20070213,7.7622,7.8050,7.7193,7.7621,17320
FMC,20070214,7.7192,7.7192,7.7192,7.7192,11880
FMC,20070215,7.8050,7.8050,7.7192,7.8050,17080
FMC,20070226,8.1910,8.1910,8.1481,8.1910,29190
FMC,20070227,8.5770,8.5770,8.5769,8.5769,49800
FMC,20070228,8.2338,8.3625,8.2338,8.2338,11170
FMC,20070301,7.8478,7.8907,7.8478,7.8479,16470
FMC,20070302,8.1481,8.2339,8.1481,8.2338,50410
FMC,20070305,8.4911,8.5769,8.4911,8.4911,53680
FMC,20070306,8.5769,8.8342,8.5769,8.5769,73120
FMC,20070307,9.0057,9.0058,8.7484,9.0058,71000
FMC,20070308,9.4346,9.4346,9.4346,9.4346,59360
FMC,20070309,9.8634,9.8634,9.8634,9.8634,105270
FMC,20070312,10.2922,10.2922,9.4346,9.4346,76490
FMC,20070313,8.8342,9.0058,8.8342,8.8342,15070
FMC,20070314,8.4054,8.4054,8.4054,8.4054,24420
FMC,20070315,8.0623,8.0623,8.0194,8.0194,27430
FMC,20070316,7.6334,8.3625,7.6334,8.3625,24270
FMC,20070319,8.2767,8.4054,8.2767,8.3196,30430
FMC,20070320,8.3196,8.3196,7.9336,8.0623,10900
FMC,20070321,7.8908,7.9765,7.8050,7.8908,20760
FMC,20070322,7.6335,7.8050,7.6335,7.8050,19990
FMC,20070323,7.8050,7.8050,7.7192,7.8050,23490
FMC,20070326,7.4619,7.5048,7.4619,7.5048,19320
FMC,20070327,7.1617,7.1617,7.1617,7.1617,16410
FMC,20070328,6.8186,6.8186,6.8186,6.8186,19580
FMC,20070329,6.8186,7.1188,6.8186,7.1188,1650
FMC,20070330,7.4619,7.4619,7.4619,7.4619,66020
FMC,20070402,7.4619,7.4619,7.1188,7.1188,21610
FMC,20070403,7.0330,7.0330,6.8615,6.8615,13190
FMC,20070404,6.8615,7.2046,6.8615,7.2046,8590
FMC,20070405,7.3761,7.3761,7.2046,7.2046,16080
FMC,20070406,7.1188,7.1188,6.9473,6.9473,11430
FMC,20070409,6.9902,7.0331,6.9902,7.0331,11050
FMC,20070410,6.9473,7.0331,6.9473,7.0331,6840
FMC,20070411,6.8616,6.8616,6.8615,6.8615,2750
FMC,20070412,6.7757,6.7757,6.6900,6.6900,6960
FMC,20070413,6.5185,6.5185,6.3898,6.3898,9760
FMC,20070416,6.1754,6.1754,6.0896,6.0896,21620
FMC,20070417,5.8323,6.0896,5.8323,6.0896,17600
FMC,20070418,6.0896,6.3898,6.0896,6.3898,5990
FMC,20070419,6.6042,6.6471,6.5185,6.5185,25810
FMC,20070420,6.4756,6.4756,6.4327,6.4327,12590
FMC,20070423,6.1325,6.2612,6.1325,6.2611,19480
FMC,20070424,6.1753,6.1754,6.1324,6.1754,11090
FMC,20070425,6.2612,6.3469,6.2612,6.3469,6360
FMC,20070502,6.4327,6.4327,6.3469,6.3469,5210
FMC,20070503,6.2611,6.3469,6.2611,6.3469,1860
FMC,20070504,6.1754,6.3469,6.1754,6.3469,920
FMC,20070507,6.3469,6.4327,6.3469,6.4327,11250
FMC,20070508,6.6042,6.6042,6.4327,6.5185,5660
FMC,20070509,6.5185,6.5185,6.2183,6.2183,6540
FMC,20070510,6.3041,6.3041,6.2183,6.3040,8650
FMC,20070511,6.3040,6.3898,6.2611,6.3898,7450
FMC,20070514,6.2183,6.4327,6.2183,6.4327,15620
FMC,20070515,6.5185,6.5185,6.3469,6.4327,13150
FMC,20070516,6.4327,6.4327,6.3469,6.3469,12320
FMC,20070517,6.3469,6.4327,6.3469,6.4327,11650
FMC,20070518,6.5185,6.5185,6.4327,6.4327,21610
FMC,20070521,6.4327,6.5185,6.4327,6.5185,9930
FMC,20070522,6.8187,6.8187,6.8186,6.8186,40070
FMC,20070523,7.1188,7.1188,7.1188,7.1188,12820
FMC,20070524,7.4619,7.4619,7.4619,7.4619,97400
FMC,20070525,7.4619,7.4619,7.4619,7.4619,73640
FMC,20070528,7.4190,7.4190,7.2475,7.2475,32020
FMC,20070529,7.0331,7.0331,6.9473,6.9902,27460
FMC,20070530,7.0760,7.0760,7.0331,7.0331,21400
FMC,20070531,7.0331,7.0331,7.0331,7.0331,18940
FMC,20070601,6.9473,6.9473,6.9473,6.9473,11340
FMC,20070604,6.6471,6.8615,6.6471,6.8615,23740
FMC,20070605,6.6900,6.6900,6.6900,6.6900,21190
FMC,20070606,6.6042,6.6900,6.5613,6.6900,21100
FMC,20070607,6.7591,7.0058,6.7591,7.0030,1950
FMC,20070608,7.1016,7.1016,6.9044,6.9044,35510
FMC,20070611,6.7564,6.8058,6.7564,6.8058,6160
FMC,20070612,6.7072,6.8551,6.7072,6.8551,7930
FMC,20070613,6.7565,6.7565,6.7565,6.7565,4250
FMC,20070614,6.9045,6.9045,6.8058,6.8058,3760
FMC,20070615,6.7072,6.7565,6.7072,6.7565,7130
FMC,20070618,6.8551,6.8551,6.8058,6.8058,6150
FMC,20070619,6.8058,6.8058,6.7565,6.7565,5100
FMC,20070620,6.8058,6.8058,6.7071,6.7071,7450
FMC,20070621,6.7071,6.7071,6.6085,6.6578,7000
FMC,20070622,6.5098,6.6578,6.5098,6.5099,8450
FMC,20070625,6.5099,6.5099,6.5099,6.5099,4450
FMC,20070626,6.5099,6.5099,6.4113,6.4606,3850
FMC,20070627,6.4606,6.4606,6.4112,6.4112,2140
FMC,20070628,6.2139,6.2140,6.2139,6.2140,13860
FMC,20070629,6.0167,6.1154,6.0167,6.1153,19780
FMC,20070702,5.9180,5.9180,5.8194,5.8194,5700
FMC,20070703,5.7208,5.8194,5.7208,5.8194,7780
FMC,20070704,5.7701,6.0660,5.7701,6.0660,4970
FMC,20070705,6.0660,6.1153,6.0660,6.0660,24910
FMC,20070706,6.1153,6.1153,6.1153,6.1153,18620
FMC,20070709,6.1153,6.1153,6.1153,6.1153,7550
FMC,20070710,6.1153,6.1153,6.1153,6.1153,8380
FMC,20070711,6.2139,6.3126,6.2139,6.3126,8040
FMC,20070712,6.4112,6.4112,6.3126,6.3126,11570
FMC,20070713,6.3126,6.3126,6.3126,6.3126,11460
FMC,20070716,6.0167,6.1153,6.0167,6.1153,5120
FMC,20070717,6.1153,6.1153,6.1153,6.1153,1550
FMC,20070718,6.1153,6.1153,6.0660,6.0660,1090
FMC,20070719,6.0660,6.1153,5.9180,5.9181,11910
FMC,20070720,5.9181,5.9674,5.9181,5.9674,11700
FMC,20070723,6.2633,6.2633,6.1153,6.1153,6170
FMC,20070724,6.0167,6.1647,6.0167,6.1647,11580
FMC,20070725,6.1647,6.1647,5.9674,5.9674,9650
FMC,20070726,5.9674,5.9674,5.8194,5.8194,10930
FMC,20070727,5.8194,5.8194,5.6221,5.7701,9080
FMC,20070730,5.7701,5.7701,5.7208,5.7208,1300
FMC,20070731,5.4742,5.4742,5.4742,5.4742,6880
FMC,20070801,5.3262,5.5235,5.3262,5.4742,7690
FMC,20070802,5.4742,5.5728,5.4742,5.4742,14790
FMC,20070803,5.4742,5.4742,5.2769,5.4742,9060
FMC,20070806,5.4742,5.4742,5.2276,5.2276,6750
FMC,20070807,5.0796,5.2276,5.0796,5.1783,8540
FMC,20070808,5.1783,5.2769,5.1783,5.2276,8430
FMC,20070809,5.1783,5.3263,5.1783,5.3263,8020
FMC,20070810,5.3263,5.4249,5.3263,5.3263,18760
FMC,20070813,5.3263,5.3263,5.1783,5.1783,6710
FMC,20070814,5.0797,5.3263,5.0797,5.2769,8580
FMC,20070815,5.1783,5.2276,5.1289,5.2276,9610
FMC,20070816,5.1290,5.2276,5.0796,5.0797,11860
FMC,20070817,5.0797,5.1290,5.0304,5.0304,15380
FMC,20070820,5.0304,5.0797,5.0304,5.0304,10520
FMC,20070821,4.8331,5.1290,4.8331,4.8824,13280
FMC,20070822,4.8528,4.8824,4.8331,4.8824,11800
FMC,20070823,4.7838,4.8331,4.7344,4.7345,25690
FMC,20070824,4.7345,4.9318,4.7345,4.9317,17320
FMC,20070827,5.0303,5.0303,4.9317,4.9317,11870
FMC,20070828,4.9317,4.9317,4.8824,4.9317,10960
FMC,20070829,4.9317,4.9317,4.8824,4.9317,19510
FMC,20070830,4.8824,4.9317,4.8331,4.9317,4460
FMC,20070831,4.9317,4.9810,4.9317,4.9810,4970
FMC,20070904,5.0303,5.1290,5.0303,5.0797,13790
FMC,20070905,5.1290,5.3263,5.0797,5.3263,39140
FMC,20070906,5.5729,5.5729,5.5728,5.5728,55930
FMC,20070907,5.8194,5.8194,5.7208,5.7208,59910
FMC,20070910,5.5235,5.6715,5.5235,5.5235,21210
FMC,20070911,5.5235,5.5235,5.3262,5.4742,9700
FMC,20070912,5.4249,5.4742,5.4249,5.4249,33420
FMC,20070913,5.2769,5.3263,5.2276,5.2769,14040
FMC,20070914,5.3262,5.3263,5.3262,5.3263,7120
