<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
FTS,20170113,14.4000,15.0000,14.4000,14.4000,166550
FTS,20170116,13.4000,13.4000,13.4000,13.4000,10030
FTS,20170117,12.5000,13.0000,12.5000,12.6000,694980
FTS,20170118,12.0000,13.0000,12.0000,12.9000,222960
FTS,20170119,12.9000,12.9000,12.5000,12.5000,59170
FTS,20170120,12.6000,13.2000,12.5000,13.0500,123330
FTS,20170123,13.0500,13.0500,12.1500,12.6500,39700
FTS,20170124,12.8000,12.9500,12.6500,12.9000,86250
FTS,20170125,13.0000,13.1500,12.9000,13.1000,46230
FTS,20170202,13.2000,13.2000,12.9000,12.9500,79300
FTS,20170203,12.9000,13.0000,12.8000,12.9500,212360
FTS,20170206,12.8000,13.0500,12.8000,13.0500,32990
FTS,20170207,13.1000,13.1000,12.9000,12.9500,25790
FTS,20170208,12.8000,13.0000,12.8000,13.0000,38560
FTS,20170209,12.9000,12.9500,12.8000,12.9500,48610
FTS,20170210,12.9500,13.0000,12.7500,13.0000,69740
FTS,20170213,13.0000,13.0000,12.8500,12.8500,21090
FTS,20170214,12.9000,12.9000,12.7000,12.7000,56450
FTS,20170215,12.8000,12.9500,12.7000,12.9500,34830
FTS,20170216,12.9500,13.0000,12.9000,12.9500,76540
FTS,20170217,12.9000,13.0000,12.8500,13.0000,37130
FTS,20170220,13.1000,13.9000,13.1000,13.8000,205700
FTS,20170221,13.9000,14.0000,13.6000,13.6000,50710
FTS,20170222,13.8000,13.8000,13.6500,13.6500,34540
FTS,20170223,13.2000,13.4000,13.1500,13.2000,64840
FTS,20170224,13.1000,13.2000,13.0000,13.0000,55620
FTS,20170227,13.0000,13.8000,12.9000,13.5000,45430
FTS,20170228,13.0000,13.5000,13.0000,13.0000,23570
FTS,20170301,13.2000,13.3500,13.2000,13.3500,20000
FTS,20170302,13.4000,13.4000,13.0500,13.1000,3550
FTS,20170303,13.0000,13.5000,13.0000,13.4000,72190
FTS,20170306,13.6500,13.6500,13.4500,13.5000,45000
FTS,20170307,13.4000,13.4500,13.4000,13.4000,21170
FTS,20170308,13.4000,13.4000,13.4000,13.4000,5510
