<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
GEG,20190405,23.50,24.80,22.90,24.40,1149700,23.50,24.80,22.90,24.40,0,220900,2100
GEG,20190404,23.20,23.60,22.90,23.50,688300,23.20,23.60,22.90,23.50,0,120713,0
GEG,20190403,22.10,24.00,21.80,23.00,811198,22.10,24.00,21.80,23.00,0,120713,0
GEG,20190402,21.60,22.50,21.40,22.10,772100,21.60,22.50,21.40,22.10,0,2000,0
GEG,20190401,21.50,21.80,21.40,21.60,531780,21.50,21.80,21.40,21.60,0,2000,0
GEG,20190329,21.00,21.80,21.00,21.60,541610,21.00,21.80,21.00,21.60,0,0,0
GEG,20190328,20.50,22.00,20.10,21.70,858195,20.50,22.00,20.10,21.70,0,130000,0
GEG,20190327,20.50,20.70,20.30,20.40,445250,20.50,20.70,20.30,20.40,0,0,0
GEG,20190326,20.50,20.80,20.10,20.40,504000,20.50,20.80,20.10,20.40,0,0,0
GEG,20190325,20.60,20.80,20.10,20.40,494640,20.60,20.80,20.10,20.40,0,0,0
GEG,20190322,20.60,20.90,20.40,20.80,602462,20.60,20.90,20.40,20.80,0,0,0
GEG,20190321,20.50,21.00,20.30,20.40,566300,20.50,21.00,20.30,20.40,0,0,0
GEG,20190320,20.20,21.00,20.20,20.40,484780,20.20,21.00,20.20,20.40,0,0,0
GEG,20190319,18.90,20.60,18.90,20.50,737529,18.90,20.60,18.90,20.50,0,52700,0
GEG,20190318,18.30,19.60,18.30,19.40,606903,18.30,19.60,18.30,19.40,0,59500,0
GEG,20190315,18.30,18.40,16.00,18.30,551620,18.30,18.40,16.00,18.30,92800,0,0
GEG,20190314,18.50,18.50,18.20,18.30,581301,18.50,18.50,18.20,18.30,0,0,0
GEG,20190313,18.50,18.80,18.20,18.40,591946,18.50,18.80,18.20,18.40,0,0,0
GEG,20190312,18.40,18.80,18.40,18.50,626245,18.40,18.80,18.40,18.50,0,0,0
GEG,20190311,18.00,18.60,17.90,18.30,545610,18.00,18.60,17.90,18.30,0,0,0
GEG,20190308,17.50,18.20,17.50,17.80,658725,17.50,18.20,17.50,17.80,0,0,0
GEG,20190307,16.70,17.80,16.50,17.80,809988,16.70,17.80,16.50,17.80,0,0,0
GEG,20190306,16.70,16.90,16.70,16.80,296210,16.70,16.90,16.70,16.80,0,0,0
GEG,20190305,16.70,16.80,16.60,16.70,345618,16.70,16.80,16.60,16.70,0,29600,0
GEG,20190304,16.40,16.80,16.40,16.70,330700,16.40,16.80,16.40,16.70,0,0,0
GEG,20190301,16.40,16.70,16.40,16.40,169800,16.40,16.70,16.40,16.40,0,0,0
GEG,20190228,16.20,16.80,16.20,16.30,338768,16.20,16.80,16.20,16.30,0,0,0
GEG,20190227,16.10,16.30,16.10,16.10,295957,16.10,16.30,16.10,16.10,0,0,0
GEG,20190226,16.20,16.20,16.00,16.10,310463,16.20,16.20,16.00,16.10,0,0,0
