<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HCM,20090519,2.5411,2.5411,2.5411,2.5411,40
HCM,20090520,2.5411,2.6666,2.5411,2.6666,20
HCM,20090521,2.6666,2.7999,2.6666,2.7999,10
HCM,20090522,2.7999,2.9333,2.7999,2.9333,500
HCM,20090525,2.9333,3.0744,2.9333,3.0744,10
HCM,20090526,3.0744,3.2235,3.0744,3.2235,10
HCM,20090527,3.2235,3.3803,3.2235,3.3803,16040
HCM,20090528,3.3803,3.5450,3.3803,3.5450,21900
HCM,20090529,3.5450,3.7176,3.5450,3.7176,25850
HCM,20090601,3.7176,3.8979,3.7176,3.8979,61090
HCM,20090602,3.8979,4.0783,3.8979,4.0783,16350
HCM,20090603,4.0783,4.2744,4.0783,4.2744,41500
HCM,20090604,4.2744,4.4705,4.2744,4.4705,161220
HCM,20090605,4.4705,4.6666,4.4705,4.6666,500
HCM,20090608,4.6666,4.8626,4.6666,4.8626,55600
HCM,20090609,4.8626,5.0979,4.8626,5.0979,166030
HCM,20090610,5.0979,5.3332,5.0979,5.3332,333800
HCM,20090611,5.3332,5.5685,5.3332,5.5685,909580
HCM,20090612,5.5685,5.8430,5.5685,5.8430,15670
HCM,20090615,5.8430,6.1175,5.8430,6.1175,858330
HCM,20090616,6.1175,6.1175,5.8430,5.8430,192300
HCM,20090617,5.8430,5.8430,5.5685,5.5685,87640
HCM,20090618,5.5685,5.8038,5.2940,5.3332,870410
HCM,20090619,5.3332,5.4116,5.0979,5.2156,387420
HCM,20090622,5.2156,5.2156,4.9803,4.9803,331730
HCM,20090623,4.9803,4.9803,4.7450,4.7450,193580
HCM,20090624,4.7450,4.9803,4.7450,4.9803,694930
HCM,20090625,4.9803,5.1371,4.7450,4.7450,337330
HCM,20090626,4.7450,4.8626,4.5489,4.7058,330390
HCM,20090629,4.7058,4.9411,4.7058,4.9411,297910
HCM,20090630,4.9411,4.9411,4.7058,4.7058,250170
HCM,20090701,4.7058,4.7058,4.4705,4.4705,261330
HCM,20090702,4.4705,4.5489,4.2744,4.4313,347590
HCM,20090703,4.4313,4.4313,4.2352,4.3136,329670
HCM,20090706,4.3136,4.5097,4.3136,4.5097,218360
HCM,20090707,4.5097,4.5881,4.3921,4.5097,153750
HCM,20090708,4.5097,4.7058,4.5097,4.7058,407630
HCM,20090709,4.7058,4.9411,4.7058,4.9411,399850
HCM,20090710,4.9411,4.9411,4.7058,4.7058,301710
HCM,20090713,4.7058,4.7058,4.4705,4.4705,166480
HCM,20090714,4.4705,4.4705,4.3136,4.3528,206630
HCM,20090715,4.3528,4.5489,4.3528,4.5489,155010
HCM,20090716,4.5489,4.7450,4.5489,4.7058,226180
HCM,20090717,4.7058,4.7058,4.5097,4.5097,109340
HCM,20090720,4.5097,4.5097,4.3136,4.3136,126180
HCM,20090721,4.3136,4.4313,4.2352,4.2744,105350
