<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HNG,20200525,14.20,14.50,14.20,14.35,515910,14.20,14.50,14.20,14.35,910000,18740,0
HNG,20200522,14.70,14.70,14.35,14.50,401260,14.70,14.70,14.35,14.50,350000,0,10060
HNG,20200521,14.30,14.80,14.25,14.60,836770,14.30,14.80,14.25,14.60,1300000,570,0
HNG,20200520,13.85,14.85,13.80,14.20,1926900,13.85,14.85,13.80,14.20,2700000,12640,0
HNG,20200519,14.40,14.40,13.95,14.00,657200,14.40,14.40,13.95,14.00,19468880,0,420
HNG,20200518,14.45,14.50,14.00,14.20,1280580,14.45,14.50,14.00,14.20,0,100,5670
HNG,20200515,14.80,14.80,14.10,14.40,2271940,14.80,14.80,14.10,14.40,0,2010,11470
HNG,20200514,13.80,13.90,13.40,13.90,765760,13.80,13.90,13.40,13.90,400860,15440,0
HNG,20200513,14.00,14.20,13.80,14.00,695240,14.00,14.20,13.80,14.00,70000,1930,0
HNG,20200512,14.00,14.10,13.75,14.00,610090,14.00,14.10,13.75,14.00,0,9660,0
HNG,20200511,13.80,13.80,12.90,13.80,2937980,13.80,13.80,12.90,13.80,9520000,9660,0
HNG,20200508,12.75,12.90,12.70,12.90,150690,12.75,12.90,12.70,12.90,1000000,0,0
HNG,20200507,12.85,12.95,12.75,12.75,113640,12.85,12.95,12.75,12.75,0,3650,0
HNG,20200506,12.90,12.95,12.80,12.95,69840,12.90,12.95,12.80,12.95,314000,180,2370
HNG,20200505,12.90,12.95,12.70,12.95,81070,12.90,12.95,12.70,12.95,1000000,0,4870
HNG,20200504,12.95,12.95,12.50,12.90,181770,12.95,12.95,12.50,12.90,0,0,4870
HNG,20200429,12.90,13.20,12.85,12.90,108120,12.90,13.20,12.85,12.90,500000,4100,55670
HNG,20200428,13.20,13.20,12.90,13.00,178070,13.20,13.20,12.90,13.00,51000,2970,60
HNG,20200427,12.80,13.30,12.80,12.95,214250,12.80,13.30,12.80,12.95,2709600,940,0
HNG,20200424,12.80,13.55,12.75,12.80,889660,12.80,13.55,12.75,12.80,1000000,0,10000
HNG,20200423,12.55,12.70,12.50,12.70,65080,12.55,12.70,12.50,12.70,0,0,10000
HNG,20200422,12.50,12.70,12.30,12.70,229430,12.50,12.70,12.30,12.70,115670,0,1950
HNG,20200421,12.70,12.75,12.45,12.65,226360,12.70,12.75,12.45,12.65,0,15110,28210
HNG,20200420,12.70,12.80,12.65,12.75,379400,12.70,12.80,12.65,12.75,416000,5140,4400
HNG,20200417,12.70,12.75,12.60,12.75,71940,12.70,12.75,12.60,12.75,0,5930,2000
HNG,20200416,12.55,12.75,12.50,12.75,175840,12.55,12.75,12.50,12.75,1000000,4320,9950
HNG,20200415,12.60,12.90,12.60,12.80,223630,12.60,12.90,12.60,12.80,0,3820,0
HNG,20200414,12.60,12.65,12.50,12.65,91240,12.60,12.65,12.50,12.65,0,0,0
HNG,20200413,12.70,12.70,12.30,12.70,393890,12.70,12.70,12.30,12.70,0,0,110
HNG,20200410,12.70,12.70,12.40,12.70,56950,12.70,12.70,12.40,12.70,0,500,1660
HNG,20200409,12.50,12.80,12.35,12.70,177890,12.50,12.80,12.35,12.70,1030000,0,35600
HNG,20200408,12.85,12.85,12.50,12.70,100100,12.85,12.85,12.50,12.70,0,0,0
HNG,20200407,12.90,12.90,12.50,12.75,39070,12.90,12.90,12.50,12.75,0,21060,55000
HNG,20200406,12.90,12.90,12.40,12.70,322540,12.90,12.90,12.40,12.70,200000,21060,55000
