<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HSG,20081205,2.3644,2.3644,2.3644,2.3644,10110
HSG,20081208,2.3644,2.3644,2.2462,2.2462,6570
HSG,20081209,2.2462,2.2462,2.1353,2.1353,10
HSG,20081210,2.1353,2.1353,2.0319,2.0319,10
HSG,20081211,2.0319,2.0319,1.9358,1.9358,460
HSG,20081212,1.9358,1.9358,1.8397,1.8398,510
HSG,20081215,1.8398,1.8398,1.7511,1.7511,10620
HSG,20081216,1.7511,1.7511,1.6698,1.6699,610
HSG,20081217,1.6699,1.6699,1.5886,1.5886,500
HSG,20081218,1.5886,1.6625,1.5147,1.6107,923090
HSG,20081219,1.6107,1.6107,1.5368,1.5516,554220
HSG,20081222,1.5516,1.5885,1.5220,1.5516,331800
HSG,20081223,1.5516,1.5516,1.5220,1.5442,147970
HSG,20081224,1.5442,1.5442,1.4777,1.4925,150910
HSG,20081225,1.4925,1.4999,1.4334,1.4334,209190
HSG,20081226,1.4334,1.4556,1.3743,1.4556,294520
HSG,20081229,1.4556,1.4556,1.3965,1.4039,153170
HSG,20081230,1.4039,1.4261,1.3817,1.4186,228490
HSG,20081231,1.4186,1.4186,1.3817,1.3965,239090
HSG,20090102,1.3965,1.3965,1.3522,1.3743,278840
HSG,20090105,1.3743,1.4408,1.3669,1.4408,479070
HSG,20090106,1.4408,1.5073,1.4408,1.5073,631790
HSG,20090107,1.5073,1.5664,1.5073,1.5147,539930
HSG,20090108,1.5147,1.5147,1.4408,1.4408,303820
HSG,20090109,1.4408,1.4408,1.3817,1.4039,264690
HSG,20090112,1.4039,1.4039,1.3743,1.3891,148180
HSG,20090113,1.3891,1.4039,1.3669,1.3743,154020
HSG,20090114,1.3743,1.3965,1.3595,1.3743,197160
HSG,20090115,1.3743,1.3817,1.3521,1.3743,185720
HSG,20090116,1.3743,1.4408,1.3743,1.4408,518980
HSG,20090119,1.4408,1.4408,1.3743,1.4039,183510
HSG,20090120,1.4039,1.4039,1.3743,1.3817,112140
HSG,20090121,1.3817,1.3965,1.3743,1.3817,45210
HSG,20090122,1.3817,1.4039,1.3817,1.4039,74840
HSG,20090123,1.4039,1.4039,1.3817,1.3891,81790
HSG,20090202,1.3891,1.3891,1.3226,1.3226,19560
HSG,20090203,1.3226,1.3226,1.2635,1.2635,19220
HSG,20090204,1.2635,1.2635,1.2044,1.2044,5080
HSG,20090205,1.2044,1.2044,1.1453,1.1453,25240
HSG,20090206,1.1453,1.1453,1.0935,1.0935,263530
HSG,20090209,1.0935,1.1083,1.0639,1.0935,193850
HSG,20090210,1.0935,1.0935,1.0418,1.0418,202910
HSG,20090211,1.0418,1.0418,0.9901,0.9901,46500
HSG,20090212,0.9901,0.9901,0.9458,0.9458,249790
HSG,20090213,0.9458,0.9458,0.9089,0.9162,179730
HSG,20090216,0.9162,0.9605,0.9162,0.9384,294460
HSG,20090217,0.9384,0.9532,0.9088,0.9088,235630
HSG,20090218,0.9088,0.9088,0.8645,0.8645,200790
HSG,20090219,0.8645,0.8793,0.8275,0.8275,158880
HSG,20090220,0.8275,0.8275,0.7906,0.7906,184230
HSG,20090223,0.7906,0.7906,0.7536,0.7536,76490
HSG,20090224,0.7536,0.7536,0.7167,0.7167,65430
HSG,20090225,0.7167,0.7389,0.7093,0.7389,429010
HSG,20090226,0.7389,0.7389,0.7019,0.7019,308440
HSG,20090227,0.7019,0.7019,0.6871,0.6872,107210
HSG,20090302,0.6872,0.6946,0.6724,0.6945,204840
HSG,20090303,0.6945,0.6945,0.6649,0.6650,345960
HSG,20090304,0.6650,0.6798,0.6576,0.6576,148080
HSG,20090305,0.6576,0.6798,0.6502,0.6650,152500
HSG,20090306,0.6650,0.6798,0.6576,0.6798,216970
HSG,20090309,0.6798,0.7094,0.6798,0.7093,386620
HSG,20090310,0.7093,0.7389,0.7093,0.7389,219280
HSG,20090311,0.7389,0.7758,0.7389,0.7758,196870
HSG,20090312,0.7758,0.8128,0.7536,0.8128,1510930
HSG,20090313,0.8128,0.8350,0.8054,0.8201,574330
HSG,20090316,0.8201,0.8275,0.8053,0.8054,256150
HSG,20090317,0.8054,0.8423,0.8054,0.8275,344540
HSG,20090318,0.8275,0.8645,0.8275,0.8645,789550
