<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HTT,20180412,2.70,2.80,2.70,2.79,85480,2.70,2.80,2.70,2.79,0,30000,0
HTT,20180411,2.87,2.87,2.72,2.80,36720,2.87,2.87,2.72,2.80,0,14000,0
HTT,20180410,2.75,2.83,2.71,2.82,86460,2.75,2.83,2.71,2.82,0,0,0
HTT,20180409,2.95,2.95,2.73,2.80,37940,2.95,2.95,2.73,2.80,0,0,0
HTT,20180406,2.80,2.85,2.80,2.80,19690,2.80,2.85,2.80,2.80,0,0,0
HTT,20180405,2.76,2.80,2.71,2.78,28390,2.76,2.80,2.71,2.78,0,3000,0
HTT,20180404,2.80,2.93,2.74,2.76,160290,2.80,2.93,2.74,2.76,0,0,0
HTT,20180403,2.90,2.92,2.79,2.89,21370,2.90,2.92,2.79,2.89,0,0,0
HTT,20180402,3.00,3.00,2.90,2.98,2380,3.00,3.00,2.90,2.98,0,0,0
HTT,20180330,3.07,3.07,2.90,2.90,18210,3.07,3.07,2.90,2.90,0,0,0
HTT,20180329,3.05,3.05,2.95,3.05,16850,3.05,3.05,2.95,3.05,0,0,0
HTT,20180328,3.04,3.09,3.00,3.05,16590,3.04,3.09,3.00,3.05,0,0,0
HTT,20180327,3.00,3.08,2.98,3.05,25640,3.00,3.08,2.98,3.05,0,0,0
HTT,20180326,3.08,3.08,2.89,3.00,62920,3.08,3.08,2.89,3.00,0,0,0
HTT,20180323,2.92,3.11,2.92,3.08,11870,2.92,3.11,2.92,3.08,0,0,0
HTT,20180322,3.10,3.12,3.00,3.09,26220,3.10,3.12,3.00,3.09,0,3000,0
HTT,20180321,3.12,3.20,3.00,3.12,23400,3.12,3.20,3.00,3.12,0,0,0
HTT,20180320,3.19,3.19,3.10,3.12,7630,3.19,3.19,3.10,3.12,0,0,0
HTT,20180319,3.22,3.22,3.10,3.19,82100,3.22,3.22,3.10,3.19,0,0,0
HTT,20180316,3.14,3.15,3.05,3.14,9220,3.14,3.15,3.05,3.14,0,0,0
HTT,20180315,3.15,3.15,3.07,3.07,8680,3.15,3.15,3.07,3.07,0,0,0
HTT,20180314,3.18,3.18,3.05,3.15,46610,3.18,3.18,3.05,3.15,0,0,0
HTT,20180313,3.17,3.18,3.05,3.18,36850,3.17,3.18,3.05,3.18,0,0,0
HTT,20180312,3.17,3.19,3.08,3.17,48440,3.17,3.19,3.08,3.17,0,0,0
HTT,20180309,3.15,3.15,3.07,3.07,74880,3.15,3.15,3.07,3.07,0,0,0
HTT,20180308,3.06,3.15,3.05,3.05,68810,3.06,3.15,3.05,3.05,0,0,0
HTT,20180307,2.92,3.05,2.92,3.05,64740,2.92,3.05,2.92,3.05,0,0,0
HTT,20180306,3.00,3.07,2.91,3.00,58440,3.00,3.07,2.91,3.00,0,0,0
HTT,20180305,2.92,3.10,2.90,3.00,19300,2.92,3.10,2.90,3.00,0,0,0
HTT,20180302,2.92,2.94,2.90,2.91,23830,2.92,2.94,2.90,2.91,0,0,0
HTT,20180301,2.90,2.93,2.88,2.92,18630,2.90,2.93,2.88,2.92,0,0,0
HTT,20180228,2.81,2.94,2.81,2.94,16730,2.81,2.94,2.81,2.94,0,0,0
HTT,20180227,2.88,2.94,2.81,2.92,16350,2.88,2.94,2.81,2.92,0,5000,0
HTT,20180226,2.92,2.92,2.89,2.90,51270,2.92,2.92,2.89,2.90,0,0,0
HTT,20180223,3.09,3.09,2.91,2.91,54970,3.09,3.09,2.91,2.91,0,0,0
HTT,20180222,3.10,3.10,2.96,3.02,9710,3.10,3.10,2.96,3.02,0,0,0
HTT,20180221,3.00,3.15,2.95,3.05,60350,3.00,3.15,2.95,3.05,0,0,0
HTT,20180213,3.10,3.10,3.00,3.05,64350,3.10,3.10,3.00,3.05,0,0,0
HTT,20180212,3.20,3.20,2.86,3.03,32310,3.20,3.20,2.86,3.03,0,0,0
HTT,20180209,2.83,3.00,2.83,3.00,71740,2.83,3.00,2.83,3.00,0,540,0
HTT,20180208,3.10,3.13,2.97,3.04,113600,3.10,3.13,2.97,3.04,0,0,0
HTT,20180207,2.79,2.97,2.79,2.97,61320,2.79,2.97,2.79,2.97,0,0,0
HTT,20180206,2.78,2.87,2.78,2.78,221970,2.78,2.87,2.78,2.78,0,2690,0
HTT,20180205,2.98,3.30,2.98,2.98,255730,2.98,3.30,2.98,2.98,0,0,2440
HTT,20180202,3.31,3.45,3.20,3.20,159210,3.31,3.45,3.20,3.20,0,20000,0
HTT,20180201,3.50,3.64,3.39,3.39,234130,3.50,3.64,3.39,3.39,0,0,5100
HTT,20180131,3.72,3.80,3.58,3.64,157270,3.72,3.80,3.58,3.64,0,0,5000
HTT,20180130,3.88,3.98,3.80,3.81,92940,3.88,3.98,3.80,3.81,0,100,0
HTT,20180129,4.15,4.15,3.95,3.95,39070,4.15,4.15,3.95,3.95,0,2530,0
HTT,20180126,3.95,4.19,3.95,4.05,157060,3.95,4.19,3.95,4.05,0,50000,0
HTT,20180125,4.40,4.40,4.20,4.20,610090,4.40,4.40,4.20,4.20,0,100000,0
HTT,20180122,4.50,4.59,4.45,4.51,407140,4.50,4.59,4.45,4.51,0,7010,0
