<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HVA,20180502,3.90,4.10,3.90,3.90,78900,3.90,4.10,3.90,3.90,0,0,0
HVA,20180427,3.80,3.80,3.60,3.80,19200,3.80,3.80,3.60,3.80,0,0,0
HVA,20180426,3.90,3.90,3.50,3.80,65460,3.90,3.90,3.50,3.80,0,0,0
HVA,20180424,3.70,3.80,3.40,3.70,151700,3.70,3.80,3.40,3.70,0,0,0
HVA,20180423,4.20,4.20,3.70,3.70,182310,4.20,4.20,3.70,3.70,0,0,0
HVA,20180420,4.20,4.30,3.90,4.10,148700,4.20,4.30,3.90,4.10,0,0,0
HVA,20180419,4.20,4.50,4.00,4.30,175190,4.20,4.50,4.00,4.30,0,0,0
HVA,20180418,3.90,4.20,3.60,4.10,297900,3.90,4.20,3.60,4.10,0,0,0
HVA,20180417,3.90,3.90,3.70,3.90,410200,3.90,3.90,3.70,3.90,0,0,0
HVA,20180416,3.60,3.60,3.60,3.60,14900,3.60,3.60,3.60,3.60,0,0,0
HVA,20180413,3.10,3.30,3.10,3.30,183950,3.10,3.30,3.10,3.30,0,0,0
HVA,20180412,3.10,3.10,3.00,3.00,284480,3.10,3.10,3.00,3.00,0,0,0
HVA,20180411,3.30,3.30,3.10,3.30,76000,3.30,3.30,3.10,3.30,0,0,0
HVA,20180410,3.50,3.50,3.30,3.40,92120,3.50,3.50,3.30,3.40,0,0,0
HVA,20180409,3.50,3.60,3.40,3.50,28620,3.50,3.60,3.40,3.50,0,0,0
HVA,20180406,3.50,3.60,3.50,3.50,29510,3.50,3.60,3.50,3.50,0,0,0
HVA,20180405,3.60,3.70,3.40,3.50,35800,3.60,3.70,3.40,3.50,0,0,0
HVA,20180404,3.70,3.70,3.50,3.60,69200,3.70,3.70,3.50,3.60,0,0,0
HVA,20180403,3.80,3.80,3.60,3.70,8700,3.80,3.80,3.60,3.70,0,0,0
HVA,20180402,3.90,3.90,3.60,3.60,46410,3.90,3.90,3.60,3.60,0,0,0
HVA,20180330,3.70,3.80,3.70,3.80,32460,3.70,3.80,3.70,3.80,0,0,0
HVA,20180329,3.90,3.90,3.70,3.90,24000,3.90,3.90,3.70,3.90,0,0,0
HVA,20180328,3.90,3.90,3.70,3.90,42600,3.90,3.90,3.70,3.90,0,0,0
HVA,20180327,4.00,4.00,3.70,3.80,11020,4.00,4.00,3.70,3.80,0,0,0
HVA,20180326,3.90,3.90,3.80,3.90,21200,3.90,3.90,3.80,3.90,0,0,0
HVA,20180323,3.80,3.90,3.80,3.90,47100,3.80,3.90,3.80,3.90,0,0,0
HVA,20180322,3.90,4.00,3.80,4.00,51110,3.90,4.00,3.80,4.00,0,0,0
HVA,20180321,3.80,3.90,3.70,3.80,93900,3.80,3.90,3.70,3.80,0,0,0
HVA,20180320,4.00,4.10,3.90,3.90,104200,4.00,4.10,3.90,3.90,0,0,0
HVA,20180319,4.20,4.20,3.80,4.00,86140,4.20,4.20,3.80,4.00,0,0,0
HVA,20180316,4.60,4.60,4.00,4.10,105000,4.60,4.60,4.00,4.10,0,0,0
HVA,20180315,4.20,4.20,4.00,4.20,76260,4.20,4.20,4.00,4.20,0,0,0
HVA,20180314,3.70,3.90,3.70,3.90,41063,3.70,3.90,3.70,3.90,0,0,0
HVA,20180313,3.80,3.80,3.60,3.60,35700,3.80,3.80,3.60,3.60,0,0,0
HVA,20180312,3.70,3.90,3.60,3.70,65110,3.70,3.90,3.60,3.70,0,0,0
HVA,20180309,3.90,3.90,3.70,3.90,111600,3.90,3.90,3.70,3.90,0,0,0
HVA,20180308,4.00,4.00,3.80,4.00,65490,4.00,4.00,3.80,4.00,0,0,0
HVA,20180307,4.00,4.10,3.90,4.00,26960,4.00,4.10,3.90,4.00,0,0,0
HVA,20180306,4.00,4.20,3.80,4.00,61753,4.00,4.20,3.80,4.00,0,0,0
HVA,20180305,4.50,4.50,4.00,4.00,31260,4.50,4.50,4.00,4.00,41000,0,0
HVA,20180302,4.30,4.30,3.90,4.10,74200,4.30,4.30,3.90,4.10,0,0,0
HVA,20180301,4.30,4.30,3.80,4.20,53000,4.30,4.30,3.80,4.20,0,0,0
HVA,20180228,4.10,4.30,4.10,4.10,109080,4.10,4.30,4.10,4.10,0,0,0
HVA,20180227,4.60,4.70,4.30,4.50,168620,4.60,4.70,4.30,4.50,0,0,0
HVA,20180226,4.90,4.90,4.30,4.70,196740,4.90,4.90,4.30,4.70,0,0,0
HVA,20180223,4.60,4.90,4.60,4.70,197800,4.60,4.90,4.60,4.70,0,0,0
HVA,20180222,4.50,4.50,4.40,4.50,116020,4.50,4.50,4.40,4.50,0,0,0
HVA,20180221,4.10,4.10,4.10,4.10,8400,4.10,4.10,4.10,4.10,0,0,0
