<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
IDC,20180611,20.90,21.20,20.80,21.20,10000,20.90,21.20,20.80,21.20,0,0,0
IDC,20180608,20.90,21.80,20.90,21.80,9000,20.90,21.80,20.90,21.80,0,0,0
IDC,20180607,22.50,22.60,21.00,21.90,17400,22.50,22.60,21.00,21.90,0,0,0
IDC,20180606,21.60,23.50,21.00,23.00,68300,21.60,23.50,21.00,23.00,0,0,0
IDC,20180605,19.60,21.90,19.50,21.90,13000,19.60,21.90,19.50,21.90,0,0,0
IDC,20180604,19.50,21.30,19.40,21.30,30000,19.50,21.30,19.40,21.30,0,0,0
IDC,20180601,19.90,21.00,19.90,21.00,10300,19.90,21.00,19.90,21.00,0,0,0
IDC,20180531,18.80,20.30,18.80,20.30,15500,18.80,20.30,18.80,20.30,0,0,0
IDC,20180530,19.00,20.20,18.80,20.20,22100,19.00,20.20,18.80,20.20,0,0,0
IDC,20180529,20.00,20.50,19.00,20.50,42700,20.00,20.50,19.00,20.50,0,0,0
IDC,20180528,19.50,20.30,18.10,20.30,80500,19.50,20.30,18.10,20.30,0,0,0
IDC,20180525,19.90,20.50,19.50,20.50,112700,19.90,20.50,19.50,20.50,0,0,60000
IDC,20180524,19.00,20.50,19.00,20.50,44900,19.00,20.50,19.00,20.50,0,0,0
IDC,20180523,19.90,20.50,19.70,20.50,34400,19.90,20.50,19.70,20.50,0,0,0
IDC,20180522,20.00,20.00,19.00,19.90,69000,20.00,20.00,19.00,19.90,0,0,0
IDC,20180521,20.00,21.00,19.00,21.00,33100,20.00,21.00,19.00,21.00,0,0,0
IDC,20180518,20.00,20.90,20.00,20.90,55100,20.00,20.90,20.00,20.90,0,0,0
IDC,20180517,20.80,20.80,20.80,20.80,510,20.80,20.80,20.80,20.80,0,0,0
IDC,20180516,20.40,21.00,20.00,21.00,59000,20.40,21.00,20.00,21.00,0,0,0
IDC,20180515,20.30,21.20,20.30,21.20,600,20.30,21.20,20.30,21.20,0,0,0
IDC,20180514,21.00,21.40,21.00,21.40,3200,21.00,21.40,21.00,21.40,0,0,0
IDC,20180511,20.00,21.40,20.00,21.40,8000,20.00,21.40,20.00,21.40,0,0,0
IDC,20180510,20.10,20.20,20.10,20.10,51715,20.10,20.20,20.10,20.10,0,0,51000
IDC,20180509,20.10,21.90,20.00,21.90,150000,20.10,21.90,20.00,21.90,0,0,0
IDC,20180508,21.00,21.00,19.80,20.00,246200,21.00,21.00,19.80,20.00,0,0,18000
