<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
IDV,20100601,4.9509,4.9509,3.4441,3.7024,5400
IDV,20100602,4.0640,4.0640,3.5474,3.5474,10600
IDV,20100603,3.3666,3.4010,3.3666,3.3666,7100
IDV,20100604,3.1427,3.1427,3.1341,3.1341,6300
IDV,20100607,2.9188,3.0997,2.9188,3.0997,12600
IDV,20100608,3.0997,3.0997,3.0136,3.0480,1200
IDV,20100609,3.1858,3.1858,2.8414,3.0567,5700
IDV,20100610,3.0136,3.0136,2.8414,2.8414,1000
IDV,20100611,2.7553,2.7553,2.7209,2.7209,4800
IDV,20100614,2.5831,2.7381,2.5487,2.7381,12600
IDV,20100615,2.5917,2.6692,2.5831,2.6692,9900
IDV,20100616,2.7984,2.7984,2.7983,2.7983,6300
IDV,20100617,2.9705,2.9878,2.9705,2.9878,5500
IDV,20100618,2.7812,2.9620,2.7812,2.9619,7000
IDV,20100621,3.0394,3.0394,2.8414,2.8845,9800
IDV,20100622,2.8414,2.8414,2.6520,2.6520,4500
IDV,20100623,2.8414,2.8414,2.6089,2.6261,10600
IDV,20100624,2.6261,2.7553,2.5830,2.6003,8600
IDV,20100625,2.5400,2.5486,2.5314,2.5400,1500
IDV,20100628,2.5056,2.7122,2.4969,2.7122,11900
IDV,20100629,2.7466,2.8414,2.6691,2.8414,65800
IDV,20100630,2.9275,3.0394,2.7983,3.0222,32100
IDV,20100701,3.0911,3.0997,2.9275,2.9533,17200
IDV,20100702,2.9619,3.2030,2.9447,2.9447,24700
IDV,20100705,3.1427,3.2374,3.0136,3.0997,10900
IDV,20100706,3.0997,3.2633,2.9878,2.9878,20500
IDV,20100707,3.1342,3.1342,2.9189,2.9189,11700
IDV,20100708,2.9878,3.1342,2.8070,2.8328,22100
IDV,20100709,3.0911,3.0911,2.8586,2.8758,19800
IDV,20100712,3.0738,3.0824,2.8500,2.8500,19100
IDV,20100713,3.0222,3.0222,2.9792,2.9878,23300
IDV,20100714,3.0481,3.0481,2.9878,3.0308,78100
IDV,20100715,3.0136,3.0136,2.9275,2.9878,7200
IDV,20100716,2.9878,2.9878,2.8845,2.8845,10400
IDV,20100719,2.9620,2.9620,2.8414,2.8586,11400
IDV,20100720,2.9533,3.0050,2.7467,2.7897,45900
IDV,20100721,2.9275,3.0050,2.7639,2.7639,32000
IDV,20100722,2.8586,2.8586,2.8414,2.8414,7000
IDV,20100723,2.7209,2.7553,2.6520,2.7553,19200
