<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
IJC,20100419,36.0000,36.0000,36.0000,36.0000,764420
IJC,20100420,37.8000,37.8000,37.8000,37.8000,50000
IJC,20100421,39.6000,39.6000,39.6000,39.6000,105760
IJC,20100422,39.0000,39.0000,39.0000,39.0000,273260
IJC,20100426,37.1000,37.1000,37.1000,37.1000,66960
IJC,20100427,35.7000,35.7000,35.7000,35.7000,207120
IJC,20100428,35.0000,35.0000,35.0000,35.0000,168240
IJC,20100429,36.3000,36.3000,36.3000,36.3000,174170
IJC,20100504,36.9000,36.9000,36.9000,36.9000,285810
IJC,20100505,36.9000,36.9000,36.9000,36.9000,1116140
IJC,20100506,38.7000,38.7000,38.7000,38.7000,462570
IJC,20100507,40.6000,40.6000,40.6000,40.6000,625780
IJC,20100510,38.6000,38.6000,38.6000,38.6000,382950
IJC,20100511,37.2000,37.2000,37.2000,37.2000,453640
IJC,20100512,35.4000,35.4000,35.4000,35.4000,391360
IJC,20100513,34.8000,34.8000,34.8000,34.8000,209770
IJC,20100514,33.3000,33.3000,33.3000,33.3000,137940
IJC,20100517,32.0000,32.0000,32.0000,32.0000,114820
IJC,20100518,30.4000,30.4000,30.4000,30.4000,494880
IJC,20100519,28.9000,28.9000,28.9000,28.9000,207430
IJC,20100520,30.3000,30.3000,30.3000,30.3000,389210
IJC,20100521,28.8000,28.8000,28.8000,28.8000,197810
IJC,20100524,27.7000,27.7000,27.7000,27.7000,175320
IJC,20100525,27.0000,27.0000,27.0000,27.0000,104480
IJC,20100526,28.3000,28.3000,28.3000,28.3000,136690
IJC,20100527,29.0000,29.0000,29.0000,29.0000,163030
IJC,20100528,30.4000,30.4000,30.4000,30.4000,233150
IJC,20100531,29.0000,29.0000,29.0000,29.0000,123800
IJC,20100601,29.2000,29.2000,29.2000,29.2000,127200
IJC,20100602,29.5000,29.5000,29.5000,29.5000,143970
IJC,20100603,29.4000,29.4000,29.4000,29.4000,373470
IJC,20100604,28.9000,28.9000,28.9000,28.9000,79800
IJC,20100607,27.5000,27.5000,27.5000,27.5000,243660
IJC,20100608,27.4000,27.4000,27.4000,27.4000,88120
IJC,20100609,26.6000,26.6000,26.6000,26.6000,110560
IJC,20100610,27.7000,27.7000,27.7000,27.7000,165720
IJC,20100611,27.6000,27.6000,27.6000,27.6000,89000
IJC,20100614,28.3000,28.3000,28.3000,28.3000,145650
IJC,20100615,28.4000,28.4000,28.4000,28.4000,201710
IJC,20100616,29.8000,29.8000,29.8000,29.8000,297320
IJC,20100617,31.2000,31.2000,31.2000,31.2000,488420
IJC,20100618,30.3000,30.3000,30.3000,30.3000,308170
IJC,20100621,31.0000,31.0000,31.0000,31.0000,198340
IJC,20100622,29.7000,29.7000,29.7000,29.7000,161880
IJC,20100623,30.2000,30.2000,30.2000,30.2000,294000
IJC,20100624,30.0000,30.0000,30.0000,30.0000,180830
IJC,20100625,29.4000,29.4000,29.4000,29.4000,218050
IJC,20100628,29.5000,29.5000,29.5000,29.5000,32780
IJC,20100629,28.8000,28.8000,28.8000,28.8000,80120
IJC,20100630,28.0000,28.0000,28.0000,28.0000,199370
IJC,20100701,27.9000,27.9000,27.9000,27.9000,87590
IJC,20100702,28.6000,28.6000,28.6000,28.6000,111260
IJC,20100705,29.0000,29.0000,29.0000,29.0000,101540
IJC,20100706,28.0000,28.0000,28.0000,28.0000,104400
IJC,20100707,28.0000,28.0000,28.0000,28.0000,66470
IJC,20100708,27.9000,27.9000,27.9000,27.9000,38620
IJC,20100709,28.0000,28.0000,28.0000,28.0000,48580
IJC,20100712,27.9000,27.9000,27.9000,27.9000,37410
IJC,20100713,28.8000,28.8000,28.8000,28.8000,115080
IJC,20100714,28.4000,28.4000,28.4000,28.4000,99220
IJC,20100715,28.1000,28.1000,28.1000,28.1000,42580
IJC,20100716,27.9000,27.9000,27.9000,27.9000,32520
IJC,20100719,27.8000,27.8000,27.8000,27.8000,89520
IJC,20100720,27.8000,27.8000,27.8000,27.8000,75040
IJC,20100721,27.6000,27.6000,27.6000,27.6000,51180
IJC,20100722,27.5000,27.5000,27.5000,27.5000,45420
IJC,20100723,27.1000,27.1000,27.1000,27.1000,82600
IJC,20100726,27.1000,27.1000,27.1000,27.1000,96320
IJC,20100727,27.0000,27.0000,27.0000,27.0000,52660
IJC,20100728,26.2000,26.2000,26.2000,26.2000,35520
IJC,20100729,26.7000,26.7000,26.7000,26.7000,30890
IJC,20100730,26.1000,26.1000,26.1000,26.1000,108440
IJC,20100802,26.1000,26.1000,26.1000,26.1000,35220
IJC,20100803,25.2000,25.2000,25.2000,25.2000,249700
IJC,20100804,24.6000,24.6000,24.6000,24.6000,51750
IJC,20100805,24.2000,24.2000,24.2000,24.2000,52380
IJC,20100806,23.7000,23.7000,23.7000,23.7000,199750
IJC,20100809,22.6000,22.6000,22.6000,22.6000,129840
IJC,20100810,21.5000,21.5000,21.5000,21.5000,130000
IJC,20100811,21.1000,21.1000,21.1000,21.1000,72740
