<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
IMP,20061204,15.6454,15.6454,15.6454,15.6454,62050
IMP,20061205,15.0196,15.0196,14.8631,14.8632,89420
IMP,20061206,14.1592,14.1592,14.1591,14.1591,3250
IMP,20061207,13.5333,14.8632,13.5333,14.8632,216560
IMP,20061208,15.4890,15.4890,15.4890,15.4890,18700
IMP,20061211,16.1148,16.1148,16.1148,16.1148,73020
IMP,20061212,16.7406,16.7406,16.1148,16.1148,92600
IMP,20061213,15.3325,15.6454,15.3325,15.6454,87350
IMP,20061214,15.6454,16.1148,15.6454,15.6454,58750
IMP,20061215,15.6454,15.6454,15.4889,15.4890,84120
IMP,20061218,15.4890,15.4890,15.0196,15.3325,47200
IMP,20061219,15.0196,15.0196,15.0196,15.0196,30160
IMP,20061220,15.0196,15.0979,15.0196,15.0979,48390
IMP,20061221,15.0979,15.0979,14.8632,14.8632,55170
IMP,20061222,14.1592,14.1592,14.1591,14.1591,26950
IMP,20061225,13.7680,14.8632,13.7680,14.8632,26850
IMP,20061226,15.5672,15.5672,15.1761,15.3325,80250
IMP,20061227,15.6454,15.6454,15.6454,15.6454,97420
IMP,20061228,15.6454,15.6454,15.4889,15.6454,57710
IMP,20061229,15.6454,15.6454,15.4107,15.6454,34500
IMP,20070102,15.6454,15.6454,15.6454,15.6454,33390
IMP,20070103,15.6454,15.6454,15.3325,15.6454,34780
IMP,20070104,16.4277,16.4277,16.4277,16.4277,43650
IMP,20070105,17.2100,17.2100,16.8971,16.8971,123610
IMP,20070108,17.6794,17.6794,17.2100,17.2100,98860
IMP,20070109,17.2100,17.2100,17.2100,17.2100,119530
IMP,20070110,17.5229,17.8358,17.5229,17.8358,92650
IMP,20070111,18.3052,18.6181,18.3052,18.6181,131220
IMP,20070112,19.4004,19.4004,19.4004,19.4004,70430
IMP,20070115,19.7133,19.7133,19.7133,19.7133,43810
IMP,20070116,19.5568,19.5568,19.0874,19.0874,38020
IMP,20070117,18.7745,18.7745,18.1487,18.1487,44580
IMP,20070118,17.3664,18.4616,17.3664,18.4616,59940
IMP,20070119,18.7745,19.0874,18.7745,19.0874,63440
IMP,20070122,18.1487,18.7745,18.1487,18.7745,38260
IMP,20070123,18.7745,18.9310,18.7745,18.9310,65400
IMP,20070124,19.0875,19.0875,18.7745,18.7745,96830
IMP,20070125,18.4616,18.4616,18.1487,18.4616,39090
IMP,20070126,18.7745,18.7745,18.7745,18.7745,68980
IMP,20070129,19.7132,19.7133,19.7132,19.7133,68730
IMP,20070130,20.6520,20.6520,20.6520,20.6520,39230
IMP,20070131,21.5907,21.5907,21.5907,21.5907,138870
IMP,20070201,22.0601,22.0601,21.5907,21.5907,104890
IMP,20070202,21.1213,21.1214,21.1213,21.1214,88700
IMP,20070205,20.3391,21.1214,20.3391,20.3391,23530
IMP,20070206,20.0262,20.3391,20.0262,20.0262,66210
IMP,20070207,20.9649,20.9649,20.9649,20.9649,83850
IMP,20070208,21.9036,21.9036,21.9036,21.9036,79680
IMP,20070209,20.8084,20.8084,20.8084,20.8084,28970
IMP,20070212,21.1213,21.1214,21.1213,21.1214,32160
IMP,20070213,21.4343,21.4343,21.2779,21.4343,26550
IMP,20070214,21.9037,22.0601,21.2778,21.9036,53510
IMP,20070215,22.2165,22.2165,21.9036,22.2165,36370
IMP,20070226,22.6859,22.6859,22.5294,22.6859,45490
IMP,20070227,23.4682,23.7811,23.1553,23.4682,80190
IMP,20070228,22.3730,22.8424,22.3730,22.3730,17630
IMP,20070301,22.3730,22.6859,22.3730,22.3730,25870
IMP,20070302,22.6859,22.6859,22.3730,22.3730,48820
IMP,20070305,22.6859,22.6859,22.3730,22.6859,44210
IMP,20070306,22.3730,22.8424,22.3730,22.3730,42730
IMP,20070307,22.6859,22.6859,22.6859,22.6859,18980
IMP,20070308,22.6859,22.6859,22.6859,22.6859,27390
IMP,20070309,22.5294,22.6859,22.3730,22.3730,11540
IMP,20070312,22.5295,22.5295,22.3730,22.5294,33720
IMP,20070313,23.4681,23.4682,22.6859,23.4682,62280
IMP,20070314,23.1553,23.7811,23.1553,23.1553,42340
IMP,20070315,22.6859,22.6859,22.0601,22.0601,5670
IMP,20070316,22.0601,23.1553,22.0601,23.1553,12010
IMP,20070319,23.1553,23.1553,22.6859,22.6859,21240
IMP,20070320,22.0601,22.6859,22.0601,22.3730,30030
IMP,20070321,21.4343,21.9036,21.2778,21.9036,9590
IMP,20070322,21.5907,21.5907,21.1213,21.1214,18690
IMP,20070323,21.1214,21.1214,20.3391,20.3391,18230
IMP,20070326,19.5568,19.5568,19.4004,19.4004,18780
IMP,20070327,18.4617,18.4617,18.4616,18.4616,22630
IMP,20070328,17.6793,18.7745,17.6793,18.7745,49710
IMP,20070329,19.7132,19.7133,19.7132,19.7133,23540
IMP,20070330,20.6520,20.6520,20.6520,20.6520,37520
IMP,20070402,20.6520,20.6520,20.6520,20.6520,21160
IMP,20070403,20.1826,20.1826,19.7133,19.8697,10000
IMP,20070404,19.0874,19.8697,19.0874,19.8697,5920
IMP,20070405,19.8697,20.0262,19.8697,20.0262,15590
IMP,20070406,19.4004,19.8697,19.4004,19.8697,10340
IMP,20070409,19.8697,19.8697,19.8697,19.8697,6250
IMP,20070410,20.3391,20.6520,20.3391,20.6520,19410
IMP,20070411,20.6520,20.6520,20.3391,20.3391,15010
IMP,20070412,20.3391,20.3391,20.1826,20.1826,19880
IMP,20070413,19.2439,20.0262,19.2439,20.0262,13870
IMP,20070416,19.8697,19.8697,19.4004,19.4004,20470
IMP,20070417,18.5675,18.5675,18.5637,18.5637,27440
IMP,20070418,18.5637,19.4312,18.5637,19.4311,4130
IMP,20070419,20.2986,20.2986,19.9516,19.9516,13440
IMP,20070420,19.9516,19.9516,19.9516,19.9516,8270
IMP,20070423,19.0841,19.0842,19.0841,19.0842,13020
IMP,20070424,18.5637,18.5637,18.2167,18.2167,1300
IMP,20070425,17.3492,17.6962,17.3492,17.6962,24650
IMP,20070502,18.3902,18.3902,17.6962,17.6962,4100
IMP,20070503,17.6962,17.6962,17.5227,17.5227,9820
IMP,20070504,17.0022,17.3492,17.0022,17.3492,10030
IMP,20070507,17.1757,18.2167,17.1757,18.2167,19280
IMP,20070508,19.0842,19.0842,19.0842,19.0842,32580
IMP,20070509,19.4312,19.4312,19.4311,19.4311,32130
IMP,20070510,19.0841,19.0842,19.0841,19.0842,1440
IMP,20070511,18.2167,18.7372,18.2167,18.7372,13680
IMP,20070514,19.0842,19.0842,18.7372,18.7372,7800
IMP,20070515,18.7372,18.7372,18.7372,18.7372,28550
IMP,20070516,18.2167,18.2167,18.2167,18.2167,13140
IMP,20070517,18.2167,18.7372,18.2167,18.7372,7810
IMP,20070518,18.7372,18.7372,18.5637,18.5637,17090
IMP,20070521,18.5637,18.7372,18.5637,18.7372,12960
IMP,20070522,18.7372,19.4312,18.7372,19.4311,29360
IMP,20070523,20.2986,20.2986,19.9516,19.9516,39790
IMP,20070524,19.4311,19.9516,19.4311,19.4311,14510
IMP,20070525,18.7371,19.0842,18.7371,19.0842,5790
IMP,20070528,19.0842,19.0842,18.7372,18.9107,8460
IMP,20070529,18.9107,18.9107,18.9107,18.9107,21240
IMP,20070530,18.9107,18.9107,18.3902,18.9107,6850
IMP,20070531,18.9107,18.9107,18.9107,18.9107,15180
IMP,20070601,18.9107,18.9107,18.5637,18.5637,13700
IMP,20070604,18.2167,18.2167,18.2167,18.2167,22980
IMP,20070605,18.2167,18.2167,18.0432,18.0432,11600
IMP,20070606,18.2167,18.2167,18.0432,18.0432,24450
IMP,20070607,18.5637,18.5637,18.2167,18.5637,11450
IMP,20070608,18.5637,18.5637,18.2167,18.2167,17360
IMP,20070611,18.2167,18.2167,18.2167,18.2167,5650
IMP,20070612,19.0842,19.0842,19.0842,19.0842,66600
