<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ITD,20091204,30.0000,35.0000,26.0000,26.0000,1020
ITD,20091207,27.9000,27.9000,27.9000,27.9000,50
ITD,20091208,27.9000,27.9000,27.9000,27.9000,0
ITD,20091209,27.9000,27.9000,27.9000,27.9000,0
ITD,20091210,27.9000,27.9000,27.9000,27.9000,0
ITD,20091211,9.9156,9.9156,9.9156,9.9156,0
ITD,20091214,9.9156,9.9156,9.9156,9.9156,0
ITD,20091215,8.9420,8.9420,8.9420,8.9420,400
ITD,20091216,8.0767,8.0767,8.0767,8.0767,600
ITD,20091217,7.2834,7.2834,7.2834,7.2834,100
ITD,20091218,6.5623,6.5623,6.5623,6.5623,1001
ITD,20091221,5.9133,5.9133,5.9133,5.9133,10
ITD,20091222,5.3364,5.3364,5.3364,5.3364,20
ITD,20091223,4.8316,5.0479,4.8316,4.8316,6560
ITD,20091224,4.3628,4.8316,4.3628,4.3628,14845
ITD,20091225,4.3628,4.5071,4.3628,4.5071,19601
ITD,20091228,4.5071,4.8676,4.0023,4.8676,159966
ITD,20091229,4.4350,4.4350,4.4350,4.4350,10
ITD,20091230,4.8676,4.8676,4.8676,4.8676,1296
ITD,20091231,5.3364,5.3364,5.2282,5.3364,15000
ITD,20100104,5.8412,5.8412,5.8412,5.8412,9033
ITD,20100105,6.4181,6.4181,6.3820,6.3820,12540
ITD,20100106,7.0310,7.0310,7.0310,7.0310,10
ITD,20100107,7.7161,7.7161,6.3460,6.3460,1010
ITD,20100108,5.7330,5.7330,5.7330,5.7330,4700
ITD,20100111,5.1921,6.2738,5.1921,6.2738,1140
ITD,20100112,5.3364,5.3364,5.3364,5.3364,0
ITD,20100113,5.3364,5.3364,5.3364,5.3364,0
ITD,20100114,5.0479,5.0479,5.0479,5.0479,500
ITD,20100115,5.5527,5.5527,5.5527,5.5527,3000
ITD,20100118,6.0936,6.0936,5.7691,5.8412,1520
ITD,20100119,5.4445,5.5888,5.4445,5.4806,1400
ITD,20100120,5.2282,5.2282,5.2282,5.2282,50
ITD,20100121,5.2282,5.2282,5.2282,5.2282,0
