<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
KDH,20181024,30.45,30.80,30.40,30.50,216860,30.45,30.80,30.40,30.50,0,0,0
KDH,20181023,32.00,32.00,30.00,30.45,332440,32.00,32.00,30.00,30.45,0,0,0
KDH,20181022,32.50,32.50,32.00,32.00,83060,32.50,32.50,32.00,32.00,0,0,0
KDH,20181019,32.80,32.95,32.65,32.85,71090,32.80,32.95,32.65,32.85,585000,0,10
KDH,20181018,33.10,33.10,32.70,32.90,77110,33.10,33.10,32.70,32.90,0,0,0
KDH,20181017,33.10,33.30,33.00,33.10,73080,33.10,33.30,33.00,33.10,21915,0,2330
KDH,20181016,33.40,33.40,32.90,33.10,74130,33.40,33.40,32.90,33.10,635000,10,2600
KDH,20181015,33.00,33.60,32.90,33.60,294940,33.00,33.60,32.90,33.60,213330,340000,1500
KDH,20181012,31.90,33.10,31.90,33.00,311880,31.90,33.10,31.90,33.00,0,219000,40000
KDH,20181011,32.15,33.60,31.65,32.15,248860,32.15,33.60,31.65,32.15,0,0,5010
KDH,20181010,34.40,34.40,33.85,34.00,50310,34.40,34.40,33.85,34.00,0,0,5010
KDH,20181009,34.45,34.55,34.35,34.40,83670,34.45,34.55,34.35,34.40,0,50000,14990
KDH,20181008,34.70,34.70,34.20,34.40,83670,34.70,34.70,34.20,34.40,0,0,10000
KDH,20181005,34.75,34.90,34.40,34.70,101660,34.75,34.90,34.40,34.70,0,0,20
KDH,20181004,34.05,34.70,34.00,34.70,157020,34.05,34.70,34.00,34.70,40000,0,52040
KDH,20181003,34.10,34.20,34.05,34.10,86470,34.10,34.20,34.05,34.10,0,0,290
KDH,20181002,34.40,35.10,33.65,34.10,374720,34.40,35.10,33.65,34.10,0,368610,50700
KDH,20181001,34.10,34.70,33.70,34.50,469550,34.10,34.70,33.70,34.50,0,368610,50700
KDH,20180928,34.10,34.90,34.00,34.00,100660,34.10,34.90,34.00,34.00,0,12000,1000
KDH,20180927,33.05,35.00,33.05,34.40,434130,33.05,35.00,33.05,34.40,0,180330,0
KDH,20180926,33.05,33.10,32.95,33.05,130840,33.05,33.10,32.95,33.05,0,23890,0
KDH,20180925,33.05,33.10,32.95,33.05,137280,33.05,33.10,32.95,33.05,0,47000,0
KDH,20180924,33.20,33.20,33.00,33.05,95070,33.20,33.20,33.00,33.05,450000,47000,0
KDH,20180921,33.90,33.90,32.50,33.20,153840,33.90,33.90,32.50,33.20,0,65000,0
KDH,20180920,31.54,32.57,31.45,32.43,193550,33.60,34.70,33.50,34.55,0,127390,0
KDH,20180919,31.21,31.59,31.21,31.54,195640,33.25,33.65,33.25,33.60,0,141750,0
KDH,20180918,30.60,31.26,30.55,31.21,259790,32.60,33.30,32.55,33.25,50000,176400,5000
KDH,20180917,31.07,31.35,30.88,30.88,151560,33.10,33.40,32.90,32.90,0,10,0
KDH,20180914,31.77,31.82,31.21,31.35,504210,33.85,33.90,33.25,33.40,0,400000,0
KDH,20180913,31.02,31.86,30.88,31.77,459730,33.05,33.95,32.90,33.85,0,356000,0
KDH,20180912,31.26,31.26,30.79,31.02,233090,33.30,33.30,32.80,33.05,0,185000,2000
KDH,20180911,30.60,31.26,29.94,31.26,414080,32.60,33.30,31.90,33.30,0,283500,500
KDH,20180910,29.66,30.60,29.38,30.60,378680,31.60,32.60,31.30,32.60,0,0,1500
KDH,20180907,28.91,29.71,28.91,29.66,284210,30.80,31.65,30.80,31.60,0,0,0
KDH,20180906,29.29,29.48,28.82,29.10,224110,31.20,31.40,30.70,31.00,0,0,0
KDH,20180905,29.66,29.66,29.09,29.43,219000,31.60,31.60,31.00,31.35,0,0,0
KDH,20180904,30.04,30.13,29.43,29.75,169670,32.00,32.10,31.35,31.70,0,0,0
KDH,20180831,29.05,30.32,28.96,30.04,475470,30.95,32.30,30.85,32.00,0,6000,0
KDH,20180830,28.96,29.05,28.68,28.96,276700,30.85,30.95,30.55,30.85,4340000,4071580,0
KDH,20180829,29.10,29.19,28.87,28.96,129190,31.00,31.10,30.75,30.85,0,18500,0
KDH,20180828,28.91,29.33,28.82,29.10,210650,30.80,31.25,30.70,31.00,0,7000,4100
KDH,20180827,28.06,28.91,27.88,28.49,304450,29.90,30.80,29.70,30.35,0,3080,10
KDH,20180824,27.60,28.07,27.41,27.97,212880,29.40,29.90,29.20,29.80,0,0,0
KDH,20180823,27.50,27.59,27.03,27.60,122520,29.30,29.40,28.80,29.40,66000,69560,66000
KDH,20180822,27.50,27.59,27.17,27.50,144870,29.30,29.40,28.95,29.30,350000,359000,350000
KDH,20180821,27.31,27.50,26.84,27.31,93790,29.10,29.30,28.60,29.10,0,0,0
