<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
L14,20200512,69.80,71.00,69.00,69.80,35900,69.80,71.00,69.00,69.80,0,0,0
L14,20200511,68.20,70.00,68.20,69.50,45223,68.20,70.00,68.20,69.50,0,0,0
L14,20200508,67.50,68.80,67.00,67.90,65625,67.50,68.80,67.00,67.90,0,700,0
L14,20200507,65.80,67.60,65.80,66.80,27357,65.80,67.60,65.80,66.80,0,0,0
L14,20200506,65.00,66.60,65.00,66.00,13988,65.00,66.60,65.00,66.00,91,100,0
L14,20200505,64.60,67.00,64.40,65.30,29140,64.60,67.00,64.40,65.30,0,0,0
L14,20200504,67.00,67.00,65.10,65.10,18296,67.00,67.00,65.10,65.10,42,0,0
L14,20200429,67.90,68.90,67.20,67.90,35251,67.90,68.90,67.20,67.90,0,0,0
L14,20200428,66.10,67.00,65.50,67.00,49041,66.10,67.00,65.50,67.00,0,0,0
L14,20200427,67.30,67.80,64.00,66.10,55134,67.30,67.80,64.00,66.10,0,0,0
L14,20200424,67.00,68.00,62.00,67.40,109212,67.00,68.00,62.00,67.40,0,0,0
L14,20200423,66.40,69.10,65.00,66.00,143909,66.40,69.10,65.00,66.00,0,0,0
L14,20200422,57.50,64.20,57.50,64.20,194708,57.50,64.20,57.50,64.20,0,0,0
L14,20200421,57.70,58.40,55.20,58.40,141037,57.70,58.40,55.20,58.40,51,0,0
L14,20200420,58.00,58.30,55.90,58.30,56071,58.00,58.30,55.90,58.30,0,0,0
L14,20200417,56.00,58.50,56.00,58.00,140091,56.00,58.50,56.00,58.00,0,0,0
L14,20200416,53.90,55.70,53.40,55.60,95746,53.90,55.70,53.40,55.60,0,0,0
L14,20200415,53.90,54.00,53.00,53.90,39757,53.90,54.00,53.00,53.90,0,0,0
L14,20200414,54.10,54.90,53.80,53.90,29020,54.10,54.90,53.80,53.90,0,0,0
L14,20200413,54.00,55.40,53.80,54.00,51600,54.00,55.40,53.80,54.00,0,800,0
L14,20200410,54.00,56.10,53.00,54.00,63529,54.00,56.10,53.00,54.00,0,0,0
L14,20200409,56.70,56.80,55.70,55.70,45920,56.70,56.80,55.70,55.70,53014,0,0
L14,20200408,55.50,56.70,54.00,56.70,30271,55.50,56.70,54.00,56.70,0,0,0
L14,20200407,57.00,57.40,55.90,56.00,96470,57.00,57.40,55.90,56.00,0,0,0
L14,20200406,55.50,57.70,55.40,56.70,73916,55.50,57.70,55.40,56.70,20000,0,300
L14,20200403,54.20,57.00,54.20,55.40,57550,54.20,57.00,54.20,55.40,0,0,0
L14,20200401,49.90,54.20,48.30,54.20,123638,49.90,54.20,48.30,54.20,0,0,0
L14,20200331,46.10,50.90,46.00,49.50,126253,46.10,50.90,46.00,49.50,0,0,0
L14,20200330,47.60,48.60,46.00,47.00,33075,47.60,48.60,46.00,47.00,0,0,0
