<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LCG,20081118,5.6578,5.6578,5.6578,5.6578,20
LCG,20081119,5.3749,5.3749,5.3749,5.3749,10
LCG,20081120,5.1156,5.1156,5.1156,5.1156,10
LCG,20081121,4.8681,4.8681,4.8680,4.8680,10
LCG,20081124,4.6323,4.6323,4.6323,4.6323,3410
LCG,20081125,4.4083,4.4083,4.4083,4.4083,3110
LCG,20081126,4.1961,4.1962,4.1961,4.1962,8110
LCG,20081127,3.9958,3.9958,3.9958,3.9958,2010
LCG,20081128,3.8072,3.8072,3.8072,3.8072,2110
LCG,20081201,3.6186,3.6186,3.6186,3.6186,2500
LCG,20081202,3.4418,3.4418,3.4418,3.4418,24010
LCG,20081203,3.2768,3.3121,3.2768,3.2768,205250
LCG,20081204,3.1179,3.1790,3.1178,3.1178,393620
LCG,20081205,2.9833,3.0444,2.9711,2.9833,340450
LCG,20081208,3.1300,3.1300,3.1300,3.1300,41980
LCG,20081209,3.2767,3.2767,3.2767,3.2767,17600
LCG,20081210,3.1911,3.2767,3.1544,3.2767,138430
LCG,20081211,3.3745,3.4357,3.3745,3.4357,141980
LCG,20081212,3.6069,3.6069,3.6069,3.6069,26950
LCG,20081215,3.7781,3.7781,3.7780,3.7780,4110
LCG,20081216,3.9614,3.9614,3.7902,3.9614,367980
LCG,20081217,3.7902,4.1203,3.7902,3.9003,54180
LCG,20081218,3.9003,3.9737,3.7903,3.9003,28280
LCG,20081219,4.0837,4.0837,4.0837,4.0837,23970
LCG,20081222,4.2793,4.2793,4.2793,4.2793,28460
LCG,20081223,4.4872,4.4872,4.1570,4.4872,120790
LCG,20081224,4.2916,4.5850,4.2916,4.4016,84960
LCG,20081225,4.5239,4.5239,4.2793,4.4994,26100
LCG,20081226,4.6461,4.7195,4.5483,4.6461,136580
LCG,20081229,4.7439,4.7439,4.5605,4.7439,49470
LCG,20081230,4.6461,4.8907,4.5850,4.8907,89600
LCG,20081231,4.8296,5.1352,4.7684,5.1352,214730
LCG,20090102,5.3920,5.3920,5.3553,5.3919,92860
LCG,20090105,5.6120,5.6120,5.1229,5.1596,129310
LCG,20090106,5.1718,5.2574,4.9762,5.0741,83890
LCG,20090107,5.2575,5.2697,4.9029,4.9029,62310
LCG,20090108,4.7073,4.9029,4.6584,4.9029,145290
LCG,20090109,4.8784,5.0129,4.8784,5.0129,34710
LCG,20090112,5.0129,5.1352,5.0129,5.0618,22270
LCG,20090113,4.9518,5.0129,4.8173,4.8173,37270
LCG,20090114,4.6828,5.0007,4.6217,4.6461,89440
LCG,20090115,4.6216,4.7072,4.6216,4.6461,47780
LCG,20090116,4.8295,4.8784,4.7684,4.8784,121950
LCG,20090119,5.0129,5.0129,4.8906,4.9885,42500
LCG,20090120,5.1352,5.1352,5.0007,5.0251,98520
LCG,20090121,4.9273,5.0129,4.8784,4.8784,21580
LCG,20090122,4.8662,4.9395,4.8662,4.8907,60740
LCG,20090123,4.8785,4.9152,4.8662,4.8907,28410
LCG,20090202,4.8785,4.8907,4.8051,4.8051,43650
LCG,20090203,4.6828,4.6828,4.5728,4.5728,63970
LCG,20090204,4.4872,4.5973,4.3527,4.3527,41550
LCG,20090205,4.1448,4.1448,4.1448,4.1448,18000
LCG,20090206,3.9492,4.3282,3.9492,4.2793,121010
LCG,20090209,4.3893,4.4016,4.2793,4.3894,27800
LCG,20090210,4.3894,4.3894,4.1815,4.1815,20780
LCG,20090211,4.0103,4.0959,4.0103,4.0103,22790
LCG,20090212,3.8514,3.9736,3.8391,3.8392,31900
LCG,20090213,3.8514,3.9737,3.7903,3.7903,28300
LCG,20090216,3.9615,3.9615,3.6435,3.6435,28990
LCG,20090217,3.5335,3.5701,3.4723,3.4846,83190
LCG,20090218,3.4235,3.6069,3.4235,3.4968,50800
LCG,20090219,3.6435,3.6435,3.5457,3.6435,76230
LCG,20090220,3.5457,3.7169,3.5457,3.7169,24190
LCG,20090223,3.7169,3.7169,3.5335,3.5335,47540
LCG,20090224,3.4235,3.4235,3.3623,3.3623,47480
LCG,20090225,3.4846,3.5213,3.3745,3.5213,53460
LCG,20090226,3.4235,3.5213,3.3868,3.5213,8710
LCG,20090227,3.4235,3.6069,3.4235,3.4968,25980
LCG,20090302,3.4234,3.5090,3.4234,3.4968,15610
LCG,20090303,3.4968,3.4968,3.3868,3.4846,17130
LCG,20090304,3.5457,3.5457,3.5213,3.5213,13560
LCG,20090305,3.6436,3.6802,3.4479,3.6802,59020
LCG,20090306,3.6802,3.6802,3.6191,3.6680,17850
LCG,20090309,3.7291,3.7903,3.5702,3.5824,85180
LCG,20090310,3.6802,3.7536,3.5335,3.7536,211070
LCG,20090311,3.9370,3.9370,3.9370,3.9370,89720
LCG,20090312,3.9370,4.1326,3.8636,4.1326,243980
LCG,20090313,4.3160,4.3282,4.1571,4.3038,265280
LCG,20090316,4.1204,4.2793,4.0959,4.2671,208600
LCG,20090317,4.2793,4.4138,4.2793,4.4138,211100
LCG,20090318,4.4994,4.4994,4.2182,4.4016,142710
LCG,20090319,4.2793,4.3405,4.1815,4.1815,128720
LCG,20090320,4.0592,4.1815,3.9736,4.0226,203630
LCG,20090323,3.9859,3.9859,3.8636,3.8636,52760
LCG,20090324,4.0470,4.0470,3.9981,4.0470,166230
LCG,20090325,3.9125,4.2426,3.9125,4.2060,89310
LCG,20090326,4.1815,4.2182,4.0960,4.1815,179850
LCG,20090327,4.1937,4.2060,4.0715,4.0715,174300
LCG,20090330,3.9126,4.0715,3.9126,3.9737,30210
LCG,20090331,3.9003,3.9615,3.8392,3.8636,51980
LCG,20090401,3.9125,3.9859,3.8269,3.9614,130790
LCG,20090402,4.1570,4.1571,4.1203,4.1571,493780
LCG,20090403,4.3650,4.3650,4.3649,4.3649,123550
LCG,20090407,4.5728,4.5728,4.5238,4.5728,579330
LCG,20090408,4.6462,4.7929,4.5728,4.6461,578220
LCG,20090409,4.7439,4.7684,4.5850,4.6828,290310
LCG,20090410,4.9151,4.9151,4.9151,4.9151,279060
LCG,20090413,5.1596,5.1596,5.1596,5.1596,18620
LCG,20090414,5.4164,5.4164,5.4164,5.4164,37420
LCG,20090415,5.6854,5.6854,5.6854,5.6854,247420
LCG,20090416,5.9666,5.9666,5.6854,5.9666,584210
LCG,20090417,5.6732,5.8566,5.6732,5.6732,644050
LCG,20090420,5.3920,5.3920,5.3919,5.3919,27710
LCG,20090421,5.1229,5.5631,5.1229,5.1230,435520
LCG,20090422,5.1230,5.2453,4.8785,5.1352,454650
LCG,20090423,5.3920,5.3920,5.3797,5.3919,790100
LCG,20090424,5.6609,5.6609,5.5019,5.6609,374780
LCG,20090427,5.9299,5.9299,5.5020,5.5142,196550
LCG,20090428,5.4775,5.5631,5.4042,5.5264,291140
LCG,20090429,5.4530,5.7954,5.4286,5.7954,381920
LCG,20090504,6.0766,6.0766,6.0766,6.0766,22370
LCG,20090505,6.3578,6.3579,6.3578,6.3579,7900
LCG,20090506,6.6636,6.6636,6.6024,6.6635,827920
LCG,20090507,6.9692,6.9692,6.9692,6.9692,383950
LCG,20090508,7.0303,7.2749,7.0303,7.2749,412050
LCG,20090511,7.2749,7.5806,6.9692,7.3971,376360
LCG,20090512,7.5805,7.7639,7.1526,7.7639,263450
LCG,20090513,7.7884,8.0951,7.6045,7.7950,489100
LCG,20090514,7.4881,7.7336,7.4267,7.4267,368780
LCG,20090515,7.7336,7.7950,7.5495,7.7950,237070
LCG,20090518,7.6109,7.8564,7.5495,7.5495,679270
LCG,20090519,7.8564,7.9178,7.6109,7.8564,395560
LCG,20090520,7.8564,7.9178,7.7336,7.7950,345380
LCG,20090521,7.7950,8.1633,7.6109,7.7950,395230
LCG,20090522,7.5495,7.8564,7.5495,7.7950,272490
LCG,20090525,7.9178,8.1633,7.8564,8.1632,232530
LCG,20090526,8.2860,8.5315,8.0404,8.5315,271080
LCG,20090527,8.8998,8.8998,8.6543,8.8998,636430
LCG,20090528,9.2067,9.3294,9.0839,9.3294,517690
LCG,20090529,9.6977,9.6977,9.0225,9.5749,286680
LCG,20090601,9.6977,9.7590,9.5749,9.6363,247920
LCG,20090602,10.0659,10.0659,9.7591,9.7591,243230
LCG,20090603,9.7591,10.1887,9.6977,10.1887,520890
LCG,20090604,10.5570,10.6797,10.5570,10.6797,302150
LCG,20090605,11.1707,11.1707,11.1707,11.1707,127470
LCG,20090608,11.7231,11.7231,11.5390,11.7231,456760
LCG,20090609,12.2141,12.2755,11.7845,12.2755,533050
LCG,20090610,12.2141,12.2755,11.6617,11.6618,594880
LCG,20090611,12.2142,12.2142,12.0301,12.2142,379890
LCG,20090612,12.7666,12.7666,12.6438,12.7666,665290
LCG,20090615,12.7666,13.2576,12.3983,13.0121,700470
LCG,20090616,12.5211,13.0121,12.3983,12.3983,573810
LCG,20090617,11.7845,12.1528,11.7845,11.7845,481890
LCG,20090618,11.9073,11.9073,11.2321,11.2321,476950
LCG,20090619,11.2935,11.2935,10.6797,10.6797,635860
LCG,20090622,10.3114,10.4956,10.1887,10.1887,493520
LCG,20090623,9.6977,9.6977,9.6977,9.6977,309060
LCG,20090624,10.1209,10.1273,10.1209,10.1273,59480
LCG,20090625,10.5876,10.5877,10.3114,10.5877,555830
LCG,20090626,10.7718,10.7718,10.2194,10.2194,542720
LCG,20090629,9.8511,10.0353,9.7591,9.7591,286630
LCG,20090630,9.4829,9.5750,9.2987,9.2987,148470
LCG,20090701,8.8384,8.8384,8.8384,8.8384,89320
LCG,20090702,8.3965,9.1883,8.3965,8.8200,836400
LCG,20090703,8.3965,8.6543,8.3965,8.6543,496030
LCG,20090706,9.0778,9.0778,9.0226,9.0778,252150
LCG,20090707,9.4829,9.4829,9.2067,9.4829,451350
LCG,20090708,9.5750,9.9432,9.4829,9.9432,1145140
LCG,20090709,9.9432,10.1273,9.6670,9.6670,304660
LCG,20090710,9.5749,9.5749,9.1883,9.3908,586760
LCG,20090713,9.2987,9.2987,8.9305,8.9489,366820
LCG,20090714,8.9489,9.0226,8.5622,8.9489,243530
LCG,20090715,9.0041,9.2988,8.9489,9.1330,182360
LCG,20090716,9.1330,9.2987,9.0409,9.2067,312840
LCG,20090717,9.2067,9.2988,9.1146,9.1146,337830
LCG,20090720,8.8752,8.8752,8.6727,8.6727,262330
LCG,20090721,8.5806,8.8200,8.5806,8.6727,184730
LCG,20090722,8.4702,8.7279,8.4701,8.4701,284800
LCG,20090723,8.4333,8.8936,8.4333,8.8936,249000
LCG,20090724,9.2987,9.2987,9.2987,9.2987,36040
LCG,20090727,9.7590,9.7591,9.7590,9.7591,187390
LCG,20090728,10.2194,10.2194,9.9432,9.9432,1548190
LCG,20090729,10.4035,10.4035,10.1273,10.3115,1078880
LCG,20090730,10.0353,10.3115,9.8511,9.8511,801440
LCG,20090731,10.3114,10.3115,10.3114,10.3115,43740
LCG,20090803,10.7718,10.7718,10.3115,10.7718,721410
LCG,20090804,11.2321,11.2321,10.9559,11.1401,2155520
LCG,20090805,10.9560,11.3242,10.8639,11.2321,648920
LCG,20090806,11.2321,11.7845,11.2321,11.3242,674360
LCG,20090807,11.3242,11.4163,11.0480,11.2321,588490
LCG,20090810,11.3242,11.7845,11.1400,11.7845,820420
LCG,20090811,11.6004,12.3369,11.6004,12.3369,870430
LCG,20090812,12.8893,12.8893,12.5210,12.8893,722300
LCG,20090813,13.5338,13.5338,12.8893,12.8893,1860100
LCG,20090814,12.7052,13.1655,12.6131,12.7973,1121170
LCG,20090817,12.7052,13.0735,12.5211,12.5211,604550
LCG,20090818,12.4290,13.0735,12.4290,13.0735,1496750
LCG,20090819,13.4418,13.7180,13.2576,13.7179,876670
LCG,20090820,14.0862,14.3624,13.9941,14.3624,987080
LCG,20090821,14.9148,15.0069,13.9941,13.9941,1147180
LCG,20090824,13.9020,14.3624,13.8100,13.8100,969830
LCG,20090825,13.8100,14.0862,13.7179,13.8100,1220200
LCG,20090826,13.9941,14.4545,13.9941,14.4545,1356170
LCG,20090827,14.4545,14.7307,14.3624,14.5465,799040
LCG,20090828,14.6386,14.8227,14.3624,14.7307,717660
LCG,20090831,14.9148,15.0069,14.6386,14.7307,708860
LCG,20090901,14.5466,14.7307,14.3624,14.5465,874020
LCG,20090902,14.5465,14.5465,14.5465,14.5465,0
LCG,20090903,14.3624,15.1910,14.2703,15.1910,1586350
