<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
LPB,20180411,17.70,18.00,16.90,17.00,7617559,17.70,18.00,16.90,17.00,40745,78469,28333
LPB,20180410,18.00,18.40,17.40,17.50,11106870,18.00,18.40,17.40,17.50,203,0,20000
LPB,20180409,17.30,18.10,17.20,18.00,9446782,17.30,18.10,17.20,18.00,1037786,0,20000
LPB,20180406,16.20,17.70,16.20,17.40,15990731,16.20,17.70,16.20,17.40,150185,1600,78465
LPB,20180405,15.90,16.40,15.70,16.30,8620628,15.90,16.40,15.70,16.30,1639136,0,0
LPB,20180404,15.20,16.20,15.20,15.90,10674211,15.20,16.20,15.20,15.90,122242,0,0
LPB,20180403,15.30,15.30,15.00,15.20,1654676,15.30,15.30,15.00,15.20,150009,0,1600
LPB,20180402,15.10,15.30,14.90,15.20,2472740,15.10,15.30,14.90,15.20,86149,870,0
LPB,20180330,15.20,15.30,14.80,15.00,1648830,15.20,15.30,14.80,15.00,1330303,44000,0
LPB,20180329,15.10,15.30,15.00,15.10,2796943,15.10,15.30,15.00,15.10,1450000,14800,0
LPB,20180328,15.50,15.50,14.90,15.10,5081917,15.50,15.50,14.90,15.10,150151,0,800
LPB,20180327,15.60,15.80,15.40,15.50,1318935,15.60,15.80,15.40,15.50,0,0,44000
LPB,20180326,15.40,15.80,15.30,15.60,1611390,15.40,15.80,15.30,15.60,1648958,0,14874
LPB,20180323,15.80,15.80,15.20,15.50,2768490,15.80,15.80,15.20,15.50,25000,27000,0
LPB,20180322,16.20,16.20,15.80,15.90,1611230,16.20,16.20,15.80,15.90,0,0,0
LPB,20180321,16.60,16.70,16.00,16.10,2300636,16.60,16.70,16.00,16.10,0,0,0
LPB,20180320,15.70,17.10,15.60,16.40,9984775,15.70,17.10,15.60,16.40,0,3588645,27000
LPB,20180319,16.10,16.10,15.70,15.80,2012357,16.10,16.10,15.70,15.80,0,0,0
LPB,20180316,15.90,16.20,15.80,16.10,2068497,15.90,16.20,15.80,16.10,230000,130000,130000
LPB,20180315,16.00,16.00,15.50,15.90,2257275,16.00,16.00,15.50,15.90,5000,0,0
LPB,20180314,16.10,16.20,15.80,16.00,2952316,16.10,16.20,15.80,16.00,100000,0,0
LPB,20180313,16.20,16.20,15.80,16.10,1436019,16.20,16.20,15.80,16.10,0,0,0
LPB,20180312,15.80,16.50,15.80,16.10,3481804,15.80,16.50,15.80,16.10,0,0,0
LPB,20180309,14.90,16.00,14.90,15.70,5709648,14.90,16.00,14.90,15.70,0,45000,0
LPB,20180308,14.80,14.80,14.70,14.70,1013065,14.80,14.80,14.70,14.70,0,0,0
LPB,20180307,14.90,15.00,14.50,14.80,1852024,14.90,15.00,14.50,14.80,0,14500,0
LPB,20180306,14.70,14.90,14.60,14.90,1926418,14.70,14.90,14.60,14.90,95000,0,45000
LPB,20180305,14.70,15.20,14.20,14.40,2252919,14.70,15.20,14.20,14.40,0,0,0
LPB,20180302,15.00,15.00,14.60,14.90,1836772,15.00,15.00,14.60,14.90,0,88000,14500
LPB,20180301,15.30,15.40,14.50,15.00,3507531,15.30,15.40,14.50,15.00,57000,108000,0
LPB,20180228,15.70,15.70,15.30,15.50,2781413,15.70,15.70,15.30,15.50,0,79000,0
LPB,20180227,15.90,16.20,15.50,15.60,1419985,15.90,16.20,15.50,15.60,68,131000,88000
LPB,20180226,15.70,16.20,15.60,15.60,3486519,15.70,16.20,15.60,15.60,0,113000,108000
LPB,20180223,15.50,15.80,15.40,15.70,2121900,15.50,15.80,15.40,15.70,0,74000,125000
LPB,20180222,15.70,15.80,15.30,15.50,2080421,15.70,15.80,15.30,15.50,0,0,131000
LPB,20180221,15.60,16.10,15.60,15.70,1978111,15.60,16.10,15.60,15.70,0,0,113000
LPB,20180213,15.40,15.70,15.00,15.60,1433291,15.40,15.70,15.00,15.60,0,0,28000
LPB,20180212,14.70,15.00,14.60,15.00,2186850,14.70,15.00,14.60,15.00,0,0,0
LPB,20180209,13.60,14.70,13.30,14.60,2091362,13.60,14.70,13.30,14.60,0,70,0
LPB,20180208,14.90,14.90,14.20,14.30,1016920,14.90,14.90,14.20,14.30,0,0,0
LPB,20180207,14.00,15.00,13.90,14.90,1809793,14.00,15.00,13.90,14.90,74000,74000,74000
LPB,20180206,14.20,14.80,12.80,13.90,5100513,14.20,14.80,12.80,13.90,0,0,70
LPB,20180205,16.00,17.50,14.10,14.50,2730927,16.00,17.50,14.10,14.50,110000,51000,50000
LPB,20180202,16.00,16.20,15.50,15.80,1503073,16.00,16.20,15.50,15.80,0,0,0
LPB,20180201,17.00,17.00,15.80,16.00,1771451,17.00,17.00,15.80,16.00,0,0,0
LPB,20180131,16.60,16.97,16.41,16.60,3503008,17.60,18.00,17.40,17.60,60000,14000,1000
LPB,20180130,16.69,16.88,16.22,16.69,3804870,17.70,17.90,17.20,17.70,200000,27500,0
LPB,20180129,16.41,16.97,16.22,16.60,3551146,17.40,18.00,17.20,17.60,18075,0,0
LPB,20180126,16.41,16.79,16.03,16.22,4122527,17.40,17.80,17.00,17.20,100000,100,14000
LPB,20180125,16.50,16.88,16.13,16.41,4467291,17.50,17.90,17.10,17.40,500000,508000,527500
LPB,20180124,15.84,16.88,15.84,16.41,2824150,16.80,17.90,16.80,17.40,0,3500,0
LPB,20180123,14.90,16.03,14.80,16.03,5634151,15.80,17.00,15.70,17.00,197000,0,100
LPB,20180122,14.81,15.00,14.62,14.71,2724530,15.70,15.90,15.50,15.60,0,300,8000
LPB,20180119,14.53,15.00,14.53,14.81,1846108,15.40,15.90,15.40,15.70,0,1010,3500
LPB,20180118,14.43,14.90,14.24,14.81,1568960,15.30,15.80,15.10,15.70,60000,50100,0
LPB,20180117,14.62,15.10,14.34,14.43,2504400,15.50,16.00,15.20,15.30,135000,100,300
LPB,20180116,14.81,14.91,14.43,14.53,2940402,15.70,15.80,15.30,15.40,0,0,1000
LPB,20180115,15.28,15.28,14.62,15.00,2193796,16.20,16.20,15.50,15.90,50000,0,50010
LPB,20180112,15.09,15.94,14.43,14.90,4824173,16.00,16.90,15.30,15.80,2565635,26000,200
LPB,20180111,13.77,15.56,13.68,15.00,7513965,14.60,16.50,14.50,15.90,130000,0,0
LPB,20180110,14.15,14.15,13.68,13.77,2912489,15.00,15.00,14.50,14.60,0,2020,0
LPB,20180109,13.39,14.15,13.21,13.87,5009071,14.20,15.00,14.00,14.70,0,10,26000
LPB,20180108,12.64,13.39,12.54,13.30,6398502,13.40,14.20,13.30,14.10,0,700,0
LPB,20180105,12.92,12.92,12.64,12.73,2182052,13.70,13.70,13.40,13.50,0,14900,2000
LPB,20180104,12.73,12.82,12.64,12.83,3527807,13.50,13.60,13.40,13.60,40000,10000,10
LPB,20180103,12.45,12.83,12.35,12.73,4890664,13.20,13.60,13.10,13.50,125000,0,700
LPB,20180102,12.26,12.36,12.08,12.26,1559161,13.00,13.10,12.80,13.00,0,0,14900
LPB,20171229,12.26,12.26,12.08,12.17,878068,13.00,13.00,12.80,12.90,0,1800,10000
LPB,20171228,12.07,12.26,11.88,12.17,1262498,12.80,13.00,12.60,12.90,548000,0,0
