<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MBB,20111101,2.8222,2.9654,2.8222,2.8222,2719290
MBB,20111102,2.8222,2.8222,2.6995,2.6995,1255220
MBB,20111103,2.6995,2.6995,2.5768,2.6791,1193910
MBB,20111104,2.6791,2.6995,2.6382,2.6382,483860
MBB,20111107,2.6382,2.6382,2.5155,2.5155,1158750
MBB,20111108,2.5155,2.5155,2.4132,2.4541,1105490
MBB,20111109,2.4541,2.4541,2.3723,2.3723,740500
MBB,20111110,2.3723,2.4746,2.3314,2.4132,1258020
MBB,20111111,2.4132,2.4950,2.4132,2.4541,1024320
MBB,20111114,2.4541,2.4541,2.4132,2.4337,681580
MBB,20111115,2.4337,2.4541,2.4132,2.4132,333650
MBB,20111116,2.4132,2.4541,2.3928,2.4337,963200
MBB,20111117,2.4337,2.4337,2.3928,2.4337,833240
MBB,20111118,2.4337,2.4541,2.3723,2.4541,1468870
MBB,20111121,2.4541,2.5359,2.4132,2.5359,1247370
MBB,20111122,2.5359,2.6586,2.5359,2.6177,1100380
MBB,20111123,2.6177,2.6586,2.5768,2.5973,580420
MBB,20111124,2.5973,2.5973,2.5359,2.5359,545770
MBB,20111125,2.5359,2.5359,2.4746,2.5155,587810
MBB,20111128,2.5155,2.6177,2.5155,2.5768,1119140
MBB,20111129,2.5768,2.6382,2.5768,2.6177,1368920
MBB,20111130,2.6177,2.6382,2.5564,2.5564,1192350
MBB,20111201,2.5564,2.6177,2.5564,2.5973,903960
MBB,20111202,2.5973,2.6177,2.5768,2.5973,505490
MBB,20111205,2.5973,2.6791,2.5973,2.6586,915680
MBB,20111206,2.6586,2.6586,2.6177,2.6177,709500
MBB,20111207,2.6177,2.6854,2.5951,2.6403,1243680
MBB,20111208,2.6403,2.6628,2.6177,2.6177,381970
MBB,20111209,2.6177,2.6177,2.5500,2.5726,861100
MBB,20111212,2.5726,2.6177,2.5500,2.5951,640030
MBB,20111213,2.5951,2.6177,2.5726,2.5726,648920
MBB,20111214,2.5726,2.5726,2.5049,2.5500,1185060
MBB,20111215,2.5500,2.5726,2.4823,2.5500,582760
MBB,20111216,2.5500,2.5951,2.5274,2.5500,510930
MBB,20111219,2.5500,2.5726,2.5274,2.5500,468810
MBB,20111220,2.5500,2.5500,2.5274,2.5500,560760
MBB,20111221,2.5500,2.5726,2.5500,2.5726,588730
MBB,20111222,2.5726,2.5726,2.5049,2.5274,587640
MBB,20111223,2.5274,2.5500,2.5049,2.5049,597370
MBB,20111226,2.5049,2.5274,2.4146,2.4823,1035190
MBB,20111227,2.4823,2.4823,2.3695,2.3695,1727600
MBB,20111228,2.3695,2.4146,2.3469,2.3920,1741660
MBB,20111229,2.3920,2.4372,2.3920,2.4372,1019180
MBB,20111230,2.4372,2.4823,2.4372,2.4372,510030
MBB,20120103,2.4372,2.4597,2.4146,2.4597,462000
MBB,20120104,2.4597,2.4597,2.3920,2.4597,368740
MBB,20120105,2.4597,2.4597,2.3920,2.4146,478490
MBB,20120106,2.4146,2.4372,2.3920,2.4146,331370
MBB,20120109,2.4146,2.4597,2.3920,2.4372,464800
MBB,20120110,2.4372,2.4823,2.4146,2.4823,897700
MBB,20120111,2.4823,2.5049,2.4823,2.5049,653750
MBB,20120112,2.5049,2.5500,2.4823,2.5500,475010
MBB,20120113,2.5500,2.5951,2.5500,2.5951,425170
MBB,20120116,2.5951,2.6854,2.5951,2.6628,553980
MBB,20120117,2.6628,2.6854,2.5951,2.5951,645660
MBB,20120118,2.5951,2.6628,2.5726,2.5951,343520
MBB,20120119,2.5951,2.6854,2.5951,2.6854,268670
MBB,20120120,2.6854,2.7080,2.6403,2.6628,275900
MBB,20120130,2.6628,2.7080,2.6403,2.7080,457150
MBB,20120131,2.7080,2.7982,2.6854,2.7305,822330
MBB,20120201,2.7305,2.7305,2.6628,2.7080,586840
MBB,20120202,2.7080,2.8434,2.7080,2.8434,1360930
MBB,20120203,2.8434,2.9788,2.8434,2.8885,4077030
MBB,20120206,2.8885,2.9336,2.8208,2.8208,1157510
MBB,20120207,2.8208,2.8885,2.7982,2.8434,963570
MBB,20120208,2.8434,2.9562,2.8434,2.9562,2496360
MBB,20120209,2.9562,3.0916,2.9562,3.0239,4113510
MBB,20120210,3.0239,3.0690,2.9562,2.9788,3139790
MBB,20120213,2.9777,2.9965,2.9022,2.9022,949610
MBB,20120214,2.9022,2.9965,2.8786,2.9965,1310730
MBB,20120215,2.9965,2.9965,2.8786,2.9257,1089850
MBB,20120216,2.9257,2.9493,2.8786,2.9493,1264950
MBB,20120217,2.9493,2.9965,2.9493,2.9965,1215500
MBB,20120220,2.9965,3.1381,2.9965,3.1145,2941850
MBB,20120221,3.1145,3.1617,3.0437,3.0437,2805190
MBB,20120222,3.0437,3.1617,3.0201,3.1381,3635880
MBB,20120223,3.1381,3.2797,3.1145,3.2797,5790660
MBB,20120224,3.2797,3.4212,3.2797,3.3505,7576700
MBB,20120227,3.3505,3.4920,3.3269,3.4684,5071310
MBB,20120228,3.4684,3.5407,3.2998,3.3721,4770100
MBB,20120229,3.3721,3.4443,3.2998,3.4443,6070940
MBB,20120301,3.4443,3.6130,3.4203,3.5889,11644670
MBB,20120302,3.5889,3.7575,3.5889,3.7575,14086080
MBB,20120305,3.7575,3.9261,3.7575,3.9261,1604700
MBB,20120306,3.9261,4.1188,3.9261,3.9742,15791100
MBB,20120307,3.9742,3.9742,3.8056,3.8779,9630560
MBB,20120308,3.8779,3.8779,3.6852,3.6852,9290320
MBB,20120309,3.6852,3.7093,3.5166,3.5889,6469510
MBB,20120312,3.5889,3.5889,3.4203,3.4684,7728610
MBB,20120313,3.4684,3.6370,3.4684,3.6130,5046780
MBB,20120314,3.6130,3.6852,3.5166,3.5166,3632820
MBB,20120315,3.5166,3.6852,3.4443,3.6852,5270660
MBB,20120316,3.6852,3.8538,3.6852,3.7334,6865540
MBB,20120319,3.7334,3.8056,3.6852,3.7334,4156720
MBB,20120320,3.7334,3.8297,3.7334,3.8297,3748430
MBB,20120321,3.8297,3.9983,3.8297,3.9020,8486760
MBB,20120322,3.9020,3.9261,3.8056,3.8056,5042930
MBB,20120323,3.8056,3.9261,3.8056,3.8538,6886300
MBB,20120326,3.8538,3.9020,3.7334,3.7334,4345740
MBB,20120327,3.7334,3.7334,3.5648,3.5648,6171100
MBB,20120328,3.5648,3.6370,3.4684,3.6370,3287320
MBB,20120329,3.6370,3.6611,3.5166,3.5407,2667660
MBB,20120330,3.5407,3.5648,3.4684,3.4925,2563210
MBB,20120403,3.4925,3.6611,3.4925,3.6611,4560310
MBB,20120404,3.6611,3.6852,3.5648,3.5889,2466650
MBB,20120405,3.5889,3.7093,3.5407,3.6852,3033670
MBB,20120406,3.6852,3.7334,3.6370,3.6370,2553500
MBB,20120409,3.6370,3.7093,3.6130,3.6852,1622410
MBB,20120410,3.6852,3.7093,3.5648,3.5889,3968660
MBB,20120411,3.5889,3.6852,3.5889,3.6852,3865700
MBB,20120412,3.6852,3.8538,3.6852,3.8056,10227410
MBB,20120413,3.8056,3.8538,3.7334,3.7334,2991900
MBB,20120416,3.7334,3.8538,3.7334,3.8056,2489500
MBB,20120417,3.8056,3.9020,3.7816,3.8297,4838630
MBB,20120418,3.8297,3.9020,3.7816,3.7816,5574540
MBB,20120419,3.7816,3.8056,3.7093,3.7093,2800080
MBB,20120420,3.7093,3.8056,3.6611,3.7093,2357050
MBB,20120423,3.7093,3.7575,3.6852,3.7093,3371380
MBB,20120424,3.7093,3.7334,3.6611,3.7334,2730600
MBB,20120425,3.7334,3.8056,3.7334,3.7575,2559560
MBB,20120426,3.7575,3.7816,3.6852,3.6852,2627460
MBB,20120427,3.6852,3.7093,3.6370,3.6852,2734350
MBB,20120502,3.6852,3.7334,3.6370,3.6611,2289580
MBB,20120503,3.6611,3.6611,3.6130,3.6370,1401710
MBB,20120504,3.6370,3.6852,3.6370,3.6611,2052660
MBB,20120507,3.6611,3.6852,3.6130,3.6130,2862670
MBB,20120508,3.6130,3.7816,3.6130,3.7816,7551530
MBB,20120509,3.7816,3.8297,3.7334,3.7575,2460860
MBB,20120510,3.7575,3.8056,3.7093,3.7816,2364650
MBB,20120511,3.7816,3.7816,3.7093,3.7334,1958130
MBB,20120514,3.7334,3.7334,3.6130,3.6130,3790900
MBB,20120515,3.6130,3.6370,3.5648,3.5648,2627100
MBB,20120516,3.5648,3.6130,3.5407,3.5889,1931580
MBB,20120517,3.5889,3.6865,3.5889,3.5889,1635510
MBB,20120518,3.5889,3.5889,3.4668,3.4912,2633250
MBB,20120521,3.4912,3.6621,3.4912,3.6621,1287600
MBB,20120522,3.6621,3.6621,3.5644,3.5889,750510
MBB,20120523,3.5889,3.5889,3.4912,3.4912,1315030
MBB,20120524,3.4912,3.5400,3.4424,3.4424,1236660
MBB,20120525,3.4424,3.6133,3.4424,3.6133,1856780
MBB,20120528,3.6133,3.6621,3.5644,3.6133,1263630
MBB,20120529,3.6133,3.6133,3.5644,3.5889,957050
MBB,20120530,3.5889,3.6621,3.5644,3.6377,2073200
MBB,20120531,3.6377,3.6377,3.5644,3.5889,1058710
MBB,20120601,3.5889,3.6621,3.5889,3.6133,1352760
MBB,20120604,3.6133,3.6133,3.4912,3.5156,2608460
MBB,20120605,3.5156,3.5644,3.4912,3.5644,667870
MBB,20120606,3.5644,3.5889,3.5400,3.5644,784940
MBB,20120607,3.5644,3.6377,3.5644,3.6133,1587310
MBB,20120608,3.6133,3.6621,3.5644,3.5644,740140
MBB,20120611,3.5644,3.6133,3.5400,3.5644,1233020
MBB,20120612,3.5644,3.5644,3.4912,3.4912,1167320
MBB,20120613,3.4912,3.5400,3.4912,3.4912,606570
MBB,20120614,3.4912,3.5400,3.4912,3.4912,869930
MBB,20120615,3.4912,3.5644,3.4912,3.5156,688370
MBB,20120618,3.5156,3.5889,3.5156,3.5644,1348410
MBB,20120619,3.5644,3.5644,3.5156,3.5156,632180
MBB,20120620,3.5156,3.5400,3.5156,3.5156,245320
MBB,20120621,3.5156,3.5644,3.4912,3.5156,897460
MBB,20120622,3.5156,3.5156,3.4668,3.4912,1033550
MBB,20120625,3.4912,3.5156,3.4424,3.4424,1396050
MBB,20120626,3.4424,3.4668,3.3935,3.4424,1113560
MBB,20120627,3.4424,3.4668,3.4180,3.4180,935260
MBB,20120628,3.4180,3.4424,3.3935,3.3935,587950
MBB,20120629,3.3935,3.4180,3.3935,3.4180,527300
MBB,20120702,3.4180,3.4180,3.3691,3.3691,411320
MBB,20120703,3.3691,3.3691,3.2959,3.3447,684000
MBB,20120704,3.3447,3.3691,3.2959,3.2959,469580
MBB,20120705,3.2959,3.2959,3.2471,3.2959,659740
MBB,20120706,3.2959,3.3447,3.2715,3.3203,547100
MBB,20120709,3.3203,3.3203,3.1982,3.1982,495120
MBB,20120710,3.1982,3.2226,3.1738,3.1738,311900
MBB,20120711,3.1738,3.1982,3.1738,3.1738,266880
MBB,20120712,3.1738,3.2226,3.1738,3.2226,174340
MBB,20120713,3.2226,3.3691,3.2226,3.3691,1836480
MBB,20120716,3.3691,3.4424,3.3691,3.4180,2039960
MBB,20120717,3.4180,3.5156,3.4180,3.4912,1214720
MBB,20120718,3.4912,3.5156,3.4424,3.4668,746460
MBB,20120719,3.4668,3.5400,3.4180,3.5400,1036800
MBB,20120720,3.5400,3.5889,3.4912,3.4912,1167570
MBB,20120723,3.4912,3.5156,3.4424,3.4424,757940
MBB,20120724,3.4424,3.4424,3.3447,3.3691,977000
MBB,20120725,3.3691,3.3935,3.3447,3.3691,991480
MBB,20120726,3.3691,3.4180,3.3691,3.3935,386960
MBB,20120727,3.3935,3.4424,3.3935,3.4424,1181950
MBB,20120730,3.4424,3.4424,3.3935,3.4424,372670
MBB,20120731,3.4424,3.4668,3.4180,3.4180,341290
MBB,20120801,3.4180,3.4180,3.3691,3.3691,445630
MBB,20120802,3.3691,3.4180,3.3691,3.3691,348530
MBB,20120803,3.3691,3.4180,3.3691,3.3935,501940
MBB,20120806,3.3935,3.4668,3.3935,3.4424,1007280
MBB,20120807,3.4424,3.4424,3.3935,3.4180,494380
MBB,20120808,3.4180,3.4424,3.3935,3.4180,715510
MBB,20120809,3.4180,3.4668,3.4180,3.4180,641570
MBB,20120810,3.4180,3.4668,3.4180,3.4180,604450
MBB,20120813,3.4180,3.4912,3.3935,3.4912,1031280
MBB,20120814,3.4912,3.6621,3.4912,3.5889,22578090
MBB,20120815,3.5889,3.6621,3.5400,3.5644,1811600
MBB,20120816,3.5644,3.5889,3.5400,3.5644,458790
MBB,20120817,3.5644,3.5644,3.5156,3.5644,1217340
MBB,20120820,3.5644,3.6377,3.5644,3.6377,2443510
MBB,20120821,3.6377,3.6377,3.4668,3.4668,3237850
MBB,20120822,3.4668,3.4912,3.3447,3.3935,2197070
MBB,20120823,3.3935,3.3935,3.2471,3.2471,7323800
MBB,20120824,3.2471,3.3935,3.1738,3.3935,2708820
MBB,20120827,3.3935,3.3935,3.2471,3.2715,3254300
MBB,20120828,3.2715,3.3203,3.2471,3.3203,623760
MBB,20120829,3.3203,3.4180,3.3203,3.3935,826820
MBB,20120830,3.3935,3.4424,3.3691,3.4180,1010360
MBB,20120831,3.4180,3.4180,3.3447,3.3447,808190
MBB,20120904,3.3447,3.4180,3.3447,3.3691,495100
MBB,20120905,3.3691,3.3935,3.3203,3.3691,709730
MBB,20120906,3.3691,3.3935,3.3447,3.3447,607920
MBB,20120907,3.3447,3.3447,3.2959,3.3447,426160
MBB,20120910,3.3447,3.3447,3.2471,3.2471,808070
MBB,20120911,3.2471,3.2959,3.2471,3.2959,496560
MBB,20120912,3.2959,3.3447,3.2715,3.2715,212280
MBB,20120913,3.2715,3.3203,3.2715,3.3203,343370
MBB,20120914,3.3203,3.3691,3.3203,3.3691,432290
MBB,20120917,3.3691,3.3935,3.3447,3.3447,565550
MBB,20120918,3.3447,3.3447,3.2471,3.2715,879070
MBB,20120919,3.2715,3.2959,3.2471,3.2959,500370
MBB,20120920,3.2959,3.2959,3.1494,3.1982,1506930
MBB,20120921,3.1982,3.2715,3.1982,3.2715,767240
MBB,20120924,3.2715,3.2715,3.2226,3.2471,278620
MBB,20120925,3.2471,3.2715,3.2226,3.2471,238450
MBB,20120926,3.2471,3.2715,3.2471,3.2715,311770
MBB,20120927,3.2715,3.2715,3.2471,3.2471,393620
MBB,20120928,3.2471,3.2471,3.2226,3.2226,325970
MBB,20121001,3.2226,3.2471,3.1738,3.1738,447580
MBB,20121002,3.1738,3.2226,3.1738,3.2226,390840
MBB,20121003,3.2226,3.2471,3.2226,3.2226,408390
MBB,20121004,3.2226,3.2471,3.2226,3.2226,399370
MBB,20121005,3.2226,3.2471,3.2226,3.2226,259300
MBB,20121008,3.2226,3.2471,3.2226,3.2471,316440
MBB,20121009,3.2471,3.2715,3.2226,3.2226,437740
MBB,20121010,3.2226,3.2471,3.1982,3.2226,497840
MBB,20121011,3.2226,3.2715,3.1982,3.1982,1730230
MBB,20121012,3.1982,3.2226,3.1738,3.1982,796930
MBB,20121015,3.1982,3.2226,3.1738,3.1738,535660
MBB,20121016,3.1738,3.2226,3.1738,3.1982,1950110
MBB,20121017,3.1982,3.2226,3.1738,3.1982,598300
MBB,20121018,3.1982,3.1982,3.1494,3.1738,1345790
MBB,20121019,3.1738,3.1738,3.1250,3.1494,656940
MBB,20121022,3.1494,3.1494,3.1006,3.1006,810510
MBB,20121023,3.1006,3.1250,3.0762,3.1006,393350
MBB,20121024,3.1006,3.1250,3.0762,3.0762,296490
MBB,20121025,3.0762,3.1006,3.0518,3.0762,473240
MBB,20121026,3.0762,3.1006,3.0518,3.0518,295650
MBB,20121029,3.0518,3.1250,3.0518,3.1006,368390
MBB,20121030,3.1006,3.1006,3.0762,3.0762,311190
MBB,20121031,3.0762,3.1006,3.0518,3.1006,386190
MBB,20121101,3.1006,3.2471,3.1006,3.2226,4204300
MBB,20121102,3.2226,3.2226,3.1250,3.1738,2012910
MBB,20121105,3.1738,3.1982,3.1494,3.1494,1434880
MBB,20121106,3.1494,3.1982,3.1494,3.1738,880410
MBB,20121107,3.1738,3.2471,3.1738,3.1982,1644630
MBB,20121108,3.1982,3.2715,3.1738,3.2715,2239520
MBB,20121109,3.2715,3.2959,3.2226,3.2715,2741870
MBB,20121112,3.2715,3.3203,3.2471,3.3203,2697560
MBB,20121113,3.3203,3.3730,3.2940,3.3203,1422330
