<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MSN,20210205,89.5000,90.0000,89.1000,89.6000,1209500,89.5000,90.0000,89.1000,89.6000,77400,403200,500400
MSN,20210204,88.0000,90.5000,87.5000,89.5000,1415200,88.0000,90.5000,87.5000,89.5000,226000,457600,133300
MSN,20210203,85.5000,89.0000,85.5000,88.9000,1539300,85.5000,89.0000,85.5000,88.9000,4937300,340500,298100
MSN,20210202,82.0000,85.0000,80.0000,84.0000,1927500,82.0000,85.0000,80.0000,84.0000,392800,217100,674400
MSN,20210201,85.9000,88.3000,81.0000,82.0000,1792200,85.9000,88.3000,81.0000,82.0000,22200,500400,572400
MSN,20210129,80.5000,91.0000,80.5000,85.5000,2838500,80.5000,91.0000,80.5000,85.5000,0,495500,896300
MSN,20210128,85.3000,89.4000,85.3000,85.3000,3816800,85.3000,89.4000,85.3000,85.3000,486000,498800,185000
MSN,20210127,94.5000,94.8000,90.2000,91.7000,2243700,94.5000,94.8000,90.2000,91.7000,0,179100,297000
MSN,20210126,98.2000,98.2000,91.3000,95.5000,2475200,98.2000,98.2000,91.3000,95.5000,0,341500,171400
MSN,20210125,95.0000,98.0000,94.0000,97.0000,3869900,95.0000,98.0000,94.0000,97.0000,0,283000,141300
MSN,20210122,92.0000,95.2000,91.0000,93.3000,3060300,92.0000,95.2000,91.0000,93.3000,0,202500,244800
MSN,20210121,91.5000,92.1000,89.4000,91.5000,2180900,91.5000,92.1000,89.4000,91.5000,2379600,809200,146800
MSN,20210120,91.5000,91.8000,86.0000,90.9000,2314800,91.5000,91.8000,86.0000,90.9000,80000,809200,146800
MSN,20210119,95.8000,95.8000,88.5000,90.9000,2416600,95.8000,95.8000,88.5000,90.9000,782050,315500,95400
MSN,20210118,95.0000,98.1000,94.9000,95.1000,3740700,95.0000,98.1000,94.9000,95.1000,0,402700,314600
MSN,20210115,93.0000,93.4000,92.5000,93.0000,2144900,93.0000,93.4000,92.5000,93.0000,19658333,276900,536700
MSN,20210114,93.2000,93.3000,91.7000,92.3000,1447400,93.2000,93.3000,91.7000,92.3000,0,177200,164800
MSN,20210113,94.2000,94.3000,92.7000,93.3000,2553600,94.2000,94.3000,92.7000,93.3000,7710410,393800,544100
MSN,20210112,94.1000,94.3000,93.1000,94.0000,1830900,94.1000,94.3000,93.1000,94.0000,0,286300,427000
MSN,20210111,93.1000,95.5000,93.2000,94.1000,2553900,93.1000,95.5000,93.2000,94.1000,0,338100,345700
MSN,20210108,93.1000,94.4000,92.0000,93.1000,263960,93.1000,94.4000,92.0000,93.1000,0,228500,235100
MSN,20210107,88.3000,92.5000,88.3000,92.0000,3028500,88.3000,92.5000,88.3000,92.0000,281900,132800,98900
MSN,20210106,89.3000,91.0000,88.0000,88.3000,2344400,89.3000,91.0000,88.0000,88.3000,0,132800,98900
MSN,20210105,89.0000,90.0000,88.1000,89.3000,1274800,89.0000,90.0000,88.1000,89.3000,100000,43900,89700
MSN,20210104,91.0000,91.0000,88.9000,88.9000,1915700,91.0000,91.0000,88.9000,88.9000,0,381500,158600
MSN,20201231,83.0000,89.1000,83.0000,88.9000,3806160,83.0000,89.1000,83.0000,88.9000,0,205550,311240
MSN,20201230,83.9000,84.2000,82.6000,83.5000,959720,83.9000,84.2000,82.6000,83.5000,0,51130,428630
MSN,20201229,84.0000,84.0000,83.0000,83.2000,1440210,84.0000,84.0000,83.0000,83.2000,0,133580,619790
MSN,20201228,83.0000,83.2000,82.1000,82.4000,553150,83.0000,83.2000,82.1000,82.4000,0,110450,205200
MSN,20201225,82.5000,83.1000,82.4000,82.5000,598590,82.5000,83.1000,82.4000,82.5000,3802600,50880,136960
MSN,20201224,82.8000,83.0000,81.8000,82.7000,638900,82.8000,83.0000,81.8000,82.7000,0,50880,136960
MSN,20201223,82.7000,84.3000,82.6000,82.8000,910150,82.7000,84.3000,82.6000,82.8000,0,99980,167790
MSN,20201222,82.8000,84.0000,82.5000,82.8000,805250,82.8000,84.0000,82.5000,82.8000,71310,129110,280860
MSN,20201221,85.0000,85.0000,83.4000,83.8000,827020,85.0000,85.0000,83.4000,83.8000,0,129110,280860
MSN,20201218,84.1000,84.3000,83.7000,84.1000,1417470,84.1000,84.3000,83.7000,84.1000,183950,265270,37850
MSN,20201217,83.5000,84.3000,82.8000,84.0000,1179730,83.5000,84.3000,82.8000,84.0000,0,265270,37850
MSN,20201216,83.0039,83.5968,82.9051,83.4980,648540,84.0000,84.6000,83.9000,84.5000,0,120670,81540
MSN,20201215,83.4980,83.7944,82.9051,83.4980,935010,84.5000,84.8000,83.9000,84.5000,185200,136130,369570
MSN,20201214,83.6956,84.0909,82.9051,83.4980,1079350,84.7000,85.1000,83.9000,84.5000,1772000,487490,413690
MSN,20201211,82.9051,83.5968,82.2134,83.4980,791100,83.9000,84.6000,83.2000,84.5000,1098400,205010,55790
MSN,20201210,82.9052,84.3874,82.6087,82.9051,1432910,83.9000,85.4000,83.6000,83.9000,0,132700,132490
MSN,20201209,84.4862,84.6838,83.9921,84.3874,840910,85.5000,85.7000,85.0000,85.4000,0,0,0
MSN,20201208,85.0790,85.3755,84.2885,84.4862,855880,86.1000,86.4000,85.3000,85.5000,0,141250,267770
MSN,20201207,85.4743,86.0672,84.4861,84.9802,825210,86.5000,87.1000,85.5000,86.0000,0,187940,240910
MSN,20201204,83.0040,86.4625,82.5099,84.9802,1978040,84.0000,87.5000,83.5000,86.0000,0,520860,310760
MSN,20201203,82.3122,83.0039,81.5217,82.4111,542070,83.3000,84.0000,82.5000,83.4000,0,250640,52820
