<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MSR,20180613,24.80,24.80,24.00,24.30,14000,24.80,24.80,24.00,24.30,0,0,0
MSR,20180612,24.70,25.00,24.00,24.00,44626,24.70,25.00,24.00,24.00,5000,0,800
MSR,20180611,25.10,25.10,24.30,24.50,18600,25.10,25.10,24.30,24.50,0,0,0
MSR,20180608,26.00,26.00,25.00,25.00,31870,26.00,26.00,25.00,25.00,0,0,1800
MSR,20180607,25.50,26.40,25.50,25.50,5520,25.50,26.40,25.50,25.50,0,0,0
MSR,20180606,25.90,25.90,25.50,25.50,7620,25.90,25.90,25.50,25.50,0,0,0
MSR,20180605,26.00,26.20,25.50,25.60,6220,26.00,26.20,25.50,25.60,0,0,0
MSR,20180604,26.30,26.70,25.10,26.30,11576,26.30,26.70,25.10,26.30,0,600,0
MSR,20180601,24.90,26.40,24.60,25.90,44900,24.90,26.40,24.60,25.90,0,1000,0
MSR,20180531,22.80,25.40,22.60,25.40,26420,22.80,25.40,22.60,25.40,0,0,0
MSR,20180530,24.00,24.00,24.00,24.00,1700,24.00,24.00,24.00,24.00,0,0,0
MSR,20180529,22.20,24.30,22.20,24.10,32242,22.20,24.30,22.20,24.10,0,0,0
MSR,20180528,23.80,23.80,21.50,21.80,59300,23.80,23.80,21.50,21.80,0,0,0
MSR,20180525,24.00,24.50,23.80,24.00,11420,24.00,24.50,23.80,24.00,0,0,0
MSR,20180524,25.00,25.00,23.50,24.40,32920,25.00,25.00,23.50,24.40,0,0,1000
MSR,20180523,25.50,25.50,22.30,25.00,88285,25.50,25.50,22.30,25.00,0,0,500
MSR,20180522,26.50,26.50,25.60,25.60,39800,26.50,26.50,25.60,25.60,0,0,0
MSR,20180521,26.50,27.10,26.40,26.50,23700,26.50,27.10,26.40,26.50,0,0,0
MSR,20180518,26.50,26.90,26.50,26.80,11900,26.50,26.90,26.50,26.80,0,0,0
MSR,20180517,26.90,26.90,26.80,26.80,1400,26.90,26.90,26.80,26.80,0,0,0
MSR,20180516,27.10,27.20,26.80,27.00,8613,27.10,27.20,26.80,27.00,0,0,0
MSR,20180515,28.00,28.00,27.00,27.30,69230,28.00,28.00,27.00,27.30,0,0,0
MSR,20180514,27.00,27.00,26.60,26.90,20800,27.00,27.00,26.60,26.90,0,0,0
MSR,20180511,26.00,27.40,26.00,27.20,8910,26.00,27.40,26.00,27.20,0,0,0
MSR,20180510,27.50,28.00,27.00,27.50,25440,27.50,28.00,27.00,27.50,0,0,500
MSR,20180509,27.00,27.60,27.00,27.50,40400,27.00,27.60,27.00,27.50,0,0,0
MSR,20180508,27.00,27.10,27.00,27.00,55700,27.00,27.10,27.00,27.00,0,0,500
MSR,20180507,27.10,27.20,26.80,27.20,60410,27.10,27.20,26.80,27.20,0,0,0
MSR,20180504,27.00,27.30,26.80,26.80,30000,27.00,27.30,26.80,26.80,0,0,700
MSR,20180503,26.90,27.10,26.70,26.90,43030,26.90,27.10,26.70,26.90,0,0,0
MSR,20180502,26.70,27.10,26.60,26.80,16816,26.70,27.10,26.60,26.80,0,0,0
MSR,20180427,26.10,27.70,26.10,26.90,20971,26.10,27.70,26.10,26.90,0,0,700
MSR,20180426,28.10,28.10,25.50,26.90,38340,28.10,28.10,25.50,26.90,0,0,9900
MSR,20180424,28.00,28.40,27.80,27.80,40600,28.00,28.40,27.80,27.80,0,0,0
MSR,20180423,29.40,29.40,27.50,27.80,42290,29.40,29.40,27.50,27.80,0,0,0
MSR,20180420,27.80,29.10,27.80,28.80,44300,27.80,29.10,27.80,28.80,0,0,0
MSR,20180419,29.00,29.00,27.80,27.80,107800,29.00,29.00,27.80,27.80,0,0,2700
MSR,20180418,29.20,29.50,28.70,28.70,42850,29.20,29.50,28.70,28.70,0,0,9000
MSR,20180417,28.00,30.00,27.80,29.40,79160,28.00,30.00,27.80,29.40,0,700,18000
MSR,20180416,27.00,28.20,27.00,28.00,52406,27.00,28.20,27.00,28.00,0,0,13000
MSR,20180413,28.40,28.40,27.50,27.50,125500,28.40,28.40,27.50,27.50,0,0,24100
MSR,20180412,29.00,29.00,28.10,28.10,150200,29.00,29.00,28.10,28.10,0,0,20000
MSR,20180411,29.00,29.40,28.60,28.80,113343,29.00,29.40,28.60,28.80,0,0,0
MSR,20180410,29.00,29.90,28.50,29.40,150620,29.00,29.90,28.50,29.40,0,0,33500
MSR,20180409,30.30,30.30,27.00,29.30,206250,30.30,30.30,27.00,29.30,0,7200,55000
MSR,20180406,31.70,31.70,30.30,30.50,83650,31.70,31.70,30.30,30.50,0,2700,21000
MSR,20180405,30.20,31.40,30.00,30.90,194230,30.20,31.40,30.00,30.90,14000,500,52000
MSR,20180404,29.80,30.40,29.80,30.20,133050,29.80,30.40,29.80,30.20,0,0,0
MSR,20180403,30.00,30.20,29.60,29.90,39736,30.00,30.20,29.60,29.90,0,0,0
MSR,20180402,30.00,30.50,29.70,30.20,84650,30.00,30.50,29.70,30.20,38000,0,0
MSR,20180330,30.00,30.10,29.50,29.70,59120,30.00,30.10,29.50,29.70,0,0,0
MSR,20180329,29.70,30.00,29.40,29.60,49390,29.70,30.00,29.40,29.60,0,2600,0
MSR,20180328,30.00,30.30,29.40,30.00,49100,30.00,30.30,29.40,30.00,0,7000,100
MSR,20180327,30.50,30.90,30.30,30.50,47743,30.50,30.90,30.30,30.50,0,0,0
MSR,20180326,29.00,31.00,29.00,30.50,71040,29.00,31.00,29.00,30.50,0,0,0
MSR,20180323,31.00,31.00,26.70,29.80,206517,31.00,31.00,26.70,29.80,0,5000,0
MSR,20180322,32.00,32.00,30.70,31.00,139503,32.00,32.00,30.70,31.00,0,2000,7500
MSR,20180321,32.50,33.00,31.30,32.00,239863,32.50,33.00,31.30,32.00,0,100,73000
MSR,20180320,32.00,32.90,31.20,32.40,117970,32.00,32.90,31.20,32.40,0,0,500
