<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NDN,20110421,2.7786,3.0874,1.6981,1.7598,492500
NDN,20110422,1.8215,1.8370,1.6826,1.6826,65800
NDN,20110425,1.6980,1.7752,1.6363,1.6517,53000
NDN,20110426,1.7598,1.8061,1.6054,1.6054,69000
NDN,20110427,1.6671,1.6980,1.5591,1.5900,215900
NDN,20110428,1.6209,1.6826,1.5900,1.6671,214800
NDN,20110429,1.6980,1.7288,1.6980,1.7135,79100
NDN,20110504,1.7444,1.7444,1.6209,1.6517,14200
NDN,20110505,1.6517,1.6826,1.5591,1.6208,55300
NDN,20110506,1.6980,1.6980,1.5436,1.5745,47400
NDN,20110509,1.6208,1.6362,1.5591,1.6208,47100
NDN,20110510,1.6671,1.6671,1.6208,1.6208,37700
NDN,20110511,1.6054,1.6054,1.5436,1.6054,76500
NDN,20110512,1.6208,1.6826,1.6208,1.6826,215300
NDN,20110513,1.7443,1.7752,1.7443,1.7752,291400
NDN,20110516,1.8061,1.8833,1.7906,1.8061,147000
NDN,20110517,1.8215,1.8215,1.6980,1.7289,141600
NDN,20110518,1.6517,1.8061,1.6363,1.7598,201900
NDN,20110519,1.8061,1.8370,1.7598,1.7752,256100
NDN,20110520,1.8215,1.8215,1.7135,1.7906,132800
NDN,20110523,1.7906,1.8060,1.6517,1.6826,147800
NDN,20110524,1.7289,1.7443,1.6208,1.6208,69300
NDN,20110525,1.6671,1.6825,1.5436,1.5745,57000
NDN,20110526,1.5745,1.5899,1.4664,1.5591,209400
NDN,20110527,1.5745,1.5900,1.4819,1.5437,110000
NDN,20110530,1.6209,1.6209,1.4510,1.4510,26700
NDN,20110531,1.4973,1.5127,1.4201,1.4510,92300
NDN,20110601,1.4819,1.5282,1.4201,1.4973,84000
NDN,20110602,1.5282,1.5745,1.4973,1.5745,92200
NDN,20110603,1.5591,1.6671,1.4819,1.5437,34800
NDN,20110606,1.6054,1.6209,1.4974,1.5128,44000
NDN,20110607,1.5591,1.5745,1.5128,1.5282,80600
NDN,20110608,1.5591,1.5745,1.4819,1.5282,44400
NDN,20110609,1.5745,1.6054,1.5436,1.5437,51800
NDN,20110610,1.6054,1.6363,1.5591,1.6054,48500
NDN,20110613,1.6517,1.6671,1.5591,1.6054,46600
NDN,20110614,1.6517,1.6517,1.5128,1.5282,74000
NDN,20110615,1.5899,1.5899,1.4510,1.4510,63200
NDN,20110616,1.4819,1.5127,1.4664,1.4665,8100
NDN,20110617,1.4665,1.4819,1.3893,1.3893,88200
NDN,20110620,1.4202,1.4202,1.3739,1.4202,50300
NDN,20110621,1.4511,1.4511,1.3893,1.4356,20300
NDN,20110622,1.3893,1.3893,1.3430,1.3430,68100
NDN,20110623,1.3276,1.3276,1.2658,1.2658,87200
NDN,20110624,1.2967,1.3584,1.2812,1.3584,50100
NDN,20110627,1.3430,1.3893,1.3121,1.3893,45200
NDN,20110628,1.4047,1.4047,1.3276,1.3430,18000
NDN,20110629,1.3121,1.3121,1.2813,1.3121,43100
NDN,20110630,1.3430,1.3430,1.2812,1.2967,46900
NDN,20110701,1.2813,1.2813,1.2658,1.2812,28200
NDN,20110704,1.2812,1.3121,1.2812,1.2967,6900
NDN,20110705,1.3276,1.3584,1.3121,1.3584,56700
NDN,20110706,1.4201,1.4201,1.2967,1.3275,29700
NDN,20110707,1.3584,1.3584,1.3275,1.3430,25900
NDN,20110708,1.3584,1.3584,1.3121,1.3584,27000
NDN,20110711,1.3275,1.3430,1.3121,1.3121,52800
NDN,20110712,1.3275,1.3430,1.3121,1.3430,45500
NDN,20110713,1.3947,1.3947,1.3774,1.3831,22000
NDN,20110714,1.4868,1.4868,1.3312,1.3312,7800
NDN,20110715,1.3485,1.4696,1.3485,1.4696,23500
NDN,20110718,1.4869,1.5042,1.3831,1.3831,16500
NDN,20110719,1.4350,1.4350,1.4004,1.4004,5000
NDN,20110720,1.4004,1.4177,1.4004,1.4004,12800
