<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
NTC,20200721,193.60,195.30,193.40,194.00,10200,193.60,195.30,193.40,194.00,0,100,0
NTC,20200720,192.20,194.90,192.20,193.90,4214,192.20,194.90,192.20,193.90,0,100,0
NTC,20200717,194.90,196.90,191.80,193.40,32440,194.90,196.90,191.80,193.40,0,4500,11700
NTC,20200716,193.00,196.90,165.00,194.90,3305,193.00,196.90,165.00,194.90,10000,0,0
NTC,20200715,192.60,193.80,192.60,193.80,5492,192.60,193.80,192.60,193.80,0,0,0
NTC,20200714,193.00,194.30,191.60,192.90,6800,193.00,194.30,191.60,192.90,0,0,0
NTC,20200713,197.10,197.70,193.00,195.90,3400,197.10,197.70,193.00,195.90,0,0,0
NTC,20200710,196.00,199.70,195.00,196.50,8951,196.00,199.70,195.00,196.50,0,5,0
NTC,20200709,191.20,201.90,191.20,195.90,46590,191.20,201.90,191.20,195.90,0,0,0
NTC,20200708,189.20,191.80,189.20,191.60,12612,189.20,191.80,189.20,191.60,0,0,0
NTC,20200707,188.00,190.90,187.00,189.90,13270,188.00,190.90,187.00,189.90,0,0,2870
NTC,20200706,191.00,192.90,186.40,190.50,17130,191.00,192.90,186.40,190.50,15000,0,14200
NTC,20200703,191.40,191.40,189.50,191.00,4939,191.40,191.40,189.50,191.00,0,0,100
NTC,20200702,189.90,192.60,189.50,191.00,21056,189.90,192.60,189.50,191.00,0,0,30
NTC,20200701,188.00,190.00,187.00,190.00,21230,188.00,190.00,187.00,190.00,0,0,200
NTC,20200630,188.50,190.40,186.00,188.80,13535,188.50,190.40,186.00,188.80,0,0,0
NTC,20200629,191.70,191.70,186.00,189.90,21525,191.70,191.70,186.00,189.90,0,0,0
NTC,20200626,190.30,191.80,190.10,191.00,3690,190.30,191.80,190.10,191.00,0,0,0
NTC,20200625,189.50,190.90,187.00,190.00,6761,189.50,190.90,187.00,190.00,0,0,0
NTC,20200624,192.00,194.00,187.10,190.30,51340,192.00,194.00,187.10,190.30,0,0,0
NTC,20200623,189.30,194.30,189.20,192.30,36515,189.30,194.30,189.20,192.30,0,0,0
NTC,20200622,190.50,191.00,188.00,190.20,23005,190.50,191.00,188.00,190.20,0,0,0
NTC,20200619,191.00,191.90,190.00,191.40,4476,191.00,191.90,190.00,191.40,0,0,0
NTC,20200618,192.00,193.30,188.50,191.00,6210,192.00,193.30,188.50,191.00,0,0,0
NTC,20200617,189.90,192.90,189.10,191.70,18500,189.90,192.90,189.10,191.70,0,100,0
NTC,20200616,186.00,190.00,186.00,189.50,20385,186.00,190.00,186.00,189.50,0,200,0
NTC,20200615,183.00,188.10,182.50,186.50,37399,183.00,188.10,182.50,186.50,0,100,0
NTC,20200612,184.00,187.90,179.00,187.90,29543,184.00,187.90,179.00,187.90,0,600,600
NTC,20200611,190.00,191.80,183.00,188.00,32080,190.00,191.80,183.00,188.00,0,0,400
NTC,20200610,193.00,193.90,187.00,191.30,35952,193.00,193.90,187.00,191.30,0,0,3600
NTC,20200609,194.50,194.50,188.00,193.40,51885,194.50,194.50,188.00,193.40,0,0,400
NTC,20200608,199.40,199.90,193.40,194.50,45456,199.40,199.90,193.40,194.50,0,0,10600
NTC,20200605,200.00,200.80,198.00,199.40,22826,200.00,200.80,198.00,199.40,0,0,7500
