<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PLX,20180330,82.90,83.90,81.50,83.70,501160,82.90,83.90,81.50,83.70,0,116440,9160
PLX,20180329,82.90,83.30,81.60,82.30,374820,82.90,83.30,81.60,82.30,0,128400,12830
PLX,20180328,81.10,83.70,80.60,82.90,500520,81.10,83.70,80.60,82.90,0,54280,6770
PLX,20180327,83.50,84.00,80.30,82.00,1269680,83.50,84.00,80.30,82.00,0,81560,205720
PLX,20180326,85.10,86.00,83.00,83.00,1121370,85.10,86.00,83.00,83.00,0,45950,12860
PLX,20180323,85.00,86.40,83.90,85.10,1182670,85.00,86.40,83.90,85.10,0,375390,16670
PLX,20180322,88.00,88.80,86.80,86.90,1293360,88.00,88.80,86.80,86.90,0,155970,220
PLX,20180321,86.20,87.70,85.60,86.90,1797680,86.20,87.70,85.60,86.90,0,103350,0
PLX,20180320,86.00,87.20,85.50,85.50,922890,86.00,87.20,85.50,85.50,0,56180,4530
PLX,20180319,86.30,86.50,84.50,86.30,1156350,86.30,86.50,84.50,86.30,0,56180,4530
PLX,20180316,83.00,85.10,81.20,83.00,2039440,83.00,85.10,81.20,83.00,0,98000,287780
PLX,20180315,81.00,82.00,80.30,81.10,665400,81.00,82.00,80.30,81.10,0,98000,287780
PLX,20180314,81.70,83.00,81.20,81.20,511470,81.70,83.00,81.20,81.20,0,23080,80900
PLX,20180313,82.90,83.30,79.70,81.50,932770,82.90,83.30,79.70,81.50,0,47040,123480
PLX,20180312,82.40,85.30,82.40,82.40,507620,82.40,85.30,82.40,82.40,0,15990,51000
PLX,20180309,85.40,86.00,83.80,84.00,552480,85.40,86.00,83.80,84.00,0,153730,100000
PLX,20180308,83.30,85.20,82.50,85.00,676110,83.30,85.20,82.50,85.00,0,63330,120360
PLX,20180307,86.10,86.60,83.00,83.30,833790,86.10,86.60,83.00,83.30,0,205850,14770
PLX,20180306,84.50,87.00,83.00,86.60,838820,84.50,87.00,83.00,86.60,0,205850,14770
PLX,20180305,87.50,88.50,83.10,83.10,1014150,87.50,88.50,83.10,83.10,21000,4210,89250
