<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PME,20180416,83.70,83.70,83.50,83.70,820,83.70,83.70,83.50,83.70,0,0,0
PME,20180413,83.30,83.70,83.30,83.70,3130,83.30,83.70,83.30,83.70,0,0,0
PME,20180412,84.00,84.00,83.70,83.80,3340,84.00,84.00,83.70,83.80,0,0,0
PME,20180411,83.70,83.90,83.70,83.70,4150,83.70,83.90,83.70,83.70,0,0,0
PME,20180410,83.90,84.00,83.60,83.70,5170,83.90,84.00,83.60,83.70,0,0,0
PME,20180409,83.50,83.50,83.00,83.50,3870,83.50,83.50,83.00,83.50,0,0,0
PME,20180406,83.60,83.80,83.50,83.80,10470,83.60,83.80,83.50,83.80,0,0,0
PME,20180405,83.70,83.70,83.20,83.60,14410,83.70,83.70,83.20,83.60,0,0,0
PME,20180404,83.50,83.70,83.50,83.70,10400,83.50,83.70,83.50,83.70,0,0,0
PME,20180403,83.50,83.70,83.20,83.70,20320,83.50,83.70,83.20,83.70,0,0,0
PME,20180402,83.80,83.90,83.00,83.60,6070,83.80,83.90,83.00,83.60,0,0,0
PME,20180330,83.50,84.00,83.50,83.50,11040,83.50,84.00,83.50,83.50,0,0,0
PME,20180329,84.00,84.00,83.50,83.50,20020,84.00,84.00,83.50,83.50,0,0,0
PME,20180328,84.50,84.50,83.50,83.50,3860,84.50,84.50,83.50,83.50,0,0,0
PME,20180327,84.00,84.40,84.00,84.10,7040,84.00,84.40,84.00,84.10,0,0,0
PME,20180326,86.90,86.90,83.80,84.10,13420,86.90,86.90,83.80,84.10,0,0,0
PME,20180323,83.50,84.00,83.50,83.60,33100,83.50,84.00,83.50,83.60,0,0,0
PME,20180322,84.00,84.20,83.80,84.00,36930,84.00,84.20,83.80,84.00,0,0,0
PME,20180321,83.10,84.00,83.10,83.80,31420,83.10,84.00,83.10,83.80,0,0,0
PME,20180320,83.50,84.00,83.50,83.80,20590,83.50,84.00,83.50,83.80,0,0,0
PME,20180319,83.70,85.00,82.90,83.50,15130,83.70,85.00,82.90,83.50,0,0,0
PME,20180316,82.50,82.99,82.40,82.70,5220,83.50,84.00,83.40,83.70,0,0,0
PME,20180315,82.01,83.00,82.01,82.50,25790,83.00,84.00,83.00,83.50,0,0,0
PME,20180314,82.00,82.99,82.00,82.01,10590,83.00,84.00,83.00,83.00,0,0,0
PME,20180313,82.01,82.70,82.01,82.40,6280,83.00,83.70,83.00,83.40,0,0,0
PME,20180312,82.50,82.70,81.02,82.50,23170,83.50,83.70,82.00,83.50,0,0,0
PME,20180309,81.02,81.51,81.02,81.51,14130,82.00,82.50,82.00,82.50,0,0,0
PME,20180308,81.02,81.12,81.02,81.02,3490,82.00,82.10,82.00,82.00,0,0,0
PME,20180307,80.82,81.51,80.82,81.02,10450,81.80,82.50,81.80,82.00,0,0,0
PME,20180306,81.51,81.51,80.82,81.41,4030,82.50,82.50,81.80,82.40,0,0,0
PME,20180305,81.51,82.00,81.02,81.02,5220,82.50,83.00,82.00,82.00,0,0,0
PME,20180302,81.02,81.91,81.02,81.51,63840,82.00,82.90,82.00,82.50,0,0,0
PME,20180301,81.52,82.01,81.02,81.02,4950,82.50,83.00,82.00,82.00,1000000,0,0
PME,20180228,82.30,82.89,81.51,82.01,10770,83.30,83.90,82.50,83.00,0,0,0
PME,20180227,81.52,82.41,81.42,82.40,13730,82.50,83.40,82.40,83.40,0,0,0
PME,20180226,82.70,82.70,81.12,82.01,11820,83.70,83.70,82.10,83.00,0,0,0
PME,20180223,82.80,82.80,82.21,82.40,50,83.80,83.80,83.20,83.40,0,0,0
PME,20180222,82.01,83.00,81.02,81.02,5450,83.00,84.00,82.00,82.00,0,0,0
PME,20180221,83.00,83.00,80.03,82.90,3970,84.00,84.00,81.00,83.90,0,0,0
PME,20180213,81.02,82.01,81.02,81.02,7330,82.00,83.00,82.00,82.00,0,0,0
PME,20180212,81.12,82.40,81.02,81.02,4840,82.10,83.40,82.00,82.00,0,0,0
PME,20180209,77.17,82.40,77.17,81.02,1330,78.10,83.40,78.10,82.00,0,0,0
PME,20180208,82.90,82.90,80.43,81.02,5430,83.90,83.90,81.40,82.00,0,0,0
PME,20180207,80.03,82.99,79.04,82.01,68700,81.00,84.00,80.00,83.00,0,0,0
PME,20180206,79.04,80.03,75.39,79.04,38560,80.00,81.00,76.30,80.00,0,0,0
PME,20180205,81.02,82.01,81.02,81.02,10980,82.00,83.00,82.00,82.00,0,0,0
PME,20180202,83.00,83.00,81.52,82.01,6730,84.00,84.00,82.50,83.00,0,0,0
PME,20180201,83.00,83.00,82.01,82.01,16920,84.00,84.00,83.00,83.00,0,0,0
