<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PVT,20200821,10.9000,11.0500,10.8000,10.9000,1543100,10.9000,11.0500,10.8000,10.9000,500000,61720,44110
PVT,20200820,11.0000,11.0000,10.8000,10.8500,784810,11.0000,11.0000,10.8000,10.8500,0,61720,44110
PVT,20200819,11.0000,11.1500,10.8000,11.0000,914130,11.0000,11.1500,10.8000,11.0000,0,10,4600
PVT,20200818,10.8000,11.2000,10.8000,11.0000,1910670,10.8000,11.2000,10.8000,11.0000,0,48950,158710
PVT,20200817,10.8000,10.8000,10.5000,10.8000,1316830,10.8000,10.8000,10.5000,10.8000,0,36010,11870
PVT,20200814,10.8500,10.9500,10.5500,10.6000,1821270,10.8500,10.9500,10.5500,10.6000,0,2000,158240
PVT,20200813,10.9500,11.0000,10.7500,10.8500,1760010,10.9500,11.0000,10.7500,10.8500,0,11580,53290
PVT,20200812,10.3500,10.8500,10.3000,10.8500,3644530,10.3500,10.8500,10.3000,10.8500,0,667740,46800
PVT,20200811,10.3000,10.3500,10.1500,10.3000,1058210,10.3000,10.3500,10.1500,10.3000,0,9690,30300
PVT,20200810,10.1000,10.3000,10.1000,10.2000,855560,10.1000,10.3000,10.1000,10.2000,0,9250,30000
PVT,20200807,10.1500,10.2500,10.0000,10.1500,1007950,10.1500,10.2500,10.0000,10.1500,500000,28960,372070
PVT,20200806,10.1500,10.4500,10.0000,10.2000,1052320,10.1500,10.4500,10.0000,10.2000,0,20190,529590
PVT,20200805,9.9000,10.3000,9.7000,10.2000,1531270,9.9000,10.3000,9.7000,10.2000,0,28340,277040
PVT,20200804,9.7000,9.9000,9.6500,9.9000,1087920,9.7000,9.9000,9.6500,9.9000,0,339130,7200
PVT,20200803,9.5000,9.6000,9.4000,9.6000,713830,9.5000,9.6000,9.4000,9.6000,1000000,60280,76180
PVT,20200731,9.2000,9.3900,9.2000,9.3500,362680,9.2000,9.3900,9.2000,9.3500,0,27190,37190
PVT,20200730,9.4000,9.6300,9.3000,9.4000,754740,9.4000,9.6300,9.3000,9.4000,0,179510,0
PVT,20200729,9.4400,9.4400,8.9900,9.4000,1071290,9.4400,9.4400,8.9900,9.4000,0,179510,0
PVT,20200728,9.0000,9.5500,8.9700,9.5500,1128280,9.0000,9.5500,8.9700,9.5500,0,280480,134160
PVT,20200727,9.0500,9.3500,8.9300,8.9300,2573800,9.0500,9.3500,8.9300,8.9300,55000,118910,0
PVT,20200724,10.2500,10.3000,9.6000,9.6000,2381060,10.2500,10.3000,9.6000,9.6000,0,41000,69600
PVT,20200723,10.3500,10.3500,10.2500,10.3000,754320,10.3500,10.3500,10.2500,10.3000,0,41000,69600
PVT,20200722,10.5000,10.5000,10.3000,10.3000,701560,10.5000,10.5000,10.3000,10.3000,0,30040,107500
PVT,20200721,10.4000,10.4500,10.3500,10.4000,1071250,10.4000,10.4500,10.3500,10.4000,0,27440,241220
PVT,20200720,10.4000,10.5500,10.4000,10.4000,703320,10.4000,10.5500,10.4000,10.4000,0,27440,241220
PVT,20200717,10.6000,10.6000,10.5000,10.5500,448870,10.6000,10.6000,10.5000,10.5500,0,10340,261150
PVT,20200716,10.5500,10.6500,10.4500,10.6000,1685890,10.5500,10.6500,10.4500,10.6000,0,15800,4480
PVT,20200715,10.5500,10.6000,10.4500,10.4500,744020,10.5500,10.6000,10.4500,10.4500,0,15800,4480
PVT,20200714,10.4000,10.5500,10.3500,10.5000,1012660,10.4000,10.5500,10.3500,10.5000,500000,60900,439430
PVT,20200713,10.5500,10.6000,10.4000,10.4000,941440,10.5500,10.6000,10.4000,10.4000,0,480000,960470
