<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
QNS,20161220,48.2295,48.2295,48.2295,48.2295,174000
QNS,20161221,55.4639,55.4639,42.2008,43.9233,358284
QNS,20161222,43.9233,43.9233,39.7893,39.9185,511765
QNS,20161223,37.0764,43.9233,37.0764,41.4257,200197
QNS,20161226,42.5884,42.5884,41.1673,41.4687,65420
QNS,20161227,41.3395,41.4687,41.2534,41.3826,106647
QNS,20161228,41.3826,41.4257,40.9089,41.0381,79476
QNS,20161229,40.6936,41.1242,40.4783,40.9520,78400
QNS,20161230,40.9089,41.1242,40.4783,40.9089,96960
QNS,20170103,41.1242,41.3395,40.9950,41.2534,55344
QNS,20170104,41.3395,41.9855,41.2103,41.7702,77150
QNS,20170105,42.0732,42.8523,41.7702,42.6367,127379
QNS,20170106,42.5501,43.4158,42.5501,43.3292,139310
QNS,20170109,43.2426,45.6667,43.2426,45.6667,123351
QNS,20170110,45.0174,47.1817,45.0174,46.6623,221390
QNS,20170111,45.8832,47.6146,45.4503,47.3116,159433
QNS,20170112,47.3982,48.4803,47.1817,48.0041,229238
QNS,20170113,48.4802,48.4802,45.8831,46.8354,110598
QNS,20170116,47.1384,47.1384,44.5845,44.7577,69045
QNS,20170117,44.1950,45.4503,42.8531,44.4114,134672
QNS,20170118,44.1517,46.0996,44.1517,45.4503,62197
QNS,20170119,46.2727,46.2727,45.2339,45.4503,45974
QNS,20170120,45.2339,45.6667,45.1473,45.4070,76399
QNS,20170123,45.4503,45.6667,44.5846,45.5801,62000
QNS,20170124,45.4502,45.8831,45.4502,45.7533,23723
QNS,20170125,45.7100,47.1385,45.7100,46.4026,33930
QNS,20170202,46.4892,47.6146,46.4892,47.3981,59391
QNS,20170203,47.3115,48.4370,47.3115,47.9608,149507
QNS,20170206,48.0474,48.8698,47.2249,47.4847,91966
QNS,20170207,47.4847,47.9608,47.0518,47.0951,68222
QNS,20170208,47.6145,47.6145,47.3115,47.3981,42074
QNS,20170209,47.1817,48.0041,47.1817,47.8310,164362
QNS,20170210,47.6579,48.0041,47.5713,47.6146,60500
QNS,20170213,47.6146,47.8310,47.2250,47.5713,41493
QNS,20170214,47.2683,47.8310,47.2683,47.3548,80849
QNS,20170215,47.6145,47.6145,47.2682,47.4414,15910
QNS,20170216,47.6145,47.6145,47.1817,47.1817,87256
QNS,20170217,47.1817,47.3116,47.0951,47.1817,60830
QNS,20170220,47.4414,47.4847,46.9653,47.1817,99858
QNS,20170221,47.1817,47.8310,47.1817,47.6146,96494
QNS,20170222,47.5280,47.9609,47.5280,47.7877,133807
QNS,20170223,47.9608,48.3937,47.9608,48.2638,117653
QNS,20170224,48.3937,51.7267,48.2205,50.2550,308714
QNS,20170227,50.6446,51.5103,50.0386,51.5103,125834
QNS,20170228,51.2939,53.1985,51.2939,52.4626,133763
QNS,20170301,52.8089,53.2417,51.1640,51.9432,99920
QNS,20170302,52.5925,52.5925,51.4671,51.5103,60621
QNS,20170303,51.5103,51.9432,51.2939,51.6834,86180
QNS,20170306,51.4237,52.3760,51.4237,52.2029,109760
QNS,20170307,52.1163,52.5925,51.9865,52.4626,99309
QNS,20170308,52.2895,52.9820,52.1596,52.9387,75111
QNS,20170309,53.1984,53.5014,53.1118,53.2850,80215
QNS,20170310,53.4149,53.6746,53.3283,53.6313,119764
QNS,20170313,53.6746,53.8477,52.9820,53.1552,95060
QNS,20170314,53.5015,53.5015,52.8522,53.3716,121050
QNS,20170315,53.4582,53.8477,53.4582,53.7179,83658
QNS,20170316,53.7179,53.8045,53.6313,53.8045,62160
QNS,20170317,53.7612,54.4971,53.7612,54.4537,116626
QNS,20170320,54.5403,55.7523,54.5403,55.7523,61310
QNS,20170321,55.5792,55.7523,54.5403,54.5403,64739
QNS,20170322,54.5403,54.5403,54.0642,54.4105,98400
QNS,20170323,54.5404,54.5404,54.3672,54.4537,25000
QNS,20170324,54.5403,54.7567,54.4970,54.7567,36410
QNS,20170327,54.8866,54.8866,54.1074,54.1075,46417
QNS,20170328,54.3672,54.5404,54.0209,54.4970,42550
QNS,20170329,54.1074,54.1075,53.6746,54.1075,45100
QNS,20170330,54.1075,54.3672,53.8911,54.1075,15948
QNS,20170331,53.9776,53.9776,53.1552,53.2417,54832
QNS,20170403,53.6746,53.6746,53.3716,53.4149,53510
QNS,20170404,53.4582,53.4582,52.7656,52.8089,43305
QNS,20170405,52.8955,52.8955,50.2117,51.7700,143511
QNS,20170407,52.2461,52.8521,52.2461,52.5924,40860
QNS,20170410,52.8521,53.0253,52.8088,52.9820,23666
QNS,20170411,53.2417,54.4970,53.2417,53.7179,133229
QNS,20170412,53.8910,54.2373,53.6313,53.6746,46100
QNS,20170413,53.5437,54.0673,53.3691,53.8039,23901
QNS,20170414,53.6730,53.8912,53.3239,53.4984,13870
QNS,20170417,53.5857,53.6729,53.4548,53.4984,21570
QNS,20170418,53.5420,53.6729,53.2366,53.3675,60428
QNS,20170419,53.3675,53.5857,53.3675,53.5857,24800
QNS,20170420,53.4548,53.4984,53.4548,53.4984,11300
QNS,20170421,53.4111,53.4984,53.3675,53.4984,25418
QNS,20170424,53.4984,54.5894,53.4984,54.5894,56533
QNS,20170425,54.5458,54.7639,54.2839,54.5021,20900
QNS,20170426,54.8948,54.8948,53.8039,53.8912,16430
QNS,20170427,54.1094,54.1094,53.8039,54.0657,14000
QNS,20170428,54.2839,54.3275,53.8912,53.8912,30010
QNS,20170503,55.5363,55.5930,54.1181,54.1748,29110
QNS,20170504,54.5152,55.8766,54.5152,55.3661,84343
QNS,20170505,55.5363,55.7632,55.4795,55.4795,53616
QNS,20170508,55.7064,55.7631,54.4584,55.0257,27952
QNS,20170509,54.8555,54.8555,54.5152,54.5152,48893
QNS,20170510,54.1748,54.1748,53.8912,53.8912,51281
QNS,20170511,53.9479,54.0047,53.8912,53.8912,32317
QNS,20170512,53.8912,53.8912,51.8490,52.5864,68072
QNS,20170515,52.1893,52.6999,51.0548,52.6432,34128
QNS,20170516,51.6221,52.1894,51.0548,52.0192,27610
QNS,20170517,51.9057,55.0258,51.9057,52.3028,16000
QNS,20170518,52.1893,52.6999,52.1326,52.2461,38900
QNS,20170519,52.1894,52.5865,52.1894,52.4730,39670
QNS,20170522,52.1894,52.4730,52.0192,52.0192,28200
QNS,20170523,52.1894,52.1894,51.1116,51.3384,41700
QNS,20170524,51.5086,51.5653,50.9980,51.0548,49408
QNS,20170525,51.2817,51.3384,50.4875,51.0548,28830
QNS,20170526,51.0548,51.2250,50.7712,51.0548,119684
QNS,20170529,51.0548,51.7923,50.8846,51.3384,131209
QNS,20170530,51.3384,52.1326,51.0548,51.7355,110900
QNS,20170531,51.6220,52.0759,51.3951,51.9624,67000
QNS,20170601,51.6220,51.6220,51.2817,51.3384,18900
QNS,20170602,51.3384,51.3384,51.0548,51.1683,33040
QNS,20170605,51.0548,51.2250,50.9414,51.1115,138600
QNS,20170606,51.6220,51.6220,50.9413,51.2250,56780
QNS,20170607,50.6577,51.1115,50.4875,50.6010,16400
QNS,20170608,50.6577,51.1683,50.4308,50.8279,55826
QNS,20170609,50.8846,50.8846,50.7144,50.7144,11720
QNS,20170612,50.2606,50.3173,48.6155,49.0693,58300
QNS,20170613,48.7857,48.7857,47.6511,47.8781,122341
QNS,20170614,46.9137,47.0839,44.2475,46.2330,130408
QNS,20170615,45.7792,49.2396,45.3821,47.8213,70039
QNS,20170616,47.6511,48.3318,47.5944,47.9348,50631
QNS,20170619,47.6512,48.5021,47.6512,47.7646,53720
QNS,20170620,47.7646,48.2184,47.6511,47.8781,26200
QNS,20170621,47.7646,47.7646,47.0839,47.2541,26884
QNS,20170622,47.2541,47.4243,45.9494,47.3108,84710
QNS,20170623,46.8003,47.9915,46.4032,47.1973,46300
QNS,20170626,46.8002,47.5944,46.5166,47.5944,63769
QNS,20170627,46.8569,47.5944,46.8569,47.3108,51120
QNS,20170628,47.0839,47.4243,47.0839,47.4242,23033
QNS,20170629,47.0838,47.7079,47.0838,47.7079,60320
QNS,20170630,47.7646,48.2184,47.7646,48.1617,88542
QNS,20170703,48.2184,48.2184,47.5377,47.6511,39093
QNS,20170704,47.6511,47.8213,47.4242,47.7079,38665
QNS,20170705,47.6512,47.6512,47.1974,47.4242,58100
QNS,20170706,47.3675,47.6511,47.0838,47.6511,73623
QNS,20170707,47.3675,47.9347,47.1973,47.3675,52300
QNS,20170710,47.0839,47.2540,46.8570,47.0271,78264
QNS,20170711,47.0838,47.0838,46.8569,46.9137,31460
QNS,20170712,46.9704,47.0272,46.5733,46.8570,102632
QNS,20170713,46.8003,46.9705,46.8003,46.8570,21879
QNS,20170714,46.8570,46.9705,46.5166,46.7435,24873
QNS,20170717,46.9137,46.9137,45.9493,45.9493,40001
QNS,20170718,45.9493,46.8569,44.9282,46.7435,95188
QNS,20170719,45.7224,46.6868,45.6089,45.8926,81500
QNS,20170720,45.6657,46.0628,45.5522,46.0060,48995
QNS,20170721,46.2329,47.3107,46.2329,46.5733,76680
QNS,20170724,46.0060,46.5166,46.0060,46.2330,28374
QNS,20170725,46.2330,46.8003,45.6657,45.7224,40922
QNS,20170726,45.5522,45.6657,45.4388,45.5522,36700
QNS,20170727,45.5522,45.8926,45.3820,45.8359,86157
QNS,20170728,45.9501,46.2355,45.9501,46.0630,46390
