<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
REE,20000728,16.0000,16.0000,1.4142,1.4142,1000
REE,20000731,16.3000,16.3000,1.4407,1.4407,300
REE,20000802,16.6000,16.6000,1.4673,1.4673,100
REE,20000804,16.9000,16.9000,1.4938,1.4938,200
REE,20000807,17.2000,17.2000,1.5203,1.5203,2800
REE,20000809,17.5000,17.5000,1.5468,1.5468,500
REE,20000811,17.8000,17.8000,1.5733,1.5733,11000
REE,20000814,18.1000,18.1000,1.5998,1.5998,7800
REE,20000816,18.4000,18.4000,1.6264,1.6264,7100
REE,20000818,18.7000,18.7000,1.6529,1.6529,3100
REE,20000821,19.0000,19.0000,1.6794,1.6794,10100
REE,20000823,19.3000,19.3000,1.7059,1.7059,42200
REE,20000825,19.0000,19.0000,1.6794,1.6794,18900
REE,20000828,1.6525,1.6529,1.6525,1.6529,36500
REE,20000830,1.6264,1.6264,1.6264,1.6264,9700
REE,20000901,1.5999,1.5999,1.5998,1.5998,25500
REE,20000906,1.5733,1.5733,1.5733,1.5733,2800
REE,20000908,1.5468,1.5468,1.5468,1.5468,35900
REE,20000911,1.5733,1.5733,1.5733,1.5733,26500
REE,20000913,1.5998,1.5998,1.5998,1.5998,1400
REE,20000915,1.6263,1.6264,1.6263,1.6264,35200
REE,20000918,1.5999,1.5999,1.5998,1.5998,12600
REE,20000920,1.6263,1.6264,1.6263,1.6264,8800
REE,20000922,1.5999,1.5999,1.5998,1.5998,7100
REE,20000925,1.5998,1.5998,1.5998,1.5998,7300
REE,20000927,1.5998,1.5998,1.5998,1.5998,18700
REE,20000929,1.6086,1.6087,1.6086,1.6087,18500
REE,20001002,1.6087,1.6087,1.6087,1.6087,19200
REE,20001004,1.6087,1.6087,1.6087,1.6087,17100
REE,20001006,1.6087,1.6087,1.6087,1.6087,16200
REE,20001009,1.6352,1.6352,1.6352,1.6352,9400
REE,20001011,1.6617,1.6617,1.6617,1.6617,12600
REE,20001013,1.6882,1.6882,1.6882,1.6882,35400
REE,20001016,1.7147,1.7147,1.7147,1.7147,7400
REE,20001018,1.7412,1.7413,1.7412,1.7413,12100
REE,20001020,1.7678,1.7678,1.7678,1.7678,19900
REE,20001023,1.8032,1.8032,1.8031,1.8031,18700
REE,20001025,1.8385,1.8385,1.8385,1.8385,13500
REE,20001027,1.8739,1.8739,1.8739,1.8739,43000
REE,20001030,1.8739,1.8739,1.8739,1.8739,42200
REE,20001101,1.9093,1.9093,1.9092,1.9092,50800
REE,20001103,1.9446,1.9446,1.9446,1.9446,13900
REE,20001106,1.9800,1.9800,1.9799,1.9799,3100
REE,20001108,2.0153,2.0153,2.0153,2.0153,12700
REE,20001110,2.0507,2.0507,2.0506,2.0506,4700
REE,20001113,2.0860,2.0860,2.0860,2.0860,800
REE,20001115,2.1214,2.1214,2.1213,2.1213,200
REE,20001117,2.1567,2.1567,2.1567,2.1567,8300
REE,20001120,2.1921,2.1921,2.1921,2.1921,7200
REE,20001122,2.2275,2.2275,2.2274,2.2274,59700
REE,20001124,2.2716,2.2716,2.2716,2.2716,56700
REE,20001127,2.3158,2.3158,2.3158,2.3158,48500
REE,20001129,2.3600,2.3600,2.3600,2.3600,23900
REE,20001201,2.4042,2.4042,2.4042,2.4042,5900
REE,20001204,2.4484,2.4484,2.4484,2.4484,5000
REE,20001206,2.4926,2.4926,2.4926,2.4926,5000
