<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SAB,20181024,222.40,224.10,220.50,222.00,54220,222.40,224.10,220.50,222.00,0,18780,13480
SAB,20181023,222.00,224.00,220.00,222.90,34600,222.00,224.00,220.00,222.90,0,5100,6540
SAB,20181022,220.00,222.50,218.00,222.00,31600,220.00,222.50,218.00,222.00,0,18040,6210
SAB,20181019,220.00,222.70,218.00,220.00,24610,220.00,222.70,218.00,220.00,50000,69110,6130
SAB,20181018,223.90,223.90,221.20,222.00,10210,223.90,223.90,221.20,222.00,0,490,3600
SAB,20181017,223.00,223.30,221.10,223.00,36550,223.00,223.30,221.10,223.00,0,7760,780
SAB,20181016,220.60,224.20,220.50,222.00,22050,220.60,224.20,220.50,222.00,0,14440,0
SAB,20181015,219.01,223.38,218.52,221.49,45960,220.50,224.90,220.00,223.00,0,41400,0
SAB,20181012,220.50,221.49,217.52,221.00,40990,222.00,223.00,219.00,222.50,0,33160,2600
SAB,20181011,220.50,224.47,216.92,220.50,21230,222.00,226.00,218.40,222.00,0,4340,2010
SAB,20181010,220.20,224.47,220.20,224.47,18450,221.70,226.00,221.70,226.00,0,4340,2010
SAB,20181009,220.20,221.69,218.61,221.69,27710,221.70,223.20,220.10,223.20,0,20230,9790
SAB,20181008,220.20,221.69,218.41,221.69,24950,221.70,223.20,219.90,223.20,0,8130,5590
SAB,20181005,221.49,224.37,220.50,221.69,22290,223.00,225.90,222.00,223.20,0,1560,3280
SAB,20181004,224.48,225.17,223.48,224.47,4940,226.00,226.70,225.00,226.00,0,320,2000
SAB,20181003,223.48,225.47,223.48,224.18,17230,225.00,227.00,225.00,225.70,0,0,20
SAB,20181002,220.70,223.48,218.32,223.48,103220,222.20,225.00,219.80,225.00,450000,6950,30
SAB,20181001,220.80,220.80,218.52,220.70,20780,222.30,222.30,220.00,222.20,89500,6950,30
SAB,20180928,219.50,220.99,218.51,221.00,66090,221.00,222.50,220.00,222.50,350000,397250,355860
SAB,20180927,217.42,220.50,216.72,218.51,34790,218.90,222.00,218.20,220.00,100000,108070,107600
SAB,20180926,217.52,217.52,215.53,217.42,22560,219.00,219.00,217.00,218.90,0,6760,4100
SAB,20180925,217.52,217.52,216.33,217.52,18180,219.00,219.00,217.80,219.00,20480,14550,13100
SAB,20180924,217.52,217.52,216.03,217.42,26420,219.00,219.00,217.50,218.90,89500,14550,13100
SAB,20180921,217.02,220.40,215.83,217.52,30810,218.50,221.90,217.30,219.00,45000,55830,57960
SAB,20180920,218.51,220.50,217.02,218.41,9720,220.00,222.00,218.50,219.90,0,360,4390
SAB,20180919,221.49,221.49,218.51,218.51,19770,223.00,223.00,220.00,220.00,0,590,11030
SAB,20180918,222.49,222.49,220.50,221.49,24680,224.00,224.00,222.00,223.00,0,4910,16350
SAB,20180917,223.49,223.49,220.01,220.60,5410,225.00,225.00,221.50,222.10,0,0,3240
SAB,20180914,220.50,223.48,220.50,221.30,42150,222.00,225.00,222.00,222.80,40000,45070,44530
SAB,20180913,219.51,221.20,219.51,220.50,7230,221.00,222.70,221.00,222.00,0,1700,520
SAB,20180912,220.60,221.39,218.81,221.30,11530,222.10,222.90,220.30,222.80,0,8610,3040
SAB,20180911,221.49,221.49,218.71,221.49,19770,223.00,223.00,220.20,223.00,27820,42460,28390
SAB,20180910,221.20,221.50,218.62,221.49,31480,222.70,223.00,220.10,223.00,100000,126650,100990
SAB,20180907,218.52,221.40,217.72,221.30,32790,220.00,222.90,219.20,222.80,0,182880,158960
SAB,20180906,220.50,221.39,217.52,221.30,41630,222.00,222.90,219.00,222.80,150000,182880,158960
SAB,20180905,222.29,222.29,219.61,221.39,38610,223.80,223.80,221.10,222.90,0,15980,13300
SAB,20180904,224.47,224.47,222.09,222.29,60720,226.00,226.00,223.60,223.80,0,33800,15980
SAB,20180831,224.47,224.47,221.79,224.47,47370,226.00,226.00,223.30,226.00,0,43210,11530
SAB,20180830,220.70,224.47,220.70,224.47,37240,222.20,226.00,222.20,226.00,0,15960,15990
SAB,20180829,220.50,224.47,218.51,224.47,25460,222.00,226.00,220.00,226.00,0,4770,280
SAB,20180828,217.52,221.49,217.22,220.50,38360,219.00,223.00,218.70,222.00,0,19400,400
SAB,20180827,212.55,221.29,211.76,217.52,67490,214.00,222.80,213.20,219.00,0,44640,2610
SAB,20180824,209.57,211.56,208.58,211.56,95550,211.00,213.00,210.00,213.00,0,77410,31250
SAB,20180823,210.57,211.56,208.88,211.06,79280,212.00,213.00,210.30,212.50,0,61340,44600
