<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SHS,20090625,6.9135,7.3950,6.1912,6.9135,1828600
SHS,20090626,6.9135,7.2230,6.8447,6.8447,1163400
SHS,20090629,6.8447,7.2058,6.8447,6.9307,1534300
SHS,20090630,6.9307,6.9995,6.4835,6.4835,867200
SHS,20090701,6.4835,6.4835,6.2772,6.2772,1488400
SHS,20090702,6.2772,6.3632,5.8472,6.0192,1581200
SHS,20090703,6.0192,6.0192,5.5893,5.9676,901100
SHS,20090706,5.9676,6.3116,5.9160,6.3116,1293600
SHS,20090707,6.3116,6.6211,6.2256,6.3632,594100
SHS,20090708,6.3632,6.3632,6.0192,6.1568,197000
SHS,20090709,6.1568,6.2428,6.0364,6.0364,410500
SHS,20090710,6.0364,6.6039,6.0364,6.6039,3845100
SHS,20090713,6.6039,6.7931,6.2772,6.4491,591400
SHS,20090714,6.4491,6.6555,6.0880,6.3116,557500
SHS,20090715,6.3116,6.6211,6.1224,6.1912,605600
SHS,20090716,6.1912,6.6211,6.1224,6.2600,392400
SHS,20090717,6.2600,6.2600,5.9160,6.0192,140200
SHS,20090720,6.0192,6.0192,5.6237,5.6237,49500
SHS,20090721,5.6237,5.6753,5.2453,5.3141,227200
SHS,20090722,5.3141,5.7612,5.3141,5.4173,474400
SHS,20090723,5.4173,5.8816,5.4173,5.8128,953400
SHS,20090724,5.8128,6.1396,5.8128,6.1396,539000
SHS,20090727,6.1396,6.5523,6.1396,6.5523,1054200
SHS,20090728,6.5523,6.7931,6.1224,6.1912,730800
SHS,20090729,6.1912,6.3632,6.0880,6.1052,579200
SHS,20090730,6.1052,6.2428,5.8300,5.8472,540800
SHS,20090731,5.8472,6.3288,5.8472,6.0364,569600
SHS,20090803,6.0364,6.1568,5.7956,5.8472,393300
SHS,20090804,5.8472,6.1396,5.8472,5.9332,471700
SHS,20090805,5.9332,6.0536,5.8128,5.9504,309600
SHS,20090806,5.9504,6.0020,5.7956,5.8472,579100
SHS,20090807,5.8472,5.9676,5.5893,5.7268,279000
SHS,20090810,5.7268,5.9848,5.4861,5.8988,567800
SHS,20090811,5.8988,5.8988,5.6581,5.6924,592500
SHS,20090812,5.6924,5.7956,5.5893,5.6581,633500
SHS,20090813,5.6581,5.9332,5.6581,5.7612,464800
SHS,20090814,5.7612,6.0192,5.6753,5.6753,461700
SHS,20090817,5.6753,5.8300,5.5033,5.6581,602400
SHS,20090818,5.6581,5.6581,5.2969,5.5377,396500
SHS,20090819,5.5377,5.7612,5.5377,5.6409,482200
SHS,20090820,5.6409,5.6753,5.4861,5.5377,336100
SHS,20090821,5.5377,5.9558,5.5377,5.9031,882800
SHS,20090824,5.9031,6.2369,5.9031,5.9558,504300
SHS,20090825,5.9558,6.1666,5.7977,6.0436,379800
SHS,20090826,6.0436,6.0436,5.8680,5.9382,318600
SHS,20090827,5.9382,5.9558,5.7625,5.8504,349800
SHS,20090828,5.8504,5.9909,5.8504,5.9382,310700
SHS,20090831,5.9382,6.1491,5.9382,5.9734,403600
SHS,20090901,5.9734,6.0788,5.7977,5.9031,403200
SHS,20090903,5.9031,5.9558,5.7801,5.7977,317400
SHS,20090904,5.7977,5.8504,5.5342,5.6220,176700
SHS,20090907,5.6220,5.7977,5.3233,5.4463,378300
SHS,20090908,5.4463,5.6044,5.4463,5.5342,372100
SHS,20090909,5.5342,5.6747,5.5342,5.5693,361100
SHS,20090910,5.5693,5.6747,5.4990,5.6747,565600
SHS,20090911,5.6747,5.9558,5.6747,5.9558,439000
SHS,20090914,5.9558,6.3599,5.7977,6.3247,714400
SHS,20090915,6.3247,6.3423,5.9909,6.3247,1010200
SHS,20090916,6.3247,6.6410,6.3247,6.5707,1172100
SHS,20090917,6.5707,6.7815,6.5356,6.6234,1168000
SHS,20090918,6.6234,6.9396,6.3247,6.9221,1889600
SHS,20090921,6.9221,7.2910,6.9221,7.2910,1540400
SHS,20090922,7.2910,7.7478,7.2032,7.7478,1422800
SHS,20090923,7.7478,8.1519,7.2032,7.5370,1591500
SHS,20090924,7.5370,7.5546,7.3964,7.3964,839700
SHS,20090925,7.3964,7.9235,6.9045,7.4667,2132400
SHS,20090928,7.4667,7.9059,7.3789,7.4491,1026000
SHS,20090929,7.4491,7.9059,7.2032,7.4491,648700
SHS,20090930,7.4491,7.6775,7.0275,7.1680,708000
SHS,20091001,7.1680,7.2735,6.7640,6.8167,608600
SHS,20091002,6.8167,7.0099,6.4829,6.9572,1661500
SHS,20091005,6.9572,7.0275,6.4126,6.5356,573000
SHS,20091006,6.5356,7.1153,6.4653,6.5180,737500
SHS,20091007,6.5180,6.9221,6.5180,6.9045,900500
SHS,20091008,6.9045,6.9396,6.5531,6.8167,1044600
SHS,20091009,6.8167,6.9572,6.7113,6.8167,1259700
SHS,20091012,6.8167,7.2383,6.8167,7.2383,2428900
SHS,20091013,7.2383,7.5194,7.1153,7.2207,1733700
SHS,20091014,7.2207,7.4491,7.2207,7.3789,1254900
SHS,20091015,7.3789,7.8357,7.3613,7.4491,1526000
SHS,20091016,7.4491,7.4667,6.9572,6.9572,1218800
SHS,20091019,6.9572,7.3789,6.7464,6.7640,1068600
SHS,20091020,6.7640,7.2032,6.6761,6.9396,1076200
SHS,20091021,6.9396,6.9748,6.5883,6.7640,1115700
SHS,20091022,6.7640,6.9924,6.6585,6.8518,1502200
SHS,20091023,6.8518,6.9396,6.5004,6.6234,794700
SHS,20091026,6.6234,6.8167,6.4829,6.5356,744300
SHS,20091027,6.5356,6.8342,6.2369,6.4653,1392800
SHS,20091028,6.4653,6.6410,6.3247,6.4829,1013400
SHS,20091029,6.4829,6.6234,6.0612,6.1842,954600
SHS,20091030,6.1842,6.7113,6.1842,6.3247,788700
SHS,20091102,6.3247,6.4653,6.0612,6.0612,461400
SHS,20091103,6.0612,6.1842,5.8153,5.8328,1306000
SHS,20091104,5.8328,6.2545,5.6571,6.2545,2235600
SHS,20091105,6.2545,6.4653,6.2193,6.4653,1214300
SHS,20091106,6.4653,6.8342,6.4126,6.4829,874700
SHS,20091109,6.4829,6.4829,6.2896,6.2896,860100
SHS,20091110,6.2896,6.4829,5.9207,6.1491,385300
SHS,20091111,6.1491,6.6937,6.0612,6.5180,1274900
SHS,20091112,6.5180,6.8167,6.4829,6.5531,671900
SHS,20091113,6.5531,6.6058,6.3247,6.4126,553100
SHS,20091116,6.4126,6.7113,6.4126,6.5356,601300
SHS,20091117,6.5356,6.7991,6.4126,6.4653,427200
SHS,20091118,6.4653,6.7640,6.3950,6.5707,565300
SHS,20091119,6.5707,6.6585,6.4302,6.6058,600100
SHS,20091120,6.6058,6.6937,6.5004,6.5180,356200
SHS,20091123,6.5180,6.6585,6.2896,6.3247,306900
SHS,20091124,6.3247,6.5883,6.2545,6.3072,163200
SHS,20091125,6.3072,6.3072,6.0261,6.0261,33700
SHS,20091126,6.0261,6.0261,5.6396,5.6396,95300
SHS,20091127,5.6396,5.9382,5.2531,5.5166,893100
SHS,20091130,5.5166,6.1139,5.5166,6.1139,791700
SHS,20091201,6.1139,6.2720,5.9734,6.2720,491600
SHS,20091202,6.2720,6.4829,5.8328,5.9207,159100
SHS,20091203,5.9207,6.4653,5.8680,5.9909,194000
SHS,20091204,5.9909,6.1491,5.9207,5.9734,89400
SHS,20091207,5.9734,6.1491,5.7977,5.8680,30200
SHS,20091208,5.8680,5.8680,5.4112,5.5166,141600
SHS,20091209,5.5166,5.5166,5.0774,5.0774,207300
SHS,20091210,5.0774,5.4287,4.8490,4.9192,118300
SHS,20091211,4.9192,5.1828,4.6733,4.6733,283800
SHS,20091214,4.6733,5.1652,4.6030,5.1652,183200
SHS,20091215,5.1652,5.2706,4.9544,4.9544,39000
SHS,20091216,4.9544,4.9544,4.6909,4.6909,93600
SHS,20091217,4.6909,4.6909,4.3922,4.4273,137000
SHS,20091218,4.4273,4.6909,4.3922,4.6909,312200
SHS,20091221,4.6909,4.9544,4.6909,4.9544,238600
SHS,20091222,4.9544,5.1828,4.8138,4.8138,59900
SHS,20091223,4.8138,4.9017,4.6206,4.8138,255600
SHS,20091224,4.8138,4.9368,4.5854,4.9192,288000
SHS,20091225,4.9192,5.2003,4.9192,5.0949,491000
SHS,20091228,5.0949,5.0949,4.8138,4.8138,84700
SHS,20091229,4.8138,4.9017,4.6030,4.6030,104300
SHS,20091230,4.6030,4.8138,4.5679,4.7084,222000
SHS,20091231,4.7084,4.8841,4.6030,4.6909,221500
SHS,20100104,4.6909,5.0774,4.6909,5.0774,231300
SHS,20100105,5.0774,5.4112,5.0774,5.4112,478100
SHS,20100106,5.4112,5.7801,5.4112,5.7801,751800
SHS,20100107,5.7801,6.0964,5.7801,6.0964,483600
SHS,20100108,6.0964,6.3247,5.6571,5.7801,331000
SHS,20100111,5.7801,5.8855,5.4463,5.4463,274500
SHS,20100112,5.4463,5.4463,5.1125,5.1125,353000
SHS,20100113,5.1125,5.5693,4.8665,5.0949,366700
SHS,20100114,5.0949,5.3409,5.0949,5.3409,193400
SHS,20100115,5.3409,5.5342,5.0422,5.1301,101600
SHS,20100118,5.1301,5.1301,4.8314,4.8841,180400
SHS,20100119,4.8841,5.0071,4.6909,4.9544,125800
SHS,20100120,4.9544,5.0071,4.7611,4.8490,93900
SHS,20100121,4.8490,4.8490,4.5679,4.6733,143700
SHS,20100122,4.6733,4.8314,4.5327,4.7436,121200
SHS,20100125,4.7436,4.9895,4.6733,4.9895,171000
SHS,20100126,4.9895,5.2003,4.9192,5.2003,105700
SHS,20100127,5.2003,5.4463,4.8841,4.8841,63500
SHS,20100128,4.8841,4.9895,4.8665,4.9544,218300
SHS,20100129,4.9544,4.9895,4.9192,4.9720,73800
SHS,20100201,4.9720,5.2531,4.9720,5.1476,206100
SHS,20100202,5.1476,5.2706,5.0949,5.1476,186300
