<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SSI,20061215,9.1041,21.9509,0.0055,9.1041,293000
SSI,20061218,9.1041,10.0096,9.1041,9.8559,340200
SSI,20061219,9.8559,10.8382,9.8559,10.8382,326900
SSI,20061220,10.8382,11.8699,10.7559,10.7559,651600
SSI,20061221,10.7559,10.9754,10.3005,10.3005,200100
SSI,20061222,10.3005,10.3005,9.2742,9.2742,413000
SSI,20061225,9.2742,9.2742,8.3468,8.3468,289000
SSI,20061226,8.3468,8.8901,7.5182,8.4456,435500
SSI,20061227,8.4456,9.2852,8.4456,8.7804,423200
SSI,20061228,8.7804,9.1645,8.2316,8.7145,182400
SSI,20061229,8.7145,8.7145,7.8474,8.5060,290400
SSI,20070102,8.5060,8.7804,8.3413,8.3688,236800
SSI,20070103,8.3688,8.6816,8.3688,8.4511,301900
SSI,20070104,8.4511,9.2962,8.4511,9.2962,213900
SSI,20070105,9.2962,10.1797,9.2962,10.1797,357100
SSI,20070108,10.1797,11.1950,9.1645,9.8395,317300
SSI,20070109,9.8395,10.4267,8.8572,10.2620,535800
SSI,20070110,10.2620,11.1895,10.2620,10.8163,606000
SSI,20070111,10.8163,11.1401,10.1523,10.8108,520400
SSI,20070112,10.8108,11.9742,10.8108,11.6888,759000
SSI,20070115,11.6888,12.6218,11.6888,12.2376,492600
SSI,20070116,12.2376,12.8961,11.5242,11.9632,304400
SSI,20070117,11.9632,12.0181,11.0632,11.0632,212100
SSI,20070118,11.0632,11.7986,10.1084,11.6340,461700
SSI,20070119,11.6340,12.0730,11.5187,11.5791,482500
SSI,20070122,11.5791,11.5791,10.5364,10.9206,279700
SSI,20070123,10.9206,11.2498,10.7011,10.9206,272400
SSI,20070124,10.9206,11.2498,9.8505,11.0029,236700
SSI,20070125,11.0029,11.0852,10.3169,10.6023,189100
SSI,20070126,10.6023,10.9754,10.3169,10.9754,208500
SSI,20070129,10.9754,11.5242,10.9754,11.5242,257800
SSI,20070130,11.5242,12.5833,11.5242,12.0455,259000
SSI,20070131,12.0455,12.4022,11.6888,12.0181,215200
SSI,20070201,12.0181,12.4022,10.9206,11.6340,236400
SSI,20070202,11.6340,11.6888,10.9754,11.4693,273700
SSI,20070205,11.4693,12.0730,11.2773,11.3870,260800
SSI,20070206,11.3870,11.5242,11.2498,11.3596,202900
SSI,20070207,11.3596,11.4693,10.9754,11.1950,391400
SSI,20070208,11.1950,11.2498,10.4267,10.6736,432100
SSI,20070209,10.6736,10.7450,10.4267,10.7065,314700
